20090220081632AAI0A9G	Food & Drink;Cooking & Recipes	What can I do with 1 lb. of collard greens?	I've never eaten them and ...well, they were a good buy.
20090220110439AAjEMW2	Food & Drink;Cooking & Recipes	Getting a high out of a whipped cream can!!?	Hello,   I talked to my daughter today, and she told me about whipped cream highs. What kids her age do is get a can of whipped cream and inhale all the gas out of it to get a high! Ive never heard of this before, and curious. Shud i be really worried or is it harmless fun? thanks x
20090220105109AA7jAqc	Food & Drink;Other - Food & Drink	The ultimate tea-dunking biscuit?	I was just curious for peoples' opinions :)
20090220105250AAvpVQ6	Food & Drink;Cooking & Recipes	What could I use to replace Parmesan cheese and olives?	These two ingredients are supposed to be included in a salad recipe, but I'd like to use something else instead.      Thanks in advance.
20090220104034AAgk40j	Food & Drink;Beer, Wine & Spirits	I have a question about alcohol...?	If someone drinks "a couple drinks" in the afternoon, how long will it take for the person to return to their sober state? I know it depends on height and weight and how often the person drinks, so lets say around 5'6", 180 lbs, and drinks on average, every or every other day for more than 20 years. Any guesstimations??
20090220110823AANpa1w	Food & Drink;Non-Alcoholic Drinks	What the best quality tea you can buy at walmart?	if lipton is average then whats better then that at walmart?
20090220104132AAWg6YU	Food & Drink;Non-Alcoholic Drinks	Does red lighting cause thirst more than other colors, if at all?	N/A
20090220104418AA61TO9	Food & Drink;Non-Alcoholic Drinks	What Nice Starbucks coffees!!?	Which coffee (prefferably a laté) is really nice? I dont mind if it has alot in it...         xoxo
20090220110115AAixaFM	Food & Drink;Non-Alcoholic Drinks	How long is coffee creamer good for?	I have International  coffee creamer for my coffee the refrigerated kind. It says to sell by jan 23th how long does it stay good till after that.
20090220104523AAMKuvc	Food & Drink;Other - Food & Drink	How do i fix the tiers of a cake?	answers for both fruit and sponge cakes please,   can they just sit on top or if i get dowels, how are these placed in a cake? and when im putting a cake on top without pillars, does the top layer need a board still???    when using pillars,do dowels run down the pillars? any help will be great   thanks x
20090220104602AA7WIO5	Food & Drink;Ethnic Cuisine	UK member, Where can I buy vesta chow mein etc. Thanks?	I live in Feltham Middlesex.
20090220104616AAU0wb2	Food & Drink;Other - Food & Drink	Where can i fine morton salt hot salt?	in a shake size
20090220104839AARvlHf	Food & Drink;Other - Food & Drink	What is the best tasting breakfast food?	Im hungry for breakfast but i dont want cereal, toast, or a bagel which is my usual. Plz tell me some good ways to have a creative breakfast!
20090220105010AAES9X0	Food & Drink;Non-Alcoholic Drinks	How can i stop drinking energy drinks?	its my worse addiction
20090220105021AAA5aHG	Food & Drink;Beer, Wine & Spirits	When i go out i like to get drunk(which is not often)?	but the hangovers are really bad, they really hurt my feelings! does anyone have any tips? im working the next day at one! help!
20090220105753AA1tM5k	Food & Drink;Other - Food & Drink	Are you supposed to eat the skin of a dried fig?	I bought dried figs for the first time and didn't know whether or not I was supposed to eat the skins. I tried the skins and they didn't taste too good and were kind of hard to chew.
20090220110107AA1WR8Y	Food & Drink;Non-Alcoholic Drinks	What is caster sugar?	i am making an irish desert that calls for caster sugar. where can i find it and can i substitute some other sugar (powdered, granulated?)
20090220110313AAcWxPL	Food & Drink;Other - Food & Drink	How to freeze fried eggplant and zucchini patties?	I just bought alot of zucchini and eggplant on a great sale and want to freeze it so it does not go bad. I make just normal fried eggplant slices and want to know if I should bread them fry them and then freeze them or just bread them and freeze them.      For the zucchini I make patties out of grated zucchini egg bread crumbs and cheese and then fry them so I have the same question about them. Should I cook them and then freeze or not cook them. Thanks for any help you can give me. Trying to make grocery money stretch as far as possible.
20090220110606AAbmFhd	Food & Drink;Other - Food & Drink	What Is your Favorite Cereal ?	Mine is "Honey Bunches Of Oats" but i like other cereals like lucky charms reeses puffs fruity loops
20090220110607AAfK4P8	Food & Drink;Other - Food & Drink	Does Costco sell ben & Jerry's?	like in mass buys?
20090220110651AACtuIz	Food & Drink;Other - Food & Drink	How rare can you eat steak?	i like steak rare, but i was wondering HOW rare you can eat it. not raw of course. Thanks
20090220114955AATxOn1	Food & Drink;Other - Food & Drink	Why did the waiter look at me funny?	I was at Applebees in Bismarck (ND). I ordered fries and asked if I could get gravy on them. The server looked at me like I was nuts. Do Americans really not put gravy on fries? How about ketchup? How do you eat your fries?
20090220112148AAwYGxf	Food & Drink;Cooking & Recipes	Anyone have a good lemon cake recipe?	I am looking for one that isn't too tart but is lemony and that is easy to make so using a box cake mix is preferable. Please be as detailed as possible.
20090220115959AAUhabG	Food & Drink;Other - Food & Drink	You're about to be executed...what's your last meal?	Mine would be- a rib-eye steak cooked rare, a pound of steamers/clams w/butter, and an oreo milkshake :)
20090220111628AA4EvwN	Food & Drink;Vegetarian & Vegan	Help me think of some meals..?	Right, so I'm newly Pescatarian (for 22 days now :D), and so's my mum. My dad and my brother aren't, so it's rather hard to think of meals that can be easiliy adjusted for us all.      My dad and my brother sometimes eat fish with us, but not very often.      We've tried prawn curries, fish pies, jacket potatoes, pizzas, fish cakes, soups, but it's getting a little boring now, so I need some more ideas for meals.       Thanks :)
20090220115045AAVkMYZ	Food & Drink;Other - Food & Drink	What are Your three favourite winter vegetables?	Thanks.   lovely weekend.   .
20090220112452AAF0Cqm	Food & Drink;Beer, Wine & Spirits	What is your favorite drink???//?	N/A
20090220113931AA6ywrX	Food & Drink;Cooking & Recipes	How do you fix tuna steaks?	Bought frozen tuna steaks and would like to know if it should be pink in the middle or well done. Would like it to taste good.
20090220120056AAqKyR7	Food & Drink;Other - Food & Drink	Hershey Bar vs. Crunch Bar?	Which do you like better?
20090220112811AAq1ydZ	Food & Drink;Beer, Wine & Spirits	Fruity type of wine....?	Hi,      I enjoy wines however it must be sweet and have fruit flavour.  Can anyone suggest a nice one for me to try?
20090220112953AA8SxOL	Food & Drink;Cooking & Recipes	How do you make toffee?	Is this something I can make?
20090220115728AAsqnFf	Food & Drink;Beer, Wine & Spirits	Is it possible drinking to much coffee could turn the tongue white?	N/A
20090220114234AAHyeeK	Food & Drink;Vegetarian & Vegan	Is there a vegetarian gelatin on the market/?	Or is such a thing impossible?  Thanks.  =0)
20090220115941AA9LjSO	Food & Drink;Cooking & Recipes	Recipe calls for 1 cup instant rice... how much regular uncooked rice would I use?	I do not use instant rice, I prefer to use the real stuff.      So, I am wondering if it measures the same?   If a recipe calls for 1 cup instant rice, how much regular un-cooked rice should I use?   I am just worried that regular rice makes more per cup than instant rice...   thanks in advance for your answers!
20090220111129AAZFhbM	Food & Drink;Other - Food & Drink	Where can I buy artichokes in the UK?	I have got a recipe which uses artichokes as they are supposed to be in season right now. However, I can't seem to find them - I have tried Morrisons and M&S.      Do you know anywhere that I can buy artichokes in the UK?
20090220114855AA4HvO5	Food & Drink;Other - Food & Drink	What does Best before: End year 2009 means? Food?	so i got this  barbecue sauce and the expiry date label said      Best Before: End year 2009      does it mean it expires when 2009 comes?      or    it means it will expire at the end of 2009?      pls help
20090220113410AAFBrZG	Food & Drink;Other - Food & Drink	Can you Freeze Bananas?	What about those pre-made lettuce in a bag?   thanks
20090220113827AAYxtfo	Food & Drink;Cooking & Recipes	When you make beef stew in a crock pot should the liquid be covering the meat and veggies?	N/A
20090220113220AAHB7mH	Food & Drink;Ethnic Cuisine	Has anyone tried Bertolli's?	----------------------------------------...   In case you haven't heard, it's the commercial where chef at the high-end Italian restaurant is cursing "bertolli's," because his restaurant is empty.
20090220113634AA2AvOx	Food & Drink;Other - Food & Drink	Pink meat  ug !  lamb, beef, pork, these Chefs seem to recomend pink !?	I hate meat not cooked through !!  blood ozzing ..whats that all about?
20090220121004AAutaZB	Food & Drink;Other - Food & Drink	Is it okay to eat peanut butter yet?	N/A
20090220112757AA6G1e6	Food & Drink;Non-Alcoholic Drinks	Can nutra sweet be sued?	i would drink diet pepsi and use splenda for my coffee every day for 3 years. I had headaches,dizzy,insomnia,nightmares,memo... loss,heart palpitations and fast heart beat,high blood pressure,anxiety,    My doctors new what was wrong with me because i would tell them if that was what was making me ill .they said no that aspartame and diet products were safe, so they did a series of medical test on me all came back fine they even suggested that i might have chronic fatigue as a 28 yr old man please. these doctors are all in on this Poison and i want to sue my doctors as well, I stoped using diet products and I fell like I'm 19 yrs old again this is a real Miracle as i was convinced i was dying.. my vision has returned,i can sleep well there the night, no more headaches etc..      how can i go about suing nutra sweet and my health doctors??
20090220114826AAOpHvL	Food & Drink;Beer, Wine & Spirits	If you are on a diet whats the best way to get drunk? :)?	haha... yea, Im dieting but I want to drink tonight!!!! I just dont want to waste all of the work I have been doing. So what should I stay away from, and whats ok to drink with out adding dimples back to my butt? haha Thanks!!!
20090220120136AAXYTeo	Food & Drink;Cooking & Recipes	How can I make lump-less mashed potatoes?	I mean, the whole concept of 'mashed' potatoes is being lump-less. :D      Thank you.
20090220114026AAhMnoU	Food & Drink;Cooking & Recipes	What is good to eat on cheese nips(cheez-its)?	i love cheeze nips but i cant find anything to put on options plz
20090220113024AAw4v9p	Food & Drink;Other - Food & Drink	Neilson Choclaires Does another bar compare?	Why did neilson discontinue this wonderful candy bar?  Does anyone know if another  company makes this bar now?  I've had a craving, I used to eat them years ago.
20090220112506AA2RoK0	Food & Drink;Other - Food & Drink	What's your absolute favorite meal to eat?	What's the best of the best in your opinion for a great meal? And if you have a recipe, I'd love to have it :)
20090220112857AARspTf	Food & Drink;Cooking & Recipes	Edamame stir fry dish?	Does any one know any good edamame stir fry dishes? because i want to make a stir fry dish with no meat, and lots of veggies  to go with a sesame chicken dish that i am going to make tomorrow. anyone have any recipes?
20090220110955AA8JiNO	Food & Drink;Beer, Wine & Spirits	What is the name of the original Budweiser in North America?	N/A
20090220114434AAjVR6W	Food & Drink;Cooking & Recipes	How much would you pay for 100 samosas?	hi, i'm thinking of starting to sell veg and meat samosas, do you think theres a market out there for them, if so how much would you pay for lets say 100 samosas? (frozen) uk   thanks in advance
20090220111759AAkWHOA	Food & Drink;Cooking & Recipes	I'm looking for simple & quick recipes!  Any recipes will be appreciated!?	N/A
20090220112037AApCtJz	Food & Drink;Beer, Wine & Spirits	What could i do for my 15th this year, I have no clue and i want it to be really good, I love lads and booze!!?	N/A
20090220111018AAgbnTB	Food & Drink;Other - Food & Drink	Where are Pickles imported from?	I need this for a report, does anyone know? & uhm I'm talknig about the pickles from Big Mac's, please help
20090220111033AA8qVxN	Food & Drink;Beer, Wine & Spirits	Do you have to black out to forget a drunken night?	Can you still forget a drunken night, if you never blacked out?   Because i went to a party the other night & I'm pretty sure i blacked out in the bathroom, because i kinda remember certain things   but I really dont remember any of it. Can you still forget half the night, if you never blacked out?
20090220111309AAVjMXx	Food & Drink;Ethnic Cuisine	Hungarian restaurant in Italy?	I am looking for a Hungarian restaurant/bar/pub in Italy - especially Rome and Venice. Any ideas?    Thank you very much in advance, have a shiny happy day :)
20090220111316AA8NKiT	Food & Drink;Cooking & Recipes	Does Anyone Know Any Eggless Sponge Cake Recipe?	Without Oranges And With Frosting/Icing!      Not Any Recipe Bazaar Ones!
20090220111333AAW2gO4	Food & Drink;Cooking & Recipes	What is the difference between belgian waffles and regular waffles?	N/A
20090220111456AAI0B7Z	Food & Drink;Vegetarian & Vegan	Is Bubblicious suitable for vegetarians?	I have some Twisted Tornado in front of me (and too much time on my hands) so here is the list of ingredients -      sugar, gum base, glucose syrup, stabliser:e422, flavourings, acid:e330, emulsifier: soya lecithin, colour:e133, antioxidant:e321      doesn't say gelatin/glycerin but also doesn't say suitable for veggies... :(      help?
20090220111619AAK1mTv	Food & Drink;Entertaining	What is a good theme for a party?	My birthday is March 16. ive been having sleepover brthdays and want to try something else- could include sleepover. Any ideas for games, themes for us to dress up in, anything???
20090220112244AAmRDMF	Food & Drink;Entertaining	Birthday party ideas? Need help?	I need help with a theme for my birthday. Ok if you can think of a theme can you answer these questions.      1.Whats the theme?   2. What could be in the goodie bags (examples)   3. What are some games can we play?
20090220111622AAuNJG9	Food & Drink;Beer, Wine & Spirits	Drunken minds tell the stories of sober hearts?	do you think this is true?
20090220121031AAbKyiP	Food & Drink;Cooking & Recipes	What frugal tips to you have to share?	What is your most frugal tip?   ...most frugal recipe?   What do you do to save money?
20090220120621AAK0jMd	Food & Drink;Cooking & Recipes	In need of some cheap, easy recipes...?	Do any of you have any cheap easy recipes that can easily be made in a camper?
20090220112006AA3xy95	Food & Drink;Cooking & Recipes	Where can I find this recipe?	I recall that last year my mom made this delicious dish that had haddock, scallops, shrimp, bread crumbs, and dill sauce and it was like a lasagna.  The only thing is that there were no pasta noodles in it, and I can only find recipes that include pasta noodles.  We have been looking for this for awhile.  Our old computer had the website saved but the hard drive crashed.  All help is appreciated.  Thanks in advance.
20090220112138AAaUObF	Food & Drink;Cooking & Recipes	How to steam King Crab Legs?	I went to Ralph's yesterday and grabbed King Crab Legs from the frozen aisle. I put them in the freezer last night took them out this morning and placed it in the refrigerator to defrost. I'm planning on cooking it tonight for my boyfriend.      I need to know, how would I cook/steam them. How long and how to add taste? Do I first dip them in butter and then steam them so the butter can melt into the meat? And can I had black pepper or something?      Help soon. Please and Thank You.
20090220112655AArlWvN	Food & Drink;Cooking & Recipes	What are some yummy zimbabwean recipies?	please be make the recipe be zimbabwean. we're doing a school project for 12-14 year olds, and 100 kids.  we need one that makes alot of servings.  gracias
20090220114135AAXR7Im	Food & Drink;Cooking & Recipes	Are two large egg whites a substitute for 2.5 meringue powder?	My teacher is a total dummy. That is why I don't know if the eggs should be cooked or not. She didn't even tell us the amount of meringue powder. Will I be at risk for salmonella?
20090220113823AAcalHb	Food & Drink;Cooking & Recipes	Deluxe daddy Vaporizers?	Hello, I bought a deluxe daddy vaporizer yesterday, and i tried vaporizing however to no avail! I followed directions to a T and even called the store (no refund no exchanges-3yr warranty) they said that the i should turn up the heat. So I did that, and then i turned it up to max... however still i saw no vapor just air, i tasted the product a little bit however i dont feel its effects.... Any help? its a hands free model
20090220113328AAMg9ZE	Food & Drink;Cooking & Recipes	I'm making my brother's grooms cake, and I need help figuring out how much batter I need to fill the large?	14 inch by 2 inch round cake pan?  His favorite cake is a cinnamon streusal bundt cake that I make for him every year, and he has asked that if I could make a large round cake of the cinnamon streusal for his groom's cake.  Any suggestions would be greatly appreciated!
20090220114437AA8oYDd	Food & Drink;Cooking & Recipes	Altering box cake mix?	I heard that you can make a box cake mix more moist by adding a cup of pudding instead of milk....well, what if the recipe doesn't ask for milk?      For example - the cake mix I bought says 1-1/4 cups water, 1 stick (or 1/2 cup) butter [softened], and 3 eggs. What would I replace with the pudding?? (The box I bought was the Butter Recipe Yellow cake)      Also, if anyone knows, if you are going to put pudding in the center as a filling, is there anything you do differently to the pudding? or do you just put it in the center as pudding?
20090220113440AAke3ot	Food & Drink;Other - Food & Drink	How many calories is in a subway 6" turkey and cheese sand which? God bless.?	nothing more than just turkey and cheese... that's all.
20090220113442AAdNHyB	Food & Drink;Other - Food & Drink	How do you eat languistines?	I know how to eat crab and lobster but is it the same way ?
20090220113627AAqyR8H	Food & Drink;Ethnic Cuisine	What's ur fav food??	N/A
20090220114142AA4lCen	Food & Drink;Other - Food & Drink	Cold stone creamery audition/interview today!!?	So... I know that at the audition you have to "bust a move" If you auditioned at cold stone and got the job.. what was your "bust a move" move... I dont know what move I should bust..lol      I've already come up with some great jingles for my song choice.. I made them up when I found out I had the audition... So.. do you need to sing a normal song as well? If so What did you sing.. I need something fun.. something that shows I'm energetic and something that will make them laugh! My interview is at 3:30... and I still need a bit of help deciding what to do!! I appreciate your help!!!         Thanks a million!!!
20090220114218AAVzyeq	Food & Drink;Other - Food & Drink	What are some healthy alternatives for sweets?	I eat way too many sweets (chocolate, candy, cookies, etc) and it's hard to cut back. I've gotten better, but am running out of ideas for healthier alternatives.
20090220114814AAFguaG	Food & Drink;Non-Alcoholic Drinks	Why / does milk make you so full?	is this only me?    Whenever I drink milk I get really full, like fuller than eating a 1/2 pound burger full.       Or is there a reason you get so full?      I don't get this full drinking any other liquid.. i dont know
20090220114737AAP60W6	Food & Drink;Cooking & Recipes	Can i make french toast like?	Can i make french toast with beating egg, salt suger and half and half   because i dont have butter or milk   and noone will do any grocery shopping lol
20090220114959AAQjStb	Food & Drink;Cooking & Recipes	Kitchenaid Artisan Cord..?	So I bought a kitchenaid and the cord was 51 inches long. It sounded funny so the company replaced it and the replacement doesn't reach the outlet now where I had the old one.. the replacement cord measures 45inches. if you have an artisan mixer how long is your cord? thanks in advance!! :)
20090220115519AAP8ZDu	Food & Drink;Beer, Wine & Spirits	How to make jolly rancher alcohol drinks?	(e.g. flavor watermelon or cherry)  what ingredients will i need to make it.
20090220115603AAhq2Qe	Food & Drink;Other - Food & Drink	How long does a 16oz steak take to defrost in 70o?	N/A
20090220120036AAczxtL	Food & Drink;Cooking & Recipes	Does anyone know where I can find new/used cake pans and other baking supplies for cheap in Atlanta?	I just got out of culinary school from Le Cordon Bleu where I took the culinary program. Along the way however I discovered that my true passion was actually in baking. I have been baking a lot more but unfortunately I have very limited supplies, especially when it comes to cake pans. I would like increase my stock in pans and other useful baking materials and supplies. However, I am broke and unemployed so have very little cashflow. I would like to start doing more baking out of my home to possibly sell or provide my services. For that though I need more supplies. So if anyone knows of a couple of places where I can find new or used supplies here in Atlanta or any good websites where I can get stuff shipped please let me know. Thanks!
20090220120332AAsokC9	Food & Drink;Beer, Wine & Spirits	Where Can I Buy Bottle's Of Corona?	I live in the UK and I went to a party and they had bottle's of Corona and I loved the taste so I've been looking in my local super market and can't find anything. Anyone have any idea's or know where to buy it from.
20090220120613AAdIlwh	Food & Drink;Beer, Wine & Spirits	Are you familiar with the quote below? Source?	“You can’t drink all day if you don’t start in the morning.”
20090220134140AARbGxe	Food & Drink;Other - Food & Drink	What are the benefits of drinking pineapple juice?	N/A
20090220121206AACqMvw	Food & Drink;Other - Food & Drink	I just ate bread that may of had gone of ingredients in please help?	I ate half of french stick bread then realised that it may have gone off eggs in or gone off milk, will it make me ill?
20090220123625AAXCdcD	Food & Drink;Non-Alcoholic Drinks	Why does cranberry juice have a weird after taste?	N/A
20090203035251AAlgOlm	Food & Drink;Cooking & Recipes	What is sweet potato?	I'm starting a nutrition program and it said I have to eat sweet potato. What is it exactly? Is it just like a regular white potato? can you eat it raw? what parts do you eat? thanks for the answers in advance    p.s. how many calories do they have
20090220123938AAX9f8D	Food & Drink;Vegetarian & Vegan	If I'm a vegetarian, where can I get complex protein?	I am only a adolescent of thirteen. But I have chosen to become a vegetarian. My mom is supporting me, and my lunch ladies make me salads everyday. *Yay!!*   My sister is an adult. She is very smart and I trust her when she says my growing body still needs protein. How can I get protein from meat without eating meat?   Also, what does protein do for you?
20090220135422AAiBdZI	Food & Drink;Other - Food & Drink	Left out food. Its still good?	I left out ham and hot dog for 24 hours. The ham is hillshire farms. It is unopened, air sealed and boxed in a glad tupperware. The hot dogs are unopened, airsealed. Just now i put it back in fridge. They still safe to eat or did i just waste my moneys?
20090202194045AA6H0T5	Food & Drink;Cooking & Recipes	What dish can l cook including Bananas?	N/A
20090220121304AAojBsI	Food & Drink;Vegetarian & Vegan	I'm pregnant and need vegetarian sources of iron?	I have pretty bad morning sickness and although I'm not normally a vegetarian, I can't keep meat down- especially red meats. Fish is even worse, and I'm having a problem with eggs too. The problem is I know my body really needs iron, and I have a tendency to be anemic. I can't handle iron pills (I vomit within minutes) - but I can handle a high iron coated multivitamin, so that's what I've been taking.       What can I eat that will help with iron levels? I can eat most other foods, or force myself to if I have to :) thanks a lot!
20090203033002AAZDC7H	Food & Drink;Cooking & Recipes	Can I warm up pre-cooked meat(beef) that's been in the fridge for 8 days?	N/A
20090202194247AAyuLyh	Food & Drink;Cooking & Recipes	Marinated mushroom recipes. Do you know any?	In particular baked marinated mushrooms.  But any will do. Im loving mushrooms at the moment.
20090203034152AAZhiBV	Food & Drink;Cooking & Recipes	Question about making soup?	I'm going to make some soup.  It's going to have stew meat, potatoes, cabbage, carrots, celery, onion, and a little tomato sauce.  (That's what my husband likes).  I know how to make the soup, that's no big deal. I just have trouble with the stew meat always being very chewy or rubbery.  I'm using lean stew meat, purchased already cut up.  Is there something I need to do to make it tender?  I usually start off by browning it, then adding the onion and cooking it a few minutes more until the onion is tender.  Then I add in the carrots with water (since they take the longest to cook) then potatoes...then celery and cabbage last (since they get tender the quickest).  The meat ends up simmering for at least an hour overall.  I just don't know if that's too long or not long enough.  I'm also willing to marinate it or something like that first, if need be.  Any ideas?  Tell me what you do!  Thanks!
20090203032729AA4jVeX	Food & Drink;Cooking & Recipes	I need cheap and simple, healthy recipe's?	Recently I've been experimenting with Japanese food, but my fiance has told me to make normal food as it never filled him up. But the thing is that I was only making Japanese food to loose weight, which was successful for me but not him as he was eating lots of crap or fatty things imbetween because he was always left hungry. So I'd like recipe's or ideas on easy food to make that is healthy, ingredients are cheap and it will fill him up. Sorry for the long question, thanks.   Raych
20090202194349AAGAIHC	Food & Drink;Cooking & Recipes	Crock Pot Roast Beef & Vegetables?	I have a 3.2lb. Boneless Chuck Roast   Potatoes, Carrots, Onion & Green Pepper   Seasoning and all the good stuff....   My questions are, If I cook this on Low, how many hours will it take -and when should I add the veggies?   I always make the mistake of throwing it all in there together right at the beginning, and my veggies turn to mush by the time the roast is done!   Thanks
20090203024918AAbWDgZ	Food & Drink;Other - Food & Drink	How / where to dispose of rotten freezer food ? uk.?	my freezer broke down and i didn't realise for some days. the food has all defrosted and gone rotten. where or haw can i dispose of it ? i'm in the uk.
20090203025716AAihOs0	Food & Drink;Cooking & Recipes	Does anyone know how to cook pancakes?	or any healthy types of pancakes....thx
20090220124443AAWjwKn	Food & Drink;Cooking & Recipes	What would happen if you put the Pillsbury Doughboy in the Microwave?	N/A
20090220131449AA9qIxe	Food & Drink;Beer, Wine & Spirits	Why wine has to be "kosher" and what makes it so?	N/A
20090203041137AAwiJ40	Food & Drink;Cooking & Recipes	What is the best sandwich filling?	Just curious...what do u reckon would win an award for the best sandwich in the world?
20090203032652AAT4lue	Food & Drink;Cooking & Recipes	Would like to purchase a oven ?	I want to purchase a oven , where I can bake , grill & reheat the food items    Is there any such product available in India       I don't want to go for a microwave oven , as it apparently imposes health risk
20090220132312AAdcmQr	Food & Drink;Ethnic Cuisine	Last night I ordered a pasta and gorgonzola sauce meal. I would love to eat it tonight.?	I don't know how to do this without the sauce separating. Any suggestions? I can't separate the pasta from the sauce. It's all together.
20090203040022AApHkg8	Food & Drink;Non-Alcoholic Drinks	Is diet softdrink healthy? Like Pepsi Max and Coke Zero?	N/A
20090203034130AAOYIAc	Food & Drink;Cooking & Recipes	How to make the prefect hamburger?	help
20090220122458AAN0WA7	Food & Drink;Other - Food & Drink	Which out of these two are your fav?	Cream Egg or Mini Eggs
20090220133714AAiMYFx	Food & Drink;Vegetarian & Vegan	Good tasting Vegetarian turkey slices?	okay what is a GOOD TASTING brand of vegetarian turkeey slices ( that i can use for sandwhiches that doesnt taste nasty or like dog food?         ( i tried this 'smart life' stuff or somthing like that and it tasted like dog food)
20090220124508AAHwPm2	Food & Drink;Beer, Wine & Spirits	What are good mixed drinks?	I'm getting tired of the same drinks when I go out, but I dont really know very many.   I usually get a jagger and red bull   or Vodka and Cranberry...      Does anyone have suggestions?
20090220121549AAvsKG9	Food & Drink;Cooking & Recipes	What was the best thing before sliced bread?	If you try to fail, and succeed, which have you done?
20090220121307AAJ3d8p	Food & Drink;Other - Food & Drink	Why cant I control my food....?	Easy ways to do other stuff than eat?
20090220121316AAfbVGt	Food & Drink;Cooking & Recipes	How to prepare DELICIOUS American pancakes?	Does anyone know great recipes for preparing American pancakes?    And a serving tip, to make it even better? :)
20090220121253AAMkjra	Food & Drink;Cooking & Recipes	What are some good low calorie recipe websites?	N/A
20090220122006AAkwcKD	Food & Drink;Cooking & Recipes	Does anyone know how to make the sugar cookies they sell at Wal-Mart?	I'm talking about the white ones with the frosting. I just bought some for valentine's day and they were gone in no time. It would be awesome to make em at home.
20090220122036AAMqXBO	Food & Drink;Cooking & Recipes	Any1 have a cream cheese icing recipe for on top of freshly made Cinnamon rolls?	Thanks for recipes if you posted wish I could give you sum goodies!
20090220135900AAMLDvc	Food & Drink;Beer, Wine & Spirits	What is the best wine region on earth?	N/A
20090220121609AA2AgZG	Food & Drink;Other - Food & Drink	Do teenage guys like girls who have a BIG appetite but is still skinny?	N/A
20090220121221AAXP20T	Food & Drink;Vegetarian & Vegan	Kale, spinich, calcium and iron?	I recently went vegan, again, and I want to make sure I get enough calcium and iron without supplements.  I bought a juicer and was starting every morning off with a mixture of veggies including spinich and Kale. I have been including a lemon for flavor and it's supposed to help iron absorbtion.  I recently read, however, something about mixing kale and spinich and how they can counter act each other?  Is this true and any other suggestions for gettin calcium and iron?
20090220121723AAU8a1z	Food & Drink;Cooking & Recipes	Can I substitute regular lime for Key Lime?	I have a recipe for Key Lime cheesecake, but I can only get regular lime.  Will it make much difference?
20090220122342AAhpI1C	Food & Drink;Beer, Wine & Spirits	Whats a gud low alcohool drink?	N/A
