20090223161257AAJHL6X	Politics & Government;Politics	Do liberals think that banks in the USA should be nationalized?	Much like in China and Cuba?
20090223165632AAnhP5k	Politics & Government;Politics	Why do Republicans think America is so weak that it will be "destroyed" by one man within just 4-8 years?	I keep hearing how Obama is going to "destroy America"...why don't you have more faith in this country? Why are you broadcasting to our enemies that America is so weak and fragile that the actions of one man can destroy it?      It sounds treasonous to me.
20090223165921AABdhTt	Politics & Government;Politics	Will the Big 3 be profitable anymore?	Most of the big 3's problems are unions and government regulations.  If they can over come these two issues than they can compete and be profitable again.      Can some billionaire step in and buy them out and revive these companies?      I don't believe that Americans are idiots and can't build reliable vehicles.  I just think there are poor leadership in these companies that care more about bonuses than the long term of the companies.  Also, they know that these are the only American auto makers left and know that the companies will be bailed out.  If anyone has enough guts and cash steps in and takes over, it will be good bet to put money on?      I, personally, feel that if left alone to the same leadership, nothing will change.  Sure their stocks may rise up again to the tens but again the major issues will still be there: quality issue, unions and regulations.      What do you have to share about these American auto makers?
20090223165559AAETInE	Politics & Government;Politics	Who has been worse for California, former governor Gray Davis or current governor Arnold Schwarzenegger?	..OR have they both been equally bad for the state?
20090223170206AAxd0Du	Politics & Government;Politics	Why do Liberals have Pea-Sized brains?	why are they denying the fact that since Obama became the Democratic Nominee stocks have been going consistently down? I guess they are liberals so they probably dont know how to read graphs so i guess i can give them a reprieve.   your thoughts?
20090223170522AAcEzuN	Politics & Government;Politics	Ok, so Libs like to claim the Iraq War is why our taxes go up.  Alright, be honest, after 9/11 we would have?	gone to war with someone.  If you want to say Afghanistan, fine.  That's not the point.  The fact is, we would be at war today whether it was in Iraq or not.  Unless that terrorist appeaser Gore was President of course.  But I guess that is what you Libs wanted all along anyway.
20090223170007AAyvuZG	Politics & Government;Government	Where can I find what the maximum fine is for company's under the OHSA for not adhering to safety standards?	N/A
20090223165630AADrcGz	Politics & Government;Government	Why shouldn't we have stricter policies about immigration during times of crisis?	why SHOULDN'T we? any good reasons?
20090223165537AAUzgZ2	Politics & Government;Military	Is Chief O' Brien in "Star Trek"  a non-commissioned or  commissioned officer?	N/A
20090223165704AAJTQNX	Politics & Government;Politics	Chris Matthews says people are mad...?	their 401k is now a 101k as dow is plummeting toward 6000 and they'll blame the president"    "They are ripped"   Thoughts?
20090223165657AAZVhaI	Politics & Government;Other - Politics & Government	I need some info on bein a defense attorney?	pleez
20090223165724AAEd4pe	Politics & Government;Politics	Why do people think that socialism is a leftist policy?	socialism is an ecomic policy, there can be left socialists such as lenin and trotsky and there can be right socialists such as hitler and stalin      the difference between left and right is the enforcement of laws and the addition of conformity, the right favoring both of those and the left opposing
20090223165504AAK6VBe	Politics & Government;Law & Ethics	What if I don't show up to court in another state?	I recently moved to Illinois from California.  An old paranoid neighbor from California has been accusing me of vandalizing his car for a few months, which I obviously didn't do since I was out of town at the time it happened.  Well I just heard from another old neighbor that this man is going to take me to court over the matter.  I didn't do it and he has no case, but what happens if there is a court date and I don't show (because I live half way across the country now)?  Anything I should know? I just want this idiot out of my life once and for all.      Thanks.
20090223165838AAsKGEd	Politics & Government;Government	How effective is the National Rifle Association in achieving its agenda?	Back up what you say with examples of their effectiveness or lack thereof
20061202074435AAtP9Le	Politics & Government;Immigration	I will return to the USA after living in Japan for 6 years. How can I deal with reverse reverse culture shock?	N/A
20090223165800AAJnCea	Politics & Government;Military	Which do you think is better, the U.S Marine  Corps, or the U.S Air force?	N/A
20090223165930AA4yfbU	Politics & Government;Law & Ethics	Do I need legal aid to get custody in this case?	My daughter has two daughters from a relationship where she lived with, but never married the father and no longer resides with him.
20090223170210AAG1dL1	Politics & Government;Law Enforcement & Police	What would happen to you if your get caught viewing a street race?	i always wondered what would happen... legally wat would happen?? arrested??
20090223170220AA73Ntp	Politics & Government;Law & Ethics	When does Obama plan to decriminalize marijuana?	I know that he said he was going to, but when? Does it apply to all of the u.s. , or just some states?
20081008121816AAAbGEM	Politics & Government;Government	What exactly is Ear Mark and Pork Barrel spending?	Watching the debate last night, McCain was going on and on about ear mark and pork barrel spending. What are they exactly? Thank you. 
20081028135319AAiuZ1v	Politics & Government;Elections	Liberals are you stingy with your money? ?	The reason I ask is, you are supporting Obama, who believes you are not giving enough to help others. Does that mean you are selfish and do not give to charities etc.  Is this true? Obama would say that it is.
20080515075246AA9sBUo	Politics & Government;Politics	?La decisión de crear el estado de Israel, fue correcta o incorrecta?	?Porque?
20070519172701AAYYdz1	Politics & Government;Law Enforcement & Police	?Porqué confiar en los policías si son igual o mas morbosos?	No es posible que cuando una como mujer se siente agredida sexualmente no tenemos a quien acudir, ya que los mugrosos policías son peores que otros.   ?Por que es así la vida?   ?Quien nos defiende entonces?
20070227140241AAvYKZg	Politics & Government;Other - Politics & Government	Es malo guiar alos PRD AL CAMINO DE LA LUZ, ahora que algunos del PRD me quitaron preguntas, he pensado ayudar	y ser su lider espiritual, y su lider para que su partido mejore...-
20070226203322AA0E4oL	Politics & Government;Government	Cual es la mejor ciudad de mexico????	N/A
20070224233750AAfWQuZ	Politics & Government;Civic Participation	Cual sera el origen del rechazo de la gran mayoría de los mexicanos hacia los chilangos ?	Porque una buena parte de la gente de provincia o de otros estados, rechazan a los habitantes del D.F., ( Ciudad de México ), cuál es el problema ?
20080207203810AACYmmc	Politics & Government;Politics	?Sos jefe o trabajador?	?Como te sentís por eso?
20070717070305AAY2SvV	Politics & Government;Civic Participation	?Marcelo ignora al peje?	Marcelo Ebrad recibió con diplomacia a Zapatero, le dio las llaves de la ciudad y bla bla bla. Pero el peje lo había declarado "persona non grata" (A Zapatero)...O sea que ya ni los reclacitrantes perredisatas que sí gozan del poder le hacen caso a loquis orator. Esto sí que me da risa
20070806154011AAflNwr	Politics & Government;Other - Politics & Government	Lo Pasado Pensado?	[[...Porque para no repetir lo pasado no alcanza con conocerlo, también hay que pensarlo... ]]      Estoy viviendo una crisis de historia argentina se?ores! con hazco de unas cuantas cosas que he visto en el noticiero hoy no sé en que pensar ya y he hecho ya muchas preguntas aquí buscando una opinión y a muchos les he encontrado la razón.. pero.. no me basta...      Lo Pasado Pisado! Noo! Lo Pasado Pensado!   ?De esto que me podés decir? ?Te ha pasado a vos lo mismo que a mi? ?De preguntarte un millón de cosas sobre tu país, el porqué el como y el donde y no sabes que hacer de la impotencia? ?Cual es la solución?      Felíz Martes Para Todos!!
20070219145953AAbe6kg	Politics & Government;Government	Que opinas del PAGO DE TENENCIA en Mexico, es justo, sirve para algo, cuanto pagas tu, has pensado ampararte?	en 1968 surge este impuesto a fin de recudar fondos para las olimpiadas,el cual se dijo seria por esa unica ocasion mas sin embargo llego para quedarse, ahora mucha gente se ampara pero nada se resuelve, tu que opinas al respecto? y si no eres de Mexico me podrias comentar si en tu pais existe algun impuesto similiar? como funciona, es anual? que beneficios trae a tu pais?
20070519174253AAoY0Uf	Politics & Government;Law Enforcement & Police	?Sirve para algo la policía realmente?	En los países donde hay + policías hay + crímenes. Por ejemplo en USA, donde están zarpados en violentos, ése un ejemplo de país desarrollado. Haití es un ejemplo de país subdesarrollado que está lleno de policías y militares y se matan a machetazos. Usualmente los veo defendiendo la propiedad de los ricos y reprimiendo a los pobres, ayudando al estado a mantener al pueblo ignorante y pobre, lo que es el origen del crímen ?o no?.
20081024151542AATt4yg	Politics & Government;Elections	What candidate do you support for the American presidency?	N/A
20070210190548AAiLb97	Politics & Government;Immigration	Por que crees tu que  crees que en muchos noticieros en ingles atacan mucho ala inmigración legal?	es que nos odian o es que estan atemorisados a que algun dia los hispanos seamos la mayoria tu que piensas. yo creo que si tiene miedo  y como se sienten  superiores tienen miedo por eso quieren haser leyes que vallan contra todo tipo de inmigrasion
20070719180536AAS4jog	Politics & Government;Law & Ethics	Hasta cuando !!!?? Ya basta !!!!?	Hasta cuando vamos a seguir soportando la barbarie en la que vivimos!!?   Hasta cuando vamos a tolerar a los piquereros, a quebracho, a los delincuentes corta puente de Gualeguaychú, Colón y Concordia?   Hasta cuando vamos a soportar que estén en libertad asesinos como los Bonazo    Hasta cuando vamos a creer las metiras de las Bonafini !!??   Hasta cuando vamos a pagarles el sueldo a Gobernantes corruptos!!?   Hasta cuando vamos a pagar impuestos por vivos que se cuelgan ilegalemente !!??
20080608210040AAM1I2s	Politics & Government;Law & Ethics	Que opinas de la despenalizaciòn del consumo de drogas?	Que te parece que habrìa que castigar?   La venta de drogas ?   El consumo?   Ambos?   Ninguno?
20081022090414AA5zRR8	Politics & Government;Politics	How many people think there will be another American civil war? Only this time liberals and conservatives?	   Just an observational question really.
20070525175714AAIvPpC	Politics & Government;Military	Who would when in a war between russia & china Vs. The US?	N/A
20090223164938AAUw9py	Politics & Government;Immigration	I sponsored someone as a fiance visa and we broke up 2 months afte she got here.  is there anything i need to?	N/A
20061123075139AAUkgBv	Politics & Government;Military	Qu'est-ce qu'une armée républicaine ?	Est-ce faire une guerre stupide parce que l'Exécutif veut se venger d'un  Président (qui ne fait pas son affaire),ou refuser de faire une guerre parce que ?a n'a aucun intétérêt pour le pays?
20070224063547AAJOOqB	Politics & Government;Law & Ethics	Cual crees tu que es el país que menos respeta los derechos humanos?	N/A
20070314122753AAL1UZy	Politics & Government;Law & Ethics	Es obligatorio descansar en semana santa?	N/A
20070317073055AAIgr6C	Politics & Government;Government	?Cuán importante o intrascendente es el Protocolo de Kioto?	Algunos estiman que el tratado es demasiado débil, que sin el apoyo de EE.UU. no puede prosperar, y que éste sólo toca el problema de manera superficial pues para controlar el problema se necesitan reducciones de hasta el 60%.    Otros creen que la no aplicación significaría un desastre y que, a pesar de sus deficiencias, el acuerdo aporta un marco adecuado para futuras negociaciones, que podrían completarse en una década.       A pesar de que el acuerdo no había entrado en vigor a escala internacional, ya era ley en algunos países.       Sin el protocolo, los políticos y empresas que busquen crear una situación ambiental más sana tendrían que enfrentar un panorama más difícil.
20070421190150AALf0zR	Politics & Government;Government	Socialismo o muerte!!!????	ok, segun castro, y futuro eslogan de chavez, sin olvidar a muchos presidentes latinoamericanos, socialismo o muerte...pero???...la democracia, la libertad, la comprension, la unión, la esperanza...donde quedan???
20070515083644AAc1iSH	Politics & Government;Civic Participation	Dimension territorial de la soberania?	N/A
20070611232343AAlF5YB	Politics & Government;Law & Ethics	Someone stole my social security number, what do I do?	N/A
20090222142226AAhP6lg	Politics & Government;Politics	Do Republicans understand it has been the GOAL of the party to run massive deficits - AKA Starve the Beast?	This has been standard Republican policy since Reagan.       http://en.wikipedia.org/wiki/Starve_the_...       The goal was to run MASSIVE budget deficits, and create a huge debt for our country. In this way, the money could not be 'wasted' on programs such as health care or education. This was achieved through major spending increases to defense (or anything but on the people) and major cuts in revenue (taxes).      What's ironic about this is that most people who claim to be Republicans act like their party is for LOW SPENDING and BALANCED BUDGETS. This could not be further from the truth.....and any look at the facts makes this painfully obvious. So, they don't even know the goals their own party was working for.      Need I even point out what party has ran RECORD DEFICITS EVERY YEAR REPUBLICANS HELD POWER going back to Reagan?      Reagan - set record deficits      Bush - set record deficits      Clinton - set record SURPLUSES      Bush - set record deficits (adding 6 TRILLION to our national debt)      Now, our country is most definitely starved....economically crippled.      Republican policy goals = achieved
20090222145924AAaBwN1	Politics & Government;Politics	Ron Paul supporters, did you know Bernanke is coming b4 the House Financial C'ee and Volker b4 the jt ec c'ee?	next week so Ron Paul gets to ask them questions?      Did you see this?  The first couple of minutes are just review, and he seems to have a cold, but his discussion of how the markets are reacting to government action are worth listening to.       http://www.youtube.com/watch?v=uDGiwUpwM...       What do you think?
20090222142349AAA3G89	Politics & Government;Immigration	When you receive your social that says work only, does that mean its your SS # like any1 elses?	You know how US citizens have their own social number...well I got one when I applied for Green Card, but it says work use only. Is that the same as other people's or is it different? And if its different, when do I get the real one? after I get green card?
20090222142751AAZJ0RP	Politics & Government;Elections	What is the GOP going to do?	I am asking that in the event that President Obama's plans to stimulate the economy actually work, what is the GOP going to do to head off the PR disaster that is bound to happen.      Please - I am not looking for the geniuses that are going to say that it won't so it doesn't matter or that it isn't going to happen.  Tell me what they will do to keep their jobs.  Because I guarantee you that some will lose their jobs and be voted out for playing politics instead of trying to work out some sort of plan.      And regardless if they tried or not, the White House has been successful (with the help of the GOP themselves) in painting all the Republicans as merely playing politics and not working together with anyone and compromising.      So tell me - what would your suggestions be to the Republicans in Congress to fix the PR nightmare in the event that things work, and they weren't on board??
20090222151457AApjdK1	Politics & Government;Government	Federal Government Hiring . . . . . ......?	is the federal gov. hiring ? or are they    doing cutbacks too ?
20090222151702AAhtYFw	Politics & Government;Law & Ethics	Smoking in a car views, right/privacy?	Smoking i  a car with individuals 16 and under is illegal. Is this an infringement on human rights and right to privacy?      I have to right an Op-ed and an editorial cartoon, the op ed has to be appropriate for an adult news paper,      any ideas or views on the subject? thanx:)        editorial cartoon ideas would be nice too
20090222142536AASsuFG	Politics & Government;Elections	What are you concerned with about this economy?	Me? I am concerned whenever prices move up fast or down fast.      we must have price stability or there will be a lot of pain.
20090222143921AAjQJKh	Politics & Government;Government	Are the poor in America considered rich by poor in third world countries?	N/A
20090222143659AAWjF0d	Politics & Government;Politics	Poll Has Obama been transparent?	N/A
20090222142047AARxKqj	Politics & Government;Government	What did the court rule in schenck v. united states?	N/A
20090222141758AA31bcI	Politics & Government;Government	Will Obama someday ( In Honor ) sit next to Lincoln in the Lincoln memorial?	N/A
20090222142851AABv3Jv	Politics & Government;Politics	Why, after trillions spent on the War on Terrorism and bank bailouts, is Obama's stimulus package bad?	What planet are Republicans living on? And do they not see the hypocrisy and double-standards that their elites are pulling on them?
20090222134330AAwuzVw	Politics & Government;Immigration	To the english/residents in the uk?	I am American but thinking of applying to a university in London. Do you think I could fit in? Or do Europeans really dislike Americans and I would be an outcast? Also, what good schools are there in London? I want to be in the city...but have a campus. thanks!
20090222142315AAZoRCq	Politics & Government;Politics	Why do Pro Atheletes Make more than the POTUS?	Why is it that A president only makes $400,000 a year and Kobe Bryant get's $17,718,750? (in 2006)  I know that they pres gets money to spend on entertainment, expenses and travel.But it still doesn't even come close! Why is it that Kobe Bryant (and all other athletes) get paid millions to put a ball through a hoop and the POTUS who runs the country only gets $400,000?
20090222150641AAbXAw9	Politics & Government;Elections	How come old white people?	what wrong with sharing the wealth
20090222151919AAdpIG8	Politics & Government;Politics	Why is it that the same crowd who wants to take guns away from law-abiding Americans wants to arm Palestine?	N/A
20090222145035AAvKyUv	Politics & Government;Elections	Venders were warned in N.Y.C., don't sell the (POST) Newspaper or else. (what) ?	A/C of that cartoon.    http://www.nypost.com/delonas/delonas.ht...    NAACP told the POST ,,,,, "SHUT YOUR DOORS"   "Your apology is not good enough".   "You're promoting an assassination".   No justice no peace.   .......................   You will read all about it, in mondays newspapers, internet, etc.
20090222141824AAzhxrJ	Politics & Government;Immigration	Yet another hypothetical question about citizenship?	Okay for example:   I am a citizen of another country and I move to America for a short period of time. I have a child in America and then I move back.   What country is this child a citizen of?
20090222135009AA6oU9b	Politics & Government;Immigration	Question about becoming a citizen of the US?	I am a natural born citizen, but I was thinking about this a while ago.   Let's say my family moved to America when I was a young child. Like, 5 years old or so.   When could I become a citizen (hypothetically)? Because don't you have to take a test?
20090222142929AAFx7K1	Politics & Government;Law Enforcement & Police	What can I do in this situation?	I also posted this in law & ethics.
20090222150139AANqhi5	Politics & Government;Law & Ethics	Is it against the law to say...?	Is it against the law to say    "Im going to stab you"      and       "I wish he would dye and burn, i hate him?"      It's not me saying this it's part of my book.
20090222130207AAyeb0g	Politics & Government;Immigration	What state? in the progressive era?	What state did the japanese face severe prejudice? and what city who board of education try to force japanese students to attend a special school?
20090222152239AAER8qj	Politics & Government;Military	MIA  Question:  I defy you to provide answer.?	The year was 1960.   Richard Red, USN Ens., was last heard from by those who knew and loved him..   A well-respected photographer, he served in a highly sensitive government position.   Our government denies he ever served, as they have "no record".   Graduate of Walla Walla (WA) High School in 1953, where did he go?   I defy all readers to find his whereabouts.
20090222143020AAHzZ4l	Politics & Government;Politics	Does high taxation really stop jobs from being created?	Does lowering taxes really help create more jobs.      I want opinions of course, but can you back you opinions up with facts please. Thanks
20090222144756AAKVOLG	Politics & Government;Politics	Will the liberals show outrage at police for infringing on this man's free speech?	He put a sign on his pickup that said, "Abort Obama, Not The Unborn" When Oklahoma City Police took his sign away.  Should the ACLU and the similar groups get involved?      Here's the story.       http://www.thelibertypapers.org/2009/02/... 
20090222145125AAuuJnh	Politics & Government;Military	Our Brave Soldiers!!!!!!!!?	I have been into the tv program Ross Kemp in Afghanistan since it started, every time the soldiers have a break they clean their weapons, what i want to know is why do they do this? would it affect their performace if left unclean, its baffled me since.
20090222145048AAxMNot	Politics & Government;Politics	Is it just me, or does anybody else think Glen Beck sounds like Dale from King of the Hill?	I've seen video clips of him, and he sounds to me like he should be wearing a hat made of aluminum foil.
20090222143029AA9XGCe	Politics & Government;Politics	Is It Safe To Say That the Black Community Is In Shambles?	Their unemployment rate (12.6% for January 09), their teen pregnancy rate (just under 50%), their murder rate (blacks commit 52% of all homicides), and the statistics go on and on. Is it safe to say that there is an obvious problem here? How come when black leaders speak out against the black community, they are accused of being "white", traitors, etc.?   Examples: Bill Cosby, Clarence Thomas
20090222151928AADva0h	Politics & Government;Politics	Is it true that Barack Obama had homosexual tendencies in his youth?	N/A
20090222145534AAcbXEA	Politics & Government;Politics	Pro Life or Pro Choice?	I'm pro choice because under certain circumstances, its necessary.
20090222144857AAyt9a2	Politics & Government;Military	I'm thinking about National Guard Military Police?	Are my chances still really high of getting deploy? I wanna serve NG but only job im interested is MP. i just wanna do 3 years so i can get my bonus. i know being in army chances r ul get deploy. but is my chances still very high. if i hav to get deploy of corse im gonna do it. I just wanna the chances i live in Maryland. o yea i need my drivers license  to be MP and i dont have that yet. My recruiter trying to rush me into joinin NG because he doesnt want to keep waiting and its only a couple months but i deff wanna wait to see. What do you guys think about being MP in national guard
20090222152141AAPZXPA	Politics & Government;Government	Current U.S. Policy for Social Security (your opinion)?	Hello,      Do you believe that the current U.S. policy for Social Security has clear goals and objectives? Please exaplain, please.      Thank you for all opinions and feelings =)
20090222142450AAijsKV	Politics & Government;Military	What ships make up a Royal Navy Battle group in say 2015 ?	What boats ? types ?
20090222151059AAHUBh5	Politics & Government;Politics	How do you feel about Obama ordering the Treasury run by Geithner to step up Tax enforcement to close deficit?	Will they go after fellow Politicains as well as Joe six pack?
20090222142347AA4nkCr	Politics & Government;Politics	Are they Crazy?Talk of another stimulus,and more bailouts likely?GM,BOA,Citi,still failing?Is Obama lost?	Is the goal to  ruin the dollar forever?
20090222145852AAJy9rc	Politics & Government;Politics	Question for BNP supporters , would it not further your cause if you dropped the nazism?	I believe that the BNP would have more support and would be taken more seriously if its own supporters would drop the antisemitic nonsense and the nazism. I am not a racist but I am concerned about immigration and our jobs going to foreigners, I am worried that British white people, their views and way of life is being marginalised and I don't just mean the white working/non working class. Right now there is no party that represents my views.
20090222145406AAtH2M7	Politics & Government;Law & Ethics	Is there a way you can get a restraining order against someone without having to go to court?	I'm having some major trouble with a few people, and I want to put it to an end (even though I'm a student in highschool) and I was wondering if I could file a restraining order against them. But would it be able to go through without having to confront those people in court?
20090222142607AAH9bEk	Politics & Government;Immigration	Filling out a work visa application and it is asking for "Your Name in Ethnic Script"?	What does that mean? Please help.
20090222152106AAplkgb	Politics & Government;Law & Ethics	Help help me please can i sell an mp4 looks like an ipod but there is no logo on it?	it is like the fake ipods but there is no logo on it can i sell it on ebay    i am going to tell the buyers that what it can do and it is not a ipod    thanks
20090222142430AAfQ5TE	Politics & Government;Military	What exactly does a Marine Corps LAV crewman (0313) do?	What kind of vehicles and weapons do they use?
20090222144153AANIJCO	Politics & Government;Politics	Do you think Ann Coulter actually believes the crap she spews out of her mouth?	I don't think she actually believes most of the stuff she says in her books and on air. How about you?
20090222150906AAwqpGg	Politics & Government;Other - Politics & Government	To everyone who supports Israel-?	how would you feel if an infant you know looked like this?  http://bigbrassblog.com/media/6/20090117...    note. EXTREMELY GRAPHIC.
20090222143756AAURdJG	Politics & Government;Military	I'm a freshman wanting to be an Air Force pilot.  How do I get the edge from everyone else?	I know that the percentage of pilots in the air force is less the 5%.  How do I be a part of that 5%?        Thanks for the help.
20090222145146AAvNZHx	Politics & Government;Military	Getting a cat4 waiver for the army?	if you get a cat waiver for the army because you dirint score high enough to enlist is there a possibility you can still get a job as military police.
20090222151027AAiRtpn	Politics & Government;Politics	Next president - question?	Would you rather vote for gay president or an atheist president?
20090222143239AAY6O3F	Politics & Government;Law & Ethics	What are your thought on Obama's stimulus plan?	Just wondering!!
20090222144023AACwI1y	Politics & Government;Military	How hard is it to excel in rank while being a combat engineer?	N/A
20090222144723AApWS7X	Politics & Government;Politics	Opinions on Obama.....?	What is your take on Obama 4 weeks into his presidency?
20090222144111AAFiWws	Politics & Government;Military	What job should i get if i join the marines?	If I do decide to join everybody (my parents and other people) keep telling me pick a job that you can do when you get out, but i kinda want to get something that nobody in the civilian world can do. I mean i go through all off the training and everything then I want to do something cool like scout sniper or infantry. Also i want to go to iraq ( I really feel like I need to go)  .... Any suggestions or some good advice on jobs?
20090222142538AA1vMKy	Politics & Government;Law Enforcement & Police	Law for teenage sex in Iowa... law people helpp!!?	well I'm an 18 year old guy, and I met a girl who turns 18 in april.. who constantly sends me dirty texts... I was a little hesitant at first now she wants to hang out tonight... n u know how it goes... if heard stories. n I just turned 18 in october. n do not wanna get messed over by some girl I just met
20090222151311AA7o0UO	Politics & Government;Politics	Is labelling Obama as Hitler a decoy for which people really wrecked havoc in the last century, the whites &?	It seems like things haven't changed? Blame the Jews, and immigrants for the world's problems?
20090222145638AAmufIG	Politics & Government;Military	USAF choosing a base?	i want to join the air force, most likely on the security forces. my question is is it possible to choose which base to go to? i only want to go to nellis in las vegas, thats it.      ok my buddy went into the army and talked to his recruiter. he basically demanded some stuff and they said no. well they called later and gave in. i think he said it was in writing when he signed so he got exactly what he wanted.      so thats why i ask because he did that. is it possible to negotiate with them that the only way you enlist is that its in writing when you sign? also what other things can you negotiate with them? he said he even negotiated his enlistment bonus, which i found hard to believe.
