20090307160728AA7I1C8	Education & Reference;Words & Wordplay	What is your faovrit name?	mine is rachel
20090307123851AAv2TE3	Education & Reference;Standards & Testing	AP Exams....studying....!?	im a freshman taking ap art history and the test is in may. i was wondering how many months/weeks ahead did you start studying/preparing for your exams? wat did you do to help you study?    oh and what did you make on your exams?      btw, if any of you have taken the ap art history exam..how was it? and wat did you make on it? i dont know what to do and how to remember everything.      thanks for your help! =]
20090307121137AA7bBCd	Education & Reference;Standards & Testing	Disqualified from every exam!?!?!?	If i am disqualified from every single exam (gcse) what will happen? I wont be able to get any qualifications will i?? how will i get a job??
20090307115018AAJEeO2	Education & Reference;Homework Help	English grammar. Right sentence?	Which sentence has the best grammatical construction?      I prefer to be killed than listening arab songs   I prefer to be killed than listen arab songs   or   I prefer to be killed than to listen arab songs      Thanks
20090307115959AAuOHSE	Education & Reference;Homework Help	What is juliets personality like?	In romeo and juliet, what certain personality triats does juliet have? I need loaddsss ):
20090307123150AAfP0R6	Education & Reference;Homework Help	Relationship between electric current and its heating effects in water?	I'm doing this experiment in school for my junior cert so it's important I get it perfect.      This is the investigation I got:      "Investigate the relationship between the size of the electric current passing through a length of wire and its heating effects"      equipment I used: 70ml water, variable resister, ammeter, heating coil/heating element(it looked just like a spring), wires, thermometer      I did the experiment only 3 times because I was short on time and measured the temperature of the water before I turned on the power and after the 3 minutes      The difference of temperature is what I graphed.      I left the experiment run for 3 minutes at a time and changed the resistance each time but at the end when I did the graph my teacher said said something must have gone wrong because the graph should have been a certain shape and it wasn't it and hence my question.      Could anyone tell me anything about this experiment?   Also here are some other less Technical parts of the experiment that I also need some help with.      1 - Identify the problem in your own words   2 - safety precautions   3 - ways to improve this experiment   4 - list of tasks to be carried out during the investigation ( don't really understand this)
20090307140325AAkxdey	Education & Reference;Words & Wordplay	Does this sound MODEST or general sounding???? (OPEN LINK!) Thanks "?"?	I want to post it online - Titled - My Semi Professional Life -   If it weren’t for the cut off mark of one page, and my pocket full of white lies, my work resume would be littered with typical full time entry level occupations. At various times I've managed over 50 personnel along with billing and scheduling as a secretary for a local security company; Cooked & Cleaned House for the elderly, been a waitress, a Subway sandwich artist, a Rite Aid cashier attendant, A Tulare County pre-foreclosure agent, Assisted a private investor in putting together a Huge Workshop Seminar for Real Estate, Worked as an independent negotiator for a Real Estate Brokerage getting commissions off of houses that I brought to him, working retail at the mall as a sales clerk (my sales topped the managers), then finally jumped on the bandwagon with Daniel when real estate was through the roof. I never in my life, believed I would work in this field of employment. I was never taught a thing about real estate by anyone, until I proved that I could help benefit someone financially as an intern or partner. After all, I was just another young girl. One who wasn’t outspoken or sought to be in the spotlight. I read up on plenty of books related to the subject, and felt confident enough to make my first negotiated contract. I remember how nervous I was, made the deal, and the rest is history. I realized around the year of 2006 how Lazy local Realtors were. I realized that there were a lot of potential deals to be made because if the Realtors weren’t making deals with out of state people (trying to get listings) who was? Apparently no one. My first independent job was working with Daniel, buying crappy pieces of land, from the out of state owners, and reselling to local California folks, at higher prices. Back then people were lending their money everywhere so that’s where we got our start up money. It was a good way to get into the business because we were putting extremely low amounts of money up, and getting a fair share back. Of course those days are over, however Daniel and I have still continued to find more and more areas of interest that other people just don’t seem to follow up on. As a team, we work out very well, because we both excel in different areas that the other person may not be good at. Its nice to have started from scratch together. That way, in time, we can go back and look at all the business & financial struggles we’ve come across together as a young couple.
20090307135401AAtvKDv	Education & Reference;Words & Wordplay	Are you nuts????????	Someone has any idea where this phrase come from?    Btw is it still popular to say "Are you nuts"?   Why NUTS? LOL
20090307132444AA3GiO6	Education & Reference;Homework Help	Need help finding a research paper topic?	For 20th century pop culture.      I must find something related to 20th century pop culture(literature, poetry, art,film, music) and write a paper answering this question         To what extent did this cultural expression both relfect and/or shape our history?         any ideas?
20090307125019AAerYuN	Education & Reference;Words & Wordplay	What is the egsact meaning of "hot rod" ?x?	N/A
20090307145317AAwd5oU	Education & Reference;Words & Wordplay	Does this make since?	for my book im writing i want to put in it(u know where u give ur thanks and stuff?) i want to put inm its kind of a love story,  but iwant to put in "the best way to miss someone, is to be sitting right next to them, knowing youll never have them" what do u think of it?
20090307125326AAr6XB8	Education & Reference;Homework Help	Counting question? if i count to ten, at the rate of one number every 5 seconds, how long does it take me to?	ten.,,,also, if i count to ten at the rate of one number, (say 1,),(or 1_10) every 60 seconds how long does it take to count to ten?
20090307125901AAvvKWP	Education & Reference;Standards & Testing	I'm in 8th grade and taking the SAT! HELP!!!?	I'm applying for a special high school and I'm required to take the SAT. I just know I'm going to bomb it. Can anyone PLEASE give me some tips on how to prepare, especially for the math portion?
20090307132252AAUPQXD	Education & Reference;Homework Help	Math help: How to find exponential growth and decay?	Example:   y=5^X
20090307133208AASSLFw	Education & Reference;Words & Wordplay	What is the moral of the story, By the Great Horn Spoon?	Please provide 3 solid examples proving that it is the moral.
20090307134649AAX5Onz	Education & Reference;Primary & Secondary Education	Can i still go to a school even if im not in the district?	well im gonna be going to high school preeety soon and theres this school around 30 mins away frm me and i really really like it but im not in the district to go to that school......i live in calforina......do i think i am gonna be able to go
20090227084044AA8LOo2	Education & Reference;Words & Wordplay	HOW CAN I DO THIS CORRECTLY?	I'm trying to write a novel but here's the deal: The story is narrated in the 3rd person and the narrator is also a character in the story. However, the narrator is telling the story of another character, who is the main character. While the narrator shares his own thoughts and feelings with the audience, I want it to be clear who the main character of the story is. How can I clarify that?
20090225051216AAcbjPv	Education & Reference;Homework Help	If you received a 74% on your first paper, would you ask the teacher why?	It's a college English class.
20090227084633AAr5kWB	Education & Reference;Homework Help	What exactly was the Dawes Act.?	N/A
20090227084131AANKlP8	Education & Reference;Words & Wordplay	How do I do these problems?	1. My sister became a nurse.       A. Predicate nominative   B. Predicate adjective   2. Too many children get hurt.       A. Predicate nominative   B. Predicate adjective   3. The choir was district champs.       A. Predicate nominative   B. Predicate adjective   4. She was a busy baby.      A. Predicate nominative   B. Predicate adjective      5. You look ill.   A. Predicate nominative   B. Predicate adjective      6. The stolen car is a Honda.
20090225071834AAmG0dd	Education & Reference;Other - Education	Please help, how do I shot web?	I don't know how to shot it.
20090225080305AAThcL0	Education & Reference;Words & Wordplay	Why do brits say happy christmas instead of merry christmas.?	N/A
20090227084152AAcUzeM	Education & Reference;Primary & Secondary Education	English gramma question ?	as a  subject in sentence , should it be "you and me" or "you and I"?       Thanks!
20090225071502AAzT86p	Education & Reference;Words & Wordplay	Another way to say "let me know"?	Can some one please give me another way(s) to say "let me know" as in "If there is anything I can do please let me know". I feel that I am getting very repetitive.      If you come up with anything please let me know!   Thanks!
20090225040704AAYmTd4	Education & Reference;Homework Help	Help with a school project,?	I have a thing at school, and I need to answer the question, " what is another plant or animal that symbolizes Canada?" other then what already does.
20090225080153AAydW1O	Education & Reference;Homework Help	If you could make up an invention, what would it be?	You may describe what it does.
20090227084115AAqFuNH	Education & Reference;Other - Education	What things could a first class passenger do on the Titanic?	I am doing a project on the Titanic, and i am researching a first class passenger named  Mrs.Ida Sophia Hippach.  I wold like to know what some things a typical [or her] first class passenger would do??
20090225071538AAzB6TU	Education & Reference;Homework Help	The seventh of March speech...?	who knows who made the famous "Seventh of March Speech"??
20090225062117AAomO6m	Education & Reference;Homework Help	Make a short story from this title" Everybody wants to rule the world"?	any help is appreciated
20090227084225AA9lQcI	Education & Reference;Homework Help	How do you use this mark and what does it mean?	 http://www.lakewoodconferences.com/direc...       ^^   On that caluculator, there a blue button that says GT and under it, there is a button, over the division sign and on the right of the percent sign. There is this problem I don't get I am doing right now.....    PLEASE tell me what that sign means !! SO i can do this problem correctly....
20090225040911AAVhN5y	Education & Reference;Homework Help	Stuck on chem question?	3.0 dm3 of sulfur dioxide is reacted with 2.0 dm3 of oxygen according to the equation below.   2SO2(g) +O2(g) → 2SO3(g)   What volume of sulfur trioxide (in dm3)is formed? (Assume the reaction goes to completion and all gases are measured at the same temperature and pressure.)         5.0        4.0        3.0        2.0         Help plz thx
20090224233449AAF0tbH	Education & Reference;Homework Help	Please will you explain thoroughly how to do this problem?  Maths GCSE mock today?	81^ 3/4      32^ 6/5         Thanks..Xx
20090225075905AA51t5W	Education & Reference;Financial Aid	Student loan: Do I only pay back what I take out?	I'm applying for my student loan for 2008/09, I know it's late but I know they still accept them. When asking how much I want to borrow for my Maintainance Loan, it lets you tick 'maximum' or enter an amount. If I tick maximum, will this still mean that I only have to pay back what I take out? Or by ticking maximum this means that the whole ￡2000 or whatever it is is automatically added to my debt?      Also if I cash a cheque into my account, will my loan realise that this is my own money I'm withdrawing, and not money I am borrowing?
20090225055855AABP4zv	Education & Reference;Words & Wordplay	Is your boss a moron?	Nobody here likes my boss and he's close to being fired.  I try and keep that in my head so I won't go nuts.  However, some days it's just so hard to be here.  I don't have a lot of work to do b/c he doesn't go out and get us work.  I'd leave but my hubby and I are trying to get pregnant and I figured that I've been here six months, i'll get pregnant and et my maternity leave and then go.  I just get so freaking bored and unhappy here.  Does anyone else have a boss that's a moron?
20090225062040AAB4oiC	Education & Reference;Primary & Secondary Education	Where can i get 2007 and 2008 literature icse board question paper?	i need it quickly..my boards are starting frm 2nd march...plz sum1 help me out.....   thanku
20090227084052AAueTyf	Education & Reference;Words & Wordplay	Are wish, dish, shell, mother, father, brother etc diphthongs ?	are these wish, dish, shell, mother, father, brother etc diphthongs    if yes then also explain them how they are diphthongs
20090225073744AAiA8tD	Education & Reference;Other - Education	How long is school in korea?	My friend lives in south Korea and she goes to high school and i am wondering how long it is..like what time is starts and ends? she said that it ends at 9 o'clock i am guessing she means night what time does she start?
20090227083735AAShHIB	Education & Reference;Trivia	Who is wearing a red belt for video of the day radio trivia for 2/27/09 asap?	N/A
20090225080256AAHyw3o	Education & Reference;Words & Wordplay	What does the word "rational" mean?	I have looked up the definition, and I think I sort of understand the meaning. But I feel like I need a little more explanation, from a human source.
20090227084109AACOeXT	Education & Reference;Special Education	Does anyone have a learning disability?	and having a hard time finding a job?
20090227083917AAzEB8G	Education & Reference;Homework Help	Research paper ... Ethics of Cloning?	I have to make a research paper 4 pages long on the ethics of cloning...Im so hopeless i dont know the format of anything of how mi paper should look like help greatly appreciated....whether its ur opinion of cloning of if u know how the format of a research paper should look like.       Im not asking any one to write it for me though... sooo please dont.      Thanks in advance for the help =]]
20090225074343AALFg62	Education & Reference;Homework Help	How can I include six books in an intro of an essay?	the focus of my essay is on talking about six books (briefly), how can I include all of these in the intro of my essay without going too far in detail?
20090225064904AABPKjU	Education & Reference;Words & Wordplay	Is there any one out there who can help me?	Is there any one out there who can help me? I stopped smoking 16 years ago,when my daughter died i started again and I am disgusted with myself. I hate the taste in my mouth and the way I feel after a cigerette. I don't want to go on the patch  or the gum, since so many of my friends tried it and they are still smoking. (maybe I should give up my friends, lol) So far I'm cold turkeying it and getting white knuckles. I am determined though,  HELP!!!!!!!!
20090225035749AAsYzdL	Education & Reference;Homework Help	What did you do over half term?? Oh please please please answer!! I'd be immensly grateful!!!?	Please answer...it's for my coursework!!   Just tell me what you did over half term....   It can be as long or as short as you please!      Oh thanks so much!!
20090225055849AAtoUfq	Education & Reference;Words & Wordplay	Can anyone give me 3 /4 concept questions for each of the following-to shiver,cross roads, to scream,jealous.?	Please if you can help it would mean so much.
20090225072102AAJwhdN	Education & Reference;Homework Help	I need some help for my child labour essay..it is urgent!!!?	i need some ponts on child labour..prevention.....about it!...etc/....plz it iz urgent...need it within 3 hours!!!
20090225074953AAEEtpT	Education & Reference;Words & Wordplay	What is a slim goody?	N/A
20090225063722AAn2jfQ	Education & Reference;Homework Help	I need help with my crossword?!?	1. _____materials; materials needed for fighting a war ( 9 letters)      2. first and most important( 7 letters)      3. relating to the citizens of a certian state of country( 5 letters)
20090225063250AAyS8ZX	Education & Reference;Higher Education (University +)	A camp cook wants to measure 4L of cider out of a jug, but he has only a 5L and 3L container. How can he do it?	A MATH PROBLEM   A camp cook wants to measure 4L of cider out of a jug, but he has only a 5L and 3L container. How can he do it?
20090225075647AA3J3T8	Education & Reference;Studying Abroad	Hi everyone , I would like to study and get good job.?	Im confused about my future career , what should I study in college , to get good and polite job in a future?    im to be 21 years ,confused about what to study ,im really don't know what I like , so tell me about (Airport operations) is it good job ??   so what to study then ?      cheers
20090225080159AAjt64T	Education & Reference;Words & Wordplay	Which poetry term refers to words which sound very similar to the actual sound they make?	alliteration   onomatopoeia   simile   personification
20090227083948AAa3TFL	Education & Reference;Higher Education (University +)	Whats the difference between a Bachelors degree and a Masters?	N/A
20090307155102AAqJhiS	Education & Reference;Other - Education	Should i take the opportunity to advance my studies?	I am in a junior but my counselor told me since i took classes that give more credits than the easier classes i can take an extra class and graduate this year. i am pregnant and have a 6month old baby should i take the opportunity to finish my education so i can support my babies and do college on my own time when i get the chance???
20090225041401AAWxLM0	Education & Reference;Financial Aid	How can i study in one of your universities?	thus, to study makerting advertising
20090225064739AAaJzBN	Education & Reference;Words & Wordplay	What does 100 c in a d mean?	i am trying to help my brotyher with his home work also if you could answer thes please:   1 g is mc and hm   2000 p in a t   8 t on a o   1000 y in a m   12 c in a b      thx plz help- me
20090225064816AAGmQ51	Education & Reference;Words & Wordplay	What is the difference between a centipede and a millipede?	Thanks so much, need answers for homework, and I`m not really too sure...
20090225073258AAqFycY	Education & Reference;Other - Education	What job can I get with a GED/HS Diploma?	I'm taking my GED next Friday. Then I'm going to start looking for jobs and I'm not on the best terms with my aunt in Philadelphia to live with her until I get my own place so I can work as a civil service clerk. I want a job paying between 1500+ a month that I can do basic things like rent and have a cell phone and eat. And please no comments about going to college or anything I am planning on doing online class but I would love to have my own first so I won't have to deal with my family bugging me about what I should be doing and what I shouldn't.
20090225073924AAn1S9I	Education & Reference;Homework Help	English HELP plsplsp HELP ME!!! helppppp!! i ll give points please helpp!!!!!!!?	we were going by bus to the excurtion but we had a problem on the road because it was too rough and we ended up  going on foot.   we keep on the move and after walking for a while, we arrived to the heart of the mountain         --------------   is that alright?? please correct it    i have to make a paragraph using the next words;   by bus   on foot   move on   on road   to the heart of
20090225075033AAaUGe6	Education & Reference;Homework Help	Distribution.Pleas help me soon!?	Pleas help me soon!    3p(2x+2y)=?   (x+y)(x-y)=?   3p_2(p-y)=?   (2p+q)(p+q-r)=?   (a-5)(a-5)=?   5pq(2q-3p+7r)=?   (2x+1)2
20090227083700AAEe82i	Education & Reference;Words & Wordplay	WHAT DOES THIS STAND FOR OR MEAN SCIENTIA REGVLAT DOMVM IT IS ON THE FRONT OF A OLD SCHOOL?	N/A
20090227084036AAsayQr	Education & Reference;Studying Abroad	What is the best IT computer feild to enter, or which one makes the most money?	Just trying to figure out what career i want to go into.   -Thanks
20090227084109AAXFsXI	Education & Reference;Homework Help	I need help with beowulf.....  (urgent!)?	i need literary elements for lines 2242-2323.         HELPPPP!!
20090227084123AAq0yPb	Education & Reference;Primary & Secondary Education	I have an 88.75 average am I able to go to Old Scona with this mark?	N/A
20090227084315AAN8XJT	Education & Reference;Words & Wordplay	Wat do ppl mean to say when they put  "<3" ?	wat is it i have seen it with kind of da love meaning but not sure
20090227084329AAVxea1	Education & Reference;Higher Education (University +)	Where is my exam center  in mumbai ,  my seat no is A237208?	where is my exam center  in mumbai ,  my seat no is A237208
20090227084740AAVeLHw	Education & Reference;Primary & Secondary Education	Where is my ssc exam centre in mumbai, my seat no is A237208?	N/A
20090227084442AApYWSu	Education & Reference;Trivia	What makes a person weep?	we know whenever we are hurt or emotionally disturbed , we just cry but what is that in our body which makes us cry and we get a relief
20090227084620AAF96rB	Education & Reference;Higher Education (University +)	I have a question people about University of Illinois Urbana Champaign.?	I'm about to apply for transfer to UIUC, and wondering,    I want to be a CPA, but also I want to be a financial analyst. (I'm still deciding. Who knows future)   And, there is "Planned Course of Study" options that I have to choose, one is 'Business: Accountancy', and the other is 'Business: Finance'.    Let's say I apply for Finance major. then.. I can't study for accountancy after all?? ever??   Could I change my major after I enter the school? Is it possible?? ESPECIALLY IN UIUC ??
20090227084739AAc5Eh6	Education & Reference;Homework Help	Are there any sports in french beginning with i, L, m, o, q, u, w, x, y and z?	Thank you for any help! :)
20090307121314AA8KYvQ	Education & Reference;Words & Wordplay	How would you word this?	If i said; '.. i also like to experience many things'      How can you word that properly , so it was something like ; 'likes to be spontaneous'; or something like that, but nice and short
20090307105047AALxtNZ	Education & Reference;Words & Wordplay	What do you think of this !?	It's a persuasive essay   I'm in 8th grade   Can you edit it ?      Effects Cell Phones Have on Society         As the role of technology in our lives steadily increases, one has to wonder the effect that it will have on today's students. Although, we could not imagine life without cell phones, it is important to realize that owning one can have negative effects on our lives. Cell phone use with students can cause detrimental affects on Etiquette, can lead to addiction, tends to portray a superficial communication and social gap and can cause serious accidents while driving. The use of cell phones can be very disruptive to others around us and can be perceived as improper behavior in many situations.   "You're at a four-way intersection, trying to make a left, when your best friend calls you. Obviously, it must be important since she’s texting you. Looking down at your phone's screen you laugh while reading the message and take your foot off the brake. Your car drifts into the opposing lane, just as oncoming traffic is speeding by. A distaster waiting to happen? You bet. That is just one example of the many accidents that can occur while texting or talking on a cell phone. Studies have shown that driving while talking on a cell phone is as bad as drinking and driving. Why? When you’re talking on cell phones and even texting while driving, this requires the driver to take their attention off of the road, even if it is only for a matter of seconds.      & do you have any other ideas      btw I'm not NEARLY done I have A LOT more
20090307121039AAFYxQb	Education & Reference;Words & Wordplay	What does "Abyss" mean?	N/A
20090307112309AA2TJkg	Education & Reference;Homework Help	Quadratic Functions Help Please!?	1. Find the coordinates of the vertex, the y intercept, and the reflection of the y intercept about the axis of symmetry.      1a) y= ? (x+4)^2 -1      1b) y= -2/3 ( x -3)^2 + 9        2. Find the coordinates of the vertex and determine the x intercepts.      2a) y= -(x+3)^2 +9      2b) y= ?(x-2)^2 -18      3) If the quadratic function y= -3(x-p)^2 + 48 passes through the origin, find the Value of p.      4) If the quadratic function y= ?(x+6)^2 +q has a y intercept of 11, find the Value of q.      5) if x- -3 is the axis of symmetry for the quadratic function y = 4(x-p)^2 -11 find the Value of p.      6) Find the equation of the parabola passing through the point (4, -8) if its vertex is the origin.       7) Find the equation of the parabola passing through the point (9,55) if its vertex is (5,7).      8) Find the equation of the parabola that passes through the point (6,16) and has x intercepts of -2 and 4.      9) Find the equation of the parabola whose x intercepts are (1, 9) and a y intercept of 45.      10) Find the equation of the parabola whose maximum Value is 20 if it has x intercepts of -8, and 14.      Thanks!
20090307120542AAtrKvA	Education & Reference;Words & Wordplay	If I say..................?	"Sprinkle your mind with first rays of sunshine."   And u were a little kid and didn't know that this is an...   Idiom(an expression meaning some thing different than the actual word meanings.)   What image comes to your mind?
20090307113101AAdYhS5	Education & Reference;Homework Help	Who was this woman / what is this icon?	It was like a poster or something during one of the wars.   It usually had a yellow background, and this woman had   on a bandana, and a blue button up shirt. The sleeve was   rolled up and she had this big muscular arm. It was in like   a flexing position...?!?!?!!?!
20090307103023AAhOKmB	Education & Reference;Words & Wordplay	Correct all grammar mistakes in this sentence please.?	When they were near the finish line Crash yelled Lean and Penn did and won the race.
20090307111438AAdfa3T	Education & Reference;Homework Help	When will “Brainstorming” be useful in the real life?	N/A
20090307105217AAPmiPq	Education & Reference;Words & Wordplay	What does it mean, double-spaced?	Our teacher gave us a writing assignment and he said it has to be typed and doubled-spaced. what does doubled spaced mean.    PLEASE HELP
20090307121230AA96ZiA	Education & Reference;Words & Wordplay	Re: COLUMBUS DISCOVERING AMERICA....Care to write YOUR version,just 4 fun, that includes 5 of these lines?	1. Don't 'yo ho ho' me, now, matey.... I'm busy.   2. Let's see.....Turn right at Blindman's Bluff,left at the Blue Lagoon and ___________.   3. Hmmmm....Not bad for a poor woolweaver's son from the lower eastside.   4. Your  far-fetched scheme seems to have backfired.   5. COPYCAT! COPYCAT!   6. Where the hell did I put my Dramamine?   7. The life cycle of the sheepliver fluke.   8. WHAT an impractical,moronic idea..... I LOVE IT!!!!!   9. The lunar eclipse has nothing to do with my feelings for you,babe.   10. The Santa Maria has no room for ___________.
20090307104809AARM4RA	Education & Reference;Homework Help	Ha, I'm so stupid. Help me?	I totally forgot how to do this. If  d=6 miles t=12 hours      How many miles per hour?      I'm SO stupid. I just went completely blank.
20090307113912AArUiIJ	Education & Reference;Words & Wordplay	Whats the word,,.,.,.,.i have the definition?	the defintion is like "looking for a fight" but i need help fiinding the word
20090307113436AAQC66D	Education & Reference;Words & Wordplay	Is there a place where u can tell the definition and they will have the word?	Is there a place where u can type in a definition because u dont know the word and it will bring up words cus i always need those, well if there is plz put down the site, Thank you
20090227085200AAIFfcI	Education & Reference;Words & Wordplay	Can someone give me a example....?	of a alliteration poem?
20090307113737AAs2jOs	Education & Reference;Words & Wordplay	Do you find this funny....?	 http://theslackerz.com/Comics/062.gif    Cause I do. :)
20090227085156AA7HjTL	Education & Reference;Words & Wordplay	I'm upset :( anyone got any funny stories ?	i just need some cheering up, thanks :)
20090307103247AAuoWPf	Education & Reference;Words & Wordplay	Whats the expression used in English when something starts and doesn't stop?	N/A
20090307113014AA871iD	Education & Reference;Homework Help	What should I write on the back of my project?	I am making something for school and my teacher wants me to put a quote or just any saying or something about the ocean/oceanlife   or the sea      You can make it up, or it can be a real quote, just make it cute and fit the theme, and not too long. Short and sweet.         Thanks in advance!
20090307120632AA8tE2v	Education & Reference;Words & Wordplay	What do you call a look on someone's face when they know something is wrong?	An example of this is shown in this Degrassi video. Watch the look on Spike's face when she stops clapping. What is that look called?        http://www.youtube.com/watch?v=Gmeu0WaVu... 
20090307102559AAM30Wd	Education & Reference;Homework Help	Need help on these 2 questions?	1. x+2/12  divided by  x+2/9   A. x+2   B. x+2/12   C. 4/5   D. 3/4      2. Give the reciprocal of 3x/a   A. -3x/a   B. a/3x   C. a   D. 3x
20090307121030AAbZHwR	Education & Reference;Words & Wordplay	Can someone give me a guys name...?	To go with the name Brianna. As in Brianna & ....... are dating.   somethihng that fits nicely..   thanks         [x]
20090307110922AAIzspJ	Education & Reference;Homework Help	When people ask for help with homework or a paper is it wrong to give them the answer?	I love giving people ideas for subjects they should write their papers on, but it seems like others would like to actually write these papers or do the homework problems.  How do you manage to help people without doing their homework for them?
20090227085520AA0ROnG	Education & Reference;Words & Wordplay	Why can't we see clearly underwater?	apparantly this question will be either on our physics test or exam. and it's got something to do with the refraction angle in water- i really don't know how to answer it. please help - we have a physics test soon
20090307105235AAkfZ1i	Education & Reference;Homework Help	Native Americans & Carolina Colonists?	My brother is in 5th grade and has to do a homework assignment. The assignment is to write a letter to a friend in England explaining how the colonists relationship with the Native Americans has deteriorated in the Carolina's. The letter has to include two reasons why conditions deteriorated, but I don't know why. Could someone please tell me details that explain the conditions and reasons for them? Thanks, I appreciate all answers!
20090307112545AAmBCg2	Education & Reference;Homework Help	How would an animal that normally lives in the tundra adapt to the desert?	Without dying.
20090307113825AAhO2F7	Education & Reference;Words & Wordplay	What does science fiction mean?	What ideas for a science fiction should I write for a story?
20090307110849AAC63R7	Education & Reference;Homework Help	Title for english assignment?	I have an english assignment were I describe a person from a story using three character traits:religious, ruthless, and hot-tempered. I need a good title for it, if it is any help the character is Joseph Strorm from the book The Chrysalids
20090307052439AAtXyvY	Education & Reference;Higher Education (University +)	What exactly is a College Tour?	What do they do during a college tour, how many people are usually in the group, and what is the student expected to wear? ( I am visiting Swartmore, Penn, and Princeton)
20090227085151AAKigc4	Education & Reference;Trivia	What do you call a male black widow spider?	N/A
