20090128152649AA9OJF0	Arts & Humanities;Books & Authors	What is the house of night series about?	i want every detail like how many books what are the called what are they about etc.
20090128153505AA2EAv2	Arts & Humanities;History	Why was franklin pierce called handsome?	Please im doiing a research reprt and want an "A".
20090128153647AAD6K0Q	Arts & Humanities;Performing Arts	Is anyone lookin for a lead metal guitarist?	i am 19 and i love makin music i have been playin for about 13 years i love metal im lookin for a band that sounds like bullet for my valentine though or somethin around killswitch but anything really im lookin for a dedicated band and lookin to record
20090128154747AA0EBrX	Arts & Humanities;History	What are some important things that happened in 1969?	like what happened in 1969 the only thing i know is that woodstock happened but what else in music, international, national, sports, entertainment, anything
20090128154353AAq11Q7	Arts & Humanities;Poetry	A two-parter: Thinking one part is dragging the other down?	We started this dance.   You took my hand,   I kindly obliged   with little difference.   It was a slow one -    feet moving together   your hand pressed firmly   on the small of my back.   The music sped up   we lost track   of the rhythm    we had been keeping   together   by the time the music   was over    I tired.   I left,    you sat.         I went home   changed out of my gown   I contemplated my wardrobe   decided on a new dress.   Re-entering the party,   I asked for your hand   you kindly obliged   we now dance again   keeping the rhythm   keeping it slow   moving together   your hand pressed      I like my idea of the second part, I just can't put it into words. Does the first part stand alone well?    Of course this is just a first draft of a draft of a scrap which may or may not become a poem in a few hundred edits. :-)      Thanks all.
20090128154825AAJwP62	Arts & Humanities;Theater & Acting	How do i.....?(acting read discription)?	ok, ok, i know alot of people ask these questions, but i was just wondering, how do you start an acting career? i know you should find an angent and stuff, but I dont have that kind of money (or my family i should say) to afford one right now. is there someway i can start out that isnt that expensive? all answers are appreciated thanks:]
20090128154625AAiN9sR	Arts & Humanities;History	To become a democratic nation after World War II,?	Japan took all of the following steps except                   putting its military leaders on trial for war crimes            writing a new constitution            setting up a parliamentary government            establishing its right to make war and maintain a military
20090128154519AAVjQ60	Arts & Humanities;Theater & Acting	So I got a call back for a nice size role in a movie...and I can't go...?	I am unable to make the call back due to my car being out of service. Drunk driver hit my car during the night and did a lot of damage. I called my agent to let her know I couldn't make the call back and she basically made me feel very guilty, going on and on about how the role could be good for my career, etc. But she also told be that by turning down the call back, this will affect the casting director and hurt her reputation. Is this true? I was going to send her a thank you/apology letter in the mail...
20090128154154AAVEv70	Arts & Humanities;Dancing	Can someone give me a dance tutorial to the song low? I'm learning how to dance hip hop?	Hey :D      Can someone find me a dance tutorial to the song low??   i really want to learn hip hop dancing!   But I can't get into lessons becuz I dont have time..      I am really tall and not stick skinny but skinny.      Any tips?   Is learning it hard?   Since I'm 5'10 is it going to make it harder to learn?
20090128154812AAPpIts	Arts & Humanities;Books & Authors	Has anyone read this book?	Empress of the World. I bought it the other day...and really don't like the diary aspect of it. Also Kissing Kate. I really like this one so far. I bought Bermudez Triangle today. I want to know what other people think of them and what other GLBT books people have read.
20090128154814AAGEsJ4	Arts & Humanities;Visual Arts;Drawing & Illustration	What colour is Whisky?	I know it's an Amber/Orange/Brown colour but i simply can't get the colouring right and the internet's version of amber seems closer to yellow :s      For extra points state the RGB value or % mix of Red, Green and Blue.      What is the colour of Whisky? :s
20090128154338AA5qBvZ	Arts & Humanities;Books & Authors	Im writing a speech on sarcasm and i need some quotes.?	N/A
20090128154136AAY4xfb	Arts & Humanities;Books & Authors	Go ask alice help please?	ok so i finished reading it..and i wonder if its really true..did it really happen,how did she die..is there any more info on this story its just so interesting!!      please give me some links if you can and ill give you best answer.
20090128154131AAcmXys	Arts & Humanities;Poetry	What do you think of my poem? Thanks for critique!?	How Bright May Shine thy Star       A lonely star shines,    Bright, gently resting   On a blanket of obscurity   Never blinking      It’s physicality is only intensified   By the inexplicable cover of which   It is completely hidden       Among millions of stars   What differentiates it from those   Who are mirror images of itself?      The star is not defined by its dark cocoon   In which it is kept, but by how bright it shines   When the truth is brought to light
20090128154814AAytZ2U	Arts & Humanities;Books & Authors	What is the black cat and the minister black veil about?	N/A
20090128154113AAFpIxt	Arts & Humanities;Visual Arts;Photography	Is this a true macro lens?	I need a macro lens, and as I don't have much money, I thought this might do.    http://cgi.ebay.co.uk/ws/eBayISAPI.dll?V...    However, I'm told that some lenses aren't really macro and will not work. Do you know whether this lens would be suitable?
20090128154806AAPqlRP	Arts & Humanities;Performing Arts	Am I learning guitar the right way? (self taught)?	Hi I'm 15 and currently self-teaching electric guitar. I wonder if I'm learning guitar the right, effective way.      Basically my daily learning sesion is like this: 5 hours of practice each day. with 2-3 breaks in between. I just practice the G major scale every day at a very slow tempo for hours, and slowly building up my speed (increase by 1bpm). and the next day I go back to the slow speed. I repeat it again and again, for weeks and week. I decided to master ONE thing at a time before learning songs and all the other stuffs at the same time. Next I'm gonna move on to other scales, chords, arpeggios.       :) any tips? suggestions on how should I learn guitar? thanks~!
20090128154701AAQedoU	Arts & Humanities;Theater & Acting	Where should I start?	I want to become an actor and i'm thinking big but i have no experience and well i wonder if its possible or not... Help I really would kill myself to become one i want it ever since i got 6... That is the only thing i have in mind
20090128153826AATBoHk	Arts & Humanities;Visual Arts;Photography	Website Photo Gallery Help!!?	I'm trying to put up a gallery on my website like this one/similar to the gallery on Transworld motocross: http://motocross.transworld.net/2009/01/...     I want a gallery that I can add to my site but won't affect my links to other parts of my site! Thanks for your help!!
20090128153850AA4YRcO	Arts & Humanities;History	What do you believe was the biggest difference between hippies in Canada in comparison to in the USA?	In the late 60s of course.
20090128153932AA5Gvvp	Arts & Humanities;Poetry	Shakesphere?? can you help me understand what is happening in this poem?	:( im having a very hard time and i have to write a paper analyzing this poem.. please, help me even a little? even just one stanza.. one line, just help me understand =[    Never did passenger in summer's heat   More thirst for drink than she for this good turn.    92  Her help she sees, but help she cannot get;   She bathes in water, yet her fire must burn:    'O! pity,' 'gan she cry, 'flint-hearted boy:    'Tis but a kiss I beg; why art thou coy?            96    'I have been woo'd, as I entreat thee now,      Even by the stern and direful god of war,  Whose sinewy neck in battle ne'er did bow,       Who conquers where he comes m every jar;             100    Yet hath he been my captive and my slave,    And begg'd for that which thou unask'd shalt have.      'Over my altars hath he hung his lance,  His batter'd shield, his uncontrolled crest,         104  And for my sake hath learn'd to sport and dance  To toy, to wanton, dally, smile, and jest;    Scorning his churlish drum and ensign red    Making my arms his field, his tent my bed.         108      Thus he that overuled I overswayed,  Strong-tempered steel his stronger strength obeyed,  Yet was he servile to my coy disdain.                            112  O, be not proud, nor brag not of thy might,  For mastering her that foiled the god of fight!                 114    Touch but my lips with those fair lips of thine-              115  Though mine be not so fair, yet are they red-   The kiss shall be thine own as well as mine.                         117  What seest thou in the ground? Holy up thy head.              Look in mine eyeballs, there thy beauty lies;                      Then why not lips on lips, since eyes in eyes?
20090128154007AAwAcYH	Arts & Humanities;Poetry	Poetry help needs to be 6 beats 4 lines?	we started out   My name is Charity I like to dance       please help
20090128154153AAcmS8L	Arts & Humanities;Visual Arts;Other - Visual Arts	What are some colors that start with the letters "d e f h i j k l" ?	N/A
20090128154213AAD7alF	Arts & Humanities;Books & Authors	What is the story of the Earth and the Sky in the novel " things Fall Apart"?	N/A
20090128154328AAMK2ju	Arts & Humanities;Visual Arts;Sculpture	Ideas on how to make a Japanese style tea bowl?	I'm in a High School ceramics class. I was wondering if anyone can show me example or tell me some easy ways on how I can make a Japanese tea bowl or something of the the sorts.
20090128154610AAhKoUi	Arts & Humanities;Books & Authors	Has anyone had success with self-publishing company Xlibris?	I was considering self-publishing with Xlibris. They contacted me numerous times for over a year now. I've told them I may be interested in the future, so they call from time to time.  I'm wondering if there are writers that have had a good experience with the company.
20090128154640AAc4Gwi	Arts & Humanities;History	Did Patrick Henry ever ride with Paul Revere?	i am doing a social studies project and i need to know some more about patrick henry.
20090128155058AANWHOV	Arts & Humanities;Poetry	I just made up this poem?	Brother look around you what do you see,   Do you see love or pain and misery,   Sister where are you I cannot see you there,   The world you knew is dying and brother won't learn to share,   Through the conflict and wars and struggles undying,   Brother you left in your wake a world lost and crying,   Remember your sister she still loves you so,   Just love her back and let your fear go.
20090128155324AA3VSPr	Arts & Humanities;Philosophy	How one can feel if somebody ask some one ,how my kids and one,s wife doing?	it happend about two years before i was just enjoying the sunny day in a park .one english man was already there before me.an italian came and ask the english man this 'hay how they doing all, my kids and your wife?i could not control my self and start laughing.that italian ask me ,why are you laughing,his wife was my girl friend before and we had 3 kids togather,then she married to my this friend and he donot have any chance for any baby.it was very surprising and never forgettable to me.same time it comes in my mind if somebody ask like this to any indian man then what was going to happend?
20090128155752AAdOwie	Arts & Humanities;Philosophy	What is the easiest way for you to express yourself?	Do you find that there are infinite ways we can express ourselves? Yet each person has their own unique way of self expression? Explain.
20090128160719AAg3f9c	Arts & Humanities;Books & Authors	Is it ok to make up names in a book?	The name of a character in my book, well all of them, I made up their names. Is this ok? I have no clue where they are derived from as I made them up.
20090128160240AAzSCnS	Arts & Humanities;Performing Arts	Would a slow etude be okay for a marching band audition (flute)?	I am a flute player trying out for a marching band. Here are the requirements:   1 etude that is 4-7minutes long. It is recomended that the etude is level 3-5.       I usually play at a level 2-3 but those types of songs are reachable if I spend a lot of time practicing. The only problem is that I have to record this and send it in...it is rolling admission.        I have a song that I sound pretty good on already. It is a level 3 or 4, but it is quite slow. Would a slow song be bad for a marching band tryout??      I would also like to know how you figure out exactly what level a song/etude book is. I really don't know.      10 pts to the best and quickest answer!
20090128160038AAZntXH	Arts & Humanities;Philosophy	If someone "big" gets killed it's called an assassination, but if I get killed it's called a murder, why?	if the president got killed it would be called an assassination, but if I or anybody else gets killed, it's called a murder. Funny how thousands of people die each day, but you find one dead body on the street and someone has to go to jail.
20090128155341AABZSxK	Arts & Humanities;Philosophy	What is philosophy exactly?	N/A
20090128155924AAitLmE	Arts & Humanities;History	What was the most important battle that the USA fought in. in the world war 1?	thank you so much!! ill give u five
20090128155449AAkC6nY	Arts & Humanities;Poetry	Comment my short poem for 10 points?	i'm tired of you calling me   i'm don't want you anymore   give me back my keys   and let me show you the door   i deserve better than what you can give me   i'm worth more than just arm candy   i am a human   yes i am a woman   not just your servent   but i'm supposed to be your queen   yet you were my king   you had know idea   that i was losing my will to live   the darkness that consumed my soul   when ever you took hold      and ripped me of myself   sent me through hell   i'm at fatigue   i have not attained what i need   my heart is still incomplete   the trench that you left in my life   now fills with the tears that i cry   you say i didn't give you enough   but all i gave was my love   i only gave you my heart   never my hard times   i just can't pretend like   i didn't really love you   even when i knew you were not true
20090128160226AAnGiOI	Arts & Humanities;Books & Authors	"House of Mirth" by Edith Wharton?	What do you think of this book?   Have you ever read it, and if you had, is it really worth reading?
20090128160157AADRd7l	Arts & Humanities;History	Why didnt the United States and its Western allies stop the construction ..?	of the Berlin Wall or the repression of the Hungarian Revolution?                 They knew they would be overpowered.            They did not want to provoke the Soviet Union, and the areas were already communist.            They thought the Soviet Union would back down anyway.            They thought they could gain more freedoms through diplomatic negotiations.
20090128160003AAhYQtL	Arts & Humanities;History	Why did the Soviets think that Western nations might invade the Soviet Union after World War II?	Western nations demanded control of the oil that had been found in the Soviet Union.              The West threatened to retaliate because the Soviet Union controlled East Germany.              The Soviet Union had been invaded by Napoleon and the Germans.              Soviet surveillance airplanes had discovered French troops amassing near the Polish border.
20090128160042AAxibJz	Arts & Humanities;History	How did China become a communist nation?	The communists were elected.              The communists gained control after a long civil war.              The communists gained control in a swift coup d’état.              The emperor appointed a communist prime minister.
20090128154858AAETrdU	Arts & Humanities;Visual Arts;Drawing & Illustration	Need Ideas anyone can help?	a quote to go along with never giving up/ moving on/ no matter what happens always moving on ... n e thing you have heard or have made up.
20090128160558AAc7hCt	Arts & Humanities;Books & Authors	Good teen books to read?	i am 14 years old and need good books to read. no boring books. no scary books like twilight. thanx for your help.
20090128160518AAMohta	Arts & Humanities;Poetry	I dug this poem out of my 6th grade poem box, what do you think?	This one of the rejected ones but I thought it was worth putting up.    I think the title was Befriended, but my handwrititing was really bad.    Who are your friends?  Do you look up to them?    Or you may look up to you?  Do you look them in the eye?      You know who they are?  What do they know you?  Can you take what they see  And shift it into me?    Can you take what they found  And claim it as your own?    Can you look into their eyes  And tell them your homely lies?  Do you befriend them?  Or betray them?    Have you seen their smiles?  Do you think its worth the while?  Can you take them all the miles?  And then shred them into files?    Can up you listen to them pout?  Only to hear them shout?  Do you ever doubt where you truly stand  Among your very best friends?    Did you ever stop to think  Whether youre on the brink?  Or whether your friendships sink?
20090128155413AAfJkTP	Arts & Humanities;History	How did the Carthaginians react to the losing of Spain in the Second Punic War?	Thank you, detailed answers are very helpful!
20090128160613AASL1iB	Arts & Humanities;Books & Authors	Character Relationship ages?	In a story I'm writing I have various characters ranging from many ages and in many different relationships. I'm wondering if the ages are appropriate. Some are. Some not so much.   Relationship ages:   14 & 14   14 & 15   13 & 16   17 & 18   16 & 21   14 & 16   12 & 14   15 & 16      Which ages seem appropriate and which don't. This is only a novel so it doesn't really matter and the ages are a somewhat huge part of the plot lines. I'm just curious about what people think of ages and I'm taking into consideration of changing some of the ages.
20090128155457AATtWGv	Arts & Humanities;History	Who was the colonial owner of Gabon, Africa?	N/A
20090128155503AAZTB4G	Arts & Humanities;Philosophy	When you hear a phrase like "sleeping on glass", what's the first thing that comes to mind?	Your answer can be literal or metaphorical. Doesn't matter. I think about someone having nightmares. What about you?
20090128155748AALK1U6	Arts & Humanities;Visual Arts;Photography	I would like to be a photography major and i have 2 questions.?	First question: Does anyone know any christian colleges that have photojournalism majors?    Second question: I am afraid that if i do major in photography my pictures won't be creative enough, or i will run out of ideas. I am also worried about that exhibit at the end of senior year. Can anyone tell me their experiences with their exhibits? Where they stressful or easy?
20090128155821AAgOa1j	Arts & Humanities;Theater & Acting	How can I practice acting and modeling at home?	ANY HELP? :)
20090128160306AAEeL3h	Arts & Humanities;Performing Arts	Rebirthing by skillet for clarinet?	i want to know if i could play the begining of rebirthing on clarinet.    the part where its just the instrument playing.   idk. lol thanks!
20090128155522AAeQ2Vy	Arts & Humanities;Books & Authors	How to come up with a good story plot?	I am really good at coming up with the characters of a story but not the plot! How can I develop and think of good story plots?
20090128154918AApwxKz	Arts & Humanities;History	Who is the most important and least important of these people?	William Harvey   Nicolaus Copernicus   Andres Vesalius   Galileo Galilei   Isaace Newton      Please explain your answers
20090128160425AA1n9u5	Arts & Humanities;Visual Arts;Photography	Would I do okay as a model? (Pic)?	Yep, another one of these questions. I'd just like to know how you think I would do as a model. Do you think I could? Would I be okay?  I took this picture a couple minutes ago, so its no where near a professional picture. Just a quick one for you guys to share opinions.    I'm 14 years old, 5'4, I weigh 100.    http://s385.photobucket.com/albums/oo298...
20090128155539AA6jCsm	Arts & Humanities;Theater & Acting	How can I become an actress on Disney Channel?	Nothing rude, please.      About the closest I've come to acting is school plays every year + drama class in school. How can I become an actress? There's so    much more to it and I'm so lost in how to achieve my dream.   I'm in 9th grade. Anything else just ask :]  Thank you alllll!
20090128160414AAyfRVG	Arts & Humanities;Theater & Acting	Need a shakespeare play or a script  ?	shakespeare with 2 females and 1 male
20090128155851AATCvM7	Arts & Humanities;Visual Arts;Photography	Is this a good picture?	 http://i533.photobucket.com/albums/ee332...       Thanks!
20090128160546AAx6KGk	Arts & Humanities;Dancing	My boyfriends turing 21 is this a good plan!?	Okay we figured we would go to this club called the Mayan... I myself am not a drinker but everyone else who is going is...       I made a guest list... and here is part two of my plan... rent a limo from 11:30pm - 2:30am.... a chrystler limo that seats 10 people... it's 65$/hour and for 3 hours it's 196$...  divide it by 10 people and it would cost everyone 20$ for a safe ride there and home...        I figured this because everyone will be drinking and the people who are going tend to always get plasterd!...       So is it wrong to ask everyone to fork up 20$ if they dont have to pay a cover to get in the club and what not?
20090128155204AABRb4W	Arts & Humanities;History	Albert Einstein inventions?	what did Albert Einstein invent
20090128155236AAIbBtL	Arts & Humanities;Books & Authors	What are some really good chapter books for my daughter?	my daughter really liked the clique books   shes not a big reader   do you have any suggestions
20090128155052AAFgb2k	Arts & Humanities;Poetry	What do you think of this poem?	In dusk my insides were laughing at the crackling leaves    I was the lone wolf    with the close skin of my brothers    and the waving hair of my sisters    we held hands    bumped shoulders in the forest    and all around us the kaleidoscope moved    to the music of our thoughts    and as the darkness began to creep through our skin   we emerged in a clearing    into the heavenly light of stars    dead and alive   on our faces like shadows    it was as if the gods reached out and touched us    reached out and kissed us    and like that    we became like animals    hooting, trilling and cawing at the moon    hugging each other    dancing    laughing    forever laughing    and all the darkness shivered
20090128155212AAKlO9n	Arts & Humanities;Books & Authors	To Kill A Mockingbird? (a question for people with the book)?	Can anyone with the book please cite (from the book) when:      Atticus told Scout why he is defending an African in court when he knows that he'll just lose the case.      I think it's on either page 74, 75, or 76 I just need to know what it says EXACTLY (cite it please).      This is for an essay and I need evidence from the book but I seem to have misplaced my book.      So if someone could please cite the part where Atticus tells Scout why he is defending an African in court when he knows that he'll just lose the case, it would be very helpful.      THANK YOU :)
20090128155216AAnjUOA	Arts & Humanities;Performing Arts	For Georgia Guitarist what is a good college for classical guitar?	how is Georgia southern what are the top ten school for classical guitar
20090128155609AATtqHj	Arts & Humanities;Poetry	What is the inner meaning of the poem Dream land by Lewis Carroll? and theme?	N/A
20090128155256AAJlUtm	Arts & Humanities;Poetry	Any feedback? It would be appreciated.?	Paralyzed, she lies helpless and alone,   Frozen in her reveries of a love she's never known.   Love's not all she thought it was.   She lies there all alone. It's not sleep. It's not rest.   Broken. Cold.   Day by day she relives the misery.   Fade away. Tears she bleeds.   Tired of waiting.   Took too long to accept her flaws.   Too late now.   Your nightmares are her sweetest dreams.   Frozen over is her heart, covered in sheets of ice.   Falling fast on to the pavement. Hear is shatter.   Hear is crack. Shards of glass   Pierce through her skin.   This fallen angel lies alone tonight.   See the sunight glisten through her broken wings?   Your demons sing her to sleep again   Your lullabies of worthlessness echo in haunting whispers.   Oh! The agony that drowns her.   Emotions flood her existence. Clouds of grey surround her.   Your nightmares are her sweetest dreams.   Catpure her. Imprison her. Take her   And rape her of her hope.   Take everything away. Numbness.   She doesn't want to feel the pain much longer.   Pick upher fragile and torn soul...   Can you hold her withoutbreaking her?   Caution: Handle with care.   You don't care, do you? Won't save her in the end.   Only hurt her; you're her self-destructive cause.   Frightened. Anxious. How much longer?   Impatience. Darkness creeps upon her. Paralyzed.   Caught up in her bitterly-sweet dream. Taste it on her lips.   When will she awake? With your Judas kiss?   She knows your true intention; quit hiding it.   Why so much effort to deceive her.   She'll never be able to believe.   You don't care for her good. It's all on you.   And your worst nightmares are her sweetest dreams.   She's left there all alone, dreaming of a love she's never known.
20090128155956AAn8L1E	Arts & Humanities;History	I have a paper on imperial russia - topic!?	can anyone help me think of a good topic for this paper? it has to be 8 pages. i want to be unique in this paper and don't want to write something that everyone in class is also writing on (rasputin for example)      i was thinking about dostoevsky, but i want it to relate more on tsardom. maybe like a secret leader/lover/important figure that is overlooked?      thank you for your help!
20090128160005AAUuOHI	Arts & Humanities;Performing Arts	Will i be good playing the guitar by just learning how to play songs?	by learning how to play songs will i be able to do solos and etc.
20090128160157AANR78H	Arts & Humanities;Books & Authors	What is New Moon Really About?	i already read twilight but i wanna know what the book new moon is about before i buy it because what if it's really bad i just wasted like $20 there Is it good or is it bad what Is it About
20090128160230AAIhPIl	Arts & Humanities;Poetry	A poem of e.e. cummings?	shortly, does the poet feel okay for the guy who touches his darling? i coudnt get it..      it may not always be so; and i say    it may not always be so;and i say   that if your lips,which i have loved,should touch   another's,and your dear strong fingers clutch   his heart,as mine in time not far away;   if on another's face your sweet hair lay   in such a silence as i know,or such   great writhing words as,uttering overmuch,   stand helplessly before the spirit at bay;         if this should be,i say if this should be-   you of my heart,send me a little word;   that i may go unto him,and take his hands,   saying,Accept all happiness from me.   Then shall i turn my face,and hear one bird   sing terribly afar in the lost lands.
20090128160343AAyh9ZG	Arts & Humanities;History	Does anyone know where i can get some info on medicine in the 17th century?	i need i some info
20090128162035AAXlPK1	Arts & Humanities;Philosophy	I Have Said: "True Values Are What you Suffer for, Not What you Have Suffered for, Not What You Will Suffer -?	-for, but What you DO Suffer for", Thoughts?
20090128163351AAY4mP8	Arts & Humanities;Performing Arts	Do you think marching band is a sport?	i do and my friends do but what do you think?
20090128161848AA612g7	Arts & Humanities;Books & Authors	Twilight help please!!?	i have went to a million stores and they don't have New Moon by stephanie meyers i was wondering if i could read it online but i dont want to do it illegally       please answer only if you have an answer to my question
20090128161427AA100Eu	Arts & Humanities;History	Which country or countries was/were most responsible for the outbreak of world war 1 and why?	I;m thinking Austria when they called war on Serbia.      I could be wrong, who was more responsible and why? how did the war escalate?
20090128161203AAu8o1v	Arts & Humanities;Books & Authors	What do i do, is he the one? READ carefully! AND plz HELP ME!?	Me: Energetic, fun, creative, loyal, truthful, like to adventure, writes, draws. swims, and i weigh 108 lbs, my height is 4'10. AGE:almost 13    Him: not as energetic, creative, funny, smart, can be a little kiddish but i don't mind. Swears Weight 120 ish and height is 5'0 AGE: 12      is he he one i think he is but he is just a litlle different and i care for him alot, but since he is so motivated by me i kinda think he should lose a little weight. Is he the one?
20090225141804AAJST64	Arts & Humanities;Books & Authors	Can you recommend some books that have been made into movies?	I love to read books and then watch the movie. What do you recommend?
20090128163337AAsHwsZ	Arts & Humanities;Dancing	When I leap my back leg can hardly get off the floor and straighten ?	I've been dancing for 4 years and Im very flexible on the floor, straddles roll throughs splits and I can also do fouettes and triples. But I just can't leap, I've never really been too flexible with my back, is that why ? What can I do to fix this, it looks realllly ugly and awkward.
20090128162226AAMqbix	Arts & Humanities;Poetry	Critique my poem please?!?	I was listening to Death Cab for Cutie one second, and I found myself penning this down the next, tell me what you think, I haven't even read over it, I just came here straight to check if it's a piece of discardable nonsense or something that I could...well....just keep. I don't write poems that often, when I do I just post them here because I don't think I could/want to show it to anyone that I know.       Blue Collar Revolution!      Like drumbeats to the sound of murder,    Our footsteps perturbed the snow,    Sliding slightly, out worn out, gripless shoes propel us further,   We walk together, a demonstration of sorts against the capitalists that have deprived us of our rights and dough.      Some chanting like sages in the name of love,   Some screaming 'f*ck the power' with impassioned tongue,   Bound by common purpose, here united come the lost generation, we've stepped out of Plato's cave much thanks to the god above.   Up leading the front row, Tyler Durdens screams "No more!", there he goes bombing up corporations self righteously, helping us recognize that we don't have our freedom anymore - none.      Buying sh*t that we don't need, people scared of people they don't care about, this whole social system has been designed to put the average man down,   Watch now as reverse Darwinism prevails, a lesser evolved species equipped better to survive,   We are the reason that you now frown, here we come burning down credit card companies, and soon you'll be watching your billion dollar house burn down.       A country of enslaved men, punished for the single sin of a singel man,   We're pissed of, mad, enraged as f*ck, we come to realize now, that we suffer because you wanted to make a quick buck.   The vision of this revolution is the reason why you wake up screaming 'Damn!'      As the lost generation grows older, it grows wiser too,    They're finally realizing that you capitalists are the reason they toss and turn in bed at night,   Capitalists, you're climbing up on the bones of the collars of blue,   Hear, hear, now: the higher yoou climb, the harder the blue collars knock you down, does this image not fill you with fright?      The day is comine, when they knock you down,   Hark, it is now five minutes to midnight, the time to revolt is right!!!
20090128162002AATK62g	Arts & Humanities;History	Compare and contrast slavery in Rome and Greece?	THink: What was worst slave for Rome or for Greece?
20090128162157AAysKHE	Arts & Humanities;Visual Arts;Painting	Dumb question, but what is the name of that Impressionist artist whose name sounds like Se - roy - ah?	I can't remember how to spell his name, hence I can't look up his work. :P      It's pronounce See - Roy - Uh . How do you spell it ?
20090128163352AAVxa11	Arts & Humanities;History	When did US Schools stop issuing history textbooks?	I see so many questions asked in this section that SHOULD be able to be answered by simply looking in the index of a High-School or Junior High School History textbook.      Here we are with kids SUPPOSED to be computer literate and they can't even do a Google search themselves ?? Do remember that according to "community guidelines" everyone should be over the age of 13... or with a 8th grade education.  Not to mention the atrocious spelling and grammatical errors.      GIVEN the fact that so many of the questions are asked in a "multiple-guess" format, I'm assuming that kids aren't doing their homework.  I honestly refuse to answer a question in that format.      Is there any question as to WHY the US is sliding down the tubes ?
20090225142736AAO54lG	Arts & Humanities;Visual Arts;Other - Visual Arts	Can you please help me find a picture of an angry women holding a wooden spoon?	I need a picture of an angry women holding a wooden spoon for a project I am doing. I can't seem to find one on the web so if you could help me that would be great.
20090128145232AAmU9tW	Arts & Humanities;Visual Arts;Photography	Was this picture photoshopped?	i want to send this to my friend but does it look photoshopped to you?  http://i336.photobucket.com/albums/n349/...
20090128160809AAB7tjU	Arts & Humanities;Visual Arts;Drawing & Illustration	What's your fave smiley faces to use?	Mine is:      :D   =]   :)   :]   :]]   :-)   ;)   ;-)   ;]   =D   ^_^   ^^   ^-^   =]]   n.n   n_n   n-n
