20090225101213AAS8M2R	Computers & Internet;Hardware;Monitors	Cylindrical box around the monitor cable?	Hej!         Whats the cylindrical boxes on both sides of the monitor data cable ends?
20090227125555AA43Uwq	Computers & Internet;Software	Adobe flash player wont load?	my computer is a hp and my internet is enternet explorer and when i go to youtube.com it says adobe flash player needs to be downloaded  and when i try to download adobe flash player it just sits there and dont even load all the way. as far as i no my javascript is on. o and i deleted adobe flash player a couple of days ago because it was acting wered and i was just guna reload it but like i said when i try to reload it it doesnt work plz help! 1st how do i download javascript 2nd how do i download flashplayer if the adobe site wont let me 3d how can i tell if my javascript is on?
20090227125658AAbDyuN	Computers & Internet;Software	Firefox adobe flash player issues!?	i have tried a million different ways to dl it, but it keeps telling me i must download firefox! i already have firefox, it is what i use!   this makes no sense! can anyone help me?
20090227131449AA10brL	Computers & Internet;Hardware;Laptops & Notebooks	When i insert a cd or game in my cd drive it doesnt load and nothing cums up in my computer its an acer?	i dont ave a clue wot to do its driving me mad its been like this for a while now its ever since i rebooted my whole laptop if anyone can help please do
20090227161034AAPJ2lB	Computers & Internet;Internet;Other - Internet	I need very cheap soild color party supplies?	pink and brown ... any websites people with cheap shipping !!!! helpp
20090227155607AAXYvOM	Computers & Internet;Hardware;Other - Hardware	My computer keyboard is not typing anything?	Im using the ONSCREEN KEYBOARD right now. I checked the connection and its plugged in, please help!
20090227153513AANZ4QR	Computers & Internet;Hardware;Add-ons	Having video card problems?	my friend just bought a new video card for his computer and when he boots the display is fine until after the windows loading screen is done then it goes blank.   Any suggestions?
20090227155515AAnPA7Z	Computers & Internet;Hardware;Desktops	Had a power outage and can't get connected on line. Any ideas?	N/A
20090227161420AATVBIG	Computers & Internet;Internet;Other - Internet	How do i get rid of these annoying advertisements?	Every time I go in YA I get adverts on the right hand side of the screen-it is very annoying how do I get rid of them?
20090227155300AA1Ar70	Computers & Internet;Software	Changing colors on Excel 2007?	How do I change the colors of the cell? Like if the cell is less than 5 the number automatically stays red and if it's over 5 stays blue?
20090227162213AAd3wRo	Computers & Internet;Computer Networking	Anyone have a blog on blogger I can follow?	Or any other blog site, I'm looking for one w/ beauty/fashion tips & also a music one. Cuz blogger doesn't have categories you can browse so I don't know how to find blogs. If you answer my question, I promise to look @ ur blog as long as theres no "adult content". Thanks :)
20090227154500AAW8rIj	Computers & Internet;Hardware;Desktops	Dell Dimension 4700 Memory Error?	Ok so about 4 days ago my Dell Dimension was very dirty inside! so I had to clean it out so it wasn't a fire hazzard. I had to take out the memory sticks (while it was off) to clean the hard to reach corners. I had 2 x 256 MB memory sticks. I took both of them out ,but when I put one of them into slot 2 (white one) and powered it on, I got a green light with the following beep code: 1 long beep 3 short beeps 2 long beeps. I can still boot up with 1 memory stick but I play video games a lot on this computer. I know the motherboard isn't bad.      Other details: OS: MS Windows XP Home SP3
20090227160931AAhR72n	Computers & Internet;Software	How do I print out a PDF file scaled 400%?	I downloaded this wiring diagram       http://www.minibuggy.net/forum/motor-eng...       But in it's current size it is impossible to read on paper. However, if I zoom in 400% it is fine. Problem is, I can't seems to make it print at this size on several sheets of paper.      Can anyone help me out?
20090227160620AAmWqbI	Computers & Internet;Hardware;Other - Hardware	Why does vista start up so slow?	i have windows vista ultimate and it starts up so slow it takes ages to start up like the vista loading bar that takes long the black screen with the green bar
20090227161618AA92wDd	Computers & Internet;Security	Help?!?! What do I do with this malware?	I'm currently using COMODO firewall and anti-virus. Just recently I detected a problem. The name of the virus is "unclassified malware@7719474" It keeps on coming back after I remove it from my computer constantly...what do I do?
20090227160506AAj2crW	Computers & Internet;Internet;MySpace	My myspace layout won't change?	well i do all the things i need to    i copy it on there and it doesn't work why?
20090227162255AAAcY1h	Computers & Internet;Security	I think Pctools.com gave me virus?	hello, recently my brother fixed my computer, but i had to screw it up, i downloaded a few programs and thought they would make my computer go faster but i ended up getting a virus, and i downloaded some stuff from pctools and was wondering if thats where i got the virus, so what im trying to say is, can you trust pctools.com, Is it a trusted website?
20090227154526AAK3Bx4	Computers & Internet;Other - Computers	Download an older version of limewire?	where can i download an older version of limewire with out getting viruses and all that bad stuff?
20090227154334AA3DEuJ	Computers & Internet;Internet;Facebook	PLEASE HELP!!! SIMPLE QUESTION!!!!!?	For facebook fan page, is it possible to find out who created the fan page? thanks!
20090227162129AAkwcKD	Computers & Internet;Security	I FORGOT MY ADMIN PASSWORD ON XP!!?	Okay i didnt,but my uncle did..and he died yesterday and we think he wrote his will in his computer he is the only one with a user account on it its admin password protected how can we get in promise to give 10 pts to the person who corectly answers the minute i can!
20090227161748AAE8H2A	Computers & Internet;Other - Computers	How can I insert a dashed line in Microsoft Word 2007?	a dashed line, for example, to write on later with pen.    I'd like to be able to select the length of the dashed line and choose where it starts from and where it ends.
20090227155701AAdaGhO	Computers & Internet;Hardware;Desktops	Why do MAC users feel as though there computers are so superior to PC's?	N/A
20090227155246AAEi9bk	Computers & Internet;Internet;YouTube	I neeed hellpz....pleaaaasssseee?	i forgot my youtube account password and i clicked on the forgot my password thing and did what they told me to do and it still hasnt emailed me my password! i did it three diffrent times! whats wrong? please help!!!!
20090227155144AAtYzlL	Computers & Internet;Security	Frostwire question???!!!!!!!!!!?	Is it like illegal? well I know it IS but like will i get in trouble for using it?
20090227155331AAVgeQI	Computers & Internet;Programming & Design	.     The ________________ across the bottom of the window identifies messages to the user.?	computer operating system
20090227155711AAemupq	Computers & Internet;Software	Computer operating system?	.     The ___________________ and _____________________ commands enable you to move information between different documents or applications, by using the operating system’s Clipboard feature.
20090227160200AAaTyYZ	Computers & Internet;Programming & Design	Why is any operating system also known as a “master control” program (in terms of computer systems)?	.
20090227160937AA9B4Zx	Computers & Internet;Software	Computer operating system question?	Why does the term desktop serve as a metaphor for the on-screen user interface of a Windows operating system
20090227154637AAm2yrN	Computers & Internet;Other - Computers	Transfering programs to a different computer via flash drive?	Okay so i want to add some programs to my schools computer, unfortunatly you cant download anything, so the only way i could do this is with my flash drive. What exactly would i put in my flash drive. Would i just put the whole folder that is in the C://program files or would i have to put the installation on there. I cant download winrar on there so what would i do?
20090227155719AA9lSOH	Computers & Internet;Internet;YouTube	Can Somebody Watch My Youtube Video And Leave Comments & Ratings On Youtube?	10 Points For The Best Commenter On Youtube       http://www.youtube.com/watch?v=nrTKHKzSz... 
20090227155428AAfb4j2	Computers & Internet;Hardware;Other - Hardware	Doubled Memory Seems To Have Slowed My PC?	I have a Dell Dimension 8200 that now has 2 gig of RAM and a 2.6 Pentium.   I use it for light business, and recreation such as YouTube, Music, Photos, etc.   For some reason it seems to take more time to open files and just use overall.   Is it because the RAM is sucking in useless memory because it's so large now?
20090227161332AAgO4mh	Computers & Internet;Other - Computers	When you copy / cut and paste data from one place to another, it is stored temporarily on the _______?	computer operating system
20090227161553AAaMCxO	Computers & Internet;Programming & Design	3. What does a Window in a Graphical User Interface (GUI) represent?	computer operating system
20090227161656AAcVhBK	Computers & Internet;Programming & Design	4. List and describe briefly at least 3 services that an operating system provides to active applications.?	computer operating system
20090227155344AAMXDrX	Computers & Internet;Internet;Other - Internet	Please read my blog and tell me what You think! im new to Blogging!?	i'm not really sure what you're meant to write in a blog... what type of stuff would people read? anyway please read mine! i'd much prefer complete  randomers reading it then close friends like...       http://hormonalfreak.blog.com/4630275/ 
20090227161100AAO8Wvw	Computers & Internet;Programming & Design	Website help about embedding video code into website?	Can you tell me if this can work, I made a website, instead of making  a video player I want to leave like a text area box so that people can embed their own video code onto my site themselves.  Can this work and if so do I have to make a form for people to sign up?
20090227155809AA5Wwuq	Computers & Internet;Internet;YouTube	Youtube friend bot????	Are there any youtube friend bots that are free?   I have the money but I just don't have a paypal account to download one off tellyadder.com
20090227162322AAij8op	Computers & Internet;Programming & Design	JAVA How do I check if a word exists in a String?	can any one help me to find a method that can check if a String "word" exists in a String "sentence"      thanks everybody!
20090227155242AAt3395	Computers & Internet;Internet;YouTube	What`s up with all the butt poppin on YouTube?	The question says it all. That`s some good TV!
20090227160608AAgu4lh	Computers & Internet;Programming & Design	How do yu put your Name, Adress, etc on Email, so it appears on every email that I send?	N/A
20090227161716AAwCK2i	Computers & Internet;Software	I have Vista and I've made a Slideshow with music on Windows Media Player. I'm trying to burn it on a DVD-R.?	Help?!    I have a DVD burn drive..
20090227155648AA05qzR	Computers & Internet;Software	How do i insert an image (logo) on to another image in photoshop cs3?	i have two images, one is the "monster energy drink logo"  and i want to insert that image onto a picture of a car, then i want to rotate it and make it a diffrent size so that its not to big not to small and not upside down..    how do i do this in adobe photoshop cs3?
20090227162103AAfXUBb	Computers & Internet;Hardware;Desktops	Whats happening to my computer?	I have Vista (yuck) I know. My Internet Explorer browser keeps going to blitz.com or some other commercial company. What should I do?   I have norton 2009 and scanned my computer but it found nothing?   Do you think Spy Bot Search and Destroy should pick up this bad stuff?
20090227161213AAFf66m	Computers & Internet;Security	Is Downloading torrents dangerous?	Im trying to get black metal and Brutal Death bands and i guess the only way to download them is to go threw torrents. Is that good will i get virues and also i need to get winrar is that a dangerous thing?
20090227160532AAkf6rY	Computers & Internet;Programming & Design	HC11;  in an "S" record,the record length is $04.The address is $0001.The Data is $02,$03,The checksum field=?	what is the checksum?   thanx
20090227155825AAcSV9b	Computers & Internet;Internet;Other - Internet	Can someone please help me with this?	I just started using earthlink today and I really hate it. I thought it was going to be better than aol, but it's really not. It's slow and I hate it. How do I tell them to cancel my account? I just signed up with earthlink today and already I want to cancel the account. Will someone PLEASE tell me how to do this??      Thank you
20090227160352AALWyut	Computers & Internet;Other - Computers	====++=VERY SERIOUS QUESTION-----____=+++=?	Ok , heres the deaL . Today in my home and careers class we had to use the computer to do some research . I was done a little bit early and was tired of going to educational sites . So , i dares my self to type in ***.com . I knew it was going to be blocked but I tried it anyway . Then I saw it said : CATG:IPORN . Then i got scared . I asked my friend in a jokingly manner - "just imagine if someone watched porn on the school cpu ?" . Then he said " dont you know . Thats what happened to (kids name ) . He got suspended " . I am really scared . I have never been suspended and want to keep it that way . Are they going to suspend me even if I only did it once ? What excuses can i make ? Plz , this is a serious question . DONT MAKE A JOKE OF IT !! THNKS ALOT!!!!!!!!!!!!!!!!!!!      BTW - I haVE A SCHOOL ACCOUNT SO THEY KNOW IT WAS ME !!
20090227161904AASRpHQ	Computers & Internet;Internet;MSN	Msn name colours! Please help?	I have the windows live messenger 8.5 and was wondering where I can download the messenger with all colour on the names?   Thanks...
20090227161615AAAO6nz	Computers & Internet;Internet;Facebook	My facebook account got disabled and i emailed disabled@facebook.com but they haven't replied?	i emailed them a few days ago and still i haven't gotten a reply.   could it be that they're ignoring me? and put me on their spam list or something?
20090227155610AAsOpie	Computers & Internet;Software	How do I get a song from iTunes to play throughout a PowerPoint?	my version is microsoft powerpoint 2007
20090227160451AA0AwK1	Computers & Internet;Software	Can i transfer free computer programs?	my computer has a virus and i can't get it to run the virus scan so can i burn it on a cd from my laptop and run it on my pc at home? if so how?
20090227160536AAaEucJ	Computers & Internet;Internet;MSN	Why can't I do boss protection on MSN?	I have Window's Live Messenger, if you must know. I tried pressing ctrl+space many times but it doesn't work. What kind of messenger do I have to have in order to have boss protection?
20090227161926AAqnFOs	Computers & Internet;Hardware;Add-ons	Will this graphics card fit this mother board?	Graphics Card -  http://www.scan.co.uk/Products/256-512-M...       Motherboard -  http://www.scan.co.uk/Products/Asus-P5N7...       Building my own computer and im not sure if it will fit
20090227160918AAmBpVW	Computers & Internet;Security	Free antispyware with real time SCANNING?	what is a good antispyware that SCANS my computer files real time in the background?..........does spyware guard (from lavasoft) SCAN files real time in the background?      (please dont recommend those free antiviruses cause i already have one!)
20090227160037AAoK2if	Computers & Internet;Programming & Design	I HAVE A "WZCSLDR2.exe" error!!!?	every time i boot up my computer i get this message    (" WZCSLDR2.exe-entry point not found: The procedure entry point apsInitialize could not be located in the dynamic link library wlanapi.dll")...i avoided the first couple times but now it is getting annoying...i have searched and found out that people have had this problem because they had not updated their D-Link Router after installing SP3(Service Pack 3)...but i never had a D-Link Router and my computer already came with SP3 i never uninstalled it or Installed it...This message started popping up out of the blue and i have no idea why...CAN SOMEONE PLEASE HELP ME!!!!!!!!!!
20090227160202AA6ZxQN	Computers & Internet;Other - Computers	I Want to copy a website?	I found a web template with html and css built in. I downloaded it and want to erase the copyright. It has a creative commons 3 license, but im wondering if i edit it a lot and change a lot of stuff and there is no trace of the original thing can i remove the copyright at the bottom (it says ex// Copyright 'so and so'-- Design by 'so and so')...      If i cannot do that can i atleast make the font for it a bit smaller and/or make the text color merge in with the background??         Thanks in advance,   Fenton.
20090227160856AA7FS8L	Computers & Internet;Programming & Design	How can i make an html code for.......?	I need to know what the html code would be to add a "promo code" to my payment page on an employment site?
20090227161717AANJ4hQ	Computers & Internet;Security	How do I block a computer from downloading certain softwares?	I share a computer with my roomate and he keeps downloading Ares and LimeWire and I keep erasing them. I hate this because he ALWAYS re-downloads them and I don't want any illegal music in my computer and certainly no viruses in my computer.   What can I do so that Ares or LimeWire CANNOT be downloaded again by my stupid, idiot jerk of a roomate?      Thanks !!
20090227155759AABeZFj	Computers & Internet;Internet;Other - Internet	How do you delete email addresses?	I have two gmail addresses, and a verizon one i want to get rid of.
20090227162209AA7ZaAf	Computers & Internet;Hardware;Printers	Plez help its about my printer?	well i accidentally delect my printer on my computer and i don't know how to get it back up there i went through the wizard thing-e and the plug-out and turn on printer thing-e and that still didn't work i really need help so helpppppppppppppppppppppppppplezzzzzzzzz...
20090227160126AAIkCXI	Computers & Internet;Internet;YouTube	Does anyone know how to put the "style" category on your youtube page?	An example would be..style:variety   sorry i could not explain well...
20090227161231AAWGvfI	Computers & Internet;Hardware;Desktops	What video card should i get?Help!I'm a gamer and i want to get a gooood card,and im on a tight budget.?	b4 i tell you my specs,one thing,I want to get an nvidia card not ati.   ok heres the specs:   PC name:Gateway 816gm   Ram:512 with 2gb virtual ram.   Current video card (Sucks!):FX 5200 128 mb   Hard drive (Don't think it matters...well here it is n e way) 200gb   Processor:AMD Athlon 64 Processor 3400+   Operating System:Windows XP,But i am going to get vista,my bro bought it but wants to stay on XP so if i need it for DirectX10 then i'll use vista
20090227160741AA0Af2j	Computers & Internet;Hardware;Desktops	Compaq presario sr2180nx installing RAM problem?	I bought a brand new RAM for the computer. Once I put it in the slot and turn it on, the computer makes continuous beeping noise and nothing comes up on the screen.       The computer supports PC2-4200 and 4gb RAM.      I bought a PC2-4200 DIMM 2gb RAM. Please help me with this.
20090227160005AAssmCe	Computers & Internet;Security	What makes for secure email?	Hi      On many bank websites they say you can't send sensitive information like account numbers by email.  Yet you can transfer any amount of money on the same site, in a secure manner.      First, what does the bank have to do for email to make it secure?      Secondly, presumably it is possible to do this, so why don't the banks do it?      Regards.
20090227162258AA65Vxu	Computers & Internet;Internet;Facebook	How come when somebody views my friend list on Facebook, it is a smaller number than the actual number?	My friend told me that on my Facebook profile, when she views my friends, before she clicks on it, it states 126 friends yet when she does click on it, the number drops to 97? I've checked my settings but I can't seem to figure it out ><
20090227161056AAcH2BN	Computers & Internet;Internet;YouTube	How can i capture video footage on my computer? any softwaree ideas? Now i am not talking about copying....?	Now i am not talking about copying other peoples YouTube videos, i am talking about putting a DVD in my DVD tray, and then recording a scene in a movie. any software ideas besides FRAPS?
20090227161342AAhA64h	Computers & Internet;Hardware;Add-ons	I need some tech geek (well not rlly)?	Can anyone send me a newer version of microsoft powerpoint?   Please?
20090227155616AAziIJz	Computers & Internet;Software	How do i get deleted itunes songs back on itunes?	i acidentaly deleted some songs off of itunes and i went to my recycle bin and their in there but i dont know how to get them back onto itunes i need an answer plzzzz
20090227155007AAVDQ7a	Computers & Internet;Internet;MySpace	Is myspace really as bad as people say it is?	N/A
20090227155704AACv9pj	Computers & Internet;Internet;MySpace	How do i make my writing on myspace different?	i need to how to make things bold, strike through and italic.
20090227155221AAW81Jy	Computers & Internet;Software	My computer got wiped, does that mean I loose my Itunes Music?	I recently had my computer wiped. Does that mean when I plug my ipod in to my computer it will sync and wipe off all the music off it?
20090227154226AAfMEiR	Computers & Internet;Hardware;Monitors	My computer keeps turning off?	It turns off n starts rites back up when I want it to n I tried it in safe mode it still turned off I virusesscanned itno viruses n the cooler seems to be working so what could this be pls help!!?!!8&)/&/
20090227160016AAtLGBr	Computers & Internet;Software	How do you download fonts for Movie Maker?	I tried adding them to my fonts folder, but they're not showing up...
20090227154917AAPdDEz	Computers & Internet;Hardware;Printers	How can I fix this on my fax/printer?	The manual feed for envelopes or small cards does not work properly.  When you insert it, the text comes out very crooked.  I called the company's help desk and they were unable to help.  Do you guys have any ideas please? Thanks!
20090227160644AAAqnGw	Computers & Internet;Hardware;Desktops	I have a Dell and a problem!!!?	I am trying to install Norton using a CD-Rom and my disk drive will not play the CD. Help!
20090227155539AAO3weK	Computers & Internet;Internet;YouTube	Question about YouTube?	I have a question about YouTube: Do you use Microsoft Word or Microsoft PowerPoint when making a video with photos?
20090227160231AAYvv6Y	Computers & Internet;Other - Computers	How do I make a cartoon of myself?	Please I do not want to use simpsons Character. Something like WeeWorld Characters but how do i get there?
20090227162416AAMkUO9	Computers & Internet;Security	Why does theesa.com have so many cookies?	I noticed it tried to save 13 cookies to my computer.
20090227154612AA3y8tq	Computers & Internet;Other - Computers	How to recover files after...?	you know when you buy a new computer it has to go through the setup/configuration. well my computer did that and its not even new its about 2 yrs old? is there any way to recover all the files and pictures and music?
20090227154616AARPnIB	Computers & Internet;Hardware;Laptops & Notebooks	Why is my laptop plugged in but not charging?	It says "10% available (plugged in, not charging)"   why???   thanks
20090227155235AAP7Lmw	Computers & Internet;Internet;Facebook	Facebook, Friends FAQ?	Um, on facebook the aplication called friends FAQ? Who makes the questions, and how can you tell who asks? And can your friends see what you ask and say about them? Easy points ;)
20090227154452AArKmBj	Computers & Internet;Other - Computers	WMP keeps freezing computer!!?	Whenever I try to play a file on Windows Media Player, my whole computer freezes.   The song will play for a few seconds, then stop. Nothing I click will work and the windows task manager won't come up. Then the cursor freezes and sometimes there's a "beep".   It doesn't unfreeze so I just have to restart it.      I have full RegCure now and I've cleaned out my registry leaving a few "empty registry item errors" because it doesn't get rid of those.   Whenever I restart again there's at least 50 empty registry item and file path reference errors.      Everything else on the computer works fine except for sims 2 which crashes my computer. Physical memory dump or something?      Anywho I would appreciate any help.
20090227160052AAApmeQ	Computers & Internet;Programming & Design	Best free site building site??	i want 2 add my laptop's library to the site.
20090227154613AAU9rXF	Computers & Internet;Computer Networking	I just reset my computer, how do I hook it up to the internet?	I now have Windows XP Professional. I have a wifi box hooked up already that works on the other laptop in the house. It came with a program called a netgear resource cd which i'm supposed to install. But i can't install it without internet already on the laptop.I have DSL from yahoo with a black box with five lights on it. How do I get that internet to go to the laptop so i can install the cd? what is an ISP? what is the configuration information it provides and where can i find it?
20090227154658AArrJF0	Computers & Internet;Security	Creating a user password in windows vista?	Im trying to create a password on my new computer running windows Vista.  I am on the administrator account and when i go and click "create password" and fill in all the blanks and click "OK" i get a box that says "windows cannot change the password."        Whats that all about?  There is not already a password on this computer, its only a couple days old.
20090227154748AA2xfMn	Computers & Internet;Other - Computers	How do i get the magnifying glass on the bottom right at my screen?	its magnifying hLASS THAT HAS THE PERCENTAGE. most f the websites i go on the magnifying glass is 100%. how  do i put it on there because its not there. i need it plz tell me how.my eyesight is bad and i have a book report due the day after tommorrow! =(
20090227155205AApVxbZ	Computers & Internet;Internet;Facebook	What do u feel about talking to girls on facebook chat?	i go on facebook mostly at night and me and this girls usually talk. well i would rather just talk to her when i see her in person. i dont really talk to her at all at school. we hung out the other week with a couple of guys and girls, and talked a good amount. but we always talk on facebook, but at school we never talk. we dont have classes together, but even when we see each other in the hallway no conversation. Is that weird?
20090227154847AAnq4kh	Computers & Internet;Internet;Facebook	What do u feel about facebook chat?	I go on facebook mostly at night and me and this girls usually talk. well i would rather just talk to her when i see her inperson. i dont really talk to her at all at school. we hung out the other week with a couple of guys and girls, and talked a good amount. but we always talk on facebook, but at school we never talk. we dont have classes together, but even when we see each other in the hallway no conversation. Is that weird?
20090227162032AAUubxK	Computers & Internet;Other - Computers	How can this be done?	I was wondering about that how can I send pictures that are on my computer to my camera?? I already have memory cards.
20090227155020AAeWxrd	Computers & Internet;Hardware;Monitors	XP Aquarium screensaver.?	Husband has a really excellent aquarium screensaver that came with his xp computer, i have vista 32, and would love to have this screensaver too.   Is there any way i can transfer it from his pc so i can have it on my vista laptop.   If so please tell me the steps i need to take.   With thanks.
20090227155022AAK5ReL	Computers & Internet;Internet;MySpace	Myspace Users: I have a question about mail.?	I recently sent a message to someone over myspace. I then blocked them immediately afterwards. The message had said "Unread" and now it just says "sent."       If you block someone, does it not let you know if it has been opened or not?      Thanks!
20090227155129AATiMnF	Computers & Internet;Software	Anybody out there using Reason 4.0 to make beats?	I just installed reason 4.0 and I can't hear nothing? whats wrong?
