20090129083424AA1TAYF	Health;Other - Health	How can we control or get rid of Sweat?	I am kinda person who sweats a lot.under arms.too irritating,pls help me
20090129083709AA9hpZz	Health;Diet & Fitness	Eating too much makes your face fat?	I know it sound weird?   My parents say its all in my mind....   Whenever you overeat specilly sweets when not gungry does that affect some part of your skin specially your face?   Like your cheeks get rounder and your face fat? in as little as 1 week
20090129083714AAUyfZF	Health;Women's Health	My vag smells like fish and onions how do you explain this?	I was at my moms house and i had to pee really bad i had just ate Mcdonalds. So as im in the bathroom it smells so bad so i turn the fan on and it wont go away its so strong. So once i find out where the source came from i took a shower. 1 week later the smell is still there. I've tried everything!! PLEASE HELP!!
20090129083549AAUSI3T	Health;Alternative Medicine	Do you know if b17 is dangerous or toxic?	N/A
20090129083611AAhqokC	Health;Diseases & Conditions;STDs	Irritation after sex ?	I have not had sex for 3 years and had sex using rubbing and latex condoms and am now experiencing itching.  Could this be an STI or infection?
20090129083652AAy9o0h	Health;Diseases & Conditions;Respiratory Diseases	Is a bong more healthy to smoke with?	in other words is it healthier than than a joint for example. i would think i would be because the water seems to filter some stuff out and a good hit off the bong seems to really work
20090129083731AApIjrp	Health;Diseases & Conditions;STDs	D.C Highest HIV/AIDS RATES Baltimore?	I live in maryland. We D.C and Baltimore has the highest HIV/AIDS rate in the country. We've been holding this title for almost 5 years. As of 2009, D.C is #1. It's from unprotected sex and needle sharing. Am I wrong for saying that most people with HIV are irresponsible? I know some people were born with it. Some people got it by accident. But it seems most people who have are just doing stuff they're not supposed to. Like having orgies with NO CONDOM with people they barley know. Not checking to see if the person they're sleeping with is clean or not.  Thinking "LOVE" is going to protect you from it. It's 2009 and people are still sharing needles. I can't believe that.
20090129083738AAzSaMg	Health;Other - Health	Serious question here!?	My nose on the left side feels hard above my nostril and looks a little swollen on the side of my nose also. In the mornings and during day I feel alot of pressure around it too. I am very worried it could be something serious, ive had it for awhile now. I just had a physical 2 wks ago and mentioned it to the dr. and she didn't seem concerned, although she really didn't pay attention to it either, but said she would refer me to a specialist if I was concerned. She also did the routine blood work during the physical and everything came out good. If it was some sort on cancer in my nose would it show up in my blood work? Thanks alot.
20090129084015AAcMGc3	Health;Diseases & Conditions;Skin Conditions	Lotion...natural..............…	What is the best lotion for your skin to make it look glowing and soft 24 hrs.My skin is already soft but I just can't find the right lotion.
20090129083948AAW6mS8	Health;Diet & Fitness	What if I only ate 2 yogurts each day for 2 months?	How much weight would I loose?      I need to lose it quickly!      has anyone tried eating one thing for the whole day? What was it?
20090129083809AAp1eP4	Health;Diseases & Conditions;Other - Diseases	Post gallbladder surgery--anyone else have a sick stomach all the time?	I had my non-functioning gallbladder out about two years ago. I felt nauseous before the surgery, and it's probably worse now. Anything heavy just SITS in my stomach. Anyone else going through this? What do you do about it? Thanks.
20090129083924AAHle5l	Health;Diet & Fitness	Are grapes fattening?	wanted to know if grapes are fattening.   what abt watermelons and oranges?   thanx in advance
20090129083807AA8vlAs	Health;Mental Health	I need help with study techniques and how to get the best out of my potential. ?	I'm in my GCSE year (year 11) and I'm really finding it hard to focus and concentrate. I'm not amazingly clever and I am more on the creative side of the learning spectrum rather than the intellectual one.      My subjects that I can excel in are English, Media and Drama. During December we did mock examinations which I truly 'screwed instead of getting my predicted A in English I managed to achieve a C! :( This is horrible and the rest of my grades weren't great except Media which was my A*.      I need study techniques and how to achieve the best of my ability, as I have said before I'm not overly smart I'm just average in subjects like Math and Science.       Also I managed to get an E in P.E. even though I got 28/40 in the written exam and people who got 22/40 managed to get a D! It's an outrage. I'm pretty crap during lessons though because I just think that I am utter sh*t and don't bother...         So as a summary I need you people to help me with these queries:   1. How do Concentrate during lessons and do work while not ignoring my friends?   2. How do I excel in not only the subjects I am good at but the ones I find harder.   3. How do I improve my confidence and self belief in P.E?   4. Any good study/revsison tips?
20090129083750AA93UFM	Health;Diet & Fitness	Where can I get a diet pill that has ephedra?	I would like to order something offline.  Please help!
20090129083749AA6LEO9	Health;General Health Care;Injuries	Slipped... Need help!?	I was taking a shower and I got out, not knowing the floor was wet, and grabbed my steel bristle round brush.  As I was walking across my bathroom, I slipped and landed on the brush, and the bristles are in my scrotum.  What should I do???
20090129083810AA13fR7	Health;Diet & Fitness	How do I get abs? (is this way effective)?	I need to be in the best shape I possibly can for a acting role Im getting into. I don't really eat much if at all...Im slim but now I want to get the abs, and firm up. Is this possible while pretty much not eating, or after?             Don't judge plz..wev'e all been there.                    Thanks,
20090129083912AAT4mTw	Health;Women's Health	Progesterone. Do I need it?	Hello all.      I am a male to female transsexual.  I'm 26 years old, and have been on Estrogen, for 10 years, under my endocrinologists care.  I have now, begun taking Progesterone (bio identical).  From what I have been told by some, and from some of my readings; progesterone is an unnecessary additive, in the transsexual regimine.  The male body, produces progesterone, as is, not to mention, but testosterone, would also, regulate, estrogen production also.  Now, my testosterone levels, are in the 30's, which  MAY be, why he prescribed it;  I don't know?  My doctor put me on Depo Provera, years ago, but it made me lactate.  That was the pits!  Besides, that isn't real progesterone, anyway.  I also heard, that progesterone, may be counterproductive.  By the way, I'm taking 100mg a day, of Progesterone.  Can anyone shed some light!?      Thank you.
20090129083914AABvoJt	Health;Diet & Fitness	How many Calories does your body automatically burn each day, without exercising?	Hello, I have been on a diet for about a week now, I am always up on my feet, im working on getting a treadmill, I have been eating about 1200 calories a day, I know that your body burns calories no matter what anyways, I am 5' 10" and I weigh 156 lbs, I basically just need to get toned, so if anyone knows how many calories your body burns automatically, or if i am doing anything wrong, please let me know. Thanks!
20090129084111AAAnJFh	Health;Other - Health	Do you get Stimulated in the morning?	So do you get stimulated in the morning when you wake up?  I do so much. First thing I do is have myself a cup of Folgers and a cigarette, course outside in the fresh air on the porch. How do you get stimulated in the morning?
20090129084211AAP7a1q	Health;Women's Health	Virginity????????????????	Is it possible that a person can be a half virgin. And if so please tell me easy 10 pts .
20090129084305AAyOqTv	Health;Diet & Fitness	What is it like to lose the smell?	now
20090129084339AAsIQCN	Health;Diet & Fitness	Is eating almonds bad?	Is eating Almonds bad for you? I eat a handful everyday? is this bad?
20090129084359AAXfbNg	Health;Diseases & Conditions;Other - Diseases	Anyones baby have G6PD, if so what concerns do you have?	I just found out that my daughter has G6PD and I was wondering how common is it and are you worried all the time about it. I'm worried that she might come into contact with something that she isn't suppose to and get sick. What kind of things did you do to protect your baby? Also what have you noticed about your baby when he or she did come into contact with certain meds or foods that caused a reaction?
20090129084046AAOXWu7	Health;Mental Health	How to remove my this problem ?	i have a problem of bad face expression ( u can say bit like a mad people) . i behave like a abnormal person . i want to be perfect in my face expressions .  how to do that ?
20090129084243AAdrZSf	Health;Diseases & Conditions;Infectious Diseases	Strep Throat/Levaquin?	My doctor prescribed me levaquin for strep throat.  I have now been on the the antibiotic for 48 hours and my throat is still killing me, my tonsils are swollen and white still.  Is this normal?  How long does this stuff usually take to start working?
20090129084206AA4EBs5	Health;Diet & Fitness	What are some good exercies?	For a pre-teen that i can do that aren't crunches or sit ups to lose me fat in my stomach
20090129084037AAUclDg	Health;Women's Health	How long can I go without birth control?	I ran out of pills and I couldn't afford them for about a half month until tomorrow. Can that mess me up?
20090129084044AAReZXx	Health;Other - Health	I'm always Cold, and tired, and recently....?	Basically, my body temperature always fluctuates like crazy. I easily get cold, and 5 minutes later I'll be burning up. My boyfriend always comments on my freezing hands and feet. Also, I am always really tired, and I have no energy. I am 17. And recently, I've been getting bad headaches. And, As of yesterday I feel like I have a lump in my throat whenever I swallow.      What could it be?
20090129084125AAUPTzQ	Health;Men's Health	My new (1st) gym workout-advice v.appreciated?	i've basically decided what my goal will be and how many days i will go 2 the gym etc so here goes...i want 2 do 4 days a week, i play football (soccer) 4 times also and i basically want a workout regime that makes me look gud e.g. nice tone everywhere, ripped without lookin sik lyk a hardcore bodybuilder (no disrespect, respect what they do) and jus generally an allround nice body abs etc without having bulk like a wrestler or somethin and i dont want 2 be skinny...i want 2 maybe put a stone (14 pounds) of muscle on which will take me 2 13 st (182 pounds). can any1 give me any tips in terms of how many sets i do per body part e.g. biceps 15 sets??? use a pyramid 12, 10,8 ? and how 2 have a nice shaped chest without it being big so my whole body is in proportion?, and jus generally how many sets i shud do per body part bcos i know my friend does 15-maybe 20 sets per body part and hes huge, is this what i shud do? he has huge arms in a gud way but i don't want the same bcos his arms are really big but not defined just like trees lol, thanks in advance
20090129084309AA2zhL5	Health;General Health Care;Other - General Health Care	Can you get sick by not eating, sleeping and crying a lot? Is it something you can end up in the hospital?	N/A
20090129084404AABfLIS	Health;Men's Health	Question about skin bridge?	i have a skin bridge on my penis. i was wondering if women would care about that? and does it affect sex at all?
20090129084439AAeJze6	Health;Other - Health	Whats something that makes yu sleepy ?	i have just lost one of my close friends . and im just not feeling up to it and finding it hardd to sleep at night sometimes .. whats something that i can do to make me sleep easyer ?
20090129084448AAnlOMn	Health;Men's Health	Is there any substance that when u smoke it, it makes u impotent?	I have some friends who don't like me too much. When I go to their place, they make me smoke something saying that it's weed!! They also smoke the same thing but then they eat something mixed with a cream or something else. Then i think they become hard. They dont give me to eat N talk abt things like being impotent, etc... Do you think they r trying to make me impotent??
20090129084537AALktuI	Health;General Health Care;Pain & Pain Management	Am I too young to Deal with Lower back pains? ?	Im 16 years old and Im going on 17 and I have experienced the worst lower and right side back pains . I currently do hair and Im looking for that to be my career choice but its to hard to work with a busted back. Especially when your  standing for 6-8 hours at a time. Someone Please Help me !!! My parent even went out and bought me a brand new bed but its still worst. My mother did have Breast Cancer that caused her back problems and she died from it !!!!! I really hope its not something that I am going though .    HELP !!!!!!!!!!!!!!
20090129085045AAlfbLj	Health;Women's Health	Women's Health - What could this be?	My period stopped about two weeks ago, but yesterday and the day before, I was still menstruating a little.   I've never had this before, I've always been fairly regular.   Is this normal?
20090129085624AAtuJR9	Health;Mental Health	Insomnia??????????????????? Please help?	I think i have it..... The only way i can sleep is when im dead tired and just cant go anymore. does anyone know anyway to help this. id like too sleep at normal times and fall asleep when I want to. I dont have health insurance so a doctor isnt an option. any advice?
20090129085350AAtXIRt	Health;Other - Health	Any ways to get rid of a cold instantly?	Well I have a cold.   Just the regular coughing, a bit sore, and tired.      Anything you know of that gets rid of a cold like instantly?     I want it to be gone by monday because the new semester starts and I have PE.      Thanks!
20090129085455AA3miSv	Health;Women's Health	Please help me,, Back ache!!!!?	I've got really bad back ache and i don't know why! I'm only 15 is there anything i can do to get rid of it thanks!          =] x
20090129085018AABvcHy	Health;Mental Health	Why is it typical for addicts, alcoholics, or depressed people to have reverse sleep schedules?	I know one of the symptoms typical of addiction, alcoholism, depression, or other physiological condition is to be up all night and to sleep most of the day.  Why is this?
20090129085754AAgJ3TM	Health;Other - Health	Where does drug tolerance come from?	Illegal or prescription.      Also;;;; If my system is clean of any drugs, is my tolerance back to normal..?
20090129085240AA6X9aV	Health;Diet & Fitness	Why yoga is being banned in some countries which is good for health.?	this is a one of the best exercises ,which prevents some types of diseases.
20090129085211AAcKLjC	Health;Diet & Fitness	I'm trying to look more toned and muscular?	Well im going on a diet program, I'll be eating NO SUGARS , and i will be consuming carbohydrates, and protiens. I'll be drinking protien shakes too!       So yeah i've decided to do cardio Everyday except for sunday, and do pushups and situps/ crunches.         will doing so make me look more toned and stuff?
20090129085631AA2x8aI	Health;Women's Health	Period cramps. can you please help me, fast?	Well, I just woke up at 11 and woke up to my period. I got into the shower thinking my cramps would go away but they only got worse! I got to the point where I thought I was going to throw up so I had to get out. As soon as I got out I literally fell to the floor and into a ball and couldn't walk. When I was able to move again I went to the bathroom and had some loose stool. And after that, my cramps got so bad to the point I couldn't move again, so I hurried up and went to my bed to lay down, and now they are killing me.      I just woke up and haven't ate anything so I can't take anything for them, and I couldn't eat right this second even if I tried.       Help  :[
20090129085446AANHjUs	Health;Diseases & Conditions;Other - Diseases	I'm a  25 female and my left arm is numb including my left leg?	last night at work my left arm starting from my ring finger and middle finger tips had a numb and tingly feeling go all the way up my arm in to my arm pit and the night before my left knee kept going out from under me it didn't hurt it just kept buckling from under me everytime i walked. oh and i a kept mixing my words up when i was talking i couldn't say the words right
20090129084615AA3FvBW	Health;Mental Health	I think I'm psychotic?	I have really bad jealousy problems. Toward my boyfriend though. Like for example this one girl just looked at him and I totally flipped out. And I flip out even when he just talks to another girl. I know I'm going way overboard here, but I can't help it. I don't know what to do. I love my boyfriend and I seriously want him to be the right one, and I know I'm holding on too tight. I keep telling myself to stop, but I just CAN"T. I've been through a lot of abuse and rape by boyfriends and people. And I know that me still trying to get over my past is playing a role of why I'm so protective over him. And its not just girls either. I don't mind him having guy friends, but I still get a little jealous because they take his attention away from me. And I'm very very protective of myself too. I hate other people looking at me, I hate guys, I just think there disqusting. And I notice I look at girls more than I do guys. But I'm inlove with my boyfriend, and i won't even but just look at girls, that's as far as I go with them. But I just flip out when somebody even tries to flirt with me (Sometimes even girls) or try anything with me at all. And I'm thinking maybe me being so protectvie of myself too could be the reason I'm so protective and jealous over him. Because I care about him just as much as I do myself. I don't know what to do. Can ya'll please give me some advice??
20090129084651AAiwCln	Health;Mental Health	Im so messed up, my dad told me to go kill myself, my ocd is taking over my life, and im so confused.?	what should i do? plz help
20090129084903AARuJVA	Health;General Health Care;Pain & Pain Management	How do I get an arch back in my feet?	I have minor shin, ankle, knee, and back pains and i was told they occurred because of my flat feet. Is that true and how can i get my arches back?
20090129085837AAvrNVG	Health;General Health Care;Injuries	How long did you do pt before finally having back surgery?	I have been having problems with my back since November and I have been doing pt twice a week, and I think it's making it worse. My back specialist last week told me that if it didn't improve may want to think about surgery. I'm 27 years old and I don't want to live the rest of my life on a pain scale of 9 for the rest of my life even on pain killers.
20090129085151AAWTweX	Health;Other - Health	Lump/bump in vein on leg?	Last night he was tickling me and I think I may have kicked his leg cause it tickled so much.. (I was moving like a crazy person) Anyway he got a small lump and it was painful.. Like a quarter size.. warm to the touch.. Maybe a vein.. We outlined it to see if it got bigger.. it actually disappeared in 20-30 minutes Confused Anyone have any idea? Could it have been a blood clot? Surprised He has been out of work for about 3 months now so I'm not sure.
20090129084729AAjQsIG	Health;Diet & Fitness	Has anyone purchased the womens body bible or something of that kind to make your butt bigger? ?	if so can i get some free tips?? lol plz plz plz thanksz
20090129085627AAJYFwK	Health;Dental	I got kicked in the face and the top half of my tooth snapped off. What will happen?	Will I need a fake tooth or just a capping? Nothing has rotted so would the dentists need to use a drill and will they need to numb my face? Little scared of needles
20090129085600AAiCcND	Health;Diseases & Conditions;Skin Conditions	Will getting a tan make a birthmark less noticeable?	N/A
20090129084956AAVFt6y	Health;Diseases & Conditions;Diabetes	Anyone know of any sites where I can buy insulin off people?	I use an insulin pump so I use a lot of insulin.  My insurance only covers half.  So I pay 250 for insurance and 400 per month for insulin.  I am in the process of finding new insurance but in the mean time I need to buy some insulin.  Even the Canada sites sell for $50 a vial.  Does anyone know of a site such as Craigslist where people may being selling unused or surplus insulin vials?
20090129084908AAa3gvM	Health;Mental Health	How do i get out of my mothers house?	im 20 in college but living at home..i dont have a car or a job (because i dont have a car) and she pays all my bills. i have grown to hate my mom because she still treats me like im 13 ive been trying to get out for a year now...i just cant seem to get the money together or a cheap place...so now my mom refuses to bye me a car...she found out i was trying to leave and got pisses...what do i do?
20090129085237AAlf8pX	Health;Diseases & Conditions;Skin Conditions	What are these small dark itchy spots showing up on my skin?	the spots have started showing up in the past week. when they first appear they look like dry ashy spots then, they get darker especially if i rub or scratch. so far i've noticed about 5 spots to show up. AND I"M GETTING WORRIED! HELP!
20090129084639AAUbMnF	Health;Diet & Fitness	Going to the gym..what excercises do i do in order to burn 3500 from 1pm till 3pm?	N/A
20090129085202AAHiN8m	Health;Diet & Fitness	What vitamins boost your metabolism?	?? i wanna loose wieght, but i have a slow metabolism. how can i increase it
20090129084626AAnixLY	Health;Mental Health	How do I asssure my psychologist she doesn't have to worry about me?	I'm not really sure what to do. I recently started seeing a counselor at the beginning of the summer and in dealing with some sexual abuse issues for the first time I felt really overwhelmed. I felt like I was losing control because for the first time since I can remember I was allowing myself to feel. I tried to put control back into my life by restricting my intake (bad idea I know) and that got a little out of hand so in trying to get control over that my cutting became more frequent (at least every other day). My counselor at the college I attend doesn't know that I cut but she did refer me to a psychologist after I lost 120 pounds in 5 months. (I was 285--now I'm 160) I told my new counselor about my cutting (mistake again) and now she won't get off of it. She is constantly saying how concerned she is that I'm going to kill myself. How do I help her understand that I'm not   trying to kill myself but that this is just something that works for me right now. She also keeps asking me to show her--Isn't that a little off--I mean why would I want to show anybody? I don't know what to do. I don't want to lie to my psychologist and tell her that I've stopped cutting if I haven't but I also want her to see me as someone she doesn't have to worry about because I don't want to have to stop going there. My counselor and psychologist are the only 2 people I have to talk to about stuff like this and if my college counselor finds out she'll have to report it because of the college's policy. My psychologist has said she might have to tell my counselor if I can't stop but I can't and don't think I want to. I don't want to lose either support person and don't know what to do. Can you help?
20090129084809AAQb3ye	Health;Diseases & Conditions;Skin Conditions	How do doctors remove moles?	if you go to a doctor and ask to get a mole removed how do they do it?   and does it invole surgery plus is it quick and painless?
20090129085001AAXwDtV	Health;Diet & Fitness	What is the most weight you have lost in the shortest amount of time? ?	What did you do for exercise and eating?  I am 5'6.5 and 155, I am hoping to drop 20.  What were you when you started and finished?  Also measurements, because sometimes you don't lose the weight but you lose inches.  I'm 38.5 - 30.5 - 39.5 BTW I am 16.    NO ACAI BERRY CRAP
20090129085625AA7cInt	Health;Diet & Fitness	Loss of period from eating disorder?	I struggled with anorexia for two years. I lost about 70 pounds. Anyways I stopped getting my period and its going on two years since I have gotten it. And the past couple months I have been getting a lot of hot flashes..could this be due to the loss of period? Am I going through menopause or something?  Im only 22. I can't get into the dc for about another month so im just seeing if anyone could help me out...thanks
20090129084612AAPmPro	Health;Diet & Fitness	Natural Supplements in aide to weight loss?	I am wondering what are some NATURAL supplements to help in aide of weight loss. I am currently taking green tea extract, a multivitamin, a B vitamin complex, fish oil, L Glutamine, and L Carnatine... Are there any other out there that help with metabolism or weight loss?
20090129084618AApzyf4	Health;Diet & Fitness	Is it possible to lose 100lbs in at least 3 ? months?	I’m a 17 year old girl who weighs at least 260lbs. Diagnosed with Diabetes since June 2000. I have a Junior/Senior prom coming up on May 21st and I wonder if it’s possible to lose 100lbs by then? So far I have started exercising since 2 weeks ago 6 days a week and I have yet to see any results…       All I’m doing for exercising is doing a 30-min workout tape, 10-min treadmill, and 10-min stationary bike, as well as some weight training for 10-min… If I keep this up, will it help?       Please no negative comments or answers, I've had enough of that already in person... I hate it...
20090129084622AAt53Te	Health;Women's Health	WHATS YOUR TAKE ON THE BIRTH CONTROL... 'NUVARING' AND THE 'PATCH'...  ?	WHATS THE PROS' AND CONS OF THEM BOTH, FROM YOUR OWN EXPERIENCE...       I'VE NEVER HAD SEX BEFORE... AND HAVE NEVER USED ANY KIND OF BIRTH CONTROL... I'M GETTING MARRIED IN OCTOBER...   I'M 22 YRS OLD...   ... AND I REALLY DON'T WANT CHILDREN FOR A COUPLE OF YEARS...       I'M REALLY BAD ABOUT REMEMBERING TO TAKE MY VITAMENS EACH DAY... SO I DON'T THINK THE BIRTH CONTROL PILL WILL WORK WITH ME...      HOW MUCH DOES THE 'RING' AND 'PATCH' COST?      I DON'T HAVE ANY INSURANCE...
20090129084646AADuIzf	Health;General Health Care;Other - General Health Care	How do you go about getting into the radiology technologist hospital program?	I'm trying to understand how to go about getting in the hospital program. Would I go talk to the diagnostics team at the hospital or how does it work exactly?
20090129084655AAspjBe	Health;Diet & Fitness	Fasting To Lose Weight?	I am trying to lose 60 pounds by June. If I fast once a week (on Wednesdays) and then eat like 1300 to 1400 calories a day after that, can I lose weight like that. I am already losing weight just by eating right but it just isn't coming off fast enough for me. I lost 10 pounds this month, but I want to lose like 13 or 14 pounds per month over the next 3 to 4 months. I am a female that weighs 235 and I am 5ft 10in tall so I am really suppose to be eating 2300 calories a day but since I am dieting I reduced my calories by 1000 deficit per day to lose as much weight as I can between now and June.
20090129084838AAPOHkC	Health;Dental	HElp with a Frenectomy?	If I have a frenectomy will I start lisping or will I talk the same way I always have?
20090129084847AAzZaFd	Health;Diseases & Conditions;Other - Diseases	Regular blood transfusions versus bone marrow test and shots weekly?	my father is anemic with low blood count.  lately he has been having to get blood transfusions every 3-4 weeks.  they suggest he get a bone marrow test then from there do shots weekly.  he doesn't know which was to go
20090129085003AAR9q2v	Health;Diet & Fitness	How to start exercise in a gym help me?	hi guys i am a boy and weight:96 kgs aged:22   height:5 feet 9 inches         i didnt went to gym till today and i just want to get some fit body i will say u i am a big foot with huge body and i will be frank i cant give a single push up   i dont have a good gym instructor at my place i want some help i am starting gym how to work out to reduce my weight i dont want a rapid change i just want a change so can any one help me plz guys i need ur help
20090129085157AAcqmRO	Health;General Health Care;First Aid	My ear is all red and is peeling it also feels like it is burning. What can i do to make it stop? ?	my ear is burning on the back and in the middle of my ear. if you know why this is happening or  what i can do please tell.   THANK YOU!
20090129085234AAN2okC	Health;Diseases & Conditions;Other - Diseases	There is a tingling sensation in the back of my head/brain...?	I've read the other questions posted about this, but none of them seem to be what I am experiencing.  It feels like there is a small rain stick being tilted in the back of my brain, always in the same place, above the nape of my neck to the back of my skull.  Other ways it could be described are: pop rocks, crackling the back of my brain, or soda with tiny little pebbles in it.  It can go on for anywhere from 1 to 30 seconds at a time and happens at least 3 times per day.  It's happened before (about for the past 4 years?) but only every 4 months or so.  After it happens it literally feels like my brain has been lifted off of my head and is just levitating over it.  And sometimes it feels like it originates in my brain, but then other times it feels like it is swooped up from my right shoulder into my brain.  Also, when it happens, it feels like this fizziness has sucked in all of the mass from the rest of my brain and is just kind of compacting it into this mindless energy.  It isn't painful, just very annoying because I can't concentrate in class.
20090129085544AAqzfL3	Health;Diseases & Conditions;Other - Diseases	What are preventions/treatments/cures for the smith magenis syndrome disease?	N/A
20090129085632AAoYZwe	Health;Alternative Medicine	ONLINE MEDICINE SITES!!!!?	Has anyone ever bought anything off of www.the-med-store.com. Is it legit?
20090129085634AApeJgh	Health;Diet & Fitness	What to eat to refuel the body in between games?	I coach a team of 7th n 8th graders who have a 9am game then a game at noon the same day for a tournament.  What should I tell them to eat in between games that will not be too filling and will help re-energize them for the later game?
20090129085743AAk0e5X	Health;Diet & Fitness	How do I get rid of lower stomach fat? ?	I have less than 10% body fat, exercise 6 days a week and eat healthy. Somehow I STILL have fat over my lower abs. How can I get ride of this and define them? I have tried all kinds of exercises/cardio.
20090129093829AAnj95Z	Health;Alternative Medicine	What is colon hydrotherapy? Does it work? Will I feel cleaner?	Let me know about it
20090129093937AAK3oRA	Health;Mental Health	Taking xanax to stop anxiety caused by lexapro?	I have been prescribed xanax to stop fast heart beats and panic attacks caused by lexapro. I have been advised to stop taking Lexapro and I have been taking it for 2 days. Anybody know when the fast heart beat should stop? And if it is ok to take .25mg xanax 3 times a day.
20090129094854AAgf6lT	Health;Diet & Fitness	Is it ethical for me to lose weight?	For about the last 2 months, I have been doing quite a bit of exercise in hopes of training for a marathon.  As a result of this, my body has needed more calories than it usually has.  However, I am experiencing quite a problem where I am gaining weight at a very rapid rate (I weighed 161 in December and am now almost 180 pounds).  I am still technically at a healthy weight since I am a six foot tall man.  My body's metabolism has been sped up to ridiculous levels, and it is giving signals for hunger all of the time, even though I try to feed myself enough food to only satisfy my appetite.  Since I am only trying to satisfy my body's need for calories, is it ethical for me to lose weight?  I am scared that I might have some kind of eating disorder and I am also scared that I will never stop gaining weight.  I feel like hell a lot of the time and my sleep patterns are becoming more and more irregular.  Has anyone experienced this problem? I have not become any more inactive during the last 2 months as far as exercise goes.
