20090307160135AA84YER	Society & Culture;Mythology & Folklore	Do you Yahoo,, Or have you been Yahoood, or Do you Google or Have you been googled?	Who is watching you
20090307130746AAj6sIT	Society & Culture;Religion & Spirituality	How will Jesus Christ come back for his people ?	How will Jesus Christ come back for his people ? This is a simple question that may people do not know the answer to .... Some people said that he will fly from the sky onto the earth ..... hmmm fly through the atmosphere .... how foolish no wounder more people are becoming less Christian, The Law of this World that this Great Lord created wont allow for people to fly EVEN Jesus, Jesus was BORN a HUMAN and human CAN'T FLY through space. what foolishness ..... now if he can't fly through space, how would he come back to his people?   ANSWER he shall be born into this world once AGAIN !!!!!!   IF it happened once it came happen AGAIN,   it's up to u to believe this space flying Jesus or   the REAL Jesus who shall be reborn into this world again.   (NOT THE 1st but the 2nd)   Am i wrong or right?
20090307144725AACwCmH	Society & Culture;Religion & Spirituality	Are you a mean person?	N/A
20090307125630AAD5qUw	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Lgbt: lesbians fall in love fast?	true or false?.. i just heard it somewhere.      mini poll: dunkin donuts or starbucks?       <3 u LGBT hugs.
20090307140023AAhdZKW	Society & Culture;Languages	How do you say "my p**is is big" in spanish?	also what are huge and d!ck in spanish?
20090307150849AAxTs1U	Society & Culture;Religion & Spirituality	Was Adam & Eve so naughty that they made sharks eat living animals and fish?	If they hadn't of been so sinning, would we be able to stroke sharks like they was pets nowadays?      And would we live forever with our pet sharks because thered be no death?
20090307141701AA0VOtG	Society & Culture;Religion & Spirituality	Gay ex-mormons why did you leave the church?	Was it the lifestyle or the temple ceremonies or something else. My cousin stlll has no problem with the temple ceremonies so it must be his lifestyle (he won;t admit it) so I wondered about gay mormons or ex-gay mormons.
20090307134318AAcFjS4	Society & Culture;Religion & Spirituality	Is the End of the World Near?	Do you want to know what the Bible---God's Word has to say about the End of the Age and the return of the Lord? Don't repond to this post. Simply e-mail me at the address below. I will glady share the truth with you. It could keep you from being left behind when the Lord returns for those who belong to Him.      David   believer_in_jesus37421@yahoo.com
20090307150214AAYhOKq	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Do you know when someone is a gay or bi guy without asking? or you notice that by his acting effeminate?	N/A
20090307152323AA8q0TN	Society & Culture;Religion & Spirituality	When was the world created?	N/A
20090307143707AARqKwh	Society & Culture;Religion & Spirituality	Why did Evolution kill science?	First I want you to look around and stare outside your window.  Look at the trees and birds.(Yes, the sun will sting your eyes a bit since you never been outside in a while.)  If you are not outside yet, go!  You can't stay in your mom' basement forever.  Now, while your back at your computer, think for a moment how everything was created.        Would it interest you to know that people use to think that people believed God created it?  I bet your thinking why I am asking these "ridiculous" questions.  I want you to know, are they really ridiculous as you perceive them to be.      Before, your parents would tell you that God did it.  You would say okay and not say how you feel.  In your head you go      "Oh really?  So a "magical" fairytale creature in the sky created everything with his "magical" pixie dust?  Are you really this delusional you sheep?"      We would go investigate further and come a hold new information.  This my friends, is how we came across scientific discoveries.      Now lets examine how they would respond if you so much as questioned God.  So lets just assume you replied with "Do you think perhaps God didn't create everything?"      Your parents first emotion would be anger for threatening their beliefs and the next step after that would be ridicule.   "You don't question God boy!  I don't know who is brainwashing you with this nonsense but you are just being delusional.  Who has been telling you this nonsense?  God is proven, everything else isn't.  End of discussion!!!"      Ouch!  That was harsh!  Why would the parents react that way if they felt so strongly that what they were saying is true?  You can safely say that they are "Closed-minded" for rejecting anything that doesn't fit into their ideology of what they believe to be true.  You guys can agree with that right?      Now today, its a common belief that everything was arisen from evolution.        First I want you to look around and stare outside your window.  Look at the trees and birds.(Yes, the sun will sting your eyes a bit since you never been outside in a while.)  If you are not outside yet, go!  You can't stay in your mom' basement forever.  Now, while your back at your computer, think for a moment how everything was created.        Would it interest you to know that people think that people believe evolution created it?  I bet your thinking why I am asking these "ridiculous" questions.  I want you to know, are they really ridiculous as you perceive them to be.      Now, your parents would tell you that Evolution did it.  You would say okay and you would assume them to be correct you don't believe they would ever lie to you.  Their your parents after all!  Why would they lie?      but some people would go people would go      "Oh really?  So a "magical" unproven theory says that nothing came from nothing and magically created something which magically rearranged itself into self replicating bits which is what made up everything?" ?  Are you really this delusional you sheep?  Do you know how complicated the cell is?  The processes that occur in the cristae within the mitochondria are complex by just that alone?"      We would go investigate further and come a hold new information.  This my friends, is how we came across scientific discoveries.  But now we don't question evolution because if you do you are considered to have no knowledge about science.        Now lets examine how they would respond if you so much as questioned Evolution.  So lets just assume you replied with "Do you think perhaps Evolution didn't create everything?"      Your parents first emotion would be anger for threatening their beliefs and the next step after that would be ridicule.   "You don't question Evolution boy!  I don't know who is brainwashing you with this nonsense but you are just being delusional.  Who has been telling you this nonsense?  Evolution is proven, everything else isn't.  End of discussion!!!"      Ouch!  That was harsh!  Why would the parents react that way if they felt so strongly that what they were saying is true?  You can safely say that they are "Closed-minded" for rejecting anything that doesn't fit into their ideology of what they believe to be true.  You guys can agree with that right?      You see, our skepticism about the current science of the time has propelled our understand of life.  There is a new mannerism now.  We don't question current science anymore.  We accept it with open arms and we fail to discover any other possibilities.      We now believe that there is possibly no other explanation other than the fact that there is no god.  We no longer question current beliefs.        If we even so much think that there is a designer we are ridiculed as being ignorant of science.  We are told that we don't know about the protein pumps within the cell membrane or the fact that only plant cells have a cell wall or even that humans do not have the proper tools to break down cellulose as to which is why we have corn in stool.   Just because we have an objec
20090307133235AAO3lWe	Society & Culture;Holidays;Ramadan	Poll: Did you convert to Islam from another religion?	What made you do that?
20090307132131AAqp1gr	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Who has it the best, who has it the worst?	Blacks   Latinos   Asians   Whites   Native Americans   Middle Easterns      IN GENERAL ;)
20090307143155AANbICs	Society & Culture;Religion & Spirituality	How does God keep talking to Moses in Numbers Chapter 6 and 7 of the Holy Bible?	Where was the location of Moses, during all of this time?      How did Moses have time to write this stuff down and remember it?
20090307134243AAGm9A3	Society & Culture;Religion & Spirituality	Have you ever thought to yourself "Is God real"?	Have you ever wondered about the things that goes on in this world?      Have you ever thought "Did God create this world"?      Have you ever thought "Why was the Holy Bible written"?      Have you ever thought "Is the Holy Bible telling me the honest truth"?
20090307135943AAA8oWC	Society & Culture;Languages	Maa Punjabi Jattss ANSWERR MEE?	sasriaakal, kiddhaa?   well ye probably know what imm ask n this is it what bhangra songs do u absulotly LOVE.   i need some for mi dance and imm remix songs so lemme know, peferbly i want miss pooja FAST remixes    any song will acutally do but it needs to be a asong where i can so bhangra moves on      thun vaad maa DESSSI JATTS :)
20090307151006AAWfNWH	Society & Culture;Religion & Spirituality	Who else celebrates lent? what did you give up?	N/A
20090307151443AAIPdnE	Society & Culture;Religion & Spirituality	Mormons, is this cartoon a good overall picture of your beliefs?	 http://www.youtube.com/watch?v=zy0d1HbIt...       I know it is old and I here some aspects of Mormonism was changed since then, but would this be an honest representation of your beliefs corning these things?       This is not to make fun or anything, I am just curious, is all.
20090307134415AA7oZCe	Society & Culture;Religion & Spirituality	Why did god make me interested in diesel locomotives?	N/A
20090307133852AAmFpLK	Society & Culture;Religion & Spirituality	To The Christians: How old were You when you really actually accepted Jesus into your Life?	i was 13. but now im 14 1/2
20090307134228AAwxL23	Society & Culture;Religion & Spirituality	Christains, name the scripture that suggests you can take it figuratively if you want to?	Always heavy intellectual casualties on the side of the religulous.
20090307124646AAlQrsg	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Don't MTFs who remove their testicles lose their sexual desire and become depressed?	i've heard that it usually happens to people and animals who are castrated.
20090307145004AApmyTr	Society & Culture;Religion & Spirituality	What minority, (preferably religious), would you like to see take the Office of the President next?	N/A
20090307134133AAg6L1q	Society & Culture;Holidays;Ramadan	What do you do when two friends argue and you're in the middle?	What do you do when two friends argue and you’re in the middle? They both are good friends to me so I don't want to get involved really but I’ve spoken to them both separately but it hasn't really helped.  What shall I do to sort this out?
20090307134907AABx4nj	Society & Culture;Languages	Help with my paper for French Honor Society!!?	I have to write a paper on why I want to be in the National French Honor Society, but I don't know how to start it and what to write about.  It only has to be 10 sentences, so it should be easy, I really just need help starting without being to cheesy, like "I want to be in the National French Honor Society because i like french."
20090307132254AAZxdLE	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Should i be a hordie or alliance?	and why
20090307130640AAgrN1x	Society & Culture;Religion & Spirituality	What is the holiest place you have ever visited?	N/A
20090307130906AAnTrdX	Society & Culture;Religion & Spirituality	Are there any Christians here who believe in ghosts?	Most Christian I know say there is no such thing as ghosts.  (I understand the bible says they don't exist).
20090307130313AAdZ1xR	Society & Culture;Languages	Where do surnames ending in -one originate from?	Does this surname ending come from a particular place, or it it overall common?
20090307150852AAdb3zf	Society & Culture;Languages	What does this kanji mean?	I am preety sure this is kanji, I do japanese...       http://kaptainkitty.deviantart.com/art/M... 
20090307144845AA7bxQR	Society & Culture;Religion & Spirituality	Do you think on that on other planets?	they have their own version of Jesus the saviour and his God?
20090307143404AAQ9aHB	Society & Culture;Religion & Spirituality	Why did god make men feel weak after sex?	If we're supposed to be the stronger sex.
20090307151653AAdJ0h5	Society & Culture;Religion & Spirituality	Awakening to the Truth!?	There has been lies!  Many lies!        Government, Religions and Corporations have lied to us for so long for the supremacy of power and control of their people!   The Mayan Calendar consciousness is talking how this time of year is that of awakening to the truth to whom you are and how your perceive the world to be around you.      Ever since I have consciously questioned everything that I hear, read, watch or believe I have done so well in signifying the truth.      My question for you:   How have you found the awakening to the truth during this shift in consciousness?
20090307143656AAKUBZG	Society & Culture;Religion & Spirituality	Does god watch jerry springer?	what do ya think he thinks of it?
20090307145311AAg56Tj	Society & Culture;Religion & Spirituality	If there is no proof in your faith, then how can you believe in it?	N/A
20090307151451AAv4m9A	Society & Culture;Religion & Spirituality	If I have my belief and my proof in my faith and satisfied with that, what do I need you for then?	I don't seem to understand the process here, everything you wanted you have, what else is there for you to attain since you attained it?
20090307145003AAdsVhe	Society & Culture;Religion & Spirituality	If I have proven my faith, is that not more than what you have in your faith?	N/A
20090307145105AAiQ6mS	Society & Culture;Religion & Spirituality	Is there a building up to faith, then proof and then truth, or is that what they don't want you to see?	N/A
20090307145725AA6B7ZC	Society & Culture;Religion & Spirituality	If you could do one thing in the world what would it be?	If you could do one thing to change the world what would it be? I have to think about my question before I answer it. Thank you
20090307132639AAM2le5	Society & Culture;Holidays;Ramadan	What is the best present u have recieved and given?	N/A
20090307135646AA7jl8O	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	He likes me right, what should I do?	so I'm a senior one of my freshmen friends has an ex who is at least bi-curious as he has stated, we think he is full gay. I am gay which he knows, he hugged me like three times with in an hour which doesn't point to anything I think. Then he told me what boxers he is wearing and pulled his pants down so that I could see, and just me no one else. Then later he was like I have no butt, and I thought it was cause he wasn't wearing skinny jeans and he was like even with that I don't here feel and he wanted me to touch his butt. The next day he grabbed my butt when he hugged me goodbye and asked if I like his. Does he like me? what do i do? and I found out his mom has cancer.
20090307143942AAdbBze	Society & Culture;Religion & Spirituality	Who will find the cure for cancer first?	Science or religion?      ...and does religion do anything constructive at all?      I am a little bias as several members of my family have already been cured of cancer. So I'm with science.       ...of cause all the scientists that developed those treatments will be going to hell ;0)
20090307141449AA7bMzx	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Did we choose our own gender/sex?	What if God gave us a choice when we were still in the womb, and telling us the advantages and disadvantages of both genders, and what we picked is what we got? And the moment we come out is the moment we lose all memory of what happened, and our communication with God is lost because of our sins?      But this question is not about sin, it's about our genders. Were we the ones that selected it? So if this was true, then transvestites don't have the right to change their genders lol.      Now I want to be a girl, since being a boy is pretty boring. You pretty much can do anything a boy can do, and still look good doing it. You get to wear all those pretty clothes (of BOTH genders as well), make up, nails, and have more variety of hair styles. You are less likely to have diseases and early deaths. I'm gonna miss the muscles though, but girls can get that too if they try.
20090307141600AAGFpK1	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Have you ever notice that Native Americans look asian?	I just moved to Native American reservation about two days ago and I've notice that they all look asian kinda like the latinos do.
20090307144536AAr6pGw	Society & Culture;Mythology & Folklore	I have just been bitten by some pale looking woman with fangs?	Do I need to go to the hospital? My wife says I should, but than she will know that I was playing Monopoly with a another woman.
20090307134349AAHUd5q	Society & Culture;Mythology & Folklore	Would you share your experience?	What are some life lessons you have learned? About anything.
20090307133412AAO5XyR	Society & Culture;Religion & Spirituality	What happens after death?	since most if not all people will eventual die someday. Alot of people wonder this. religion tries to offer an answer to this in most if not all cases. like if you are christion you most likely belive you will go to heaven if your good and hell if your bad. so my question. What do YOU personly believe happens to you after you die?
