20080308021313AA2Q39G	Education & Reference;Homework Help	Do you have an outline of an A* monologue for fiction and non fiction, its for my coursework :)?	Non fiction out line of what to include, and fiction and non fiction.Thank you
20070218113655AAC9jVQ	Education & Reference;Trivia	Si vous ne deviez garder qu'une chose entre les livres, l'internet, la télé et la radio, laquelle serait-ce?	N/A
20070207213616AAtFUDo	Education & Reference;Words & Wordplay	Un électricien a t'il le devoir de mettre son apprenti au courant ?	N/A
20070110132632AAR68ay	Education & Reference;Other - Education	Quel mot détestez vous prononcer ?	N/A
20070131124256AA9J1ad	Education & Reference;Words & Wordplay	Est-ce que c'est chouette d'avoir un e-boulot ?	N/A
20061030090434AAFm9zS	Education & Reference;Teaching	Study techniques?	I should prepare for my Final exam from Slovak language and literatue (my first language). How can i remember all those authors and books (title+plot+ basic problems+names of characters)and characterisics of various periods (antique period until1990)?  Its impossible to read all of those books.  Any ideas how to memorise that?
20070218090716AARQexu	Education & Reference;Trivia	Me falem uma recente noticia de geografia??	ae pessozal quem sabe srespondeee
20070221123117AAnuwm3	Education & Reference;Homework Help	Alguém poderia me ajudar?	A pergunta é a seguinte: Como era o comportamento humano relacionado a religiosidade, antes mesmo do surgimento da ciência?
20070215092613AAGmfj3	Education & Reference;Homework Help	What are some differences and similarities between cordless phones and cell phones?	N/A
20070112142403AAzcymt	Education & Reference;Other - Education	How do you write a bibliography?	N/A
20070221113212AAXnTua	Education & Reference;Trivia	Existe algum país que n?o seja banhado pelo mar?	N/A
20070203012157AAbFTLQ	Education & Reference;Trivia	Si j'oublie le sujet de mon mémoire, est-ce préjudiciable pour mes études?	N/A
20070104235047AAxCji5	Education & Reference;Standards & Testing	Wie ist es Richtig?	Wie wird das wort richtig geschrieben?      Bech, Beiwe, Beige, Beiche oder Bege?:)      und wie wird dieses Wort richtig geschrieben?Ist zwar ein bl?des wort aber egal...      Estacy, Extasy, Extaicy, ?xtaisie oder Extasie?:)
20070103025516AAd8o31	Education & Reference;Other - Education	Quick Question?	What are the five w's?      Thanks.
20070207195652AAi7TTV	Education & Reference;Homework Help	HElP on PRe-AlGEBrA????!!?	i really dont get this..   A table and 8 chairs together weigh 97 lb. If the table weighs 25 lb, how much does each chair weigh?? HOW do you do this?? i dont want just the answer.
20070221184246AAG6b0p	Education & Reference;Other - Education	Cuando toco a mi pareja?	Despues de acariciarle todo el cuerpo y lograr que la zona de la vulva este bien lubricada trato de ir al clitoris de mi pareja. Al tocarlo y aplicar precion en el y masajearlo de lento a rapido me dice que no puede mantener las piernas abiertas y que no le gusta tanto como se siente. Alguien me podria decir que pasa? porque se le cierran las piernas y porque dice que no le gusta la sensacion que le da? Yo me he educado bien a como hacerlo para que le guste pero al parecer nada sirve. Por favor respondan. Gracias
20070218200732AAQJFPD	Education & Reference;Trivia	Qual  o feminino de var?o?	Var?o  o nome que se da a figura masculina (homem)
20070221100930AApzdoq	Education & Reference;Words & Wordplay	Cual es la palabra  mas larga del mundo sin abreviado q sinifica y la palabra mas larga delmundo idioma espa?o	cual es la palabra sin abreviado mas larga delmundo y cual es su sinificado y la palabra abla espa?ol mas larga del mundo y su sinificado
20090114105802AAomte7	Education & Reference;Words & Wordplay	Word to describe a change in opinion?	N/A
20070205064929AA3z75b	Education & Reference;Words & Wordplay	Un clic-clac peut il en avoir sa claque d'être utilisé au fond d'un claque par toute une clique?	N/A
20070207211943AAP8Mxy	Education & Reference;Words & Wordplay	Est ce que la belette d'un rat qu'on teint dans tous les cas se tord de rire?	N/A
20070220173313AA4lYHp	Education & Reference;Studying Abroad	Em quanto tempo, aproximadamente, posso come?ar a falar inglês?	Tenho um bom conhecimento na língua, um vocabulário bom até. Come?ando esse semestre, no Yazigi por exemplo, em quanto tempo posso estar fluente na lingua?
20070211090404AAWbe6Y	Education & Reference;Primary & Secondary Education	Avez vous dèja lu l'?le au trésor?? de R.L STEVESON?	combien dure l'aventure de Jim Hawkins ?   je l'ignore
20061205095942AAULi09	Education & Reference;Homework Help	Physics work problem?	A 4 kg block slides down a frictionless incline making an angle of 28 degrees with the horizontal. The acceleration of gravity is 9.81 m/s2.   Find the work done by the gravitational force when the block slides 1.2 m along the incline (in Joules).   What is the total work done on the block (in Joules)?   What is the speed of the block after it has moved 1.2 m if it starts from rest (m/s)?   What is its speed after 1.2 m if it starts with an initial speed of 1.3 m/s (answer in m/s)?      Thanks. The solution to any or all of these questions would be extremely helpful.
20061105115046AAJYyni	Education & Reference;Words & Wordplay	?How do you spell" i love u" in Vietnamese?	N/A
20081025075831AAfZWEv	Education & Reference;Teaching	PLEASE ANSWER ME: What do Teacher's Assistants OR Secretaries do?	I'm 21 & I graduated from college this yr  with an A.A degree. I currently work at Burger King & I absolutely HATE IT!!!!!!! My managers are very rude & disrespectful. Yesterday I got into an argument with one of them & her attitude was so disgusting. I'm fed up right now & am trying to find a much better job ASAP!      I'm thinking about temporarily working as a teachers' assistant or a secretary at a H.S in my area. But before I make a decsion; I'd like to know exactly what a TEACHERS ASSISTANT does & what a SECRETARY does.      Please Help!      I appreciate your answers folks!;-)
20081026085437AAZ30vs	Education & Reference;Words & Wordplay	Is this sentence gramatically correct?	Each step I took resonated a thousand times, bouncing off the barrel vaulted ceiling and filling the air with the thundering boom of my Nikes.
20081026171729AAiM3Fv	Education & Reference;Primary & Secondary Education	Question about American schools...?	Okay so I'm writing a story that's set in California but I live in England so I don't have a clue about American schools lol   I've got another question aha      Okay so you go to junior high for 2 years, right?   Well, after that 2 years is up does everyone just go straight on to like the same high school?    What I mean is like here in England you have 7 years in primary school and then you have to apply for the high school you want to go to and you all go your seperate ways, and loads of people from all different primary schools go to high school with you.   So like is it the same in America? Or is there like a junior high and then a high school that follows on straight from that with all the same people, if you get me?   Ah, I don't think that makes sense at all.   But yeah I'd appreciate some help if you understand at all what I'm talking about lol
20081028152946AAvp1hC	Education & Reference;Words & Wordplay	He wants to make an entrance.What does the phrase mean?	N/A
20081107184952AA5zrtG	Education & Reference;Higher Education (University +)	Why do fungi need phosphate, carbon and ammonia for growth?	why do fungi need phosphate, carbon and ammonia for growth? and what happens if it does have enough?
20081108152228AAN6XGC	Education & Reference;Other - Education	Can Identical twins be male and female?	I was wondering because identical twins come from the same egg... so i was wondering ifthey could be male and female... from my understanding twins are rarely male and female theyre usually the same gender but just curious
20081115165442AAtnTuY	Education & Reference;Higher Education (University +)	What should my major in college be according to my interest?	Sports, music, children, helping people
20081116111050AADENX3	Education & Reference;Primary & Secondary Education	Would student scores rise if we lengthen the school year and day?	N/A
20081119222332AABuYVG	Education & Reference;Primary & Secondary Education	What are good ideas for high school fundraisers?	I attend a very small k-12 school and the secondary only consists of about 200 students for a small school like mine what are good fundraisers?      btw we cant sell candy.   
20081119223000AAh6rIi	Education & Reference;Homework Help	Essays??????????? so, what do you think ? what? what ? tell me ?	do u think this is a good essay ?   How to raise a spoiled child                      Raising a spoiled child is very easy it gets easier if you were spoiled yourself. Any parents can raise a spoiled child, having a lot of money isn’t required to spoil a child. Even if you weren’t spoiled when you were a child it’s still doable to you. Here are the steps to raise a spoiled child.                  First of all saying no to the child is a no to you. A 7 years old child doesn’t like to be told no even if he or she was playing with knives you still shouldn’t say no to her or him , but instead say “ this isn’t what pretty/handsome girls/boys do “ . If the child wanted to be the boss in the house and give you orders then you should do them with a big smile on your face, also you should tell yourself that this what being a parent is all about. A Cell phone and an I-pod are a must and you shouldn’t get them a fake cell phone because they can tell, 7 years old child wants a cell phone that can take pictures and if you can’t buy it then just give them yours.      Second, the child doesn’t get blamed for anything. If one day you think the spoiled child is just being too much of a spoiled brat and should be sent to a religious strict school. Then you should stop that negative thinking and start thinking positive by giving yourself positive thoughts saying that you deserve this because you are the one who got that child in life in the first place. If the child broke a jar in the living room its not his fault, its your fault as a parent that you put it there according to Murphy’s law anything that can go wrong, it will. The child shouldn’t get the blame for this because at the end of the day he or she is just a child.       Third, the child should always be invited to other’s parties and birthdays. It is your responsibility as a parent to socialize your child with the kids in the block. You should be informed about all the parties that go on around your area and get your child inside those parties. However if you weren’t informed about a party in advanced then just crush in, and just before drive your child to the party ,at the car tell the child that this party is actually for him or her but the people lost the address so they put it here. And if somehow he found out that was not invited to any birthday parties it’s still not his fault that all kids are mean. After that all what you can do is to throw him or her a birthday with the excuse that its his or her older brother’s birthday but you forgot about it because you are too busy looking for a cell phone that takes pictures. And no matter what people say, Santa is    real.      In conclusion, if the child grows up and reaches 40 years old with social, financial, mantel, psychical problems. It’s still not his fault it is your. Remember?! You spoiled him/her!   
20081119225049AAaHAN3	Education & Reference;Words & Wordplay	What kind of sentence is this: Is she your sister? No, she isn't.?	N/A
20060822002907AAfpHRd	Education & Reference;Primary & Secondary Education	This is not my bracelet. It is not Siti's bracelet. Synthesis :........neither....nor?	N/A
20060824204331AAIdUa6	Education & Reference;Higher Education (University +)	Currently Psychology Degree Holder. Is it too late to pursue a degree in Law at 28? Will my market value drop?	N/A
20060907165701AAvW67m	Education & Reference;Homework Help	Which sport does each student play?	Four students ae seated around a square table. They each played a different sport: basketball, baseball, lacrosse, and soccer. The baseball player sits to the left of Deanna. Julie and Jake sit next to each other. The lacrosse player sits across from William. A girl sits to the left of the soccer player. Which sport does each student play?
20060913222135AAfGc9O	Education & Reference;Higher Education (University +)	Electrical Engineering Problem from Basic Circuit Theory class. Can you solve it?	Electrical Engineering Question?  I am taking a circuit theory class at UMD. Any EE in the house?    So suppose you have a voltage source Vs which has some internal resistance, Rv, running DC power connected in series with a single resistor, R1.    The questions my professor is asking are the following:  1) what should the load resistance be in order for the power to be maximized? and 2) what is that maximum value of that power?    The professor says we can use numbers for "partial credit". I'm thinking this question involves some type of trick. I mean, I suspect the power on the resistor is going to be P = (V^2)/Req, where Req is the sum of the resistances of the internal resistance of the voltage source, Rv, and the resistance of the resistor, R1.
20060919153714AABEHrb	Education & Reference;Homework Help	I need help on math.?	How do I do this?      1.) A planter weighs 2 pounds and holds 3 pounds of soil. Write two equivalent expressions  for the total weight of 9 planters. Then find the weight.            2.) A uniform costs $42 for the sweater and $29 for the slacks. Write two equivalent expressions for the total cost of six uniforms. Then find the cost.
20060920124555AAIujo8	Education & Reference;Higher Education (University +)	Estudar medicina na bolívia, compensa?	N/A
20060924114502AAAeJfj	Education & Reference;Other - Education	If the burden of an excise tax is shifted completely onto the consumer, we can say that?	a. supply is price inelastic and demans is price inelastic  b. supply is perfectly price inelastic  c. demand is more price elastic than supply  d. demand is perfectly price elastic  e. none of these    2) If a sales tax is imposed on a good prodicesd by an industry which exhibits a positive-sloped supply curve, and demand is not perfectly price inelastic, then the price:  a. paid by the consumer will not change  b. paid by the consumer will rise by the tax  c. paid by the consumer will rise by less than the tax  d. paid by the consumer will rise by more than the tax  e. received by the producer will increase    A staright-line demand curve has which of the following properties?    a. varying slope and varying supply ealsticity  b. constant slope and constant price elasticity  c. constant income elasticity with varynig slope  d. constant slope and varying price elasticity  e, none of these
20061001191113AAu2HTJ	Education & Reference;Homework Help	How does encyclopedia begin?	N/A
20061003094739AA0WxwC	Education & Reference;Other - Education	Where can i take classes for my CNA license besides a university. I can only go to a public place in NYC?	N/A
20061101091430AAcRhX5	Education & Reference;Homework Help	What are teepees built with?	im doing this for a social studies report
20061104125919AA71pJ3	Education & Reference;Trivia	Por que nós homens só sabemos pensar em sexo 24hs?	sexo
20061104142059AAWsS85	Education & Reference;Homework Help	To precisando de uma for?a pra fazer um trabalho de fisica vcs podem me ajudar?	Movimento De Queda Livre   *Quais s?o as fórmulas e quando usá- las?   *Aplica??o deste movimento no dia- a- dia
20061113214440AA5q0En	Education & Reference;Homework Help	Math question?	The odometer on Anitha's car showed 25952km. The number 25952 us called a palindrome. It reads the same forward and backward. Anitha drove for 2 hours, and the odometer showed the next palindrome. How far did she drive in the 2 hours?         First good answer gets my ten points!!
20061114095341AA7BHvo	Education & Reference;Homework Help	Ich suche was über Kath.Kirche St.Maria Geburt im Elsdorf.Auf welche Internet Seite finde ich das?	N/A
20061116131834AAa2Z2P	Education & Reference;Other - Education	Can i view wal-mart paystub 6 months ago?	N/A
20061117001249AAZHz1y	Education & Reference;Primary & Secondary Education	Wo ist berlin?	brauche hilfe
20061126191738AAwecRt	Education & Reference;Other - Education	What effect of new racses hve on America?	N/A
20061127074800AAJzGtB	Education & Reference;Homework Help	K?nnt ihr mir mal bitte das erkl?ren ?plsss?	wie subtrahiert man Rationale zahlen ? da sollte man ja die gegenzahl addieren,aber wie geht es ?   z.B. das:   (-18) - (+12)   (+7) - (+2)   (+9) - (-5)   (-17) - (17)      will keine ergebnis wissen,sonder will nur erkl?rt bekommen wie man das rechnet.
20061128130802AAJHGMV	Education & Reference;Words & Wordplay	Was ist der Unterschied zwischen den begriffen DNA und DNS.?	N/A
20061203145919AADv4nt	Education & Reference;Homework Help	Math question: Find the percent of the area under the standard normal curve between z = 1.41 and z = 2.83.?	Please help me answer this question ASAP.
20061203155515AAJcZBQ	Education & Reference;Homework Help	Is anyone able to help me with this math problem?	the problem is 4x^3y(3x-2y)^2/(3x*2y)^2      The is answe is x^3/y - 4x^2/3 + 4xy/9
20061203171523AA4KYFM	Education & Reference;Homework Help	Factoring Binomials...?	I need help with these problems. it says Factor.      a. 49x^2-16      b. 27a^3-8      c. x^3+64      d. 8y^3+ 1
20061204173942AA63PhE	Education & Reference;Words & Wordplay	What is the meaning of casa miga?	Saw this on a bc licience plate. Am intrigued. Is there any particular meaning?
20061212133034AAZVK6N	Education & Reference;Words & Wordplay	What is EDF?	N/A
20070104080518AAJjqmB	Education & Reference;Higher Education (University +)	Which are the best B-schools in Delhi and NCR?	The institutes which consider MAT score and what is their qualifing score??
20070105104939AAkjdbv	Education & Reference;Standards & Testing	Wie sieht ein Einugstest für ein Spanischstudium aus?	Ich m?chte im WS 2007/2008 Spanisch LA an der Uni Freiburg studieren und muss dafür einen Eignunstest machen. Wei? jemand was ich da alles wissen muss? Hat jemand von euch schonmal einen gemacht?
20070118082756AA0DpA8	Education & Reference;Words & Wordplay	I need short rhymes using rhyming words?	like,  I have apuppy.,its name is Tuffy.              It likes honey, it is very funny.
20070123184720AALXaZH	Education & Reference;Other - Education	How can I get off to a good start in High School?	"I fear failure..."
20070129215611AAp65jY	Education & Reference;Other - Education	Quelles sont les principales cités de  Ittoqqortoormiit?	N/A
20070203222220AALRtIy	Education & Reference;Higher Education (University +)	What is the benefitial for me pgdba course pgdbm or mba?	N/A
20070205230316AAiI7SF	Education & Reference;Other - Education	Im a degree graduate and i want to study again,what course will you offer me?	N/A
20070217173324AAeOw8R	Education & Reference;Primary & Secondary Education	Temos cada vez mais analfabetos com ensino médio no Brasil,como mudar tal situa??o?	N/A
20070218030541AAPdSyg	Education & Reference;Primary & Secondary Education	Comment appelle t on les habitant du suisse?	N/A
20070218085052AAbhKty	Education & Reference;Trivia	Qual a pronúncia correta de "Laguna Beach"?	N/A
20070314024448AAu3vLK	Education & Reference;Trivia	Ahhhhhhhhhhh! bom dia, acordar bem cedo ou dormir até mais tarde, qual você prefere?	eu levanto 5:45 atualmente, o dia rende mais, acordo mais disposto e cheio de energia, mas nem sempre foi assim, qdo jovem e irresponsável levantava 10, 11:00 horas, mas prefiro o horário de hoje!   UM EXCELENTE DIA A TODOS.
20071119163915AAjzwTT	Education & Reference;Trivia	A mulher do vizinho é sempre mais interessante... mas isso é adultério, mesmo em pensamento, como se desligar?	N/A
20070402051254AADvNpP	Education & Reference;Higher Education (University +)	Qual'è stata la ragione che via ha fatto scegliere una determinata facolta'?	all'universita piuttosto che un'altra?   dite scelta e motivazione
20071021094110AAw75XL	Education & Reference;Higher Education (University +)	Gente! Gostaria de uma informa??o!?	Vcs sabem me informar como que h o mercado de trabalho pra quem h formado em Sistemas de Informa??o? Algum na area? Grata, desde j! beijos.
20070915110728AAwic7E	Education & Reference;Trivia	Orgulho do Brasil?	Orgulho do Brasil  .  ... as vezes nos enveredamos pelo caminho da crtica por ser o mais simples e esquecemos de ver o outro lado.  como aquela "velha estria" de valorizar o que n?o temos e esquecer tudo que de bom faz parte da nossa vida. Leia o texto que segue e pense a respeito.Ser BrasileiroCOMENTRIOS DE UMA       HOLANDESA SOBRE O BRASIL...     "Os brasileiros acham que o mundo todo presta, menos oBrasil. E realmente parece que  um vcio falar mal do Brasil. Todo lugar tem seus pontos positivos e negativos, mas no exterior ele maximizam os positivos, enquanto no Brasil se maximizam os negativos. Aqui na Holanda, os resultados das elei??es demoram horrores porque n?o h nadaautomatizado. S existe uma companhia telef?nica e (pasmem!) se voc ligar reclamando do servi?o, corre o risco de ter seu telefone temporariamente desconectado.Nos Estados Unidos e na Europa, ningum tem o hbito de enrolar o sanduche em um guardanapo - ou de lavar as m?os - antes de comer. Nas padarias, feiras e a?ougues europeus, os atendentes recebem o dinheiro e com mesmam?o suja entregam o p?o ou a carne. Em Londres, existe um lugar famosssimo que vende batatas fritas enroladas em folhas de jornal - e tem fila na porta.Na Europa, n?o-fumante  minoria. Se pedir mesa de n?o-fumante, o gar?om ri na sua cara, porque n?o existe. Fumam at em elevador.Em Paris, os gar?ons sao conhecidos por seu mau humore grosseria e qualquer gar?om de botequim no Brasil podia ir para l dar aulas de como conquistar o cliente."Voc sabe como as grandes potncias fazem para destruir um povo? Imp?em suas cren?as e cultura. Se voc parar para observar, em todo filme dos EUA a bandeira nacional aparece, e geralmente na hora emque estamos emotivos. O Brasil tem uma lngua que, apesar de n?o se parecer quase nada com a lngua portuguesa,  chamada de lngua portuguesa, enquanto que as empresasde software a chamam de portugus brasileiro, porquen?o conseguem se comunicar com os seus usurios brasileiros atravs dalngua Portuguesa.Os brasileiros s?o vtimas de vrios crimes contra sua ptria, cren?as, cultura, lngua, etc... Os brasileiros mais esclarecidos sabem que tem muitas raz?es para resgatar as razes culturais. Os dados s?o da Antropos Consulting:1. O Brasil  o pas que tem tido maior sucesso nocombate  AIDS e outras doen?as sexualmente transmissveis, e vem sendo exemplo mundial.2. O Brasil  o nico pas do hemisfrio sul que estparticipando do Projeto Genoma.3. Numa pesquisa envolvendo 50 cidades de diversos pases, a cidade do Rio de Janeiro foi considerada a mais solidria.4. Nas elei??es de 2000, o sistema do TribunalRegional Eleitoral (TRE) estava informatizado em todas as regi?es do Brasil, com resultados em menos de 24 horas depois do incio das apura??es. O modelo chamou a aten??ode uma das maiores potncias mundiais: os Estados Unidos, onde a apura??o dos votos teve que ser refeita vrias vezes, atrasando o resultado e colocando em xeque a credibilidade do processo. 5. Mesmo sendo um pas em desenvolvimento, os internautas brasileiros representam uma fatia de 40% do mercado na Amrica Latina.6. No Brasil, h 14 fbricas de veculos instaladas eoutras 4 se instalando, enquanto alguns pases vizinhos n?opossuem nenhuma.7. Das crian?as e adolescentes entre 7 a 14 anos, 97,3% est?o estudando.8. O mercado de telefones celulares do Brasil  o segundo do mundo, com 650mil novas habilita??es a cada ms.9. Na telefonia fixa, o pas ocupa a quinta posi??o emnmero de linhas instaladas.10. Das empresas brasileiras, 6.890 possuem certificado de qualidade ISO 9000, maior nmero entre os pases em desenvolvimento. No Mxico, s?o apenas 300 empresas e 265 na Argentina.11. O Brasil  o segundo maior mercado de jatos ehelicpteros executivos.12. Por que nao se orgulhar em dizer que o mercadoeditorial de livros  maior do que o da Itlia, com mais de 50 mil ttulos novos a cada ano?13. Que o Brasil tem o mais moderno sistema bancriodo planeta?14. Que as agncias de publicidade ganham os melhorese maiores prmiosmundiais?15. Por que n?o se fala que o Brasil  o pas maisempreendedor do mundo e que mais de 70% dos brasileiros, pobres e ricos, dedicam considervel partede seu tempo em trabalhos voluntrios?16. Por que n?o dizer que o Brasil  hoje a terceiramaior democracia do mundo?17. Que apesar de todas as mazelas, o Congresso estpunindo seus prprios membros, o que raramente ocorre em outros pases ditos civilizados?18. Por que n?o lembrar que o povo brasileiro  umpovo hospitaleiro, que se esfor?a para falar a lngua dos turistas, gesticulae n?o mede esfor?ospara atend-los bem?19. Por que n?o se orgulhar de ser um povo que fazpiada da prpria desgra?a e que enfrenta os desgostos sambando. ! O Brasil  um pasaben?oado de fato.20. Que os brasileiros s?o considerados os maioresamantes do mundo, enquanto que os ingleses e os rabes s?o os piores?21. Que os brasileiros tomam banho todos os dias, svezes mais de um pordia enquanto que os europeus tomam em mdia um porsemana? O pas do mundoonde a Gessy Lever mais vende sabonetes  o Brasil.Bendito este povo, que possui a magia de unir todas asra?as, de todos oscredos. Bendito este povo, que sabe entender todos os sotaques. Bendito este povo, que oferece todos os tipos declimas para contentar toda gente. Por que o brasileiro tem a mania de s ser nacionalista e patriota durante a Copa do Mundo?Se fosse assim todos os dias, vibrador como  durante a Copa, talvez hoje o Brasil seria uma super potncia...Bendita seja, querida ptria chamada Brasil!Divulgue esta mensagem para o mximo de pessoas quevoc puder. Com essa atitude, talvez n?o consigamos mudar o modo de pensar de cada brasileiro, mas ao ler estas palavras todos ir?o, pelo menos por alguns momentos,refletir e sentir orgulho de ser BRASILEIRO!!!
20070416093219AAdJKrL	Education & Reference;Quotations	Em que site posso obter informa??es detalhadas sobre o governo de Delfim Moreira?	N/A
20070415005649AANHttr	Education & Reference;Words & Wordplay	Conductive to good health? conductive to good health?	I understand what the word "conductive" mean, like heat, electricity and sound thing, but what does " The school enviorment is conductive to students' learning." mean? Is the word "conductive" has the same meaning as it is in like "The food is conductive to good health."? help !!! I'm really confused a lot.
20070713012854AAgfn6R	Education & Reference;Higher Education (University +)	Hoje em dia,no Brasil,voce acha importante fazer uma faculdade?	Conhe?o engenheiros que tornaram-se vendedores de carro,médicos que hoje s?o donos de bares,siderúrgicos que tornaram-se políticos, e por aí vai.
20071213072915AAqMzgh	Education & Reference;Other - Education	"Eu fui a casa de uma amiga" Qual preterito seria?	preterito nominal   preterito verbal   preterito verbo-nominal
20070609074836AAvokrT	Education & Reference;Homework Help	Onde há verbo transitivo indireto????	a) O juiz apitou.Os jogadores saíram.   b) Pegue todas as bolas, goleiro.   c)Mantenha a cabe?a no lugar, serginho.   d) Lembrou-me do tim?o de 1998.   e) O goleiro desvia a bola com a ponta dos dedos.
20070411015403AAQyjSj	Education & Reference;Higher Education (University +)	Mi togliete un dubbio????	se una persona frequenta l'ultimo anno du superiori quand'è ke deve iscriversi all'università ?ci sn dei tempi stabiliti o meno? e sopratutto bisogna iscriversi durante l'ultimo anno di sup o in estate ? risp grazie
20070330060213AA2oUbs	Education & Reference;Quotations	Come posso trovare tt le opere di senofonte su internet?mi serve x tradurre 1 versione?	N/A
20070420024854AASsyHF	Education & Reference;Home Schooling	études totalement gratuites en ligne?	je recherche un site francophone proposant un réel éventail d'études totalement gratuites et pas seulement superficielles (certains cours ont une cinquantaine de chapitres) en ligne dans le style de celui-ci (qui est en espagnol):  http://www.mailxmail.com/  en connaissez vous?
20070312132020AASuN7k	Education & Reference;Trivia	DECLARATION D'AMOUR: Mes chers Yahoonautes, JE VOUS AIME. Et vous ?	N/A
20070309094356AA8OyhX	Education & Reference;Teaching	Supletivo é necessariamente um ensino a distancia?	N/A
20070506184445AAbUnol	Education & Reference;Other - Education	Quelle est  l'origine du mot "minoune" en québécois?	N/A
20070621185048AAgJfab	Education & Reference;Primary & Secondary Education	Por que em dias nublados n?o ocorrem relampagos e trov?es?	N/A
20070825011759AAGf5Aa	Education & Reference;Trivia	1 Sra. diz hoje ta calor e a outra diz contrario.qual delas tem razao ?	Sabendo que antes encontravam-se na mesma casa.
20071205041943AANos3Q	Education & Reference;Words & Wordplay	Forma potica cultuada pelo Arcadismo?	N/A
20070224225653AAoCj90	Education & Reference;Words & Wordplay	What are kangaroo words? Why are they so called? Give some examples.?	N/A
20070302141957AAW8sVa	Education & Reference;Primary & Secondary Education	Pourquoi l'ambassadeur vient-il trouver la belle aux cheveux d'Or?	N/A
20070303065603AAvisqb	Education & Reference;Other - Education	Totalement découragée avez vous des conseils? J'ai une maitrise je n arrive pas à trouver du travail...	Bonjour à tous, je suis vraiment découragée et suis preneuse de tout conseils...J'ai une maitrise de psychologie mais je n ai pas été prise en dernière année, que faire de mon dipl?me sur le marché du travail??J'ai 27ans et reprendre une longue formation ce n'est pas possible car je voudrait m installer avec mon ami...Mais sans travaim comment faire???Vos conseils ou idées seront les bienvenus!!!
20070307004149AA3fc6l	Education & Reference;Primary & Secondary Education	Where can i get 10 std karnataka ntse results?	can you pleeeeeeaaaaasssssssssseeee mention the site and how to go about it to obtain the results?
20070308170312AAeS23c	Education & Reference;Trivia	O QUE é PROXINETA?	QUEM PUDER ME RESPONDA...
20070308180608AAOCqWT	Education & Reference;Other - Education	How can i improve my writing?	N/A
20070309030727AAwPt2m	Education & Reference;Studying Abroad	Je suis d'origine ivoirienne de sexe masculin .comment faire pour me trouver une bourse d'etude au canada?	je suis un jeune ivoirien dont les parents ont vu tous leurs biens partir en debus de la crise dans mon pays .j'ai passé mon baccalauréat serie D en2004 auquel je suis admis .c'est ainsi que je recherche une bourse d'etude auprès des établissements supérieurs privés canadiens afin de pouvoir faire des etudes superieures.
20070313225326AAR8lZ2	Education & Reference;Trivia	Se encher um copo com agua e gelo, ate  superficie, quando o gelo derreter a agua ir transbordar ou n?o?	N/A
20070314022448AAe7V5m	Education & Reference;Homework Help	Quais sao os limites entre a europa e asia??	N/A
