20090129083411AADUFZ2	Science & Mathematics;Geography	Why did this volcano erupt?	Does anyone know why the Llaima volcano erupted?    (The Llaima volcano is in Chile)   Thanks
20090129084408AAfWIPA	Science & Mathematics;Weather	Is there a link between these 2 temperatures?	Have you taken note of this? The USA is experiencing one of the worse snow storms om years. It is so awfully cold.      Yet on the other side of the world, in Down Under, it is so awfully hot with temperatures reaching 40C.      Is there a link between these extreme temperatures?
20090129084505AAC7YBt	Science & Mathematics;Other - Science	Why does urine go cloudy if protein is present?	Thanks if you know the answer!!!
20090129084535AAM8XSP	Science & Mathematics;Chemistry	Is there a plastic that can be melted down with out making toxic gas?	N/A
20090129084406AA67HvB	Science & Mathematics;Weather	NO Power do to ice storms?	How many elderly people will freeze to death from that ice storm that hit and over 1 million people with out power and nothing is said on all news stations of doing any thing about them They did state on cnn that a elderly man did freeze to death do to his power was turned off because his payment was late.
20090129084056AA2DEuY	Science & Mathematics;Mathematics	What are SURDS and how would you work them out?	For our maths homework we have to find out about surds, and how to work them out.  We need to do that, then find out what 56 is as a surd.  Any help would be appreciated.  10 points for the FIRST correct and clear answer please!!
20090129084203AAwqXYO	Science & Mathematics;Engineering	Why we need the current transformer and voltage transformer?	This question is asked during my power system lab session. It is regarding to instrument transformers. Thank you!
20090129084232AAhNKkA	Science & Mathematics;Mathematics	Help with a calculus problem, please?	I need help with this problem please.   Estimate the length of the curve y=f(x) on the given interval, using (a) n=4, and (b) n=8 line segments.      The given interval is: f(x)= x^2+1 , 0</=x</=2    *****</= means less than or equal to*****      I tried graphing this to help me, but i can't arrive at the correct answer. I know that I have to use the distance formula. Thanks for any assistance that you can give me.
20090129084336AACAokG	Science & Mathematics;Astronomy & Space	Name and describe some other objects wich orbit the sun?	N/A
20090129084540AA6CDr4	Science & Mathematics;Biology	What can I replace about a cell that has to do with school?	1) Mitochondria   2) Nucleus   3) Endoplamic Reticulum   4)Ribosomes   5) Golgi Apparatus   6) Protein   7) Cell Membrane   8) Lysosomes   9) Nucleolus      What can I replace them with that have to do with something in a  school??
20090129084604AAEDuVF	Science & Mathematics;Other - Science	Weird Science ! Can you explain this odd, accidental scientific phenomenon I discovered in my kitchen?	I made some soup and I set the pan's lid on the counter, and the water droplets that were stuck to the lid started to sizzle and boil !  My lid is clear glass, so I could see it boil too.    This water had to have been MUCH cooler than boiling point, because the soup was not boiling, plus, the countertop is at room temperature.    WHY did this trapped water boil and sizzle like this?
20090129085533AAibLyj	Science & Mathematics;Biology	What organelles does an animal cell have that a plant cell doesn't?	N/A
20090129085521AAP5fg9	Science & Mathematics;Biology	If evolution is TRUE, how come there are still monkeys existing? i mean why haven't ALL of them turn  or ?	'evolve' to humans??
20090129084620AAlgM7R	Science & Mathematics;Mathematics	What type of calculator should I buy?	I'm taking a Math 083 course (which is basically Algebra), and I need to buy a new calculator. I've been limping along with an old scientific one, but now I need to get a new one and, with prices from $99 to $149, I don't want to buy the wrong one. I need it work for 083 and also basic college math. Should I get a graphing one or a scientific one? What type of calculator is the best? Should I buy the most expensive one with the most options, or will I probably not need most of the extra buttons? Any help would be appreciated!
20090129085324AAnzg4l	Science & Mathematics;Astronomy & Space	Can we think of life force in outer space without DNA?	N/A
20090129085549AAa5lhM	Science & Mathematics;Astronomy & Space	Is science able to find out life forms other than carbon based?	N/A
20090129085122AARedIz	Science & Mathematics;Astronomy & Space	If life is not carbon based than how can we talk of life on mars?	N/A
20090129084655AALVBfX	Science & Mathematics;Zoology	What kind of animals have bad memories?	I know that elephants have very good memories, but what kind of animals have bad memories?
20090129085701AAZlyyb	Science & Mathematics;Engineering	Engineering internships...?	Where do i find them? I"ve been searching but either there's something i'm missing or i'm just less computer literate than i thought.
20090129084801AAsIjSP	Science & Mathematics;Other - Science	Has anyone got a saved file on their computer of...?	In science, we had these cds that we took home and saved it to our computer, only that it doesnt work on my computer. If anyone knows a website where i can get this from (Edexcel 360 Science GCSE- Active CD ) I would be more than appreciated, thanks x bye
20090129085718AAvRLGw	Science & Mathematics;Biology	I want to be a biologist, need advice?	Firstly, I know I love biology but I don't know how long on average do you need to go to school for? Do you first get a 4 year bachelors in "general biology" and then pick a specialization field to earn a graduates degree in? And is a graduates degree necessary to earn a higher pay (like 60k plus?)      Also, what kind of biology jobs are available that do NOT involve teaching, pharmaceutical drug/chemical testing, or the use of lab animals?       I am trying to decide what field would be best for me. I love animals (against animal testings so I'm unsure if laboratory jobs involve this) and I am big on nutrition and natural medicine. I enjoy anything that has to do with biology so if I could get a job in biology that involves nutrition or naturopathy that'd be great.      Any advice is Greatly appreciated, thank you.
20090129084724AAOnEt9	Science & Mathematics;Chemistry	If iodine was added to starch solution and amalayse what color would it turn to?	I need an answer asap, Im adding differant amounts of acidity, going to 13 maximum. What color would it turn to?
20090129085252AAwtZHh	Science & Mathematics;Chemistry	When transforming copper, what would happen if?	you used 3M H2SO4 first instead of HNO3 to start the process? And      you used HNO3 at the end Instead of 3M H2SO4?
20090129085243AAtNohd	Science & Mathematics;Mathematics	How can I calculate the remainder of a number divided by another number mathematically.?	Is there a formula for this?  Thanks!!!
20090129084643AAfbJTy	Science & Mathematics;Geography	Think of 5 uses for GPS technology for the average citizen  ?	help i only need 5..!?
20090129085402AAgP4GS	Science & Mathematics;Mathematics	15 - 10y   - x/2 - 5 and 1.8x – 3.4 > 5.6?	I need help with these 3, thank you :)
20090129085154AAfcdJW	Science & Mathematics;Mathematics	What's this 'snail shell' trace called?	Wrap a string once around a flat disc then lat it on a sheet of paper.   Keeping the string taut, gradually unwind it plotting the trace of the string end. What's the 'snail shell' shaped trace called please?, I've forgotten.
20090129085113AAIhB2m	Science & Mathematics;Chemistry	Salters Chemistry: I got 21.2 on my titration which is part of my AS... The teachers result was 21.35...ReadOn?	Because I was only 0.15 of, will I loose marks for it not been exactly the same as the teacher ? or do the exam board allow a small difference ?      The exam board OCR, Salters chemistry B ...
20090129084959AAfpEzc	Science & Mathematics;Astronomy & Space	What is the color of the ff. planets:?	What are the colors of the following planets:   Mercury, Venus, Jupiter, Saturn, Neptune, Uranus, and Mars.
20090129085222AAU9dpT	Science & Mathematics;Chemistry	Will temperature affect the amount of material that will dissolve in water especialy salt?	i need to know the answer to the following question "will temperature affect the amount of material that will dissolve in water especially salt"
20090129085312AAuoi9e	Science & Mathematics;Engineering	Power consumption of an electric motor?	In my mind, this question answers itself, but any input is helpful.  A 12v battery will get and keep a 12v dc motor going...at least for the life of the battery charge.  Then would I need two 12v batteries for a 24v dc motor?  8 12v batteries for a 90v dc motor??      I've seen industrial electric motors that are well above 100 volts.  If the above battery ratio is correct, besides cars, what are some of the uses of a motor that big?  Especially if you need a dozen or more car batteries attached to it.
20090129085457AAqlzMr	Science & Mathematics;Biology	How many different land biomes are there in the earth?	N/A
20090129085609AAMxxY6	Science & Mathematics;Mathematics	What will accuracy of the answer be, if the values are accurate to a certain number of significant figures?	For example, the length of a square is 100 cm, accurate to 2 significant figures. To how many significant figures will its area be accurate to?      And also, please tell me is there is any difference in the accuracy of the answer when adding or when multiplying.
20090129085829AARM71T	Science & Mathematics;Mathematics	Need help with math homework. its PROPORTIONS. ?	Ok so i need helppp. Im in 8th grade. So it might be easy to you but im struggling a little. Heres whats in the book though.            Recently, the exchange rate for U.S dollars to Indian rupees was $1 = 43.43 rupees. How many dollars would you get for 860 rupees?          Well i divided 860 by 43.43 and got 19.80   Am i doing this right?!    If so i think it would be $19.80   Im not sure though.   Thanks for your help :)
20090129090959AAVCDqC	Science & Mathematics;Biology	Natural selection: biology?	Put the stages of natural selection in the proper order.    1: An individual outcompetes other organisms for resources because of its adaptation.   2: A favorable adaptation spreads to nearly the entire population.   3: A mutation gives rise to a change in an individual.   4: An adapted individual reproduces abundantly.      What order does it go in?   i think it is 2,3,4,1.   But i'm not quite sure
20090129094758AADzsJi	Science & Mathematics;Weather	What are the chances that I've figured it out correctly?	Last night, it occurred to me that clouds, being made of water, are electrically conductive, and that they are in motion through Earth's magnetic field. Could this be the reason that charges build up in them, and lightning occurs?
20090129095622AA6aIDg	Science & Mathematics;Physics	Does interstate speed limit apply to instantaneous car velocity or to average car velocity for the whole trip?	N/A
20090129094834AA6ki8p	Science & Mathematics;Chemistry	[True/false] [chemical/physical] Period table. QUESTIONS?	Label each of the statements below as true or false.     [True False] Elements in the same period have similar chemical properties.     [True False] Ionization energy is the ability of an atom to attract electrons.     [True False] Elements 90-103 are called lanthanides.     [True False] Mendeleev arranged elements in order of increasing atomic mass.     [True False] Potassium has a high first ionization energy but a low second ionization energy.     [True False] Transition elements are found in groups 13-15.     [True False ]Electronegativity is the ability of an atom to attract electrons.     [True False] Elements lose electrons to form a negative ion.          Property of Aluminum   Aluminum is a common material we use every day. Aluminum is a silvery-gray colored metal. It is less dense than most other metals and is used to form lightweight alloys. Aluminum is ductile, meaning that it can be drawn into wire. It is also malleable, which makes it useful in many products. It does not corrode and is not poisonous, which also makes it useful as a container for food products. Aluminum is a good conductor of heat and electricity. (For each statement below select whether the statement describes P Physical property, C Chemical property, or N Neither ).        P C N Is not poisonous.     P C N Less dense than other materials.     P C N Ductile.     P C N Silvery-gray color.     P C N Used to form lightweight alloys     P C N Useful as a container for food products.     P C N Good conductor of heat and electricity.     P C N Does not corrode.     P C N Malleable.
20090129090139AAnXGd9	Science & Mathematics;Biology	Difference between RNA and DNA?	I've been studying viruses in a biology class, but I am still confused about something. I had a chart that listed viruses and I had to choose if a virus was RNA or DNA. What does that mean, and how can I tell the difference?
20090129095019AA98qEF	Science & Mathematics;Earth Sciences & Geology	What is SAE 20 and SAE 50?  (oil types I think)?	so for science I have to figure out what SAE 20 and SAE 50 and SAE 10W40 are...anyone have any idea?  please help!
20090129090107AAqIEzc	Science & Mathematics;Zoology	What do koala bears eat?	for a peice of homework (:
20090129090324AADkApa	Science & Mathematics;Medicine	What could be wrong with me?	I've had a really really bad headache, I mean severe, for the past 4 days and all my joint bones (Knees, Elbows, wrist, etc.) are really cold. Like I shiver when I'm going to bed really bad. My back, around my spinal cord, is cold as well and it kinda hurts and its been like that for the past 4 days as well. and i've been coughing a lot too. but i've had common colds before but nothing like this has ever happened. and I'm still sick up to this day.      I believe I got it from my little brother because he was running a high fever and he started throwing up and I believe he had the same symptoms i'm having such as cold back and joint bones. He is still sick up to this day. So obviously this thing is contagious.       I'm trying to refrain from going to the doctor because I kinda cant afford it right now but if I have to I will.
20090129092221AAfIUvO	Science & Mathematics;Weather	Do you like sunny days ?	N/A
20090129095757AAcVf6b	Science & Mathematics;Chemistry	Chemistry Question....Please help!?	Under the same conditions of temperature and pressure, how does the density of carbon monoxide, CO, compare with density of hydrogen, H2?   a.)7 time as great,   b.)14  times as great   c.)28 times as great   d.)56 times as great   e.)None of these is even approximately correct.
20090129090230AAvcK0i	Science & Mathematics;Mathematics	Calculus optimization?	The manager of a large apartment complex knows from experience that 80 units will be occupied if the rent is 300 dollars per month. A market survey suggests that, on the average, one additional unit will remain vacant for each 1 dollar increase in rent. Similarly, one additional unit will be occupied for each 1 dollar decrease in rent. What rent should the manager charge to maximize revenue?
20090129085900AAN5yzd	Science & Mathematics;Chemistry	How do you convert molecular mass to gas volume at STP?	N/A
20090129090024AAEAZDh	Science & Mathematics;Chemistry	What is the mathematics of molecular mass and volume of gas at STP?	N/A
20090129091037AAVQoog	Science & Mathematics;Mathematics	How do you work out this simultaneous equation i don't know if i got it right?	can you please try to solve this simultaneous equations     >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>...    2x + 3y = 3  5x + 3y = 12
20090129090509AAwP2nS	Science & Mathematics;Mathematics	HELP ! please , Im so bad in math :(?	Consider set M, the set of all women that work outside the home.      M = {Men who have more than one job}      Choose the set below that is NOT a subset of set M      P = {Men who work as painters and tile layers}      U = {Men who work as bankers}      N = {Men who work as nutritional counselors and personal trainers}      R = {Men who work as authors and teachers}             i take online class and basically teach myself I really need your help w. this one      thanks so much .
20090129091402AABKL0T	Science & Mathematics;Mathematics	100 points for algebra help@!?	: For x ≥ 9 the solution set for this equation is    any number greater than 9    any number less than 9    any number greater than 9 including 9          2: -2x ≤ 4   x ≥ -2    x = -2    x ≤ -2          3:       This solution can be written as...      x = -3 or x   -3 and x = 2    x > -3 and x ≤ 2          4: The graph of x > 0 and x   27    x > -3    x   -1 or x   -1 and x   7 looks like:   a closed circle at 2 and an open circle at 7 with shading in between    a closed circle at 2 and an open circle at 7 with shading to the left of 2 and right of 7    open circles at 2 and 7 with shading between          10: (1/4)x ≥ -(1/4)   x ≤ -4    x ≥ -1    x ≤ -1          11: |3x - 4| > 8   x > 4 or x   4 and x  0    x   0    0   1 or x   19 and x   x + 12   x > 11    x > -3    x   -3 and x ≤ 2
20090129090926AAc4WSQ	Science & Mathematics;Mathematics	Algebra Help Give you 100 points?	(-3) + (-8) =          Question 2:   (-5) + (-3) =          Question 3:   (-7) + 9 =          Question 4:   5 + (-6) =          Question 5:   (-1/2) + (-1/3) =          Question 6:   (-1/4) + 1/3 =          Question 7:   (-3) - (-8) =          Question 8:   (-5) - (-3) =          Question 9:   (-7) ? 9 =          Question 10:   5 - (-6) =          Question 11:   (-1/2) - (-1/3) =          Question 12:   (-1/4) - (1/3) =          Question 13:   4 · (-3) =          Question 14:   (-1/2) · (4) =          Question 15:   (-6) · (-9) =          Question 16:   (-3) · (-2) · (5) =          Question 17:   8 ÷ (-2) =          Question 18:   (-8) ÷ (-2) =          Question 19:   (-8) ÷ 2 =          Question 20:   (1/2) ÷ (-3/4) =          Question 21:   (-2/3) ÷ (-4/3) =          Question 22:   Enter one word for # 22 - 25: Associative, commutative, or distributive!       State the property that makes this statement true.    7 + (8 + 3) = (7 + 8) + 3            Question 23:   State the property that makes this statement true   9 + 4 = 4 + 9             Question 24:   State the property that makes this statement true   4 · (2 · 6) = (4 · 2) · 6             Question 25:   State the property that makes this statement true   7(5 ? 2) = 7(5) ? 7(2)
20090129091602AAxEkJL	Science & Mathematics;Biology	I need a biologist here...?	Are ribosoms organelles ? If not explain...
20090129092733AAf5iEA	Science & Mathematics;Chemistry	I am taking a chemistry class and i need to know how to do this problem: 17 ft is how many yards?	i need to know how to do this in chemistry form, please help!
20090129092908AAqlRf4	Science & Mathematics;Chemistry	I am taking a chemistry class and i need to know how to do this problem: my wieght -112 from pounds to kilio?	help!
20090129090720AAkvc92	Science & Mathematics;Mathematics	Can these 3 sides make a right triangle?	Can these 3 sides make right triangle? 17, 8 , and 15.10 POINTS FOR THE FASTEST BEST ANSWER
20090129091041AAHAI1S	Science & Mathematics;Chemistry	Which of the following is true about the reaction conditions and reaction control?	If addition of 1 mol of bromine to 1,3,5-hexatriene yields 1,6-dibromo-2,4-hexadiene as a major product then which of the following is true about the reaction conditions and reaction control?      higher temperature, thermodynamic control   higher temperature, kinetic control   lower temperature, kinetic control   lower temperature, thermodynamic control
20090129091224AAIVyfo	Science & Mathematics;Chemistry	Draw the skeletal structure (all hydrogens and carbons are understood) of Product B from the reaction below.?	Draw the skeletal structure (all hydrogens and carbons are understood) of Product B from the reaction below.        http://www.webassign.net/userimages/kasa...       Any help would be appreciated.
20090129090235AAKmDyL	Science & Mathematics;Chemistry	Draw the skeletal structure for the major organic product produced from the reaction below.?	Draw the skeletal structure for the major organic product produced from the reaction below.       http://www.webassign.net/userimages/kasa...       Any help would be appreciated.
20090129092813AAxLEhO	Science & Mathematics;Chemistry	Draw major organic product A and B.?	Draw major organic product A and B.       http://www.webassign.net/userimages/kasa...       Any help would be appreciated.
20090129091603AAwP50h	Science & Mathematics;Mathematics	Solving the radical equation? College Algebra?	Hi, I am not sure how to do this problem:      x-√3x-2 = 4      The answer key says the answer is 9, however, I do not even know where to begin      Please help, thanks!
20090129085912AAS8v6n	Science & Mathematics;Mathematics	How do you find the arclength of a curve?	The Curve is : r(t) = (sqrt(2)*t)i + (e^t)j + (e^(-t))k   And the length to find is from 0 to 1 t. I know the formula for this, but I can't seem to find a way to resolve the answer i get stuck with e^2t+e^-2t+2 inside the square root. Thank you for your help.
20090129095108AAJ9cI0	Science & Mathematics;Physics	What are some good examples of kinetic energy and momentum?	That can be done with small objects/toys (for a school physics project).    Thanks.
20090129095125AAQqWIw	Science & Mathematics;Mathematics	What is the maturity value of the loan? help!!?	Tim's bank granted him a single-payment loan of $1,000 for 100 days at 12 percent ordinary interest.
20090129091147AAbjdZ1	Science & Mathematics;Engineering	Which is the best power source to prevent the possibility of electrical shock?	A. A three-wire outlet   B. A four-wire oulet   C. A grounded outlet   D. A GFCI outlet
20090129092229AAFSaHI	Science & Mathematics;Zoology	What conditions caused a grassland to form?	N/A
20090129092525AA4YSub	Science & Mathematics;Biology	Which family besides Orchidaceae contains an example of chemical mimicry?	I was reading about chemical mimicry in plants recently ( http://www.colostate.edu/Depts/Entomolog...  and it said all but one example of chemical mimicry is found in the family Orchidaceae. I can't find out what the other example is. Does anyone know? Thanks a lot.
20090129093201AAA6myP	Science & Mathematics;Mathematics	What would be an example of a) a formula showing the midpoint of a segment in the?	Coordinate Plane?      b) What would be an example of a formula showing the midpoint segment on a number line?
20090129095544AALoIde	Science & Mathematics;Mathematics	Whoever can solve these math problems correctly gets 10 points!!!?	here are some math problems that i need done thank you!!!       1. simplify. 2x3 + 8x2 =       2. simplify. 3x4+21 / 10x3+3 =       3. Write a word phrase for the variable expression. 2(n+1)       4. simplify. 3x4+21+33 / 10x3+3 =       5. solve for a. 35/a = 7       6. Write a word phrase for the expression.  2n + 3      7. has $250.00 in the bank. She made a deposit of $15.00. How much money does Kelsey have in the bank after she made the deposit?
20090129090122AAms8ZH	Science & Mathematics;Biology	How do skim milk plates allow detection of proteases?	Need to know to answer another Q...cant figure it out :(
20090129090934AARQ10h	Science & Mathematics;Mathematics	Math homework help please. Proportions*?	Heres the question from the book:       A model of a lighthouse is 25 cm wide and 75 cm high. The origional lighthouse is 17 ft wide. How high is the origional lighthouse?
20090129090003AAeWTEn	Science & Mathematics;Chemistry	I am trying to find out what kind of metal I have if the density is 6.5g/ml. Can someone help me with this?	N/A
20090129090041AAuYTN4	Science & Mathematics;Astronomy & Space	Physics - Period of Mercury's Orbit?	Can someone please answer this question for me?      Suppose you know the mean distance between both Mercury and the sun and Venus and the sun. You also know the period of Venus's orbit around the sun. How can you find the period of Mercury's orbit?       Thanks.
20090129090143AA4Yh9a	Science & Mathematics;Physics	Physics - Kepler's Laws of Planetary Motion?	Can someone please give me the answer to this statement?      Explain how Kepler's laws of planetary motion relate to Newton's law of universal gravity.      Thanks!
20090129090449AAJFBqH	Science & Mathematics;Physics	Physics - Freefall on Rides?	Can someone please answer this question for me?      Suppose you went on the ride described in the previous question (a ride that pulls passengers up into the air and then drops them at freefall) and drop a penny exactly as the ride was dropped. What would you see?      Thank you.
20090129090052AAQlm9e	Science & Mathematics;Medicine	Can you find out by doing a blood test if someone is a smoker or not.  How does it show or not show.?	N/A
20090129090156AAvkVK5	Science & Mathematics;Mathematics	Uses and application of Unitary method. Units and time in our practical life.?	Their :-   1- Introduction   2- Origin   3-Important features   4-Significance   5-Conclusion
20090129090307AA592Yu	Science & Mathematics;Mathematics	Maths Homework question?	This question asks me to express the final answer y in terms of x in this equation:      4x+6=y      Can anyone help?
20090129090313AAcmh9q	Science & Mathematics;Mathematics	Math problem help with showing work?	z2 - 2z + 1 = ???      i can do a similar problem but im having trouble showing the work on the problem above    heres the problem i did (basically the same thing as above)    3x2 + 4x + 1 =???    3x2 + 4x + 1 = (ax+b)  (cx+d)   3x2 + 4x + 1 = ac x2 + ad x + bc x + bd   3x2 + 4x + 1 = (ac) x2 + (ad + bc) x + bd     ac = 3   (ad + bc) = 4   bd = 1         3x2 + 4x + 1 = (x+1)  (3x+1)
20090129090625AAki99k	Science & Mathematics;Geography	Over time what changes Mount Mitchell and how?	I am doing a science project... I have to figure out what changes Mount Mitchell and how!! Please HELP!!!!!!!!!!!
20090129090709AAVhAcY	Science & Mathematics;Geography	Is Greece Landlocked or does it have a coast?	Ok this is for my homework!! Help ANSWER QUICKLY!!! HOMEWORK DUE IN FOR TOMORROW!!!!   PLEASE ANSWER!!!
20090129091511AA4MpaE	Science & Mathematics;Mathematics	In the wind chill estimation equation w=-52+1.6t what are the real world meanings of -52 and 1.6? ?	N/A
20090129091134AA31gcJ	Science & Mathematics;Mathematics	Need to know the values?	two + three + three + three = eleven      what are the digits?
20090129091216AAEgRG2	Science & Mathematics;Geography	What is the time difference between uk and the west indies?	want to watch test matches and need to know if its daytime viewing or in the middle of the night   thank you
20090129091337AA8NBCt	Science & Mathematics;Mathematics	Del operator and dot product?	prove that del*(del X A) = 0 for any vector field A...I am not sure how to get the right answer, I did the cross product and then the dot product..but it does not come out right.
20090129091508AAbYZwP	Science & Mathematics;Physics	Del operator and dot product?	prove that del*(del X A) = 0 for any vector field A...I am not sure how to get the right answer, I did the cross product and then the dot product..but it does not come out right.      * = the dot product.
20090129091645AAOrK0i	Science & Mathematics;Mathematics	I'm studying for a Calculus quiz and having a lot of problems with this review question.?	e^(2x) - 3e^(x) = 10.  Solve for x.      I've used the natural log to bring down the exponents but I'm stuck on the next step.  Any pointers?
20090129092601AA9dXDK	Science & Mathematics;Chemistry	Density Question, 10 pts. ?	Given, a mixture with benzene, toluene, and p-xylene.    The mass fraction of benzene, w(benz) = 0.2. The mass fraction of toluene, w(tol) = 0.3. The mass fraction of p-xylene, w(xyl) = 0.5      Assume that the density of benzene is 800 kg/m^3, toluene is 810 kg/m^3 and xylene is 840kg/ m^3      Find the Species Density in the mixture
20090129094518AArMKnY	Science & Mathematics;Chemistry	What are some facts about blood / uses / and where it falls under in the pH scale? also is it strong/dangerous?	N/A
20090129095041AA6Kogi	Science & Mathematics;Physics	A 8.2 V battery is connected to a 5.6 pF parallel-plate capacitor. What is the magnitude of the charge on...?	A 8.2 V battery is connected to a 5.6 pF parallel-plate capacitor. What is the magnitude of the charge on each plate?      (Answer in C)      Thank you!!!
20090129100124AA5UCsa	Science & Mathematics;Weather	How are hurricanes, tornadoes, and thunderstorms different?	what causes most damage..do some turn counter clock wise? anything that makes them different from each other..
20090129111336AAzB5rH	Science & Mathematics;Medicine	What kind of volunteer work should I do to increase my chances to be accepted to medical school?	Don't just so volunteer at a hospital please. I'm assuming I'll volunteer at a hospital, but what kind of things should I volunteer to do there and how do I begin volunteering? Will my college have information on volunteering?
20090129120252AAmstZW	Science & Mathematics;Earth Sciences & Geology	How do volcanoes work?	again, research paper...
20090129094844AAIITgM	Science & Mathematics;Zoology	How many chromosomes are in an emperor penguins cell?	i need to know how many cells are in an Emperor penguins diploid cells      then how many they have in their haploid cells       please help this is for my bio final project
20090129094215AAn0w7Z	Science & Mathematics;Earth Sciences & Geology	What happens when we Run out of Oil?	What happens when we Run out of Oil? Do we switch to a Renewable Source, Such as Nuclear Fusion? Or some other type of Renewable source, What do you think will Happen?
20090129102141AAz23Q8	Science & Mathematics;Biology	Why don't we just clone Fossil fuels?	Seeing that there's that crisis and its meant to Steep in 2080, Why don't we just Clone it? Seeing that we Cloned a Sheep, And a Dog, Why not clone a fossil fuel? And seeing im at the Cloning Stage, Why not clone a Human :O!
20090129105426AABd7nj	Science & Mathematics;Chemistry	How is paracetamol made industrially and in a lab?	does anyone know this, or can direct me to a website that tells me all about how its made by companies like GSK etc! (not wiki)  And any catalysits used? or any other information! mainly how its made! I know its origionaly made from coal tar, just need to clarify!    Am not trying to make it...need it for a assignment! Thanks! Got lots of books to help me so dont make it to simple lol! Think av got the jist of how its made in a lab but cant find anywere how its made commercially! and any info on how its metabolised would be useful too! Cheers!
20090129112836AAqKHu6	Science & Mathematics;Mathematics	What did you get on the Math B Regents?	Anyone take it and get their grade back yet?
20090129101859AADXzwp	Science & Mathematics;Chemistry	Chem Help! What mass of water condenses inside the bottle?	A 0.75 L bottle is cleaned, dried, and closed in a room where the air is 22°C and 47% relative humidity (that is, the water vapor in the air is 0.47 of the equilibrium vapor pressure at 22°C). The bottle is brought outside and stored at 0.0°C.    http://www.webassign.net/silber/5-03tab.... 
20090129115648AAYP5Fz	Science & Mathematics;Earth Sciences & Geology	WHAT TYPE OF STAGE IS MOUNT KRAKATOA IN INDONESIA! ?	i think thats how you spelllll it?   but i REALLY need it.    like now. :)   please./   help.   im not kidding.   this is no joking matter.    :)   itd be very helpfulll,   VERYY ")
20090129114840AA1x6Yz	Science & Mathematics;Earth Sciences & Geology	Mmm, what stage is Mount Krakatoa?	cause i neeeeed it for my project im doing in science :)
20090129104123AAkEBaL	Science & Mathematics;Earth Sciences & Geology	How many of you are still here on earth to help some one else?	N/A
20090129102359AA12SdW	Science & Mathematics;Chemistry	Name and draw the product of the oxidation 3-ethyl-4 methyl-1-hexanol?	N/A
20090129104022AAH9noQ	Science & Mathematics;Chemistry	What is wrong with the following names?	2-propyl-pentanone   3,3methylhexane   2,5octanol
20090129091726AAKGwvq	Science & Mathematics;Physics	PHYSICS HELP !!!! - Sound Waves?	1. Suppose that the sound level of a conversation is initially at an angry 70 dB and then drips to a soothing 50 dB. Assuming the frequency of the sound is 500 Hz, determine   a) initial sound intensity   b) final sound intensity   c) initial sound wave amplitude   f) final sound wave amplitude      2. A tube 1.20 m long is closed at one end. A stretched wire is placed near the open end. The wire is 0.330 m long and has a mass of 9.60 g. It is fixed at both ends and oscillates in its findamental mode. By resonance, it sets the air column in the tube into oscillation at the column's fundamental frequency. Find   a) that frequency   b) the tension in the wire      Please show work      Thank you very much
