20090203145206AA42TRN	Cars & Transportation;Car Makes;Mazda	How much would it be to tint my mazda 3 sp23 2005?	thanks for the help
20090203154543AAHFhqb	Cars & Transportation;Motorcycles	Beginner sportsbike, please help!?	I want to get a motorcycle. I want a sports bike, not something like a Harley or highway cruiser kind of bike, if you know what I'm trying to say.      What kind of bike could I get (used or new) for around 1500 or less? Thanks.
20090203153737AAoXU89	Cars & Transportation;Maintenance & Repairs	How much does it cost to install power steering?	I am looking into a 1966 mustang coupe that is for sale. It does not have power steering but it has, "power steering pump bracket is installed", and, "new 2 row water pump pulley to add on power steering in the future if so desired". What else do I need and what would you guess is the total cost of adding it?
20090203154827AAkSN1m	Cars & Transportation;Other - Cars & Transportation	Whats the best truck to get for gas luxery?	ok to put it short.. i need a new truck      my 95 ford just broke down..      i need a new truck, anything thats comfy on the inside?      something "big" but small you know?      im going to put mud tires on it, but the thing is i drive 10 hours every month to see family            so i need something good on gas.. i LOVE the honda civics   but i need a truck    :/
20090203155019AA6nSO5	Cars & Transportation;Boats & Boating	Would junk yards take a junk boat and trailer?	N/A
20090203155337AA5Xz8Z	Cars & Transportation;Commuting	What is a good website that shows the gas prices in certain cities or areas of the country?	N/A
20090203154849AAVyeZy	Cars & Transportation;Car Makes;Ford	Should I be worried if my 2007 Ford Focus air bag light stays on?	Until I can get to the garage, could the air bag inflate unexpectedly?  Could it be a bad computer chip?  What is the cause and cure for this problem?
20090203154602AAcY1gN	Cars & Transportation;Maintenance & Repairs	My car running funny?	I have a 1984 chevy caprice, and about a week ago it start to act like it wanted to cut off after i reach 3rd gear, and mashing the gas. it mostly does it shorty after i start driving. It doesn't do it in 1st or 2nd, and a little in 4th. i use 89 gas (BP) and fuel injector cleaner, a couple of thing i thought it might be is, the timing is off, i just bought the car 2 weeks ago a it was missing the gas top, and i just got 1 today, maybe it rain in it and has water in it, also the guy i bought it from haded change or clean the spark plugs in more than a year, it might be that, or could it be this pill thing my uncle gave me last week that's suppose to help get more gas mileage? is it 1 of these problem? or is it something else? please help!!!
20090203153934AA9c5lv	Cars & Transportation;Car Makes;Honda	Will anAftermarket Spoiler block my trunk?	i want to purchase an RSX-S spoiler and attach it to my civic i've seen pitures of several civics that have it. I'm worried that the spoiler might block off my trunk and it won't be able to open up all the way. Will that happen?      heres a picture of a civic with an RSX-s spoiler. Nice.. but i'm worried about my trunk.       http://memimage.cardomain.com/ride_image... 
20090203153645AAmTR6X	Cars & Transportation;Insurance & Registration	Pleaasee help I drove on a provisional hit someone without due care and attention and...?	other than accordance with liscence apparently im still insured as there dealing with it so what will i get i know im an ideot and that but im scared as im not like a boy racer or anything i only went out to get a burger...ive got court and been charged with the above?      thank you
20090203155011AAuS6pZ	Cars & Transportation;Maintenance & Repairs	My 1994 dodge intrepid has like a ticking noise on top of the engine..what could it be?? ?	i was thinking that it might be the fuel injectors ticking but im not sure
20090203155203AAva1Du	Cars & Transportation;Insurance & Registration	Driver's License Florida?	I am more than 21 years old. I got my learner's permit a little more than 1 month ago. Am I eligible to go for a driving test to get Driver's License? Or do I need to wait at least 3 months from the date the learner's permit was issued to take the test? Please let me know. Thanks.
20090203153104AAsjiPa	Cars & Transportation;Other - Cars & Transportation	Driving law question!?	I heard that if you have a hybrid,and your driving alone you can drive in the carpool lane now..I heard it was a new thing, I tried looking it up, but I don't know where to look? Does anyone know?
20090203153219AA3QgKU	Cars & Transportation;Aircraft	How do you get a Junior pilots licence?	How old do you have to be and are there any schools in colorado.
20090203153321AAe3iDn	Cars & Transportation;Commuting	A good limo company in LA?	What is the best limo company in la?  I need a limo service for my VIP group that will be coming in in April.  If you know of a good airport limo company in Los Angeles please let me know.  LAX is the airport.
20090203153330AAlFEb6	Cars & Transportation;Insurance & Registration	I would like to sell my ar but have a title loan on it so I need to salvage my title. How would I do this?	N/A
20090203153352AAiCLnE	Cars & Transportation;Insurance & Registration	What are monthly car rental rates for an economy sized car?	On average how much would it cost to rent a small compact car for 30 days? I am planning to spend a month in San Diego with family, and I don't want to have to always borrow one of their cars.  Also, I'm from Florida, and really don't want to drive my car across country. thanks
20090203153431AAh9pXQ	Cars & Transportation;Buying & Selling	What types of baby carriages were popular or often used in 1970-1980 and 1980-1990?	how were kids transported in cars?  how were kids carried from place to place (arms, strollers etc.) ?  why did moms use these modes?      thanks much!
20090203153817AA7oDP5	Cars & Transportation;Car Makes;Volkswagen	How to burn ruber in a karmann ghia 72?	hi i have a 72 karmann ghia and i would like to know how to burn ruber and make donuts with it i saw something that told you how to do it but it did not have a specific car so i tryed it but at the begibing it seemed it was going to work but at the end it did not work it just moved foward it had to do with puting the hand brake and aselerate it in 1 gear and slowly let go of the clutch but it did not work
20090203153954AAKGOqH	Cars & Transportation;Maintenance & Repairs	What other causes for Squealing Belts in car with new high-end belts?	I have a 2002 Mazda 626 with squealing belts.  I have brought my car to a family friend during a trip home (two states away) and he was kind enough to replace the belt with a Gator belt, and the squealing stopped for a few days.       It has now restarted and squeals every time I start, slow to a stop, or sometimes while idling.  It even happens after driving for as long as an hour.  I have squeezed the belts and they are extremely tight.  I have also sprayed the belts with something sticky (sorry, I really don't know about cars, was given the spray by the same family friend and told to use it if it squeals again).  The belts still squeal even after spraying.      I know there are other things that could be wrong with it: Alternator, bearings, but I have no idea what specifically could be wrong with these.      I can't travel back to the guy who worked on the car anytime soon and I really can't afford to have a mechanic look at it right now and would like to fix it myself if possible.  Will it be?
20090203154058AANoVRr	Cars & Transportation;Car Makes;Mercedes-Benz	How do you port subs through the first aid kit in a 1994 e320?	i have 2 12" kicker L5's in my 1994 e320 and i heard that you can cut through where the first aid kit is in the back to get more sound in the car from the subs. does anyone know how to do this?
20090203154243AA0x9p3	Cars & Transportation;Rail	Is it true that the car's engine will shut down when we are stay too long around the railway? Why is it so?	Especially when a train is coming.
20090203154736AAe3we5	Cars & Transportation;Car Makes;GMC	I want to customize my 2005 gmc sierra. Is there a web site I can use to virtually customize my truck?	N/A
20090203154820AAixiL4	Cars & Transportation;Maintenance & Repairs	Oil change????????????????	Where is the oil filter and drain plug on a 2002 suburban??
20090203154828AAOPoGQ	Cars & Transportation;Maintenance & Repairs	Should I drive my car, even though Im pretty sure the gear sync has gone?	Today I noticed my gearbox was a bit stiffer than normal, and then my car starting making a horrible grinding noise, mainly when in 2nd and 4th gear. I'm pretty sure this means the sync's gone with the gears so the tramissions damaged - to put it politely. My car's only a small renault clio and it's probably going to cost more to repair it than it's worth. I was just wondering if anyone new how safe it would be to continue driving this car until I found a new one?   Thanks
20090203154944AAcmeQn	Cars & Transportation;Buying & Selling	Which car would be a better buy out of an '08 Malibu or 08' Escape?	I'm looking to buy a used 08' Malibu or 08' Escape soon and have got many mixed reviews on both cars, but I love them both and can't decided which to go with. I'm basing my final decision on gas and quality of the car. Can someone please give me feedback on both cars and what your opinions on them.       These are my only two options so please don't try to sell another car or reply saying that neither one are good, or something like that.    Thank You
20090203154955AASArbF	Cars & Transportation;Insurance & Registration	Passenger liability in car door accident? please help...?	Hi there I would like a little advice,     Today I have received a court summons for an accident I was involved in back in May 2007    I have moved address since then and not received any previous correspondence, here is what happened:    I was travelling in a mini cab at around 8pm, the road we were travelling on had 3 lanes in central london (one bus lane and two other lanes for normal traffic.)  The taxi driver indicated to pull over into the bus lane to allow myself and a fellow passenger to get out, the driver of the car behind took exception to this as he believed the taxi driver did not give enough notice that he was pulling over.     The other driver stopped just short of the taxis rear bumper and proceeded to call the taxi driver some very unpleasant names and offer several rude hand gestures.    We paid the cab driver and I stepped out of the vehicle from the rear door (drivers side), the driver of the other car then had a few choice words for me (at this point he was stationary) I asked him what his problem was (with maybe a few choice words of my own) he then tried to drive past me and the still open door managing to scrape right down the side of his car with my taxi drivers door and almost running me over in the process.  I   decided to give the taxi driver my details to act as a witness in the event of any claim. (against the other driver)    Low and behold I now have a letter saying the other driver is taking me to court to recoup the money for repairs to his car!    Am I really liable for this???    Any thoughts are welcome as this seems laughable considering he was sitting still in his car as I disembarked and then drove at the vehicle I was getting out of as he tried to squeeze past? And can a passenger even be liable for this, is it not covered by the the car owners insurance?    Thanks for reading
20090203155133AA46jg7	Cars & Transportation;Buying & Selling	What is the best used vehicle (5-passenger, 4+-door, avg miles) out there for $6000 or less?	N/A
20090203155347AAELnRt	Cars & Transportation;Buying & Selling	What car is better? 2004 - 2005 Subaru WRX STI, Or 2000 - 2004 BMW e46 M3?	Hey   im debating what car to buy and am stuck between these two. What one would be the better choice? Please list all pros and cons, thank you!
20090203161358AA50WAB	Cars & Transportation;Motorcycles	If leather can't get wet, what do Harley riders do when it rains?	Srsly... I don't know this.
20090203160437AApXSRo	Cars & Transportation;Buying & Selling	Importing a 2004 mazda mx-5?	hi im looking to buy a 2004 mazda mx-5 from the USA to Canada and i was just wondering if and body can point me towards a site that show how much it will cost .. or if anyone has done it and they know how it would cost can you please tell me about it ?
20090203162718AAw9mF9	Cars & Transportation;Car Audio	Free air subwoofers and underpowering subwoofers?	how does running a subwoofer free air damage it?  how does underpowering one damage it?  just wondering because i am underpowering mine.
20090203160053AAkjwKV	Cars & Transportation;Insurance & Registration	Who is at fault? PLEASE HELP!!!?	My mom was driving today, and a schoolbus did not stop at the stop sign and slammed into her. The police who arrived said it was her fault because her window was slightly dirty. Now she is going to court tomorrow, she isnt "all there" mentally, and Im afraid the court will screw her over.      Also last year a police officer hit her car while he was pulling onto the street, and blamed her, and she has been trying to sew but hasnt been able to beat them, they have lied in court.
20090203161150AAEPFwR	Cars & Transportation;Car Makes;Pontiac	How can i get my pontiac grand am have better performance?	it is a v6 3400 engine. year 1999
20090225065612AAkDvYJ	Cars & Transportation;Car Makes;Nissan	Why does the heat in my 04 Nissan Maxima come out cold when the car is not moving?	When I'm driving and the heat is on, the heat works great, but once you come to a complete stop for over 10 seconds the heat becomes very cold. Does anyone know why this is happening? Is there a way to fix it so that its always warm?
20090203160214AApnftL	Cars & Transportation;Buying & Selling	Whats better for a car, turbo or supercharge?	N/A
20090203161422AA8YEUN	Cars & Transportation;Maintenance & Repairs	How to put a car in time?	i have a 1997 dodge intrepid and i have to put it in time how do i find out how to do this right
20090203162538AAQBb2x	Cars & Transportation;Aircraft	What are some things I should know in order to become a JET MECHANIC?	is anyone here one? how many years of school ? what are the steps ?             i live in CA if that makes a difference...
20090203160134AATxtdy	Cars & Transportation;Rail	Tram tracks?????????????????????	How much does it cost to lay tram tracks?
20090203155703AAERvLU	Cars & Transportation;Buying & Selling	Can you drive a right hand sided car in the untied states?	I want to buy an imported car but if it is right hand drive like cars in Japan, do I need a special license to drive it in the United States? Or will they make me modify it to their standards?
20090225065044AAMhSPK	Cars & Transportation;Aircraft	Are the seats in an airplane safe?	It seems to me that if you get into a plane crash, your chances of survival are not in your favor. Logically, airline companies should be designing planes to be as safe as possible to eliminate casualties in an accident. Of course, there's not much you can do if the plane bursts into flames, but what about the seats?      I don't get into an automobile without a full seat belt that covers my chest. I don't want the top half of my body being slung into my steering wheel. On an airplane, who really believes that grabbing your ankles will secure your body in the safest way possible? Why don't the seat belts secure your entire body......specifically the most important part, YOUR HEAD?      Also, would it be logical to place the seats facing backwards? Sure, during takeoff you'll have to push yourself against the force of the plane so you don't crumple into the seat in front of you, and gramma might have trouble due to her back problems, but that's what the full body safety belt could do for you. And ok, so if you crash, the silverware in front of you might impale you as it flies at you 500 miles per hour. But wouldn't you choose your chances of living over a made from scratch airplane meal that came with a knife?
20090203161624AAFuglF	Cars & Transportation;Insurance & Registration	How would I find out details of a car crash 10 years ago in Rhode Island ? It would make a good sermon ?	My boss is from back east, and told me a story about a road that washed out - a man saw the newly-created "gulf," stopped his car, got out, and 3 teens were headed towards the deep pit, tried to get them to stop, they flipped him the bird, continued into the pit, and all 3 perished.      Where could I find out about this ?
20090203160303AAxKJuv	Cars & Transportation;Car Makes;Scion	Scion xD: Good Quality Car?	Since I can drive next year, I've been doing a little research on what car I plan to buy when I get my license. I've been particularly interested in the Scion xD. It has good gas mileage, looks cool, and has a fairly low price. I want to make sure that it is a good quality car, though. All I know about it is what I've seen on the official Scion website- and they're not going to say if it's a poor-quality ride. If you have an xD, how is it? Does it do well in poor weather, hold up well, and is an overall good investment, or does it need repairs often and make you wish you'd bought a Civic (or an Accord; they're my next choices). Or, do you know of a vehicle that is better than an xD that you'd recommend instead?
20090203160106AAxw4aU	Cars & Transportation;Car Makes;Other - Car Makes	Possible Sundance entrance?	If there is a good plot, good acting, and good props, what is the chance that a movie filmed entirely on a Sony Camcorder, a mic and a tripod with fireworks, foreign location (japan) and good editng will make the Sundance film festival?    I know the chances are slim. But, if there are any movies in the past that have made sundance recorded on Camcorder, please list them.
20090203162244AAYYigN	Cars & Transportation;Car Makes;Ford	Cost and difficulty of turning vintage mustang into hardtop convertible?	thinking about purchasing a mustang exactly like this one. Wondering how much it will cost to turn it into a hardtop convertible?  http://americandreamcars.com/1967mustang... 
20090203160416AAgqrCN	Cars & Transportation;Buying & Selling	Is this a good deal for this car?	It's a 2006 Lexus is250.... 48,000 miles.       http://www.toyotaofwilmington.com/PreOwn...       I was wondering if you could tell me if that is a good deal or not?   Seems a bit high to me considering the milage.      Any opinions?   Thanks!
20090225065654AAnhda3	Cars & Transportation;Safety	Can you name safe places or parking lots where you can sleep in  your car or van if your homeless on the road?	I've heard hospital parking lots near the ER are well lit and have public restrooms.   Where would you suggest or have tried if your homeless on the road or have traveled cross country and couldn't afford a place with a bed?
20090225065029AAyQN3S	Cars & Transportation;Buying & Selling	Learned a used car from dealer was rebuilt...?	my friend bought a 01 hyundai tiberon from a used car dealer about 5 months ago. i was with her when she bought it and the dealer she was talking to said the car was clean and there was nothing wrong with it. Then last week, the transmission starts acting up and it wont shift so she took it into a garage... where they told her it was because it was a rebuilt wreck. now, she had no idea because the dealer never told her, and never gave her a salvage title with the car. the question that i have... is that is this illegal? can she sue him for a new car for the same amount of money that she paid for this "new" car? shes so lost so im trying to help out a little. thanks
20090203160949AA4nTqr	Cars & Transportation;Other - Cars & Transportation	Are you allowed to open a drag strip?	in virginia? i heard there are laws against it, but i am curious if he was just talking or if he knew what he was sayin
20090225065755AAO7mCC	Cars & Transportation;Other - Cars & Transportation	What car is faster and why?	a 94 civic w/ a stock integra gsr engine or a 93 integra rs w/ cold air intake, dc headers, stage 2 clutch, and straight 3" exhaust.
20090203162548AACsY4i	Cars & Transportation;Safety	Proper way to avoid this accident?	What is the proper way to avoid a head on collision when you are on a two lane road (land barrier separating oncoming traffic, so it's a four lane road, technically), going at 35mph, which is the speed limit, and you see a car about 60 feet away from that is waiting to make a right turn? You are on the right most lane, and just as you get within 30 feet of this car, it suddenly decides to go ahead with the turn.      My conscious attention was focused on the front of the oncoming car as I began to panic and execute the evasive maneuver from my subconscious mind. Like a deer caught in a car's headlights, the only thing I had programmed my subconscious to do as I only thought of the car in front of me was to immediately brake and swerve to the left. As I did this, I saw I came within two feet of the front of the other car as I passed it. It was already quarter way into my lane, so I was forced to swerve onto the other lane. Lucky for me there were no other cars behind or around me. Had there been been a car to my left, I can only imagine that I would have hit it.      What is the proper safety procedure for a situation like this?
20090225064953AA1wP6I	Cars & Transportation;Motorcycles	'76 Harley FXE question?	When this bike sits for several days it will puke out 8-10 oz. of oil on start up. Doesn't seem to do it if I start it every day. I can't find where it comes from, but it seems to be coming from the primary side. Any ideas?
20090203161826AAPdJiO	Cars & Transportation;Other - Cars & Transportation	Im 16 and I have a 1983 Dodge Ram. Please help.?	The clear coat is coming off, and theirs nothing thats really outstanding or cool about it. I dont have a job yet, but I do have about 200 dollars. What are some cheap things that I can do to make it cool and stand out. Remember though it was my grandpas and its my first vehicle. Please help me.
20090203155453AAXwbbX	Cars & Transportation;Insurance & Registration	Which company offer you the cheapest car insurance?	I'm a girl, over 25, no conviction, it's for a mini
20090203155548AA2S9J0	Cars & Transportation;Car Audio	I think my amp is draining my car battery. HELP!!!!?	i have a alpine mrp-m1000 1000 watt amp and a 15" type r, and when i hooked it up the car died and battery went dead. i know i need some type of other battery or something, but im not exactly sure what theyre called and were to get them plz help,and a price maybe?
20090203161854AAsoRvO	Cars & Transportation;Car Audio	Help help, car audio installation!!!!!?	i have a alpine mrp-m1000 1000 watt amp and a 15" type r, and when i hooked it up the car died and battery went dead. i know i need some type of other battery or something, but im not exactly sure what theyre called and were to get them plz help,and a price maybe?
20090203155832AAhNpVu	Cars & Transportation;Car Makes;Infiniti	1995 Infiniti g20? are they reliable?	My friend can't afford gettin a nice used car because he dpoesnt hv money. All he has is 2000 dollars. He found a 1995 Infiniti g20 woth 130k in good condition!! He is afraid of purchasing it!! I told that Infinities are good cars nd I think he should go for it!! What do yoiu guys think? dp u think he shoulf go for it? Hpw reliable are those old cars? What issues will he be lookin at soon?
20090203155910AAcOJwR	Cars & Transportation;Car Audio	I just recently got a earthquake amp called the annihalator HA-400c and was wondering what the wattage was for?	for 4 ohms
20090203160724AALVxtX	Cars & Transportation;Maintenance & Repairs	Lack of oil change effect on MPG?	So my grandmother gave me her 2005 Buick Lesabre for Christmas. She had not driven it since October, so by the time I picked it up it was in her retirement home's garage for about 3 months. The sticker on it said that the next oil change was needed on 8/19 or 17,000 miles (It had 15450ish when I picked it up). Now my dad took it to a friend who runs an auto shop, and he said it doesn't need one yet; it should be fine.Now I don't make very long drives (usually to school, about 5 min away) and it is very cold (north suburbs of Chicago). But I was wondering if the lack of an oil change could have an impact on my car's MPG because it is list at 18/27 mpg but I am only getting 13 (according to the car)?
20090203160245AA6kDrn	Cars & Transportation;Car Makes;Ford	1994 Explorer - 170k Miles! Any Advice?	Hello. So I've got a 1994 explorer. For a few months now, I've had some transmission problems. I've been needing to put transmission fluid in, pretty often. About 1-2 quarts of type F auto transmission fluid around every 300 miles.. About the last month or so I've been needing to put it in like every 150-200 miles.. When I say "needing to put it", im mean that the car will idle when I accelerate, and then sort or skirt or jerk in forward or reverse once i accelerate pretty hard. It tends to do this more when the car has been cold over night. It will occasionally do it when the car's been warm and used though. I'm wondering what the best advice is, as to fixing/ finding the problem, and if it's worth fixing or not. Any advice is appreciated, as I don't know anything about cars! I had an oil change about 1k miles ago.. Thanks a lot, and have a great day!
20090203160343AANbygM	Cars & Transportation;Car Audio	Sneak my cellphone through walkthrough metal detectors?	i have always been thinking o ways to do this?
20090203160510AArBh43	Cars & Transportation;Maintenance & Repairs	If I change the wheel nuts on my Rover 200 will i have to change the rims as well?	Ive lost my locking nut key so i have to get the nuts drilled off but when i put new nuts on will i have to change the rims (aftermarket)?
20090203160615AAZZxye	Cars & Transportation;Maintenance & Repairs	My RX8 Wont Start - Rapid Ticking Noise?	I have an '04 RX8 that wont start.  All the lights come on the dash but when I try to start, it just makes a rapid ticking noise.  Any ideas?   Thank you
20090203160638AAqZFvd	Cars & Transportation;Maintenance & Repairs	How to install a sony cd player into a gmc truck?	N/A
