20070105184240AARJBRE	Consumer Electronics;Cell Phones & Plans	Where is the cheapest place to buy MOTORAZR V3 replacement covers?	My dog chewed up my cell, and it works fine but is just ugly at the bottom.
20070225094843AAlpLni	Consumer Electronics;Cameras	What are the advantages of getting an Olympus Evolt 500 over a Canon, Nikon, or Pentax DSLR?	I am interested in information on the Four Thirds Standard and it's relationship to shooting picturs at a high ISO.
20070228124412AAydkTO	Consumer Electronics;Music & Music Players	Itunes question?	I dont have an Ipod but i have a pink logik mp3 player can i use itunes to put songs on it?
20070301192800AAkFnDV	Consumer Electronics;Games & Gear	PS2 Kingdom Heart game.?	On level #1- Sora chooses path and fights then   goes to a door.After door opens there's light   then my game is stuck- it will go no further.Any   suggestions will be appreciated.
20070302135137AAVmc3W	Consumer Electronics;Cell Phones & Plans	Los celulares nextel de Mexico funcionan en Estados Unidos?	No con contrato en Mexico sino solo insertandole la Tarjeta SIM de un celular de Estados Unidos.
20070312201420AAo5n9K	Consumer Electronics;Music & Music Players	How can i install ipod games from limewire?	N/A
20070324221003AARNIjv	Consumer Electronics;Music & Music Players	Ipod help!?	I am thinking about getting an ipod.But i can't decide which i pod i should get.Some of my friends say don't get them becuz they break easily.But i still wanna get it.Is it worth it or just a waste of money?And which is better,Ipod Nano or Ipod video?
20070325141405AA7C1zC	Consumer Electronics;Cell Phones & Plans	Im looking for a cell phone....?	im looking for a cell phone for my birthday. i wanna phone that has a good camera and video. i dont want a razr cuz i dont like them and i dont want a krazr...i leaning toward a  slvr but i wanna know if there are any other phones like the slvr or what i said. i dont want a phone thats like 600$ but the highest would probably be about 100-150$                               thank you sooo much!! : )
20070326165217AA6eQkT	Consumer Electronics;TVs	What TV is Better Plasma or LCD HDTV?	N/A
20070326220431AAnbjHb	Consumer Electronics;Cameras	Question about buying a Digital SLR Camera?	Is buying the base of a Digital SLR camera Cheaper or more expensive
20070328134502AAJFmhW	Consumer Electronics;Cell Phones & Plans	Ok i was bein harassed etc by boy and i accidentally deleted text on katana fone can recover them, call sprint	N/A
20070328135030AAF41G6	Consumer Electronics;Cell Phones & Plans	How can take my songs and put them on my phone?	i have the wire and song but how cam i take it for the computer and put it on my phone i have a V195 motorola
20070328141402AAfjoMG	Consumer Electronics;Cell Phones & Plans	Cingular & At&t Breah of Contract??	I heard that Cingular was going to up their rates or did up their rates for text messages from $.10 to $.15 and that this was going  to be breach of their contract.  I was wondering if this was true and if i would be able to get out of my contract.
20070330162900AAUccK3	Consumer Electronics;Cell Phones & Plans	What is the best Samsung mobile phones??	For example:      Samsung D900      Samsung D500
20070401233429AAseZKP	Consumer Electronics;Cell Phones & Plans	Only if you have a Sprint PCS Vision? Phone SCP-3100 by Sanyo?	I just ordered my SCP-3100, I was wondering would my USB connector that connects from my cell phone to the computer allow me to add music into my cell phone?
20070402010258AA4qVAH	Consumer Electronics;Cell Phones & Plans	I HAVE A LG VX9800 GOT IT FROM A FRIEND NEED TO UNLOCK IT BUT WE DONT REMBER HIS OLD NUMBER WHAT CAN I DO?	N/A
20070403091448AAdPnrM	Consumer Electronics;Cell Phones & Plans	Tmobile Internet Accessing?	I went on this website (phonezoo.com) and they had all free ringtones there. Only thing was, you had to go to their website from the phone to download the ringtone. I went did it and it took all of 5-10 seconds and as soon as it downloaded I got right off. Will there be extra charges on my bill for accessing the internet  and if so, will it be bad?
20070403094920AA5nbDk	Consumer Electronics;Cell Phones & Plans	Can i have a step by step guide of how to charge my DEAD motorola (V3) phone on my PC using my USB DRIVE?	What should i download?   Ive got the USB cable already.   but when i plug the usb in2 my pc and in 2 my phone, my phone doesnt repond to the USB eg charge.
20070406215425AAsV5Xd	Consumer Electronics;Cell Phones & Plans	How does the wi-fi work?	How does the wi-fi work?
20070408183038AANsxp6	Consumer Electronics;Cell Phones & Plans	I need help spending wise?	whould i save up my money to buy a psp or should i get a video ipod i dont know which is better plz help
20070409182350AAxVMgc	Consumer Electronics;Cell Phones & Plans	Who is the leading cell phone carrier?	what major cell phone carrier has the most customers and please show where your sources are from?
20070411093642AA2jhSD	Consumer Electronics;Cell Phones & Plans	Does anyone have Nextel? Do they have text messaging?	Do they offer plans with unlimited text messaging? I looked at their website but didnt see it.
20070414203923AAEamM2	Consumer Electronics;Cell Phones & Plans	Memory Cards for a LG CU500?	How much would it cost to get a 1gb memory card for my phone its a LG CU500? and could i get it for a creap price? please help me
20070416174355AArNFH7	Consumer Electronics;Cell Phones & Plans	For the Cingular GoPhones whats better...pick your plan or pay as you go???	im trying to order my phone right now from cingular.com and i already picked my phone, i just cant decide whether its better to pick your plan or pay as u go, they both seem fine!!       advise please!!! thanx!!!
20070418215539AAlkYid	Consumer Electronics;Cell Phones & Plans	If there is a verizon phone with verison service can you make it so it can have cingular service?	N/A
20070418230131AAzLi6X	Consumer Electronics;Cell Phones & Plans	What sprint phone has the best picture quality???	N/A
20070418235440AA7oZX6	Consumer Electronics;Cell Phones & Plans	Can i use RS-MMC in a mini-SD phone?	N/A
20070422202045AAYZsqO	Consumer Electronics;Cell Phones & Plans	Can a Verizon LG VX9800 be unlocked to work on Cingular?	I believe it can be unlocked to make calls, but I also want to be able to text message and access the internet.
20070424125202AA0Lzud	Consumer Electronics;Cell Phones & Plans	Need Help With Nokia 6102i.?	How do I send a picture to an email address from my phone? Thanks for any help.
20070424130034AAg5KBl	Consumer Electronics;Games & Gear	How do i break a xbox360?	N/A
20070429231011AAZHTc1	Consumer Electronics;Cell Phones & Plans	2 phones at discounted price?	Hello! My verizon contract is almost over so I was looking at two new phones to buy. I was thinking about buying a blackberry pearl from amazon.com at the discounted price for getting a new cingular contract, but I was wondering if since I am getting a family plan with two lines will I be able to get a second phone at the new contract discounted price aswell? If not cingular, what about t-mobile? If it helps, the second phone I am thinking about getting is a palm treo 750.  Thank you as any help is appreciated! :D
20070501213248AAfkNSq	Consumer Electronics;Cell Phones & Plans	Can you actually buy a cell phone out side of your provider and then have them activate it?	I just went to the Sprint store and they wanted 222.14 for a phone, when I found the same phone for 75 dollars at a different place.  Can I take that phone into a sprint store and have it activated?
20070507181523AAQGgNA	Consumer Electronics;Music & Music Players	Ipod corrupted?	N/A
20070510010713AA60YxD	Consumer Electronics;Cell Phones & Plans	Wifi on handphone?	Hi guys.  I literally have no ideas how this work... do you need a wifi handphone & a mobile telecomunication service provider w/ wifi capability for this?... Will the connection works in all wifi hotspots?... ie. I might be subscribing company A 's service for my phone & trying to connect in hotspot served by internet company B...   TQ
20070515215251AAXeePX	Consumer Electronics;Cell Phones & Plans	Whats the pros and cons to Boost Mobile walkie talkies?	Just wanting some feedback on how good they are
20070516081723AA4j2tm	Consumer Electronics;Music & Music Players	Creative Zen Recording?	Does anyone know how to pull a voice recording off of the Creative Zen Vision back onto the computer?
20070518073249AALbJ9t	Consumer Electronics;Other - Electronics	I want to buy an inexpensive police scanner....what should I look for in doing this?	N/A
20080502134839AAhLhdY	Consumer Electronics;Music & Music Players	My burner isn't working! Helpppp!!!?	I'm using Windows Media Player and when I try to burn it says "Interface Not Registered".... how do I fix this? It was working fine before.
20071020002226AAZYo4G	Consumer Electronics;Cell Phones & Plans	Where can i get Cell Phone Water Detection Sticker?	N/A
20070721105100AA7Wynq	Consumer Electronics;Music & Music Players	Can you exchange a water damaged ipod at Circuit City?	My sisters friends pushed my older sister in a pool with my ipod nano in her pocket. I'm thinking about buying an ipod video and on CircuitCity.com. It said you can trade in your old ipod (if you have one) in for gift cards, so if anyone knows if you can trade in a water damaged ipod please tell. I need an ipod!!!!!
20080709015002AAql9C1	Consumer Electronics;Games & Gear;PlayStation	Rubbish Sound when playing CDs on PS3 or off harddrive?	Hi, just wondering if anyone else had the same problem? Movies the sound is amazing, games fantastic, but if i play music off a cd or off the harddrive it sounds crap like there is way too much bass even if the sound is on low?
20080501143445AAPDwEK	Consumer Electronics;Camcorders	Quanto costa noleggiare 2 camere sony Hd per un giorno o pe runa settimana grazie?	N/A
20070710153408AA1aXTQ	Consumer Electronics;Cell Phones & Plans	When is the next update for the iphone?	Im wondering if they are going to offer ring tones and maby let us send multimedia messages?
20070520165522AAnKdP6	Consumer Electronics;Other - Electronics	Videos en internet?	Tengo un maquina potente con la ultima vercion de internet explorer, y mi coneccion es adsl como de 300k/s, pero los videos en internet salen lentisimos, se demora 5 segundos para cargar 3 de video, y conosco amigos que tienen la misma velocidad banda ancha y no tienen este problema, que puedo hacer?
20070831055145AA7pLkc	Consumer Electronics;Music & Music Players	Which one is good??? IPOD nano, creaive or transcend???	N/A
20080926212130AAdjEOt	Consumer Electronics;Cell Phones & Plans	Does unlimited texting come along with an internet plan with tmobile? ?	i just bought a sidekick and im trying to figure out my plan options. i have unlimited texting (15$) and i wanna get internet (20$) but it would be uber helpful if there was a way i could get them both in one. 
20070529122416AAzvar1	Consumer Electronics;Other - Electronics	What's the best provider for HD signals?	We just got a 50" plasma and want some good HD programming.  Also, how do I find out what certain providers will be adding later on? I'm in OKC.
20070527035802AABdoAC	Consumer Electronics;Cameras	Can a Sony Cybershot dsc-w80 use an sd card instead of memory stick duo?	N/A
20070601071949AAQ1laP	Consumer Electronics;Music & Music Players	I need ipod help!!!?	With an ipod can I get itunes songs from my friends computer and then get songs from my computer w/o deleting what I got from my friend? I'm getting an ipod today and I don't know if you can download and go back and forth between computers. Please explain.
20070611190738AA38676	Consumer Electronics;Cell Phones & Plans	Unlimited Messages for Families, t-mobile?	my mom and I have this, were new to the cell phone plan so does that mean unlimited texting to each other or to everyone?
20070612193558AAo3Wzw	Consumer Electronics;Music & Music Players	Ipod help!!!?	ok my friend let me borrow her ipod.      ok so how do i put the songs from her ipod onto my itunes??!?!?
20070625063055AAbM7sA	Consumer Electronics;Cell Phones & Plans	Where does sell sony ericsson S500i in Singapore?	N/A
20070728170358AAkf4hW	Consumer Electronics;Cell Phones & Plans	Which navigation mobile phone Bond used in Casino Royale?	N/A
20070728185744AAQEQWO	Consumer Electronics;Music & Music Players	Help me and my ipod?	i just bought an ipod video. how can i turn my videos that i have into mp4s????????plz help
20070805030614AA9Wsv1	Consumer Electronics;Cameras	Where can i buy the cheapest Nikon D80 camera DSL.I m from Ireland?	N/A
20070825160506AA8orFq	Consumer Electronics;Cell Phones & Plans	Does anyone has a boost unlimited phone and i was trying to look up my phone calls and it only comes up text?	and need to find a number..!!!!
20070829161323AAT2hxS	Consumer Electronics;Cell Phones & Plans	What is the pricies for Sprint Text Messagin?	I want more text messages because I don't have enough and I was wondering what the prices were for a certain about of Text Messages (I was thinking about 500)
20070829165213AAg8oWs	Consumer Electronics;Cell Phones & Plans	I can't get the USB driver to show up when I plug in my RAZR V3XX can you help?	N/A
20080122150935AAZZJcV	Consumer Electronics;Games & Gear;PlayStation	How Stable is the Playstation Portible?(the white one with the darth vader symble)?	N/A
20080124102916AAo7cd6	Consumer Electronics;Games & Gear;PlayStation	Can you play dynasty warriors gundam or any other ps3 game with a 480i tv?	i have used other games such as resistance fall of man which also only states it's 720p which plays on my ps3, however dynasty warriors  gundam doesn't for some reason, has any body got any answers?
20080128125246AAc7FL5	Consumer Electronics;Games & Gear;PlayStation	How can I play Tekken Dark Resurrection.iso game on my Pc. Its a ps2 game I think...suggest?	N/A
20080523115009AA0XDPE	Consumer Electronics;Other - Electronics	Will DVDs bought in the UK work in America atall?	I'm going to America for 3 months and contemplating taking my DVDs over there, but will they work?
20080523132055AAPeKLF	Consumer Electronics;Cameras	Which camera is easier to use, but has good picture quality?	ok I am in middle school and my mom is getting me a camera. which one is just as easy to use but has great pictures, Nikon Coolpix, or the Kodak Easyshare
20080618194303AAEo2u9	Consumer Electronics;Cameras	Which FujiFilm Finepix Camera is the newest???!!!!!!!!!?	Please let me know!! Also, is that sereis a good quality and everything else?
20080707152938AARTRam	Consumer Electronics;Cameras	Kodak M835 camera?	okay so i got this camera for christmas and i still have no idea how to record just sound. please help!
20080707160011AAYLUf1	Consumer Electronics;Cameras	My camera wont turn on?!?!?!?	Ok... well... i have a kodak easyshare M753... it came with a rechargable battery... and i know the battery died when i went to choir tour.. but now it wont even turn on... im trying right now to charge it at the computer but the charging light isnt coming on..... idk what to do?1?!?
20080707162141AACky8E	Consumer Electronics;Cameras	I recently bought a canon eos 40d at abes of maine?	can u tell me if i did the right thing coz i only paid $1129 for the body kit with 28-135mm lens.. they have very high ratings.. do you think they are seelling original goods? because they are CNET certified store.. and canon retailers.. im scared that if i there is problem, canon might not consider its 1 yr warranty..       10 big points for good info and recommendations!
20080707163248AAwoywf	Consumer Electronics;Cameras	What is the best brand of digital cameras?	I need a camara quickly :) before I spend my 400 dolars      price range between 200-300
20080707184846AAXB7Nd	Consumer Electronics;Cameras	Looking for the best digital point and shoot camera on the market.?	I'm looking for a camera that has good optical zoom (i.e. 10x+) automatic settings that actually work, yet manual settings as well. Something that can take a picture pretty much anywhere that any basic digital camera is capable of taking a picture. I'm looking to spend less than $450. Right now I'm looking at the Canon S5-IS, but I want to hear from some people about it, or other P&S cameras that they like. I'm wanting something close to an SLR, but still in the easier to use point and shoot category. I'm talking about using this camera as a weekend portrait photographer, so it has to be pretty good. Thanks
20080708184832AAIbU9s	Consumer Electronics;Cameras	Hewett Packard Camera?	I have a  r707 HP photosmart camera.    The other day when I was going to take a picture, I clicked the take picture button, saw a green light blink twice, and then everything froze. The little display picture in the back went black, and the only thing that works is the record red button. The camera still looks like its on, but will not work at all. I tried making the battery die, re charging it, taking the battery out. NOTHING WORKS! I was wondering if anyone  knows how to fix this problem. ANY help would be great. Thank you!
20080708075039AAISJ07	Consumer Electronics;Cameras	How can i fix my camera?	I have a sony cyber-shot and whenever I turn it on, the lense keeps popping in and out and the camera tells me to turn it off and on again. But that doesnt fix the problem. What should I do?
20080929193914AArHPM4	Consumer Electronics;Cameras	How do you do that,help. ?	I like the way the picture is,   how it looks like one of the old photos with the white border.   How do you get it like that?   Do you edit it a certain way to be like that or something?   Thanks.    http://i334.photobucket.com/albums/m408/... 
20081004130418AAwoL1u	Consumer Electronics;Cameras	Are there any digital cameras that my old Nikon FG lenses will fit?	N/A
20090202114710AAbG2wh	Consumer Electronics;TVs	How would I watch tv available on the internet on my home televisions?	Is it possible to record shows like tivo works now?  Are there as many shows available as cable/satelite has now?  Would I need a different computer for each television or is it possible to set up one computer and run lines to various tvs?  Please help because I would like to get rid of the $50+ per month bill for watching tv though don't want to stop watching the news, etc.  Thanks.
20090202075907AATON5l	Consumer Electronics;Cell Phones & Plans	Hw do i bolck the calls on my mobile phone...itz vodafone!!!!!!!?	N/A
20090202092117AATtKmj	Consumer Electronics;Cell Phones & Plans	Is the Iphone a good phone?	I know it hass the endless amount of apps and what not, but when it comes down to it is it a good phone. What are the things that bug you the most about it?
20090202081310AANYEwN	Consumer Electronics;Cell Phones & Plans	Verizon Wireless LG enV2      ?	i want this phone so bad. but my contract isnt over until december. by then it might be gone. Do you know of anyway that i can get it besides paying full retail price? thanks!
20090202201731AAycIHy	Consumer Electronics;Music & Music Players	Looking for some solid over-the-ear headphones, help?	I had some skullcandy lowriders for a while, but they were stolen and want some new headphones. The skullcandys were pretty lose and flimsy for me, so im looking for something comfortable yet sturdy, cause apart from using them on the go and and at work i would use them for mountain biking and snowboarding as well. can anyone give some recommendations of solid headphones for under $100?      thanks
20090202201535AAkiN5x	Consumer Electronics;Games & Gear;PC	Need Help With COD:WAW PC?	So whenever I try playing this game in single player this screen pops up:       http://i290.photobucket.com/albums/ll249...       I don't know how to fix it (tried re-installing) so any help would be greatly appreciated.
20090202201142AAlJOOK	Consumer Electronics;Cell Phones & Plans	Where is the cheapest place to find a wide range of Pantech Matrix c740 accessories?	I am interested finding accessories for my Matrix. I really dont want to pay $30 for a case from ATT ( http://www.wireless.att.com/cell-phone-s...     But I also don't want a really ugly case that doesn't match my phone, which is black, BTW. Also, i would like to see what other accessories are available that are specifically designed for the Matrix.
20090202201013AAID9uF	Consumer Electronics;Music & Music Players	Lyrics to songs into Ipod?	cha i have a few of my songs n if i double click the lyrics apear   so anyone know how o install the lyrics of songs?   (into the album not the iPod notes)
20081013143850AAwqMji	Consumer Electronics;TVs	My tv says the word "listen" and its a black screen?	is there a way to fix it..i tried turning it off and on
20090202201235AArKDAq	Consumer Electronics;Cell Phones & Plans	Im Wanting To No How To Unlock An I-Phone 3G Really Fast For Free?!?	hey guys i have an i-phone 3G and i cant use it because i dont no how to unlock it if you can help thats great! thanks!
20081231092013AA86mUN	Consumer Electronics;Music & Music Players	How do you fix my microsoft zune?	I got my 30 gb microsoft zune a year ago.   2 months ago it wouldn't charge - fixed that,   now i charged it overnight and its not working it shows the zune logo and it won't shut down or restart and it's not playing my music!   It won't sync to my computer either.      How do you fix it?   Can it be fixed?       Personally i love my zune but if it doesn't start working i think i'll have to toss it out and get something else.
20081007063805AA0Vebk	Consumer Electronics;Cameras	WHY IS MY CAMERA DOWNLOADING MY OLD VIDEOS ONTO MY FRIENDS COMPUTER WHEN EVERYTHING IS DELETED?	O.k when I download my photos and videos onto her computer all these old videos pop up and when I check my cameras files everything is deleted and it does not make sense!!!      I'm selling this camera (Canon S3IS) but I don't want the new owners looking at my old family videos or of my pet videos. How to I delete them is there a secret file on my camera or something????
20081008055125AA4hN7z	Consumer Electronics;TVs	QUALCUNO SA KI HA VINTO AL PROGRAMMA TV il ballo delle debuttanti SU CANALE 5?	N/A
20081016075749AAU5olf	Consumer Electronics;Cameras	I need help using my Canon PowerShot S5 IS for an event?	Okay, so I received the Canon PowerShot S5 IS as a gift and haven't used it too much yet so I'm not too familiar with the features (P.S. I lost the booklet!).  My dilemma is my friend asked me to be the designated Photographer for an event he's throwing this Saturday (10/18).  It's going to take place in a lounge/club atmosphere with low minimal lighting and I was hoping to get some suggestions for taking good shots they will mainly be of people.  Any suggestions are GREATLY appreciated! Thanks in advance.
20081017172745AAsHwsd	Consumer Electronics;Cell Phones & Plans	Should i get the red RAZR?	Me and my friends are doing this thing where we each have all our electronic devises a matching color. I want to support product red so ill be getting the product red iPod nano and a a red cyber-shot digital camera from sony. My problem is there aren't very many solid red phones. The only one I've found is the red Moto RAZR,  but i'm reluctant to get it because RAZRs are so old!!! What so you think?
20081020002123AAnwdGi	Consumer Electronics;Cameras	Olympus 1050SW? is it worth the money ($$400$$)???? should i buy it or wait or something?	please answer all of the questions if you can and here is a link to the olympus 1050sw       site http://www.olympus.com.au/component/opti... 
20081020012631AAFPb4U	Consumer Electronics;Cameras	When will the price of the Sony Cybershot Digital Camera DSC-T2 come down?	I'm going to Europe this upcoming March and was wondering if I should buy the camera now or wait until before I leave. I'm not sure if the price will come down significantly.
20081020061546AACN7oD	Consumer Electronics;Cameras	I ve got vivatar 5662 digital camera, any time i turn it on, it display an error message, "protected card"?	i have changed the write-portected notch switch to unprotected but still the same message. i changed the SD card and still received the same message. i need help!
20081022175746AA4gO4a	Consumer Electronics;Cell Phones & Plans	Which is better? Samsung Rant or LG Rumor?	i am getting one of these two and I just saw the Rant and liked it a lot! Is it better than the Rumor? please include details!
20081024111044AAjZKBC	Consumer Electronics;Music & Music Players	Heavy Metal question: Do you like Edguy, Stratovarius and Rhapsody?	which is your favorite heavy metal band/group ?
20081025090010AAq1tb4	Consumer Electronics;Land Phones	Receiving a VOIP Call?	My friend calls me through his VOIP software.I receive his call.Does my telephone company charge me anything for this incoming call ?
20081026180224AAjCCZY	Consumer Electronics;Music & Music Players	Does anyone have a free iTunes code they don't need?	Maybe you've got a code from the Coke promotion, Starbucks promotion etc. and don't use iTunes? I'd be very grateful if you could give it to me! Thanks :)
20081027085029AAwbM2l	Consumer Electronics;PDAs & Handhelds	Does this phone have a keyboard?	will this behold be compatible with the G1
20081027134517AAlvgL3	Consumer Electronics;PDAs & Handhelds	What does everyone think of the Blackberry Curve?	Like, how does it work? do you like it? is it easy to text with? what about email and internet.    anything is great.    Thanks!!   
20081107095129AAEfYUw	Consumer Electronics;Games & Gear;PlayStation	How to play Call of Duty on playstation 3 controller?	I just bought the ps3 and play multiplayer online but I find it is very difficult to use the controller.  Do most people play on the PC or ps3/xbox?  the keyboard + mouse is easier to use I think since I've been used to playing counter strike, can I plug that into the ps3 usb ports? I can't get any kills!  Any tips for control and accuracy? (>_<)
20081205220501AAWVBOG	Consumer Electronics;Games & Gear;PlayStation	Can you hack your xbox360 ?	N/A
20081231105514AABqbEz	Consumer Electronics;Cell Phones & Plans	Domanda stupida ma urgente sugli SMS?	Ho ricevuto un sms da un mio amico e ho risposto facendo:   rispondi con.../sms   quando l'ho inviato, il cellulare non mi ha chiesto la conferma così il numero del destinatario è rimasto col prefisso, cioè preceduto dal + 39.   Gli arriva lo stesso?
20081102223526AA8HkgN	Consumer Electronics;Cell Phones & Plans	Que cel se comprarian?	amigos que cel se comprarian si tuvieran 4000 pesos y porque?
20090202080339AAo0R8L	Consumer Electronics;Cell Phones & Plans	Wanting to jailbreak my iphone 3g?	i just got my iphone 4 days ago and i really want to jailbreak my iphone for many reasons a few being you can put themes on it, camcorder and etc. i have an understanding that quickpwn has cam out with and unofficial 2.2.1 software to jailbreak it but i'd rather wait for the official 2.2.1 to come out,how long does it usually take them to bring the new software out?and also can anyone direct me to a good step by step how to SSH website(i guess that's what you use to put themes on the iphone) also i know your phone has to be jail broken to download winterboard but when i do do it how do i download it from my iphone or do i download it to my desktop(i have windows) and then transfer the app to my iphone?detail will be appreciated b/c i am new to all this,thanks in advance.
20090202082937AAawxc5	Consumer Electronics;Cell Phones & Plans	Does Apple iPhone 3G support office files?	does it support file of MS word, powerpoint, excel etc........and does it let me edit them.....because i am planing to buy one and want these feature in my phone without having to add any extra apps
20090202083542AAONRxO	Consumer Electronics;Cameras	Is The Kodak EasyShare V1073 A Good Camera?	Does anybody here own it?       Do you like it?       Could you please jot dow a couple pros and cons? Thank you!
20090202090544AAbqEzs	Consumer Electronics;Music & Music Players	Can anyone give me a link to a free full length movie downloading website for ipods? Virus free aswell lol?	im going away soon and i want to stock up my ipod with loads of good movies !    Thanks!
20090202090511AA2EA7o	Consumer Electronics;Music & Music Players	Help with ipod/itunes please!?	I recently updated my ipod touch (first gen) and backed up. I've restored now but stuff that i deleted is on there and stuff that i had on isnt there. This isn't the major problem cos I can just take the time to sort that myself, the problem is that when my ipod is listed in my devices and i click music it won't let me edit any of the music on my ipod. The list comes up pale and will let me get info on songs but not edit any of it...please help anyone because it's starting to drive me absolutely insane!  Please and thank you =]
20090202090618AAscZSd	Consumer Electronics;Music & Music Players	I would like to know which headphones are best suited for my ipod...?	can u please tell some good reasonably priced headphones....the ones which does not make ur ears ache...or break at the slightest touch...it should last for a long time...excellent sound quality is a must...neither should it burn a hole in my pocket.....(i.e plz dont recommend bose headphones)
20090202091356AAepXEQ	Consumer Electronics;Music & Music Players	Where is best to buy cheap cds?	N/A
20090202092111AAuYEBp	Consumer Electronics;Cell Phones & Plans	Iphone lock messages ????????	i have a nosey sibling and he always looks at my inbox on my iphone, is there any way i can make it require the passcode when atempting to look at messages and other apps? please help.
