20090220032514AALWXDP	Sports;Outdoor Recreation;Hunting	California legal HK416 assault rifle?	is there such a thing and if so were do i find one?
20090220034449AApue5q	Sports;Auto Racing;NASCAR	What happend  to the 99 truck in the nascar truck series?	and driver eric darrnell
20090220034507AABZXxb	Sports;Basketball	Cavs, Lakers, or Celtics? Other?	Who will win the Championship?
20090220034746AAR8m2S	Sports;Basketball	Marc Gasol or Darko Milicic?	Which name is better? lol      Who will be more competitive after 5 years?
20090220035031AARw812	Sports;Basketball	Who is deserving to the Dunk Contest? Joe Alexander or Russel Westbrook?	Rudy SU*KS, Joe or Russel?
20090220035202AAOIEU6	Sports;Basketball	NOH vs LAL? Who's your bet?	who's your bet?
20090220034522AARKFy5	Sports;Football (American)	Can a high school referee coach one of the teams during game while officiating?	It looks as though we should have no expectations for the officials who should be an example to these teens.  I've never seen this and am not sure how it can be handled...this has nothing to do with the outcome of the game (we lost but were not playing up to par)...the point is that the referee on the crowd side was continually coaching the other team (in Spanish) I guess thinking we wouldn't know?  Anyway, our Jr High Coach actually first heard him and repeated everything he was saying...parents then began to stand by and listen.  Yes, he was telling them to "push up...good game...pull back...put your shoulder down, etc".  That is surely not allowed?  Where can I find information concerning this...the administrators said in all their years they've never seen this.  What does tell our players?  I am an avid soccer mom/fan and heavily involved in my kids activities.  My husband is also a referee and was shocked.  We've both been involved in soccer/sports for over 10 years, club officers/coaching, boosters, etc...helping to support our kids.  Please let me know your thoughts and where I may be able to find a solution.  Do officials not have to follow some sort of rules/guidelines...it seems they can do anything.  Thank you...
20090220034651AArRxKJ	Sports;Football (Soccer);Scottish Football (Soccer)	Cetlic v rangers league cup final tickets!?	i need to get my hands on 4 tickets for this game at a resonable price. any ideas?????????????????
20090220041849AAyBK4C	Sports;Basketball	NBA:What are your top 5 teams?	N/A
20090220042153AAVNOlR	Sports;Football (American)	How do you feel about what this person wrote about the franchise tag?	I was reading a article about Leroy Hill of the Seahawks getting the franchise tag. If you scroll to the bottom and read the only comment this is what it says      I'm sick of players bitchinnnn about the franchise tag, especially all the black players, you don't see Cassel complainin or any of the other white guys that have been tagged, it's ludicrous, to think a player should be able to just go do whatever they want when the franchise they played for made them who they aare, they should be greatful to get the tag, that just means your team finds you valuable and would like to win a SB so they would rather restructure the next year, players (blacks) need to hold their tongues and suck it up like the white man and take their top percentile paychecks      Do you feel that its true or out of proportion?       http://www.nfl.com/news/story/09000d5d80... 
20090220041255AAsG1Ba	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Is this a veiled warning from Alonso for Man City not to touch Gerrard in Liverpool's own box on Sunday?	 http://www.football365.com/story/0,17033... 
20090220041100AAOFGbJ	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Should Tevez learn from the option?	 http://www.football365.com/story/0,17033... 
20090220042103AAzjMok	Sports;Cricket	Cricket Quiz? (No.63)?	Rearrange the jumbled word:      EDEKR (5) MWLIALI (7) DALRANL (7)       If you don't star then your won't get BA!!
20090220041844AALDePI	Sports;Football (Soccer);Other - Soccer	How many times have Germany won the World Cup?	N/A
20090220040306AAkjc5F	Sports;Football (Soccer);Other - Soccer	What football team do you support and where in the country are you from?	N/A
20090220040143AAolSqo	Sports;Football (Soccer);Other - Soccer	Name ur 5 greatest managers an players in last 25 years?	N/A
20090220041928AAqDEOr	Sports;Martial Arts	Any tips for a tournament?	Hi,      I have a Jujitsu Kumite tournament coming up at the end of March and I was just wondering if anybody had any tips that they could share with me about any aspect of the tournament, whether that be in the actual fights or simply in the run up to the tournament.      The tournament allows striking, throwing and groundwork (unfortunately the striking is only semi-contact).      Thanks.
20090220042044AAfJpie	Sports;Football (Soccer);Men's Premiere Leagues (UK)	What channel on TV is the Liverpool vs Manchester City match on?	Please don't give me online websites to watch it! Thanks for help!
20090220041131AAyxcWP	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Inter will beat the Man Utd foriegners!!?	The premier league has no English players, Serie A has Italian players that is why Serie A is great. Inters team for example:   GK Caesar   RB Maicon   CB Cordorba   CB Samuel   LB Maxwell   RM Zanetti   CM Cambiasso   CM Muntari   LM Stankovic   CF Zlatan   CF Adriano   More players Julio cruz, Luis Figo, Patrick Viera, Burdisso, Chivu, Rivas, Mancini, Jiminez etc.  Materazzi ( always suspended) and Santon ( only played 5 games) are the only Itis that get games.      GK VDS   RB Neville   CB Rio   CB Vida   LB Evra   RM Ronaldo   CM Carrick   CM Scholes   LM Park   CF Rooney   CF Bebatov   In the CL final we started Brown and Hargreaves. Foster and Welbeck played at the weekend.   Technically we are in Great Britain- so we also have fletcher, evans, giggs etc. Platini wants a quota because there is few english players in our teams- hes not great with mental arithmetic.   Michel Platini is a dick who bums Italy. Q How much will United beat Inter by?
20090220035624AASf4YS	Sports;Cycling	Do think lance is making a comeback just to win tour de france or not or for the fact he can still cycle.?	N/A
20090220041906AAX0ubn	Sports;Cricket	Who will win twenty /20 world cup 2009?	N/A
20090220041446AALzV95	Sports;Cycling	When do the 2010 mongoose and gt bikes come out?	the 2009 bikes came out at the begiining of the summer or in the ending of the summer
20090220035447AAusHFB	Sports;Outdoor Recreation;Hunting	Why use brass sell casings? why not steel?	i have noticed in guns, and artillery the shell casings are always made out of brass. brass is expensive, weaker and dosnt look as good as steel. so why use it for casings? i am aware some of the case must be deformed. but just a small brass percussion cap could be used just for that and steel for the rest. whats going on?
20090220041050AAlsOzz	Sports;Rugby	Do you think Scotland will beat  Italy next weekend at  Murrayfield in the 6 Nations?	N/A
20090220035443AAPpEuv	Sports;Football (Soccer);UEFA Champions League	Can someone tell me so goood youngsters?	i no   mertesacker   c. ronaldo   baxter   rooney   john obi mikel   huntelaar   fabregas   messi   torres   babel   young   anderson   adebayor   van persie   nasri   agbonlahor   and lots more      p.s.   is there anyone that i missed from the list that u no
20090220040538AAF92kQ	Sports;Water Sports	Are inflatable life vests a good idea or a bad idea?	im looking for comfort
20090220041205AASRL2X	Sports;Fantasy Sports	Can anyone help me with this trade, its tough?	The trade i am being offered is Ian Kinsler who is on my team, for robinson cano, yankee, they are both 2nd basemen, both are good, im not sure who to take but Kinsler has been on the DL since august, i don't know if he's coming back, thanks for the help!
20090220042002AAA7lFv	Sports;Football (Australian);Other - Football	Football Scenario......................…	Here A Good Scenario      You Guys Pick         1st Qb   ----------   Height - 5'3   Weight - 155   Speed - 95   Power - 65    Accuracy - 75   Scrambling - 94   Arm Strength - 78   Stamnia - 95   Durability - 65         2nd Qb   ----------   Height - 5'9   Weight - 185   Speed - 75   Power - 80   Accuracy - 70   Scrambling - 50   Arm Strength - 78   Stamnia - 55   Durability - 80      3rd And Last Qb   --------------   Height - 6'2   Weight - 210   Speed - 65   Power - 95   Accuracy - 92   Scrambling - 65   Arm Strength - 90   Stamnia - 75   Durability - 85
20090220042148AAvNqT9	Sports;Running	Cross trainer while pregnant?	Is it safe to use a cross trainer while 5 months pregnant? How much is too much - would say, 15 mins a day be ok and not cause damage but make me more toned then im feeling at the moment?!
20090220044654AAcV0x5	Sports;Rugby	Can you go for a drop goal from a short arm free kick?	I'm not too sure if you can or not, but if the law allows you to attempt a drop goal from a short arm penalty, why don't some of the super14teams go for the drop if they get one infront of the posts if their down by 1 or 2 points?
20090219193015AAHmUNb	Sports;Cricket	India have arrived in NZ?	Sorry, populated
20090219224343AA9NLmE	Sports;Basketball	Is Doc Rivers the coach who complains the most?	did you see him today against the Jazz?I think he's the Bigest Cry baby coach. no wonder he got fined      BQ: What team Complains the most?
20070122100950AAzk4DT	Sports;Football (American)	So giants fan are u happy that the colts are in the super bowl?	N/A
20070701084922AA4ovsC	Sports;Fantasy Sports	Should I give Jason Bergmann another chance?	He pitched like crap yesterday and ruined my ERA.
20090220044248AASOniR	Sports;Football (Soccer);Men's Premiere Leagues (UK)	One or the other- best players?	United V Liverpool   VDS or Reina   Neville or Arbeloa   Vidic or Carragher   Rio or Skrtel   Evra or Aurelio   Ronaldo or Kuyt   Scholes or Alonso   Carrick or  Mascherano   Park or Riera   Gerrard or Rooney   Torres or Berbatov   Giggs or Babel   Hargreaves or Lucas   Evans or Agger   Tevez or N' Gog lmao   Dossena or O' Shea   Benayoun or Nani   Insua or Rafael   Plessis or Anderson   Cavieleri or Foster   El Zahr or Wellbeck   Fletcher or Spearing   Tosic V erm Dave Martin   Kusckzack or Itanje   Fergie or Rafa lol
20090220044426AA2C8LE	Sports;Basketball	Anyone else think that Nate Robinson is amazing?	He is 5'7!!!!!  I am taller than that
20090220044611AAHzfvo	Sports;Hockey	With Mats Sundin's return to the A.C.C. Saturday night?	How would you react? There's big debate on how the crowd will welcome Mats (or not so much). So, if you were at the A.C.C. how would you feel and react to Mats' return?
20090219193922AAlxiq4	Sports;Wrestling	What life would be like if the miz won a singles championship?	please dnt go of at me i kno the miz sucks and doesnt deserve a title but has any body wondered what life would be like if he won the wwe championship or the world heavy weight championship                  DX RULZZZ!!!!   i actully wanna c what he would do lol give it to him for 1 week
20090220044440AAkRWHS	Sports;Fantasy Sports	Who Should i draft # 3 overall?	We are Sox fans so ......      These picks were already said to be picked   1. Hanley Ramirez   2. Big Papi      I've decided to mark it down to 3 players      A-rod        He might get suspended   Jose Reyes     not a power hitter but a great pick. I had him last year   Albert Pujols    Does basically it all
20090424095014AAkT6rI	Sports;Football (American)	Who is the best wide receiver in the nfc east?	i think it is santana moss since T.O. and plaxico got relesed!!!!!!!!
20070212153412AA3pSfC	Sports;Basketball	Do u know a go to move for basketball, if u do how to do it?	N/A
20080707125949AAv1Ak9	Sports;Tennis	Pork nadal tiene un brazo mas grande q otro?	N/A
20090219091709AAHBta3	Sports;Snooker & Pool	Want let me set in pool room to play yahoo pool. boots me out, off of table and room?	is it java booting me out of pool?
20090219204926AA4VRx5	Sports;Football (Soccer);French Football (Soccer)	Anelka,suker,jeffers,reyes,bap… Who's the best number 9 to be signed by arsene wenger?	N/A
20090203124612AA1FOPX	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Forget Keane, Will the Biggest battle on Sunday be between Roman and Arshavin?	They are Strike partners for russia and Pav was top scorer last two seasons running in the Russian league... Will they both be trying to prove who is better????
20090203123108AAhDs3o	Sports;Football (Soccer);Men's Premiere Leagues (UK)	My mate is a Stoke City fan...............?	It's his birthday next week , I want to get him their new DVD " 101 Great Throw - ins ".   Anybody know where I could get it ?   Thanks.
20090203123753AAc4YCd	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Poll:Terry Or Vidic?	N/A
20090220023824AA6paDh	Sports;Football (Soccer);Scottish Football (Soccer)	Who remembers when on Scottish cup day in the 60's.?	Dundee played Rangers at Dens 1-1 33,000 crowd.   United played Hearts at Tannadice 6-5 11,000 crowd.   On the same day!
20090203124249AAwM1UN	Sports;Football (Soccer);Scottish Football (Soccer)	Has Anyone Else Heard ,Adam McNaughtans Song From 1977,Blood upon the Grass?	It s about a decision to play Chile in the Santiago Stadium Where thousands were massacred ,But the SFA didnt see a problem
20090220024010AAsO1TQ	Sports;Outdoor Recreation;Hunting	Does this cartridge exist, or was I just hallucinating?	Years ago, at a gun and knife show in suburban Detroit, one of the vendors had some oddball rounds of ammunition on display.  One of them appeared to be, and I swear on an M1911 tech manual I'm not making this up, a .32 ACP case necked down to take a .14-caliber bullet.  Has anyone seen anything similar?  And what would its practical applications be?
20090220013531AAXifJX	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Quiz Q2: Which club has fielded the fewest number of players in the Prem this season?	And how many?
20090203124648AATuZ1t	Sports;Wrestling	What's the best heavyweight macth you've seen so far?	Fo me it has to be Kenta Kobashi vs Misawa (i think thats his name) not sure what year it was all i know is that its one of the best macthes i'd ever seen. I had no idea that heavyweights like that were so talented.
20090203124445AA0GO4I	Sports;Basketball	WHO WOULD WIN AN NBA ONE ON ONE TOURNEMENT?	Would it be a small but quick guard who could shoot from the outside and blow by a bigger but slower player if he came out to contest the shot. or a big man who could block shots on D and post up all day long on offense.  who would be your final four and your winner.  I say Kobe, Lebron, Wade, and a Mobile big man Like Dirk.  With Lebron winning because he has the strength to handle a big and quickness to handle a small.
20090203123137AAEyMqJ	Sports;Football (American)	In the Superbowl, why didnt Madden?	suggest that Big Ben should run the clock out and play for over time while the steelers were on the 15 yard line, oh he must have learned from 2001-02 superbowl lol.      " Tom Brady should play for overtime."
20090220033606AAiuLzg	Sports;Basketball	Do you think Tracy mcgrady stayed healthy he would've won a ring?	Tmac at one point was arguably one of the best guards in the nba. How many rings do you think he would've won if he stayed healthy? Would you consider tmac a top 50 of all time player?
20090203123106AAUtK3x	Sports;Basketball	Who is the real Superman?	1) Michael Jordan   2) Shaquille O'neal   3) Dwight Howard
20090220040216AALmSAX	Sports;Cricket	Guess the name of the cricketer [45]?	Difficulty-Medium         Headingley,Leeds relates to me.I have a average of less than 5 in the only Test match I played.I have a average of _2.0_ in First Class.My BBI in First Class is _/5.332 is one of my stats.      I am   _ _ _ _ _ _ [6]   _ _ _ _ _ [5]   _ _ _ _ _ [5]   _ _ _ _ _ _ _ _ [8]   _ _ _ _ _ _ [6]
20090203123939AAYiO6z	Sports;Football (Soccer);Men's Premiere Leagues (UK)	I want to start a protest......?	that we sould answers this and write down why you hate.   Mrs ' I wanna be a wag'. (sian)   Please tell me why you hate her.   i hate her cause shes a spammer.
20090203123118AAbYFM7	Sports;Football (Soccer);Other - Soccer	What should i do if...?	My soccer team got into a tournament, called March Madness!! The only problem is that a few of our best players wont be able to go bc of vacations?? Any help??
20090203122714AAtArSD	Sports;Baseball	Should I tryout for 1B or Outfield for JV Baseball?	I'm 14 and I'm gonna try out for the JV baseball team at my school. Its a small school but we still have good players. I'm a freshman and I'm not that tall or big (i'm 5'5" 117lbs) and i'm lefty battign and fieldings. I've alwys played 1B and i'm pretty good at it but I'm not sure if i should try out for 1B if a sophmore is since im kinda short and new to the team? Any help?
20090203124505AAAPG1C	Sports;Boxing	ROCKY????????????????????	i just got a rocky robe and want to know if amateurs can wear there own robe or shorts or both for a match also i want to know if it would be cool to wear my rocky robe at a fight because that is what i am going to do
20090203123231AAmlDOM	Sports;Cycling	How can I improve my "bunny hop"?	I can only get about 5" off the ground while in motion, how can I increase this a few more inches, I've been trying forever.. any tips?
20090203122732AACudIi	Sports;Wrestling	Has Shawn Michaels gone soft?	If you saw the recent episode of RAW, you may have seen JBL pushing HBK around and slapping him. Instead of fighting back, HBK ran out of the ring crying like a little b*tch. Who agrees with me that HBK needs to man up and show some backbone? NOTE: No disrespect intended towards HBK or his fans and yes I know wrestling is just acting.
20090220013124AA4Dj6K	Sports;Winter Sports;Ice Skating	Is it weird that I find iceskating easier than rollerskating?	My bf thinks its weird..
20090203122702AAgKjPQ	Sports;Basketball	Any prediction on the NBA all star game?	1) Whos gonna take it?   2)Whos gonna be MVP?
20090203123157AAzdpWE	Sports;Hockey	Should i play spezza or eric staal tonight?	N/A
20090203122718AAg3KlF	Sports;Football (American)	Are there any good football PS3 games that teach you the different offensive and defensive plays of football?	Thank You
20090220033732AAEysY1	Sports;Basketball	Will vince carter play better and score more points in the next few games?	will vince carter play better and score more points in the next few games?   explain why or why not.
20090203124611AAYC8pG	Sports;Fantasy Sports	Fantasy Basketball Trade Possibilies?	OK, so my second place team has apparently lost starting PG Jameer Nelson for the remainder of the season (or pretty darn close to it).  I have no true backup PG (picked up Sessions last week) and several big men.  Take a look:      PG: Jameer Nelson   SG: Vince Carter   SF: Jeff Green   PF: Josh Smith   C: Tim Duncan   F/C: Nene   G/F: Ron Artest   Util: Paul Millsap      BENCH      SF: Josh Howard   PG: Ramon Sessions   SG: Richard Hamilton   PF: Ryan Gomes (who could be dropped)      With Nelson out, a PG is needed.  One team has been begging me for a center, and offers are on the table from teams that are trying to "help" me.       OFFERED TO ME      Trade: Tim Duncan   Receive: Deron Williams      Trade: Nene   Receive: Manu Ginobli (he plays SG, so that's most likely a no)      OFFERS I WILL PROPOSE      Trade: Nene OR Millsap   Receive: Randy Foye OR Chauncey Billups      STANDINGS      Second place...first in rebounds...first in blocks...first in points...first in FG%...third worst in FT% (worst category)...middle of the pack in 3's, assists, steals, fourth best in turnovers      The Duncan trade would involve trading him to the team in first place.  Not good.  The team that has Foye and Billups needs a center and is no threat to me in the standings.      Yes, this question is long, but skim through it if need be.  Please advise.  I will most likely add additional details at some point.  Be patient.
20090203124418AASC7XI	Sports;Basketball	Jameer Nelson is out. Who should I pick up?	Well I normally don't ask fantasy questions outside of the Fantasy Sports section but they suck and nobody is answering today. Sooo....I am in a 10 team league and I am currently in first place. My team is pretty balanced so I don't really need to pick up another guard. It can be any position. IDK who to pick up though. Here are the top available players according to yahoo.         Andrei Kirilenko    (Uta - SF,PF)    Delonte West    (Cle - PG,SG)    Matt Bonner    (SA - PF,C)         James Posey    (NO - SG,SF)       Ronny Turiaf    (GS - PF,C)       Erick Dampier    (Dal - C)       C.J. Watson    (GS - PG,SG)       Rasual Butler    (NO - SG,SF)       Carl Landry    (Hou - SF,PF)       Nick Collison    (OKC - PF,C)        Anderson Varejao    (Cle - PF,C)       Luc Richard Mbah a Moute    (Mil - SF,PF)         Andray Blatche    (Was - PF,C)    Raja Bell    (Cha - SG)         Spencer Hawes    (Sac - PF,C)         Eddie House    (Bos - PG,SG)         Daequan Cook    (Mia - PG,SG)       Michael Finley    (SA - SG,SF)         Bobby Simmons    (NJ - SG,SF)     Chris Andersen    (Den - PF,C)        Jarrett Jack    (Ind - PG,SG)          Linas Kleiza    (Den - SG,SF)        Travis Outlaw    (Por - SF,PF)       Jason Thompson    (Sac - SF,PF,C)         Anthony Carter    (Den - PG)       C.J. Miles    (Uta - SG,SF)         Keyon Dooling    (NJ - PG)        Andres Nocioni    (Chi - SF,PF)       Flip Murray    (Atl - SG)        Sasha Vujacic    (LAL - PG,SG)       Drew Gooden    (Chi - PF,C)    Mike Conley    (Mem - PG,SG)        Marreese Speights    (Phi - PF,C)         Maurice Evans    (Atl - SG,SF)        Jarvis Hayes    (NJ - SF)        Amir Johnson    (Det - SF,PF)       Anthony Morrow    (GS - PG,SG,SF)     Tyson Chandler    (NO - C)    Kirk Hinrich    (Chi - PG,SG)    Mickael Pietrus    (Orl - SG,SF)    Andres Nocioni    (Chi - SF,PF)    Louis Williams    (Phi - PG,SG)       Thanks
20090203123636AAdGgMO	Sports;Fantasy Sports	Who should I pick up to replace Jameer Nelson?	I am in a 10 team league and I am currently in first place. My team is pretty balanced so I don't really need to pick up another guard. It can be any position. IDK who to pick up though. Here are the top available players according to yahoo.         Andrei Kirilenko    (Uta - SF,PF)    Delonte West    (Cle - PG,SG)    Matt Bonner    (SA - PF,C)         James Posey    (NO - SG,SF)       Ronny Turiaf    (GS - PF,C)       Erick Dampier    (Dal - C)       C.J. Watson    (GS - PG,SG)       Rasual Butler    (NO - SG,SF)       Carl Landry    (Hou - SF,PF)       Nick Collison    (OKC - PF,C)        Anderson Varejao    (Cle - PF,C)       Luc Richard Mbah a Moute    (Mil - SF,PF)         Andray Blatche    (Was - PF,C)    Raja Bell    (Cha - SG)         Spencer Hawes    (Sac - PF,C)         Eddie House    (Bos - PG,SG)         Daequan Cook    (Mia - PG,SG)       Michael Finley    (SA - SG,SF)         Bobby Simmons    (NJ - SG,SF)     Chris Andersen    (Den - PF,C)        Jarrett Jack    (Ind - PG,SG)          Linas Kleiza    (Den - SG,SF)        Travis Outlaw    (Por - SF,PF)       Jason Thompson    (Sac - SF,PF,C)         Anthony Carter    (Den - PG)       C.J. Miles    (Uta - SG,SF)         Keyon Dooling    (NJ - PG)        Andres Nocioni    (Chi - SF,PF)       Flip Murray    (Atl - SG)        Sasha Vujacic    (LAL - PG,SG)       Drew Gooden    (Chi - PF,C)    Mike Conley    (Mem - PG,SG)        Marreese Speights    (Phi - PF,C)         Maurice Evans    (Atl - SG,SF)        Jarvis Hayes    (NJ - SF)        Amir Johnson    (Det - SF,PF)       Anthony Morrow    (GS - PG,SG,SF)     Tyson Chandler    (NO - C)    Kirk Hinrich    (Chi - PG,SG)    Mickael Pietrus    (Orl - SG,SF)    Andres Nocioni    (Chi - SF,PF)    Louis Williams    (Phi - PG,SG)       Thanks
20090203124240AA2WaMj	Sports;Swimming & Diving	Were you disappointed with Micheal Phelps?	I obviously was but am not surprised.  I think he has a type of Arrogance to him. 2 reasons.      1. was the DUI he had after Athens Olympics   2. was one of my friends went to a swimming camp at UM and they had the top swimmers there getting paid to work about an hour of the camp. Phelps was a total jerk and blew off these high school kids.      Also I think it was Mark Spitz and he said to Phelps after the Olympics he is role mold and he has to know everyone will always be watching.
20090220040609AAnVOaH	Sports;Cricket	Younis Khan in his first, M.Jayawardan in his last!!!!?	Younis khan playing his first game as a captain and Jayawardana in his last as a captain.   Who will get the great memorable of winning in first test tomorrow.   Just guess   YK or  MJ
20090220034726AAqmT8O	Sports;Cricket	Indian Cricket : What will be your T20 team against NZ ?	the T20squad is : MS Dhoni (c), Virender Sehwag (vc), Gautam Gambhir, Yuvraj Singh, Yusuf Pathan, Rohit Sharma, Suresh Raina, Ravindra Jadeja, Munaf Patel, Pragyan Ojha, Dinesh Karthik, Harbhajan Singh, Zaheer Khan, Ishant Sharma, Irfan Pathan, Praveen Kumar      and should India go with Extra bowler or Extra Batsmen ? coz in the previous match against SL, Rohith came very much down the order and wasnt able to score runs   ======================================...   BTW,as elections are round the corner,as citizens of this country we need to know about the MP's..so i request you to join this Campaign to  protect the image of Indian politics    http://www.nocriminals.org/    Thank you
20090220040446AAc60Ta	Sports;Football (Soccer);Men's Premiere Leagues (UK)	What do the following people have in common?	Elton John   George Michael   Alex Ferguson   Graham Norton
20090203123842AAnXkQ8	Sports;Football (Soccer);Men's Premiere Leagues (UK)	How can one make oil and water mix ?  Or is it an impossibility ?	http://bleacherreport.com/articles/11905...
20090203123142AAmJhua	Sports;Winter Sports;Snow Skiing	How do i go about becoming a Ski instructor?	In Europe, the US, or Canada, i don't mind.   I want to spend the season of 2009/2010 as a skiing instructor.   I've been skiing from a very young age, and go at least once a year. I'll be 19 when the next season starts and i was thinking of getting training now before this season ends?      How would i go about that? Do different states or countries have different requirements? How much does training cost (on average)?      Many thanks
20090220015138AAp2hNZ	Sports;Football (Soccer);Scottish Football (Soccer)	What ever happened to the wee boy who used to stand outside the boozer with a packet of crisps and a bottle of?	Irn Bru on matchdays.      Is he old enough to get in now?
20090220015615AAM1Br7	Sports;Football (Soccer);Scottish Football (Soccer)	Does anyone remember Bobby Glennie getting run over by a wee blue disabled three wheeler when he led his team?	out of the tunnel at Dens?  I'm not sure if I dreamed it.
