20090226192848AAK3TRN	Food & Drink;Cooking & Recipes	How can dinner rolls be eaten?	Besides with butter, what other ways can they be eaten?
20090226194733AAg52ij	Food & Drink;Ethnic Cuisine	What food do you prefer ??@?@???!?!?!?!?!?	well here i am again what food do you prefer im doing a poll for school and most people at my school say pizza and chickenand smoothies but i  wasnted what opinions people i dont know would prefer
20090226195530AA0Rdrk	Food & Drink;Other - Food & Drink	If you have a Redbull or a Monster in your fridge and are near that fridge, please answer this question?	How much caffeine is in each one? Can you please run and check? I'll love you for the rest of my life.
20090226195526AA7ZOrc	Food & Drink;Other - Food & Drink	If you have a Redbull or a Monster in your fridge and are near that fridge, please answer this question?	How much caffeine is in each one? Can you please run and check? I'll love you for the rest of my life.
20090226195128AAA23Ug	Food & Drink;Cooking & Recipes	How can I create my own dessert recipe?	I've always been intrigued by baking and desert making. I really want to create my own reccipe though! I think it would be really fun! I really want to make like a cookie or a bun of some sort(you know like cinamon buns?)   So how do I go about making a recipe? Do you know of any basic cookie recipes, I mean it's just completely plain, so I can add my own style to my very own cookie.   Thanks in advance for all the answer!
20090226194951AAmwP65	Food & Drink;Cooking & Recipes	How can I eat eggplant on a raw food diet?	This is my favorite vegetable. I use to bake it in the oven, but now i'm on a raw food diet and i can eat only raw vegetables. What should i do? Raw eggplant tastes like noting.
20090226195155AAb4j9q	Food & Drink;Other - Food & Drink	How can i eat eggplant on a raw food diet?	This is my favorite vegetable. I use to bake it in the oven, but now i'm on a raw food diet and i can eat only raw vegetables. What should i do? Raw eggplant tastes like noting.
20090226194854AADt92j	Food & Drink;Vegetarian & Vegan	Vegetarians: What's your favorite meal?	I've been vegetarian for some time now and do fairly well at diversity in meals, but I'd love to hear what others like.    I don't want to hear any rude comments, there's enough of those floating around in here. I'd just like to hear some of your favorite veggie recipes.
20090226195515AAzCd3y	Food & Drink;Non-Alcoholic Drinks	Questions regardng Lipton Green Tea?	I know there have been studies about Green Tea helping people reach their weight loss goals. I lost a lot of weight using it, but I used the Herbal Life Brand. I just bought the Lipton brand; however, I'm not too sure if it would work the same. What do you guys think?
20090226195502AAUsaGD	Food & Drink;Non-Alcoholic Drinks	Monster energy drinksssss??????	on saterday me and my friend are having a sleepover.   and like were gonna stay up late.   will just one can of monster hurt me?   i'm 11.   and like my friend and my other frieend hada sleepover and like they each had 7.   and nothiing happened.   but some stupid person told me that your heart will explode from just drinking one.   will i be okay from one?   thanks.
20090226201415AArRCOq	Food & Drink;Cooking & Recipes	I had onions for a long time cause I didn't use them as fast as I could?	then I notice the onions had like a long stem on them quite a few like 3 or 4 longs things looked kinda scary.  What is it and my friend said I can still use them?
20090226195716AAa1jPf	Food & Drink;Other - Food & Drink	What is a pastry sheet?	My mother-in-law asked for a pastry sheet for her birthday.  At first I thought it was the same thing as a cookie sheet on which you bake things.  Now I'm wondering if instead she meant a sheet on which you roll dough.       Can anyone help me out? Should I just buy both? :)
20090226201013AAYGxhN	Food & Drink;Ethnic Cuisine	What are some food/ingredients that are banned from other countries?	but approved/used in the usa? i know there are some but i forgot. ty.
20090226195954AAoVRCW	Food & Drink;Beer, Wine & Spirits	Why is 21 the drinking age in the U.S.?	why cant it be 18 instead of 21??? what is so special about age 21?? i think they should lower the drinking age so people under 21 wont see it as a long wait and underage alcohol abuse would go down....
20090226201526AAbOKzg	Food & Drink;Beer, Wine & Spirits	California alcohol consumption laws?	in california can a minor under the age of 21 consume alcohol?? you cannot purchase or have possession of alcohol if you're under 21..... i heard that there was an consumption exception....
20090226201130AA7mkR9	Food & Drink;Cooking & Recipes	Popcorn not popping well...?	Will not enough oil make popcorn either burn or not pop very well?  I use just enough oil to coat the bottom of a medium sauce pan and lately, my popcorn has been popping small and burning slightly...      Also, is Olive oil a bad oil to use?
20090226200216AAfZnGf	Food & Drink;Other - Food & Drink	Why does it say "peanut free" on mars chocolate bars when it clearly doesn't have peanuts?	N/A
20090226201123AATNaCT	Food & Drink;Beer, Wine & Spirits	Why would the ads of the Svedka Vodka be effective to its viewers?	I am talking about the ad which they used this android/femme bot in it? if anyone has the Esquire mag (its a male magazine) for September 2008, page 55, there is an example there. or you could google image 'svedka vodka fembot' you will see it. i hope what i have written makes sense. please help!
20090226201436AARrMFx	Food & Drink;Cooking & Recipes	I'm having a girl over for dinner - what's a fun dessert we could make?	I'm cooking dinner for someone on saturday..      I proposed she makes a dessert while I make the dinner - and she seemed excited :)      What's a fun dessert (and delicious one! ) we could make?
20090226202713AAwOpaQ	Food & Drink;Beer, Wine & Spirits	I'm making Jello shots...?	I have seen multiple recipes that call for different proportion of alcohol to water. Some call for 1 cup water and 1 cup vodka and some are more and some are less. From experience what is the best proportion to use? Ohh by the way, im using 90 proof vodka rather than 80 proof.
20090226201101AANiUQs	Food & Drink;Entertaining	What is a good Hawaiian menu for a 12 year old birthday party?	N/A
20090226202600AAnfB43	Food & Drink;Entertaining	Im having my first sleepover! im 14 years old. any ideas please? i really need some help!?	by the way.. me and all my friends arent mature or anything! we are still like 13 years old
20090226200951AArr5Sv	Food & Drink;Other - Food & Drink	What goes good with pizza?	personally i like cheetos with my pizza, sometimes in my pizza... how about you?  what do you like?
20090226200921AAeb2vc	Food & Drink;Other - Food & Drink	Does diet raspberry snapple have caffeine?	the label says it has no calories, fat, or sugar but does it have caffeine? would it keep me up if i drank it at night or wake me up if i drank it in the morning?
20090226202803AAEAd5E	Food & Drink;Other - Food & Drink	Why are Hot Dogs sold in packs of 10 but Hot Dog buns are sold in packs of 8?	I dont know why i tought of this.....
20090226200413AABg9HP	Food & Drink;Cooking & Recipes	What herbs would taste good with this?	I'm using vegetable broth for the first time. It's store bought. I added zucchini, potato and carrot chunks. Should I add any seasonings? Should I even add salt the vegetable broth already has some so I'm not sure. Thanks :)
20090226202017AAFod4V	Food & Drink;Non-Alcoholic Drinks	Which is better: Milk or Soy Milk?	Which one is better? Lol im bored and this is a cool question
20090226202220AAa21Po	Food & Drink;Other - Food & Drink	What is splenda... what is it made of?	N/A
20090226195955AAUzSXY	Food & Drink;Vegetarian & Vegan	I'm being vegan for lent, please help!?	I've decided to become a vegan for all of lent, which lasts forty days, and I am madly in love with cheese! I don't know how I will pull off this amazing feat, so I was wondering if you had any advice/recipes/ or a list of vegan foods that I could eat!! THANK U SO MUCH <3
20090226201259AA8Fv9a	Food & Drink;Beer, Wine & Spirits	Brewing a batch and my dam!!?	my dam cat got my air lock thing off is my beer toast or do i got a chance was off for half a day while i was at work
20090226201442AA7KTvp	Food & Drink;Ethnic Cuisine	Are there any companies or restaurants/cafes in Australia that make jam dumplings?	I'm looking for any companies (manufacturers) or restaurants/cafes in Australia that make jam/fruit dumplings. Jam dumplings also known as Gomboc - Hungarian cuisine or Fruchtknoedel - Czech cuisine.
20090226202417AAJm9fZ	Food & Drink;Other - Food & Drink	What foreign countries eat shrimp with cocktail sauce?	Im just a little curious. Easy ten points if you help. And its not my homework i hope you know im 21 its just one of those things im curious about. Have a resource to prove it. EASY TEN POINTS!!
20090226204405AA7aHk9	Food & Drink;Other - Food & Drink	How come some ppl lactose   they cant eat dairy products however they can eat?	beef and such. How is that when they both come from a cow.
20090225123015AAN6Ewc	Food & Drink;Non-Alcoholic Drinks	Can anyone suggest a green tea from The Tea Collection?	I love my Sweet Dreams tea that I get from The Tea Collection shop in Antwerp, but there's a few hundred different kinds there and I would like to try others, but as my Dutch isn't very good, I don't feel very comfortable asking the shop assistant to recommend one similar to Sweet Dreams.       Does anyone have any suggestions for a different kind to try? No idea if this is a Belgian only store, but as most of the names are English, I think not.
20090226205037AAsMITN	Food & Drink;Other - Food & Drink	Why are the ends on a loaf of bread  stale?	i don't know of any of my friends or family that would eat the ends on a loaf of bread.
20090226210509AAzBC5h	Food & Drink;Cooking & Recipes	Anyone know where I can buy a proofing basket for bread making?	Hi, my mom is really into making homemade breads at the moment, and her birthday is coming up, and she said she'd really like a thing called a proofing basket, to help with the bread making. Does anyone know where I can buy one of these? I'm kinda dumb when it comes to these things, and the only store I know of that might sell such an item is williams sonoma and they don't have them according to their website. I know I can order one online, but I'd really prefer to get one at a store if possible. Thanks to anyone that can help me!
20090225123229AAzBaLF	Food & Drink;Other - Food & Drink	What food can I bring to a festival?	I will be sleeping in a tent for 5 days and we have no idea what food we should bring since there will be no access to refrigerators... Any ideas?! We don't wanna eat candy for breakfast, lunch and dinner...
20090225123312AATBkWS	Food & Drink;Cooking & Recipes	Semi homemade recipes?	does anyone  have any good semi homemade recipes  like  on the show
20090226203645AAVvO4U	Food & Drink;Cooking & Recipes	Do you reheat your pizza in the microwave oven or the conventional oven?	I just heated mine in the oven, took about seven minutes and let me tell you GREAT! It had a tiny bit of a crispy taste to it and it even looked slightly baked. I suggest heating the pizza in the oven!
20090226205259AAMWTuK	Food & Drink;Cooking & Recipes	Cooking competition?!?!?!?!?	ok so I got choosen to represent my school for a cooking competition, the only thing is, our sponsers are NZ PORK and they want me to create a meal using pork mince???      any cool ideas for an impressive meal???
20090226210153AA2xtMl	Food & Drink;Beer, Wine & Spirits	Does any beer drinker?	Actually drink light beer for any other reason than they like the taste?
20090225121946AACB50P	Food & Drink;Beer, Wine & Spirits	What do you think of "K" Cider?	have you tried it??
20090226205018AArOHT9	Food & Drink;Beer, Wine & Spirits	Why do rappers "Pour their 40's out"?	y'know. like in the D12 video? they always talkin bout pourin out their forties.....
20090226204631AAp1hs7	Food & Drink;Beer, Wine & Spirits	Tao bartenders in Las Vegas?	I was wondering if somebody could show me some picutes of what the bartenders at Tao nightclub in Las Vegas look like? what they wear and stuff like that. thanks. and 10 points for the best answer.
20090225122941AA53zP4	Food & Drink;Ethnic Cuisine	Has anyone ever eaten Quaker Oaks in the evening?	shall I microwave it or do it properly?
20090226203002AAmuKqu	Food & Drink;Vegetarian & Vegan	How can you make brownies not turn into oil when using egg-re-placer?	It's so gross! What can I use/do to turn brownies into edible delights instead of an oil spill?
20090226203354AA2kgPm	Food & Drink;Cooking & Recipes	I need some really good recipes....?	So share some of your favorites please. I have to impress my mom and G'ma Saturday night...so make em good!!!
20090226204211AAZiwJk	Food & Drink;Non-Alcoholic Drinks	Black or cherry sunburst les paul?	im buying a les paul black or sunburst
20090225121828AAHEN7G	Food & Drink;Other - Food & Drink	Whats your favorite drink (not alcohol)?	i am quitting drinking energy drink and i was just wondering what you drink maybe something will sound good
20090226203209AAPMKVq	Food & Drink;Cooking & Recipes	The crumbs wont stick to my chicken!!!!!!?	i try to make crunchy chicken but the crumbs wont stick! I use eggs and ive used oil and milk  . . .Help please how can i make them stick?
20090226203458AAxtM3x	Food & Drink;Entertaining	Drunk and no memory...?	Okay...so I got pretty drunk with my girlfriend last night (girls night in) and for some odd reason I can't seem to remember really big chunks of the night. For instance, I woke up to the smell of coffee at my boyfriends place...ummm...How the hell did I get there? I thought it was girls night in, which should mean NO BOYS, but for some odd reason I somehow ended up in downtown at my boyfriends place.       So I guess what I'm asking is, has anyone ever had this happen to you before, where you don't remember big chunks of information about where you were, who you were with, and what you were doing?! My boyfriend and best friend think I'm faking it, but I can honestly tell you I don't have a CLUE!!!       P.S. I've gotten drunk before (many times, but not often) and I've remembered everything, so why now!?!
20090226203351AAjQpaD	Food & Drink;Non-Alcoholic Drinks	Red Bull Vs Amp Vs Monster?	 http://www.youtube.com/watch?v=1DM7kz9F-...    Please Vote On The Video
20090226203352AAPW0K5	Food & Drink;Beer, Wine & Spirits	Curling tournament initiation ceremony?	alright so we have this tounement tomorow and here is what the senior team is making the junior team do.      this starts at 11:30 pm (1 minuit)      Shotgun two redbulls in a row and smash them on your head   Do a keg stand with a pint of water mixed with milk and rum   do a double shot of listerine   spin around on our brooms 20 times   get completley naked and roll around in the snow   and finaly drink 3 shots of scotch 2 beers and 4 shots of vodca in under 10 minuits      for every time we throw up we smoke a cigarette.      wish me luck!
20090225121800AAHmjSt	Food & Drink;Cooking & Recipes	Butternut Squash Soup- Croutons or Muffin (Savoury one ( UK ) or Scone!?	If you say muffin please say what type :D
20090226211515AAIJxrH	Food & Drink;Cooking & Recipes	I want to make cheesecake at home for my birthday?	i don't have machine to stir things. will it be ok to stir cream and etc with spoons?   can anyone suggest easy cheesecake recipe?
20090225123414AAEguMz	Food & Drink;Cooking & Recipes	What do i do with green cabbage outer leaf?	i peeled them out.. they look so beautiful.. i have kept it in th freezer.. what can i do with them?
20090225122319AALL3gR	Food & Drink;Entertaining	Do you like hot muffins?	2 muffins are in the oven.   One muffin says, "It's hot in here."   The second muffin says' "AHHHH! A TALKING MUFFIN!"   hahaha, my question is, did you think that was funny??
20090226205926AAsIiUO	Food & Drink;Other - Food & Drink	What would you do if i was peeing on your parents when you came home from school?	lolz!
20090226211936AAclS9e	Food & Drink;Other - Food & Drink	How do I get my friend to get rid of expired food ? HELP, HELP!?	She gets food from different resources and there is quite a bit of it.  The dates are very expired and she says that she'd have to look through them before she gets rid of them.  They soon will find their way back in the cabinets.
20090225123304AABO9lk	Food & Drink;Cooking & Recipes	Raw foods or Vegetarian meal recipes?	I'm looking to incorporate more raw foods and vegetarian meals into my diet. Trying to eat more healthy in my life. Any website with recipes, or your daily routine or menu? Any suggestions?
20090225123528AAe4VCK	Food & Drink;Other - Food & Drink	Question about items and price?	Can you guys give me a list of 4 pairs of items that are similar but with different prices and servings. I give best answer to one who has the best. Like for pair 1 u can do like graham crackers and like oatmeal crackers, just so they're similar. I need this list for some homework, or if you could give me a site with the info. Thanx.
20090226205925AAxL71T	Food & Drink;Other - Food & Drink	What's your drink? Alcohol that is... and why is that your fav?	Whats your favourite ALCOHOLIC drink (and mixer if you have one) and why?
20090225123324AAKyzLL	Food & Drink;Other - Food & Drink	10 worst bottle water to you?	In your opinion what is the 10 worst bottled water to drink?
20090226205900AASrGzv	Food & Drink;Beer, Wine & Spirits	Grolsch vs Stella Artois?	Who is the winner here? And WHY?      I know it have much better beers then those but which one would you choose from those and WHY?      After you choose from those two beers and explain why you picked that one top of another give your own favorite beer
20090225123555AAm86Zw	Food & Drink;Cooking & Recipes	What are some quick and easy ground beef recipes i can make for dinner tonight?	N/A
20090226211738AAolRuM	Food & Drink;Other - Food & Drink	What is the difference between the apple & peach?	MM..i can hardly differentiate the two fruit thing. Aside from their definition i know there's something so similar to them, and just by looking at it, i cant say if it is an apple or a peach. Help me how to recognize them. I want to know really just by looking at them.
20090225123312AAxlQ8o	Food & Drink;Other - Food & Drink	Help making pasta sauce...?	hey, I need to cook for my family tonight since my moms in the hospital, and I really want to make pasta because its my sister's favorite dinner, but I can't think of what my mom puts in the sauce. I know she uses one can of pasta sauce, and one smaller can of pasta paste ,puts it in a pan, and stirs it around with some spices and water. Does anyone have any idea how much water I should put in? or what spices? Is there anything else I'm missing?
20090226212015AAI2UtL	Food & Drink;Other - Food & Drink	Drinking expired diet coke?	i just drank half a 20 ounce bottle of diet coke. i noticed it tastes a little off, and i just realized the expiration date on it is August 18, 2008   can this make me sick? is it okay to finish it?
20090225122154AAttpUu	Food & Drink;Other - Food & Drink	Why does my pavlova meringue have syrupy bits on it which taste of egg?	ive baked a pavlova and it looks fab, i then noticed there was shiny syrupy bits on it, i thought this might have been melted sugar but it tastes eggy, why has this happened, i beat the whole mixture properly with an electric whisk.
20090225122405AA0grah	Food & Drink;Other - Food & Drink	How can I make Geobars at home?	I love them but they're expensive and I want to experiment with them...
20090226210819AA2yQM8	Food & Drink;Cooking & Recipes	What is "marmalade" ?	N/A
20090226205305AA1BsmX	Food & Drink;Other - Food & Drink	Paper topic: Food and Drink in Antiquity?	I'm in a "Food and Drink in Antiquity" class, and I can't think of a creative paper topic.  He gave us a lot of examples, and I don't really want to just pick one that he gave us.  Does anyone have any interesting ideas?      As background, some of the things he mentioned were:   -aphrodisiacs   -poison food/drink   -alcoholism/alcoholics in antiquity (e.g. Alexander the Great)   -ancient vegetarianism   -athletic diets (gladiators, etc.)   -cookbooks   -bread      Any creativity offered would be greatly appreciated! :)
20090225122204AAp4Fg8	Food & Drink;Beer, Wine & Spirits	How do you make a "Perfection"?	I was at the Hard Rock Cafe in Memphis, Tennessee and a bartender there made my friend a "Perfection." I tried it and it was AMAZING but she had no idea what was in it. I would like to recreate it and cannot find the recipe online anywhere, and I don't live near Memphis. Below is a link to a picture of the drink, it's a rainbow of colour!       http://photos-g.ak.fbcdn.net/photos-ak-s... 
20090225122342AA6KmXg	Food & Drink;Other - Food & Drink	If uve no choice but 2 eat nother person whatd be the best?	part 2 eat h ealth wise
20090226211918AAeL1Ec	Food & Drink;Beer, Wine & Spirits	Anyone! Am I Alcoholic?	Ive been drinking for weeks now.. I drink to mask my anxiety. I just recently quit smoking for 2.5 months now,
20090226210554AABLWSu	Food & Drink;Cooking & Recipes	Does anyone know the recipe for Potato Chicken?	I always get it from chinese takeaway stores and want to be able to cook it.
20090226211507AAZG1Qu	Food & Drink;Beer, Wine & Spirits	Is beer healthy for you?	I hear 1-2 drinks a day is good for you?
20090226211546AAqHxeN	Food & Drink;Non-Alcoholic Drinks	How much does a can of Coke cost in your country?	I am talking about the cheapest can you can buy (usually in a 12 or 24 pack) NOT a single can from 7-11 which will cost WAY more.       Here in Australia it will cost you US$0.34 per can      Please answer in US$ so we can measure it easier  - thanks !      Currency converter here -  http://finance.yahoo.com/currency-conver...       thanks :)
20090225122032AAm2eN0	Food & Drink;Non-Alcoholic Drinks	Green Tea, Hot or Cold?	Is it better to drink green tea hot or cold. If its cold and stays in the frig for a day or two dose it lose any nutritional value?
20090226205557AANRpTD	Food & Drink;Other - Food & Drink	How much is jamba juice for small, medium, and large?	I have a math project due tomarrow and i need to find out what 3 random things form the same place that are the sizes small, medium, and large and have to compare the prices. please this an emergency! im begging everyone!!!!!
20090226203928AAv84xO	Food & Drink;Beer, Wine & Spirits	Where can i find a shot glass that has a divider down the middle for mixed shots.?	N/A
20090225121825AA8qVU6	Food & Drink;Other - Food & Drink	Is the gelatin in starbust candy, pop tarts, skittles and such made from horses specifically?	My friends and I where debating the fact that gelatin found in candies are from horses, cattle and such, or both mixed together? I believed that it was simply cattle; not horses.  If it is both, could you leave a website URL i could go to myself in additon to the answer? Thnks!
20090225121932AAw87o0	Food & Drink;Ethnic Cuisine	Puerto Ricans Favorite Food.?	I need to know asap because my project is due tomorrow. if you can give the recipe that would bee great :)
20090225122846AAYiaGD	Food & Drink;Cooking & Recipes	Does anyone know how to double or triple ingredients for a recipe? If so, please let me know. Thx!?	N/A
20090225123122AAbxiO6	Food & Drink;Cooking & Recipes	If a recipe says "to beat", should I use a hand mixer?  If it says "to mix" should I use a spoon?	N/A
20090226204918AAFSAoU	Food & Drink;Cooking & Recipes	Where can i get an empty pie dish for cooking pies on runescape?	N/A
20090226205526AAK3lRq	Food & Drink;Other - Food & Drink	What is the difference between filet mignon and beef tenderloin?	N/A
20090226205825AAv4mSr	Food & Drink;Entertaining	Help with a teenage-couples party?	I am throwing a party with only couples. It seems like a good idea and no one has done it yet so why not? I want it to be a party to remember tho, so any ideas?   Know some things. The teenagers in this will be between 16-18. We'll be drinking alcohol, after all we are teens lol.    So any fun ideas with it that'll make an amazing party???      -Thanks ahead!
20090226210521AAufMzS	Food & Drink;Beer, Wine & Spirits	Champagne bottle partty flutes - Where can I get them?	Does anybody know what i am talking about when i sy I am looking for those little plastic champage flute inserts that you can put into the top of those little champagne bottles? They are like hals flutes that you insert in the bottle so that you can drink straight from the bottle... i have seen them on movies and at events. Please help me!!!      Thanks =]
20090226211801AAWO5WH	Food & Drink;Non-Alcoholic Drinks	Which is better for you (Especially for a cold); water or gatorade?	Especially if it is a liter and a half a day of either
20090226211945AA8jRsN	Food & Drink;Other - Food & Drink	Why do I hate cucumbers?	The very stench of them is enough to make me retch. Most people say they taste of nothing but they're obviously wrong. They taste of cucumber! I have friends who have a similar aversion and it is very strong with all of us. (I also can't stand watermelon - are they related?)
20090226203358AAXiNnj	Food & Drink;Other - Food & Drink	How do you steam vegetables?	N/A
20090226191652AA0Olmf	Food & Drink;Other - Food & Drink	What should I eat? (20 characters)?	Fruit and vegetables just ain't cuttin' it. I'm trying to lose weight, and not eat at night, but I'm absolutely starving! What should I have?
20090226201849AAoVCDN	Food & Drink;Other - Food & Drink	Baconnaise.........Have you tried it?  Is it any good?	N/A
20090226212114AAM5YR9	Food & Drink;Beer, Wine & Spirits	How do I glue bottle caps to my table to make a great beer bong table?	Super glue? Hot glue? Glass over the finished product? I am sure there are people on yahoo answers who have made great bottle cap beer pong tables so if you can help explain the process you did I would greatly appreciate it.
20090226213934AA54ksX	Food & Drink;Other - Food & Drink	What is your favorite buffet restaurant?	And why?
20090226210028AAxgOHm	Food & Drink;Other - Food & Drink	How can you prevent ice crystals from seeping into a bag of veggies sealed in a ziplock baggy in the freezer?	N/A
20090226191443AA99k0h	Food & Drink;Other - Food & Drink	Is Splenda sold/used in the UK or Australia?	Would like to know if it can be found anywhere in Europe or Aus.   Thank you...
20090226190502AAO23kw	Food & Drink;Other - Food & Drink	I love green onions!?	eating a lot of green onions bad for you at one time?         --i always use lots of raw green onions with my smoked salmon. its really good. about two tablespoons, minced.
20090226214602AAA8ajU	Food & Drink;Cooking & Recipes	When using a crock pot to heat food, which setting should I use?	I do not need to cook the food, but simply heat it. Should I do this on low or high? How long should I allow, 1 hour? 2? 3?
20090226212901AAfP5aA	Food & Drink;Cooking & Recipes	Rolled oats VS Steel cut oats?	Is steel cut really better?  The nutritional profiles are nealy identical.  Which one has the best flavor??      Thanks!
20090226213344AA09ubI	Food & Drink;Other - Food & Drink	Is it POTATO or POTATOE?? im confused....?	I think i've always spelt it potatoe....is this wrong?? same with tomatoe vs tomato.....
20090226195628AAKndOp	Food & Drink;Entertaining	Where Should I Take My Wife For Dinner?	I am in a bit of a panic.      I am a great cook and I am old enough not to panic, but tomorrow night is my wife's birthday and I want to take her out.  Our usual haunts won't do.      We live in Austin, Tx., and she likes light foods.  She likes light sauces, light everything.      Any suggestions?
20090226212039AAwopic	Food & Drink;Cooking & Recipes	How can I make basic pizza sauce with fresh tomatoes?	Most recipes online call for either canned tomato sauce or canned tomato paste and it's really annoying!
20090226155822AAUzcpl	Food & Drink;Beer, Wine & Spirits	What kind of dessert wine is good for getting drunk fast?	I need some names, not hints. I don't do Vodka.
20090226193704AAErIUN	Food & Drink;Vegetarian & Vegan	Livestock in developing nations?	why do a lot of farmers in developing nations raise livestock? So much grain, starch, and water have to go into feeding them. If there are poor farms, what is the benefit in raising livestock?
20090226163044AAi9v3D	Food & Drink;Entertaining	Good party themes to dress up and decorate for for a birthday? We're all in our mid-20's to early 30's.?	Like 70's, masquerade, etc. Thanks in advance!
20090226212313AAtaTyK	Food & Drink;Vegetarian & Vegan	Question about salad?	Are those white color cube made from tofu?    (pls refer to picture at this link:)    http://www.geocities.com/kd3671/Salad_.J... 
20090226215803AAH7d01	Food & Drink;Beer, Wine & Spirits	Why do i feel like i need to go to the bathroom (poop) after drinking alcohol?	OK I have always drank alcohol socially since i was probably 15. I've been a bartender through college and now I'm 23. I tend not to drink anymore. Nothing against it, It's just not for me anymore. When I do drink I feel the immediate urge to go drop one off at the pool, I think it's odd. It's nothing bad like diarrhea, it's just a small feeling. Anyone else have this feeling? I mostly notice it when I'm drinking at home which tends to be straight liquor, Cognac and brandy mostly. If i'm out at a bar or something (in a drinking mood) i usually don't notice it.
20090226213803AA4vf6Z	Food & Drink;Other - Food & Drink	Safe to eat a frozen dinner with torn covering?	I was really hungry and I ate a frozen dinner.  However, the plastic wrap on the top was torn, but I still ate it in anyways.  The box had not been opened before, and I'm not sure if it had ripped as I took it out.      Could the food have been tampered with?  Or was it just bad processing?  It was frozen, so could that affect anything?
20090226195213AAhF8qX	Food & Drink;Other - Food & Drink	Red, green, and yellow bell peppers. Is color the only difference?	Is there any nutritional difference between these peppers?   Also, they all taste the same to me, so why do recipes call for one and not the other(s), or just leave pepper choice as arbitrary?
