20070125134528AAH28ID	Yahoo! Products;Yahoo! Answers	How come none of the celebrity users of Yahoo! Answers ever answer any of our normal mortal questions?	Is it cause they have a superiority complex?
20070406225037AAA7QkL	Yahoo! Products;Yahoo! Answers	I one of my accounts got suspended.How long does it take for the suspension to end?	I don't know what I did wrong.
20070312143150AA5zHTf	Yahoo! Products;Yahoo! Answers	In yahoo answers! system what happens to u if your points reach to 0?	N/A
20070313213153AAOdXvh	Yahoo! Products;Yahoo! Answers	Why can't I get a simple question answered?	Who decides what is spam?    Who decides what is good email?
20070314230526AAg9eft	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	Can any body provide me the link to download the google talk messenger??	i have searched in google....it gave me diff link.....i tried to do the setup....but didn't worked......   so I want an link from which anybody has successfully installed google talk.....??
20070317120653AAXGooQ	Yahoo! Products;Yahoo! Answers	Why are people who use 'Yahoo Answers' so lazy?	Most of the questions asked on this website, people can find in under 5 minutes using a search engine or going straight to wikipedia. Why be so damn lazy? And further to this why would anyone then do the dirty work and answer this for them? I can understand that if you cannot find the answer anywhere else to use this site, but it seems people are just plain lazy.
20070323204522AAio6ft	Yahoo! Products;Yahoo! Answers	How long does it take a 2 day old chiauhau leave its mother? if anyone knows the answer please e-mail right?	im new so thats y i ask for u 2 e-mail me right away (-=
20070327193721AACQ41O	Yahoo! Products;Yahoo! Answers	How can I change my female avatar to a male avatar?	How can I change my female avatar to a male avatar?
20070329072932AAZVg5U	Yahoo! Products;Yahoo! Mail;Problems with Service	My messages are numbered in om how do I undo this?	N/A
20070331020906AAkIy1o	Yahoo! Products;Yahoo! Answers	How do we delete a question that we asked?	N/A
20070331123037AAiC5bc	Yahoo! Products;Other - Yahoo! Products	How do i get a cool little cartoon picture added to my profile?	N/A
20070412080828AAD6zTD	Yahoo! Products;Yahoo! Answers	Daybyday im feeling bored on yahooanswers.what abtu?note that the Q i have asked is also a result of boredness	N/A
20070404184420AAiAdg4	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	My computer does not recognize yahoo Im messenger?	N/A
20070404184421AA7rcVE	Yahoo! Products;Other - Yahoo! Products	My screenname is being used by a bot in chatrooms- how do I stop this?	In a chatroom, my name appears on screen with a web site url next to it,even tho I haven't typed anything. Is this a virus of some kind. Who knows how to get rid of it???
20070412064201AARvRSX	Yahoo! Products;Yahoo! Mail;Problems with Service	Why can't I open my incoming e-mails?	N/A
20070416190533AAc4ozv	Yahoo! Products;Other - Yahoo! Products	Trying to install yahoo music but I am having compatibility issues with windows vista what shall i do?	N/A
20070420150935AAHpHIv	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	Are the letters in my Yahoo email address case sensitive???	N/A
20070422115229AAea8Fm	Yahoo! Products;Yahoo! Mail;Problems with Service	What is the cannot find sender mean when checking mailbox?	this occurs when checking messages or deleting them "cannot find sender,page not found" then can no longer check anything from that site
20070426050154AAOGaOC	Yahoo! Products;Yahoo! Mail;Yahoo! Mail Beta	Comment faire pour écrire un mail en HTML ?	N/A
20070427135045AA6BFTd	Yahoo! Products;Yahoo! Answers	Quel est la plus preuv grande preuve d'amour?	N/A
20070527160140AAUi3Pd	Yahoo! Products;Yahoo! Answers	VOCê gosta de LER? Tem uma BOA INTERPRETA??O de TEXTO?	Luz___
20070917084906AApSp5m	Yahoo! Products;Yahoo! Answers	VOCê Já DISCUTIU ON LINE mais PRECISAMENTE NO YAHOO! RESPOSTAS?	E como sentiu-se depois?         Um grande abra?o iluminado!      Luz_________Amar-Al
20070616114451AAYuTPe	Yahoo! Products;Yahoo! Answers	Alguém tem dúvidas que "EU" e o FERNANDO" somos duas pessoas em um único perfil???(sonia)?	peguei umas respostas muito mal educadas de algum clone insignificante, dizendo que supostamente "EU" (sonia) seria fruto da imagina??o do "FERNANDO"!!!!   Alguém mais tem essa dúvida?
20070824094940AAY2lxV	Yahoo! Products;Yahoo! Answers	Que convite vc faria para mim ou gostaria que eu fizesse para vc, se tivesse sem nada pra fazer?	Cuidado com o que pede!
20070827055601AAjyhIy	Yahoo! Products;Yahoo! Answers	Voce  compra produtos Jack Sparrow(piratas)?	se sim por que compra ou n?o compra?!(argumente)........
20070828083706AA2QKLo	Yahoo! Products;Other - Yahoo! Products	Perguntar sempre é manter ajuda e da op??o de manter a comunidade viva?	Com que frequencia voce tem perguntado?
20070901160945AApVE5b	Yahoo! Products;Other - Yahoo! Products	Tiene algun amigo Brasile?o o el ja estaba aqui de visita en el yahoo del Brasil?	N/A
20070913015818AAavr5E	Yahoo! Products;Other - Yahoo! Products	Voce é versatil respondendo? a que atribui sua porcentagem de melhores respostas?	N/A
20070604161323AAUHyUW	Yahoo! Products;Other - Yahoo! Products	Vou embora?	Mais daqui a pouco eu volto turminha é que to com um pouquinho de febre e vou tomar um banho e deitar um "pouquinho" ;daqui a pouco volto e ponho umas dez perguntas ai pra voces;  v?o me esperar po ai?:???
20070531230123AASIycx	Yahoo! Products;Other - Yahoo! Products	Voce le as entrelinhas?	Sabe quando algo é destinado  a alguem aqui?gosta de menssagens subiliminares?pergunta assim ou responde?
20070623142541AAEXO3r	Yahoo! Products;Other - Yahoo! Products	Quem é mais besta,o solteiro ou o casado?	N/A
20070902103105AAeS5Ti	Yahoo! Products;Yahoo! Answers	O YAHOO RESPOSTAS, n?o seria mais HONESTO e DEMOCRáTICO, se: ?	Se as a??es particulares e a rede de amigos, ficassem livres para que todos vissem, de forma TRANSPARENTE? Ficando INATIVAS todas as fun??es (denúncia, avalia??es, votos, etc) ficando aberto a todos os usuários o direito de ver as a??es .   Assim, se vc bloquear alguém por seguran?a, ele terá acesso a todas suas a??es, mas n?o terá poder de efetuar qualquer mudan?a.   Isso daria mais credibilidade no YR, evitando que pessoas continuassem usando esta "Prote??o" do YR para suas falcatruas.   Acho totalmente possível, e isso deixaria tudo mais transparente, honesto, e também  protegido dos clones.   O que vcs acham?
20070912093145AAZsL50	Yahoo! Products;Yahoo! Answers	Se o grupo, Inimigos da HP?, encontrar uma calculadora financeira, eles ir?o destru-la?	?????????        ?Pituca?eu? te?amoooooo?
20070520083721AACn6t1	Yahoo! Products;Yahoo! Answers	Questions for teenagers?	What is your favorite book?
20070523121814AAWthnJ	Yahoo! Products;Yahoo! Answers	Me dá uma BOLSA?	Uma bolsa integral de estudos pra fazer psicologia, pode ser?      Beijos ?
20070527083728AATu0Fe	Yahoo! Products;Yahoo! Answers	Vc sabe quem eh?	tem 1 cara aki, cujo avatar eu achei no iniciio q era de um ator famoso americano (Warren Beaty), mas depois ele trocou por 1a outra foto, e foi dai q eu vi q era ele msm e n o ator. O prob eh q o email dele n ta aberto. Chato isso, n?
20070827073921AAGvA2U	Yahoo! Products;Yahoo! Answers	O Yahoo respostas est se tornando um campo de disputa pessoal?	Pelo que o pessoal reclama por aqui com respeito a respostas e perguntas excludas, parece que est?o agindo de forma n?o muito leal excluindo quest?es expostas.  GEEEEENTE! Vamos parar com isto!   Que tal uma trgua e tentarmos apenas melhorarmos o nvel do YR excluindo apenas quest?es e respostas que atinjam a honra de colegas e ou contenham palavras de baixo cal?o?  Vamos tentar?
20070504191944AAfUFyn	Yahoo! Products;Yahoo! Answers	Vc ja se sentiu assim?	Travessia    Quando voc foi embora, fez-se noite em meu viver  Forte eu sou mas n?o tem jeito  Hoje eu tenho que chorar  Minha casa n?o  minha e nem  meu este lugar  Estou s e n?o existo,muito tenho pra falar  Solto a voz nas estradas, j n?o quero parar  Meu caminho  de pedra como posso sonhar  Sonho feito de brisa, vento vem terminar  Vou fechar o meu pranto  Vou querer me matar  Vou seguindo pela vida, me esquecendo de voc  Eu n?o quero mais a morte, tenho muito que viver  Vou querer amar de novo e se n?o der n?o vou sofrer  J n?o sonho, hoje fa?o  Com meu braco o meu viver  Solto a voz nas estradas, j n?o quero parar  Meu caminho  de pedra, como posso sonhar?  Sonho feito de brisa, vento vem terminar  Vou fechar o meu pranto  Vou querer me matar
20070625102436AAr5EKc	Yahoo! Products;Yahoo! Answers	Os desejos s?o ILIMITADOS; o SEU TEMPO n?o ?	N/A
20070814090129AA63hhx	Yahoo! Products;Yahoo! Answers	Why have some of my Questions been removed?	N/A
20070522143230AAMEjQC	Yahoo! Products;Yahoo! Answers	Aprendendo a conduzir =P Adorei?	e vou tirar a carteira de motorista daqui a uns dias!! =P   KisSeS*
20070529124834AAu5h2w	Yahoo! Products;Yahoo! Answers	Uma pergunta um pouco indiscreta, por isso n?o levem a mal...?	qual a vossa fantasia sexual? =P   KisSeS*
20070516191201AAJDdxt	Yahoo! Products;Yahoo! Answers	Cansei de ficar me vendo o tempo todo, resolvi voltar com o avatar, ent?o o que acham, continuo com ele?	Pra quem n?o viu a minha foto é só clicar aí em baixo:  http://f3.yahoofs.com/mingle/46408ff5zcb... 
20070501173942AAmZtT5	Yahoo! Products;Yahoo! Answers	Eu odeio esquecer o que eu ia falar.....?	isso acontece com vcs tbm?   affffeeeee... ás vezes to com o negócio pra falar na ponta da língua!!!!!! aí qdo abro a boca pra dizer... dá um branco e esque?o completamente o que eu ia falar....   kkkkkkkkkkkkkkkkkkkkkkkkkkk   só vou lembrar um temp?o depois....  kkkkkkkkkkkk      isso acontece com vcs tbm, ás vezes?         mtos beijinhos p vcs!!!!!!   bem no cora??o, lindos!!!!!!   boa noiteeeee!!!!!!!!!   e tenham uma semana maravilhosaaaa!!!!!!!
20070612094938AAoJwbN	Yahoo! Products;Yahoo! Answers	EU VOU ADVERTIR a equipe do YR.....quem vem comigo???	P?xa est?o mandando meus e-mails,para "massa",ao invez de "entrada".
20070831074529AA2MxD4	Yahoo! Products;Yahoo! Answers	"PESSOARR": VC CONCORDA QUE QUEM N?O SABE BRINCAR N?O PODE DESCER PARA o PLAY?	QUEM N?O SABE RESPONDER SEM SER AGRESSIVO é MELHOR QUE N?O RESPONDA N?O é VERDADE?      BJKS GALERA E LALALALAALA????      PS: CANSEI DO YAHOO E DAS GROSSERIAS!
20070615041524AATzKgA	Yahoo! Products;Yahoo! Answers	Varig quer dizer " Via??o Aérea Relaxa I Goza ?"?	Li isto hoje no Monkey News e quase caí da cadeira de rir...Ah, antes que o pessoal do rebrig?o e espiritualidade venha até aqui me exorcizar, essa é uma referência a frase de Marta Suplicy, tá bom ?
20070604064518AAZXafx	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	Precisamos resgatar o habito de ir visitar em casa e de receber visitas em casa tambem,voces concordam comigo?	Precisamos resgatar o habito de ir visitar familiares,parentes,amigos e conhecidos na casa deles sempre que for possivel.   E de receber a visita de familiares,parentes,amigos e conhecidos em nossa casa sempre que houve oportunidade.   Um convivio social e sadio e super agradavel que precisa ser resgatado por todos e perpetuado por todas as geracoes que virao.   Com o passar dos ANOS,SECULOS e MILENIOS,esse convivio social  sadio e super agradavel deve perpetuar por todas as pessoas sempre e por todos os seus descendentes tambem.   Criancas devem ir visitar as outras criancas em casa sempre que for possivel.   Criancas devem ir visitar as outras criancas na casa delas sempre que houver oportunidade.   Para que quando forem adolescentes,adultos e idosos saibam dar muito valor a isso sempre.   Sempre que forem visitar alguem va com a sua familia para que todos seus  eles ja vao se acostumando com essa ideia, sua esposa e filhos,seu marido e filhos,todos devem cultivar esse habito desde cedo sim
20070516215412AAeItmM	Yahoo! Products;Yahoo! Answers	Você tem uma receita de vida para me dar ?	N/A
20070511043855AAGjwOV	Yahoo! Products;Yahoo! Messenger;Problems with Service	How long can i keep signed into yahoo mobile messenger without sending or receiving messages?	i signed in to yahoo mobile messenger and that time i was able to send or receive messages but later after i tried (after about 5 hours, without sending or receiving any message) i cannot receive messages from any of my friends in the list. and i've not signed out manually. i'm using nokia 3230 with airtel service in TN, india. pls tell me how long can i keep signed in to yahoo mobile messenger without sending or receiving messages.
20070511051130AAw7Xhi	Yahoo! Products;Yahoo! Messenger;Problems with Service	I use yahoo mobile messenger and i cannot receive any messages from my friends in the list?	i can send messages. no matter how mamny times i re signed into from my mobile device i cannot receive any messages and also i'm not getting any confirmation to my mobile regarding my signing in or online friends list.i can send messages anyway. only the first time i received confirmation and list and messages. i'm using nokia 3230 in TN,India with airtel being my service provider. pls help me wats the prob ? anything with my mobile or other things? how to make my id receive messages? is it due to delay im message processing on my service provider's side? will it happen at times?
20070730184255AAswfVu	Yahoo! Products;Yahoo! Answers	Boa noite, galera mais uma pra pensar !!!!!!!!!!!?	A lngua  uma coisa pequena, mas pode causar danos enormes. Ela  uma chama de fogo e est cheia de maldade e envenena cada parte do corpo. Ela  incendiada pelo prprio inferno, e pode tornar nossa vida uma chama flamejante de destrui??o e desastre.
20070604155448AA76YZL	Yahoo! Products;Yahoo! Answers	Perguntas e respostas repetidas?	Ontem doidinha foi dormir com cora??o pesado, pois presenciou uma discuss?o de duas pessoas queridas sobre direito autoral e perguntas e respostas repetidas. Alm de conex?o lenta, que caa toda hora. Resultado, doidinha delirou e sonhou que a primeira mo?a que duvidou e postou ser que estou grvida entrava na justi?a querendo direito autoral, um percentual em cima de cada vez que foi feita esta pergunta e para cada resposta. Esta histria ter um final feliz? Que alternativas sugerem, Doidinha sugere a ferramenta de busca ou bom humor, pois recentemente doidinha se inspirou em Gypsy, coisas engra?adas que crian?as falam, e postou uma pergunta parecida, convidou Gypsy, que respondeu e caram juntas na gargalhada. Sugest?es, como citar fontes, mostrar links, ser?o igualmente bem aceitas, assim como a continua??o da histria da primeira grvida. Beijos, estrelas, paz.
20070516122151AAVe3v8	Yahoo! Products;Yahoo! Answers	Por que voce ta nessa MITIDEZA??	N/A
20070827085947AAvMTer	Yahoo! Products;Yahoo! Answers	Você gosta de filosofar?	Hoje estou filosófica!!!      .... jesuise... esqueci a frase!! ahuahauahaushaushau   retiro o que eu disse! pra compensar escreva uma que vc goste! quem sabe n?o me vem inspira??o?   rsrsrsrsrs   beijuss até tardinha queridinhus!!!
20070511180958AA1QyQH	Yahoo! Products;My Yahoo!	Yahoo.posee la opcion de que le informen si recibieron un correo?	Yo mando un correo y quiero la confirmacion de la persona que lo recibio
20070523114318AA57PWG	Yahoo! Products;Yahoo! Answers	Vc está MOLHADINHO (A) ???	Eu estou,,,fui fazer um servi?o externo pra Editora e acabei me molhando com a chuva,,,      Naum para de chover aki!!!!!!!!!!      ,
20070514180611AAjgqur	Yahoo! Products;Yahoo! Messenger;Problems with Service	?como mirar mis mensejes de mi cuenta Yahoo?	no se como mirar los mensajes que tengo,muchas gracias y besos
20070515180655AAiqwBZ	Yahoo! Products;Yahoo! Answers	Será se ainda resta alguma coisa para se perguntar aqui  no YR?	eu acho que já foi tudo perguntado .      só para aproveitar os cinco pontos: existe alguma pergunta que n?o tenha resposta?
20070516174152AAuWTZg	Yahoo! Products;Yahoo! Answers	Por que quando postamos perguntas que têm muito valor pra gente que vêm carregada emo??es alguns menosprezam?	N/A
20070516163147AA8c53g	Yahoo! Products;Yahoo! Answers	Qual vc prefere?	vc prefere responder aquelas perguntas q faz vc pensar bastante antes d responder ou prefere responder aquelas simples mesmo q n?o precisa pensar mto?
20070519020309AAcqhCF	Yahoo! Products;Yahoo! Answers	Come faccio a dare il mio voto alle risposte?ciao e grazie?	N/A
20070519171137AAeT67f	Yahoo! Products;Yahoo! Answers	Chuck Norris Vs Steven Seagal... chi vincerebbe?	N/A
20070520215941AA66CW4	Yahoo! Products;Other - Yahoo! Products	Que absurdo!!!!!!!?	Olha eu acho que deveriam tirar o tema religi?o daqui do yahoo,pois a minha noite acabou de estragar quando li a pergunda de um úsuario dizendo que Jesus deveria tomar no...e deveria fazer69 com...,nossa gente nunca imaginei ouvir uma barbaridades dessas e vcs?Que absurdo se continuar assim vou ter que tirar umas férias do yahoo!!!!
20070523141523AA1WQJT	Yahoo! Products;Other - Yahoo! Products	Para as amigas Eumesma x Libbi???Parabens?	até que a sorte as separem, mas vai ter ENSAIO fotografico na sexy, kkkkkkkkkkkkkkk bjs
20070529153233AA1rd9t	Yahoo! Products;Yahoo! Answers	What level are you on?	i just got to level 2! im so proud! :')
20070607183616AATRsol	Yahoo! Products;Yahoo! Mail;Attachments & Photos	Oigan como le hago para poner otra imagen en vez de la sombra que aparece?	lo que les intento de decir es que ya me aburrio la sombra que nos ponen
20070614231120AAJhPsG	Yahoo! Products;Other - Yahoo! Products	WH?  wants t? how to type in ←↑→↓????	N/A
20070618170235AAr0lib	Yahoo! Products;Yahoo! Answers	Sua profiss?o tem alguma coisa a ver com a categoria em que voce se considera TOP?	A minha n?o tem NADA a ver, nada a ver mesmo.
20070802205902AAIjUze	Yahoo! Products;Yahoo! Answers	Estou vendendo as palavras xaroposo, vilipêndio e trautear?	Quem vai querer? kkkkkkkkkkkk
20070802210328AAqW4NU	Yahoo! Products;Yahoo! Answers	De onde surgiu tanta garrulice?	N/A
20070625103822AAk5eay	Yahoo! Products;Other - Yahoo! Products	Can I or can't I put music on my web site?	I went to napster and paid for the songs I wanted, and put them on my web site.  Can I do this or not? I am confused! You can't download it off my web site. If I can't do this what can I put on my web site that is not crap music! The songs I put on my pages go great with the page!!!! www.catmountainmastiffs.com
20070701084841AAxQdU4	Yahoo! Products;Yahoo! Answers	What are Inactive stars.?	Hi all, Thanks for the stars you gave me in the last question. put a smile on my face lol.   Dont want to harp on about the subject sorry but the stars i have recieved are on my profile as inactive stars just wondered what that meens please?    Thanks so much in advance.
20070710015921AADPDs5	Yahoo! Products;Yahoo! Answers	?????? ??????? email user ??? loterry ?????????? ???????????? YAHOO ??????????????????????????????	??????????????????????? 1 ?????????
20070721220843AAMnfAL	Yahoo! Products;Yahoo! Answers	???? ?????? ??????????????????????????????…	????????????????????????????????????????... ????????????????????????????????????????... ???????..???????????????????????????????... ????????????????????????????????????????...     http://messages.yahoo.com/     http://asia.groups.yahoo.com/    ??????????????????????????????????????... ??????????????????????????????      ????????????????? ??????? ????? ????????????????????????????????????????... ??????????????????????????? ????????????????????????????????????????...  http://answers.google.com  (??????????) ????????????????????????????????? "?????????? ????????????????????"
20070723105851AAhvQOl	Yahoo! Products;Other - Yahoo! Products	?Porque las palabras "antispam" que hay que escribir para entrar a los juegos tienen esas formas raras?	Lo unico que logran es que uno escriba cualquier cosa menos lo que dice. ?No se pueden colocar palabras con letras legibles?   ?Cual es el fin de distorsionar las letras? ?No es lo mismo obligar a escribir "algo" pero que pueda leerse bien?
20070724065242AAjX5Gn	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	I can see myself on the webcam but when i invite someone else they cant see me?	it says they are viewing in the yahoo box but my webcam says no viewers and they cant see me. what do i do to fix this
20070724065356AAhQvNC	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	Im not able to sign into my current yahoo id sunilchennai2000@yahoo.com?	im using my yahoo id since 2yrs. suddenly one day im not able to singn into my yahoo account as well as yahoo messenger. the same day morning i used for sendin and receiveing mails. report  showing as "for your protection, your account has been temporarily disabled. please try again later". kindly advice me as early as possible. bcoz i cant change this id at any cost.
20070724070709AAtkyoU	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	Can stationery be defaulted for all outgoing mail, or must we choose for each outgoing email?	Can I set my email to default to a particular stationary each time I send outgoing mail, or do I have to choose stationary every time I send mail?
20070724070759AAJlw1R	Yahoo! Products;Yahoo! Mail;Problems with Service	Has anyone out there been having problems with losing email from their inbox?	It seems since last Thurs. July 19th my account has been "self-deleting" mail from my inbox on a steady basis. I went from having over 500 emails in my box to 79 in one day and I didn't delete them myself. Last night July 23 when I signed off I had about 250 emails in my box and when I signed in this morning I had 39 messages in my inbox! I've had Yahoo tech look into but, no one there seems to be able to explain what's going on and suggested that maybe I "accidentally" deleted my messages! I'm absolutely dumbfounded about this because it's never happened before and I can't figure out how to stop it! If anyone has any insight I'd appreciate hearing from you soon!
20070725071212AAu33TK	Yahoo! Products;Yahoo! Answers	Qual seria o resultado se misturassem, o Chocolate da Melissa, a agilidade da Eumesma ... (cont)?	o Charme da Lee, o suspense da Debbie, a delicia da Delicious, o calor da Morena, a inocência da Line, a curiosidade da Curiosamesmo e o amor da Pituca23 e do Anderson ???
20070801111857AAVbLCz	Yahoo! Products;Yahoo! Mail;Problems with Service	Yahoo mail jbrunoz@yahoo.com?	N/A
20070818191507AANOa5v	Yahoo! Products;Yahoo! Answers	?Porque la gente desea tanto llegar al nivel 7?	Si los puntos no los puedes usar en nada ni te traen beneficios, entonces... ?para que juntarlos y llegar al nivel 7?
20090202125623AAVDR7Y	Yahoo! Products;Yahoo! Answers	Why we have to ask questions?	or we need some friends to be friends, i never did this on yahoo.   you ask about 1 kiss.  jajaja it was interesting it was with my favorite singer he's from puerto rico his name is Chayanne. that's  i love his music since he was los chicos band.
20081119032948AA4UR6X	Yahoo! Products;Yahoo! Answers	Qual avatar voce mais admira as perguntas e respostas aqui no YR!?	Sempre tem aquele(a) amigo(a) seu que faz perguntas super interessantes e tem respostas super legais, que voce é fá n° 1 n?o é?   Ent?o, me diga quem é ele(a)?       Abra?os meus queridos, uma Quarta a todos voces!!!
20090202124707AAiuNkT	Yahoo! Products;Yahoo! Answers	How do you get points on Yahoo?	N/A
