20090203060738AAYW8A2	Travel;United Kingdom;London	Where can me and my mate (both 18) find a cheap 2 bedroom flat in London?	Preferably within 20 minutes of Stamford Bridge Stadium, SW6...?
20090220063356AAJ0M82	Travel;Asia Pacific;Malaysia	With the inventions of nuclear weapons,do you really think that we or the world can still exist within the?	next 100 years. Are we the last generation.
20090220064305AAXhNKy	Travel;Asia Pacific;Malaysia	Would you leave earth, and start a new community and civilization on a new planet called Mars?	N/A
20090220080236AAe64UB	Travel;Africa & Middle East;United Arab Emirates	Your thoughts on all inclusive holiday in dubai?	Hey   Getting married next year in Mauritius (10 days there with all the family) however my fiance/husband are desperate not to have to spend the wedding and the honeymoon with all the wedding party.  Best place to twin centre honeymoon with Mauritius is Dubai but what are your thoughts on an all inclusive hotel.  Our budget will be mainly spent on the wedding, flights, 5 star accommodation in Mauritius however i have seen some nice all inclusives in dubai all be it not many of them.  One of the travel agents put me off by saying you wouldnt want to go to dubai all inclusive.  I know there is lots to see and do but basically the point of the twin centre is for somewhere we can go, let our hair down ALONE and not have to spend a small fortune.  The bars in the hotels in mauritius close at 11pm and the thought of 17 nights of little entertainment and constraints on when i have to stop enjoying a drinking doesnt exactly excite.  I know dubai isnt really about drinking as its not that culture however some of the all inc hotels say they have many bars and a lot of entertainment.  Please help with my dilemma   Have a great weekend folks   G
20090220053633AASHL6X	Travel;Asia Pacific;Philippines	What will happen after bunot?	after some hours or days . and what to do and not do?   bunot- 2nd molar, left
20090220050538AAvO3Fg	Travel;Asia Pacific;Malaysia	Genetically Modified Food?	Are there any genetically modified food in Malaysia here?   How can we know /make sure that that food is being genetically modified?      Thanks anyway!!
20090220071753AAiwNGX	Travel;Asia Pacific;Malaysia	Guys, would you fell embarrass or shy when women look/stare at the middle part of you body, especially if?	you wear tight pants
20090220071255AAwrIlf	Travel;Asia Pacific;Malaysia	Should Victoria Secret design undies for men?	N/A
20090203044546AAHAA7N	Travel;Europe (Continental);Other - Europe	Can you recommend me a beautiful country in Europe to go on holiday?	My girlfriend is from brazil and came to see me in London for few weeks. I'm looking to take her to a country in Europe but im not sure about which one i should go to. Could you tell me a beautiful country in Europe that i could take my gf for 2 days and what kind of things we could see while we  there?
20090220080701AAhg8YD	Travel;Canada;Other - Canada	Why did inspectors destroy Quebec raw milk cheeses?	(without testing first for listeriosis)?   I know there was the listeriosis outbreak and it created massive measures to protect the public health.  But on the other hand, you have Quebec raw milk cheese producers who were not at all responsible for the outbreak, their cheeses are delicious, they make a living off this cheese.   I understand both arguments, but why can’t Canadian authorities and inspectors work with industry producers (especially when production is family-run and organic) like in the case of Quebec’s raw milk cheese market?
20090220064224AAB8jSP	Travel;Italy;Other - Italy	How do you say "I miss holding your hand and feeling your arms around me" in Italian?	No online translators, please.....
20090203055237AAEleL2	Travel;Austria;Other - Austria	Looking for work in Austria, Wien?	Hi,   I am looking for work in Austria, Wien:   I speak Hebrew, English, some Arabic, and some German   I have great experience in Security, sales, marketing.   Can any one help me here, please (?)
20090203054911AAk7KxT	Travel;Ireland;Other - Ireland	Have you ever taken a shillelagh to a shenanigan?	Did anyone get hurt?
20090203045415AAxP6S6	Travel;Other - Destinations	Have you travelled much? What is your favourite place not counting anywhere that has a beach?	Mine is Paris. I can't speak a word of French but oh, the food, the women, the night life. "Bon jour madam, Du pain,si vous plait" Merci. Au revoir"   I have no idea what it means but the women love it when I say it to them.
20090203053640AA8mUNs	Travel;Europe (Continental);Other - Europe	Backpacking across europe?	heyhey   im planning to go on a backpacking trip across Europe.   thought of making my way to russia via the trans siberia train from beijing. than on to finland, sweden, norway, to denmark finally. hopefully squeezing germany and switz in.   it'll be my first trip out so can you tell me if this plan is practical? and do you know which transport or route will be best for me to take? (i know i will rely heavily on Euro-rail) and the fastest and cheapest way back to singapore?      thanks!
20090203061037AAomnBg	Travel;United Kingdom;London	So what did you think of the Snow in London?	N/A
20090220051837AAFDbaV	Travel;Asia Pacific;Philippines	What are some cheap cinemas in Manila?	please don't include moviehouses that show sleazy movies. and don't include SM and Robinson's cinemas as well. They got costly a long time ago
20090220061121AAe45ST	Travel;Cruise Travel	How much for a cruise?	I want to take my boyfriend to a all paid for cruise to the bahamas or maybe jamaica * ive already been to the bahamas * in november for our 2 year anniversary.   How much do you think i would need to save.   Remember I dont want him to even have to bring any money   We dont buy alot of stuff that has bahamas wrote on it.   and we would mainly eat on the ship because its free.   So how much should i save up.   including the plane ticket to orlando * from Milwaukee* and the cruise?   I was thinking around 2 grand.   We do want to go to some of the bars .. thats where the money will go .
20090220063031AAAb2Uc	Travel;United States;Orlando	What is the cheapest way to travel and go to Disney in FLorida?	ANY SUGGESTIONS OR WELL KNOWN INFO. WOULD BE GREATLY APPRECIATED.      THANKS.     I LIVE IN PA. THERE WILL BE 2 ADULTS AND 2 KIDS GOING.   10 POINTS!!!!!!!!
20090203050311AAVYzzt	Travel;Africa & Middle East;Israel	Are there any hotels in Holon, Israel?	I am going to go see a friend there*by surprise*and well i can only find hotels in Tel Aviv or something. but that is like 5 hours away! Can someone please give m some ideas of what to do =[! i m really desperate.
20090220075657AAwZ1xc	Travel;Travel (General);Other - Destinations	Where's The Cheapest Place To Go In Europe For A Holiday?	Me and a few friends (aged 16-18) are planning on going abroad (preferably Europe) some time in the summer and i was wondering where would be a cheap, ideal spot for teenagers who are looking for sun, sea and sangria lol.   Thank you in advance    (:
20090219165439AAuMG1Q	Travel;United States;Chicago	Should I go to San Francisco or Chicago?	I live in Tennessee and my spring break is march 14-22. My mom and my sister and I are most likely going to either San Francisco or Chicago. It costs like $500 or $600 more to go to San Francisco so if I went to Chicago I'd have more spending money. We're only going for 6 days. I want to go shopping and do something for st.patty's day. I love plane rides so it doesnt matter how far away it is. I will be staying at a Fairmont hotel either place I go. I'm 13. Which place will I like better?? And what will the weather be like? What should I wear/ bring?
20090219165445AAeoZiA	Travel;Travel (General);Other - Destinations	How could i find out how long this trip would be?	im going on a church trip.      im going to houston tx, from silsbee tx,      and im just wondering how long it would take.      any help?
20090220080437AA5sZjg	Travel;Africa & Middle East;Morocco	Is it true that the dialling code to Morocco is due to change soon by adding an extra "5"?	N/A
20090203045055AAgnaxy	Travel;Italy;Rome	What sight seeings would you recommend in Rome?	I am planning to go on holidays in Rome at Easter. How is the weather in April? Will we able to visit Coliseum or will it be closed due to Easter break?       I was looking for tickets and EasyJet has two destinations/airports. Which one should I choose?      I would be very grateful for all the info that you could provide me.      Many thanks in advance.
20090203045125AAKnSvM	Travel;Asia Pacific;Singapore	Cheap Student Hangout Bars in Singapore?	Please advise some really cheap student hang out like bars/night clubs in Singapore.      I have been to dblO and insomnia. Any other suggestions?
20090203050112AAdFGe9	Travel;Travel (General);Other - Destinations	I'm going to the USA in April, how would you recommend to take my currency?	Such as travelers cheques, credit cards etc??
20090203050139AAjgqJG	Travel;Italy;Venice	The cost of taking a coach into venice and staying 3 or 4 days?	N/A
20090203050524AA1fIJm	Travel;Asia Pacific;Malaysia	Sekolah kebangsaan pekan keningau?	sk. pekan keningau,sabah
20090203050939AAXkAbH	Travel;United States;Other - United States	Visiting the Grand Canyon-what to see? South Rim? West Rim.....?	I have seen tours for the "South Rim" and "West Rim" along with a visit to the "Skywalk." What is the best place to see? What has the best view? I'm not looking to fly in a helicopter or plane, it will probably just be a bus tour and we will be on foot. Also  I'm going in April.      Thanks!
20090203051829AAeMXzv	Travel;Europe (Continental);Greece	My holiday year starts for april. ive been workin from the 1.8.08. ?	im entitled to 16 days plus 8 payed bank holidays. ive took 6 days off already, how many more days am i entitled to?
20090203053323AABpaDy	Travel;Asia Pacific;Singapore	Where do I make a Pin-on nametag in Singapore?	Okay what I'm looking for is a rectangular black based nametag with white fonts, about like 5cmX1.5cm, and I'm only getting one piece. Does anyone know of a place I can get one?
20090203054100AAKoGdK	Travel;Europe (Continental);Other - Europe	Summer Dilemma!!!Would it be better if I went to Ibiza working for three months or Thailand for 3 weeks?!!?	Hi Everyone!!      Please I really need some advice on what to do this summer o9.Ive never been to ibitha or thailand but heard there both amazing!Especially from people that have been to Ibiza and Thailand and from those that have worked in Ibiza for the summer months.   Basically I just want get away from the wet weather of Irl.So far was really up for going to Ibitha ,the idea of working in a buzzing atmosphere meeting differnt people and going to see some of the best DJs in the world really appealed to me but Ive been getting really mixed references from people lately some saying Ibiza sleazy and full of brit whatever no offence..just like every other spanish resort except hell alot more expensive. Then others saying Ibiza amazing and is actually a beautiful place.   As for Thailand some saying it was good but a very very different culture esp bangkok but I know myself that itwould be life changing to see however down side would be the cost to getting there keeping myself going for 3 weeks and all the injections that will have be taken.      So if I could get maybe some advice on what the better choice would be for me ..I am 21 and love travel ling partying meeting new people and doing new things,so would really appreciate some advise on whether I should   a) Go out in may get a job in Ibiza in a bar or something and have some craic on the party planet of the world for 3 months..      b)Stay in my country for a wet 2 months save up then go ibiza for 2 weeks for a holiday then go to Thailand for 3 weeks..      c)Leave Thailand for when Im on way to or fro from australia when am a bit older and need a break from Oz heard thats the in thing to do and just go ibiza on hols and maybe a bit of bagpacking arounf europe..      All comments appreciated !!   Thanks xxx   BaseBlondeC   Thanks!!
20090203054411AABcoKh	Travel;United States;Other - United States	What would you do..go or stay?	I have nee with my boyfriend on and off for three years. We have had alot of arguments, falling out, etc. But now, or so i thought we were getting back on track. I put a decision in place last week to visit theUSA for my summer, on a summer camp as a councellor. (im from the  UK) i thought it would give me a long break away from things and give me a chance to improve mmy independence and my confidence. I told my boyfriend about what i planned, thinking he'd be happy for me. But he told me it was a stupid idea, a waste of money and there was no point to it. I really don't know what to do. I thought he would be happy for me, and i wanted to go. Im not so sure now, what should i do?      Im 19 next month.
20090203054851AADNHDb	Travel;United States;Chicago	Where are the fantasy rooms motels in chicagoland llinois?	N/A
20090203061507AARQMnC	Travel;Asia Pacific;Singapore	Is there going to be Singfest in singapore this year?	there is Singfest last year.. is there gonna be one this year???
20090203062913AABIjB7	Travel;United States;Las Vegas	What is a good house music lounge in Las Vegas? ?	I am going to Vegas this coming Friday (2/6) and would like to go to a lounge that plays good house music.  We are staying at the mirage hotel, so anything nearby would be perfect.  We are hitting up the big dance clubs later on in the trip.  For our first night there we just wanted something a little more low key and laid back.  Just something where we can relax and enjoy some good house music,  Any ideas?      Thanks
20090203063017AAvsYig	Travel;Asia Pacific;Malaysia	Do british passport holders,need a visa to go to malaysia?	holiday .6 weeks
20090220045758AAbqVW6	Travel;United States;San Francisco	How far is Piedmont from Walnut Creek?	N/A
20090220051812AAy6czy	Travel;Africa & Middle East;United Arab Emirates	What is desert safari ? Dubai U.A.E?	I would like to know what Desert safari is? what happens in it ? is it scary?
20090220053915AA712Wq	Travel;Caribbean;Dominican Republic	Which is better Majestic Colonial Punta Cana Resort or Majestic Elegance?	N/A
20090220054538AA9dmXi	Travel;Asia Pacific;Philippines	How can i get to salinas lucena city?	some are saying you have to take this troley to get to salinas, want to knw what you call that troley in tagalog
20090220054953AAsblSf	Travel;Africa & Middle East;Kenya	What factories are there in nairobi?	N/A
20090220060735AAkrslv	Travel;Asia Pacific;Singapore	Free coin exchange excerise 2009?singapore?	any singaporean know where is the free coin exchange excersie is held?   i gt too much coins to exchange..
20090220061644AAtlgCp	Travel;United States;Washington, D.C.	Staying in washington DC?	we are staying at the quality inn in college park and it offers a free shuttle to university of maryland, national archives, adelphi road, college park metro station,USDA building, River road, NASA Goddard Space Flight Center...are any of those near the white house or in the area of the holocaust museum and the washington memorial?
20090220062222AAuMN1S	Travel;Caribbean;Cuba	Indigenous foods from cuba?	N/A
20090220063549AAZgPHk	Travel;United States;Philadelphia	How is public transportation in Philadelphia near Temple University?	Hello! I will be attending Temple University this fall and live on campus. I dont have a car ( Im hoping to buy one before I leave for school, but may not have the money), and wanted to know if commuting around Philly buy subway and metro is convienent or not. Ive never been to Philly, but hope to be able to get around the city and then some on public transit.      So, If you know or have used Philly transit, how is it???
20090220064515AATspiD	Travel;United States;Orlando	I will be in Orlando,FL in the last week of April...What will the weather be like?	N/A
20090220064519AACzta1	Travel;United Kingdom;Glasgow	Wrestling schools/classes in my area?	I'm now 18 and been doing boxing since I was 13, JJ since I was 15...   I'm really eager to start wrestling, tried google to find but can't find any classes in the Glasgow area, does anyone know of one or know of how I'd be better to go about this?   thanks
20090220070231AACAaKV	Travel;United States;Other - United States	Which city is better to live in Miami FL, Orlando, FL or Tampa, FL?	I  will be going to graduate school next year and I was wondering which one of these a good place to live overall ?? How much are the apartments a month?? Are the people nice overall.  I am asian and people are two faced here in Texas.  I wont have a car so do they provide  public transportation...how much is it??    Thanks
20090220072650AA25fAr	Travel;Caribbean;Barbados	How long did rihanna stay in barbados?	N/A
20090220072351AAStnTx	Travel;Africa & Middle East;United Arab Emirates	Does anybody know any cheap hotels (2-3 star) in Dubai which are close to the beach or short distance away?	N/A
20090220072930AAmysZ1	Travel;Canada;Ottawa	Do you know which day Canadian Museum of Civilization is for free to visitors?	N/A
20090220074345AAn0hO6	Travel;United States;San Diego	Fun and punk in San Diego? Then will I get kidnapped in Tijuana?	I've been to L.A. too many times, but I'm flying there the end of the month with my husband. He will be busy with other things so this time I was thinking about renting a car and driving down to San Diego and then into Mexico.       What are some punk clubs/hangouts/record stores in San Diego? I heard Angry Samoans were playing, but I'm looking for something a little more underground.       Also, since I will be alone, is it safe for me to go to Tijuana for the day? I don't plan on being there at night, but I had some friends who were in a band and they got held for ransome while they were there so I'm a little nervous.      Also, where is the best spot to check out the beach in San Diego and/or Tijuana?      Thanks!
20090220074455AA1EwJK	Travel;Mexico;Other - Mexico	What to do in Cozumel??need opinions please?	Me and my gf are going to Cancun and Cozumel for the whole first week of march...can someone recommend things for us to do...I'm 23 she 22....we just want a break from the US and go do some fun things in Mexico for spring break.   I have been to Cozumel before but only for a couple hours....If anyone can give me useful info on what and where to go(I'm planning to rent a car, although I hear the bus system is good..but we want to venture outside the tourist/hotel zone and see the countryside...      What clubs are best to go?   what attractions are fun to do   Where to eat   What hotels are good?   How much $$ should we bring?      Thanks
20090220075248AAolzMp	Travel;United States;Washington, D.C.	If anyone is familiar w/ baltimore maryland's street PLEASE HELP ME dont just ignore this question....?	what is the name of the hotel that is in White Marsh right near the mall. it has a pool locacted inside of it . unfortanely, thats all i know therefore, i do not know the address so please provide address if u know what im talking about
20090220075643AAfGxQ3	Travel;India;Thiruvananthapuram	Where can I find a graphology institute in Kerala?	Is there any institute that teaches graphology, preferably in Kerala?   Can I get the address or phone number of any reputed graphologist in Kerala?
20090220075843AAkwd6k	Travel;Asia Pacific;Other - Asia Pacific	Embankments Bangladesh?	How would building embankments help prevent the flooding in Bangladesh? 10 points
20090220080405AAo0B3o	Travel;Europe (Continental);Other - Europe	Is this website safe to book (and pay for) a holiday online from?	www.bookableholidays.co.uk ?
20090220080418AA6unoB	Travel;Asia Pacific;Thailand	What are the main issues and problems in Bangkok?	What are some of the main issues and problems in Bangkok? And could you please explain a little bit about the causes of them and how they have effected the city. Thank you
20090220082049AAPLGwM	Travel;Other - Destinations	Where are all the places that you have traveled?	I have been to England, Japan, Canada, Mexico and Taiwan.
20090220080927AAMaTUs	Travel;Asia Pacific;Malaysia	How  can i call to malaysia to mobil?	N/A
20090220081131AAGsZjg	Travel;United States;Chicago	Best bars to hook-up at in Chicago?	What are the best bars to go to in terms of taking a girl home at the end of the night. Where do the easiest women hang out. What's a good pick-up bar?
20090220081357AAd5fgM	Travel;United States;Boston	Places to see around south station in Boston MA?	We are planning a day trip to Boston soon, and were wondering if there are any places of interest close to south station? Money is a little tight, so we were hoping to avoid cabs/buses as much as possible.       Thanks.
20090220081606AADdJZ9	Travel;France;Other - France	Where do people in France grocery shop?	We are doing a marketing project in regards to food in France and I am wondering if the people of France shop in grocery stores primarily or markets?
20090220081801AAgeuak	Travel;United States;New York City	How do you get to the NJ  palisades where you can see  the NY Skyline from the cliffs?	WHats the address or were do you go, to see the skyline from NJ? And can you go anytime of the year?
20090220082057AAdqCyf	Travel;United States;Boston	Best Date Spots on The North Shore, Mass.?	I am looking for a really romantic or just cool place to go on a nice date. Any ideas?
20090220082500AAXzltL	Travel;Asia Pacific;Japan	What time is it in japan and do they eat pudding?	cause im bored sitting in computers and i was just wondering. and also how do u say llama in chineese? i really wnat to know hehe:)                                    -billy bob george is my friend
20090220082755AAM0yhK	Travel;United States;Orlando	I have a favor to ask of anyone who likes to use their videocameras and goes to Walt Disney World (Fl) often.?	I know this sounds like an odd request but I LOVE the videos that are played on Disney's Magical Express going to and leaving the WDW resorts.  They're just so cute with the characters going in the hotels and all!  I always feel like the magic's truly begun when those videos start (and it helps me keep the magic with me as I go back to the airport to go home.)  It would be great if i could watch those magical videos anytime I wanted.  So I was wondering if someone who is going to WDW soon could possibly record both videos (to and from the resort) and post them on Google so I (and other people who are also big WDW fans) could download them.  Please let me know by answering and thank you again!
20090220083150AAHguHm	Travel;Air Travel	Can i still get on a airplane without Identification?	N/A
20090220083201AAjQvIJ	Travel;United States;Dallas	Can you bring a picnic to the Ft. Worth Zoo?  Or do you have to buy your food there?	We are taking my son there for his second b-day and I am not sure how to budget.  I want to spend all day there so we'll need food for all day.  I don't mind buying one meal out, but I am sure they are expensive there and I don't want to feed my son restaurant food all day.  And do they have lockers you can buy to keep stuff in for the day???
20090220083342AAnaWTv	Travel;United States;Other - United States	How long does it take to drive from Savannah, GA to Northern GA?	If I'm staying in Savannah and want to go white water rafting in upper Georgia, how long is the drive?
20090220083907AAxyunG	Travel;Africa & Middle East;Egypt	Is backstabbing considered a habit?	N/A
20090220084427AARwLlg	Travel;Africa & Middle East;Israel	Where should I shop in Amman, Jordan?	I live in the U.S. and I plan to visit Amman this summer. Can you recommend the best places to shop for jilbabs, hijabs, and abayas?
20090220084443AA44kta	Travel;United States;Philadelphia	Whats the easiest bus route from south philly to the art museum?	I live close to oregon ave. I am thinking the 7 bus runs close to the art museum? If I get off at Spring Garden is it too far to walk in the cold? 1/2 mile? opinions? Thanks!
20090220095902AASaLmd	Travel;United States;Boston	Using The Boston T Subway?	In Boston how does the red differ from the orange,blue and green subway lines in general?
20090220085236AA2Cs4x	Travel;United States;Seattle	How hard would it be to move to Seattle straight out of college?	I like Seattle(never been there, but I hear great things) and I want to move there when I graduate.      I want to obtain a degree in accounting and move to Seattle from here in the midwest.      So would it be too costly?   Would I be able to get a job?   How reasonable would this be?
20090203064505AA8gcNh	Travel;Asia Pacific;Malaysia	If you been given a choice?	what kind of supernatural power you like to have. why
20090203065836AAjDcXR	Travel;Asia Pacific;Malaysia	In your opinion what did mr.croc afraid of?	N/A
20090220090431AA81L2y	Travel;United States;Other - United States	What things relate to America?	I'm creating a scrapbook regarding America and I was wondering what images I could put on the front page to give a real feel of the country and its culture and traditions.      The one things I can think of so far is the USA flag, a map of the country, the American golden eagle, dollar notes and the statue of liberty. What else?      Thank you so much. =)
20090220092151AATedJz	Travel;Asia Pacific;Vietnam;Other - Vietnam	Gov in Vn allow Tourists to shoot Ak-47s in Cu Chi yet no VN Citizen is allowed to own a gun, hyprocrisy?	N/A
20090203064243AAbFz9b	Travel;United Kingdom;London	All you folks in London, England. How are you getting along with all the snow?	I've seen your problem on the news.   We (Canada) are used to it; but you are not.   How are you doing?
20090220090312AAYWDeI	Travel;Asia Pacific;Japan	How do you say "what is my name?" in japanese?	N/A
20090220090525AAzDtuY	Travel;Asia Pacific;Japan	What does this mean japanese lyrics?	Desperate agai temirebaii   Mi sou no kotona kami yori saigo ni era bareshi mono   Hai kai de ou noze o merai teiru nokai?      Destruct doreo shinjiru?   Masui to o mae ga arebaii   Mirai wa dare no moto nimo byodou ni shuu I kaka runosa    seikai naku       Yume no yoni kimi o michibiku kagayaki ga ori soso gebaiikedo   Shi no hai ka nani ka? Unmei no toki ni suku ware ruka kake youze   Seigo ni warau no wa dare ka       Yuku atemonai naratazune youka   Tengoku demo maika na mae o motte       Yume o mita tokoru de dose kareta jide kurigae shite kudakesa   Shi no hai ka nani ka? Kimi dareka umaku kiseki ote ni irete   Shi no hai ka nani ka? Unmei no toki ni suku wareruka kake youze   Seigo ni warau no wa dareka   Seigo ni warau no wa dareka
20090203070531AAu10g7	Travel;United States;New York City	Where can I find tax forms in NYC?	I recently moved from NYC (but I still work here) so I need to find the NON-RESIDENT NYS 2008 TAX BOOK. Can someone please tell me where I may be able to find this book?       I've been told that libraries and/or post offices may have them. Is this true?      Thanks in advance!
20090220102821AAt1mx7	Travel;United States;Houston	Galveston - Joe's Crab Shack?	We were down in the US a couple years ago and have wonderful memories of Joe's Crab Shack.   The kid's were talking about it this morning and we got to wondering if it survived the last hurricane.        Is there anyone from down there that could tell us if it is still around?    I'd appreciate it very much.   Thank you!
20090203070740AAdlmTp	Travel;United States;New York City	New york at christmas?	I went to new york for the first time last year in august and i loved it although im not good with the heat and it was roasting!! me and my boyfriend are planning to go back this year and spend christmas there but everyone is saying it will be far too cold and we should go a bit earlier? also is it worth paying the extra for flights etc to experience new york at christmas and new year. Thanks:-)
20090220094418AA8aXCt	Travel;Europe (Continental);Greece	Cyprus; north or south?	Im thinking of goin on a family holiday but not sure where in Cyprus to visit. Whats the difference between both sides..?I know souths greek and north is turkish. Is the north of cyprus like turkey?      :) Thanks
20090220093244AAySR7X	Travel;Air Travel	How safe do you think it is to fly in airplanes since 9-11?	and how do you feel when you fly?
20090220091027AAYR92Y	Travel;Africa & Middle East;Other - Africa & Middle East	What are the natural problems in zimbawe?	sorry if i spelt that wrong..   but yeah what are the problems.. like earthquake?? what else?
20090203071141AA1hK5i	Travel;United States;Chicago	Are there still Italians on 26th St. in Chicago?	N/A
20090203071316AAig6XD	Travel;Asia Pacific;Malaysia	If the safest place to save your money is in the bank, then where is the safest place to save perempuan ?	simpanan.
20090220094854AAPdJDu	Travel;Asia Pacific;Philippines	How would you feel if you gave a friend a lottery ticket... and then he wins A LOT of money with it?	Last week a friend of mine lost his wallet while jogging. What caused him to be depressed even more was the fact that inside his lost wallet were irreplacable pictures of his dead parents.   I didn't know what to do to help him, so I bought him 3 lottery tickets to cheer him up. He scratched the tickets and to my friggin surprise... he won ￡5,000!!! That's like 340,000 Philippine pesos!!!!   My jaw dropped to the floor when I saw him win it. Really it did, or at least it felt like it did.   As geniunely happy as I was for my friend's win, I still can't believe I had the chance to keep them damn tickets for myself.      Anyway, I guess he knows how I must be feeling. He decided to give me ￡500 from the prize. Oh great, now I'm the one who needs some cheering up.      How would you take it if this happened to you?
20090203063033AAYQerj	Travel;Europe (Continental);Other - Europe	What villages/towns/cities could i reach on a 4hr ish train journey form kiev ukraine ?	N/A
20090220085147AAwe62U	Travel;Asia Pacific;Taiwan	Is Taiwan a good place to live in?	I would like the live there when I have a nice career. Anyway, is it nice? I hear Taipei is dirty and not a very good place to live in. I would like to move in like a nice country side and near the city. Or if necessary, Taipei. Do they use Mandarin as there main language? The only form of chinese I could speak is Mandarin. Thank you~!   I live in New York, and I don't like it =[.
20090203072049AA7IHgM	Travel;Africa & Middle East;Saudi Arabia	When are you going to overthrown the corrupt Sauds?	How many more children must die before you get rid of these perverts who rule you?
20090203063906AADqXkS	Travel;Australia;Sydney	Australian Student Visa?	i have applied for student visa on 4 jan 2008 through online and passed my health test but still i have not heard anything from Australian high commission. My clases start on 7 feb just in 4 days from today 3feb. on high commision website it shows my application stil under process and i am worried if i wont get my visa with in 2 or 3 days university will not allow me start this intake. so what shall i do? also wht will australian hign commision mention on my passport if they can not issue visa on time?
20090203070438AANGBrN	Travel;Canada;Other - Canada	Is Canada a free country?	is Canada a free country like USA
20090203071825AAxaMCB	Travel;Africa & Middle East;Lebanon	Who is elissa's husband?	if there is any photograph depict the couple would be an advantage
20090220102339AAzwAIk	Travel;United Kingdom;Other - United Kingdom	What's the cheapest way to get to Penzance from Newquay Airport?	By bus, by rail, by taxi? Please give details.
20090220101005AAYVxN9	Travel;United Kingdom;Other - United Kingdom	Does anyone know of a bus service between Newquay Airport and Penzance or Lands End?	N/A
20090220090019AAESA3J	Travel;United States;Miami	How to book a tour through the florida everglades?	I would like to book a tour through the Florida everglades.  I cannot seem to find how to do that on the web.  Anyone have any good web sites for the florida everglades
20090220084547AAglWT7	Travel;Europe (Continental);Russia	I need to find a russian girl?	her name is Anna Andreva from Amur, Caxa Russia ?
20090220085109AAmOHzf	Travel;United States;Las Vegas	What are the best clubs in vegas?	With bottle service?
20090220085116AAzQsJ0	Travel;Asia Pacific;Japan	Hi, pls inform me how to go kasoni from bhimtaal,? where to stay in kasoni?.thans?	N/A
20090220085150AAxsJ0g	Travel;Canada;Other - Canada	What is life like in canada?	N/A
20090220085501AA3fgNT	Travel;United Kingdom;Other - United Kingdom	Anybody a ABDL out there in the UK?	Are there any ABDL groups in the UK?
20090220085714AA4EApH	Travel;United States;New York City	I am going to Brooklyn, Ny...what city and airport do I look for when booking my flight? Please Help me!!!?	N/A
20090220090459AAtc6lv	Travel;United States;San Antonio	Whats the best place to eat in Corpus christi?	Whats the best place to eat at in corpus christi oh and im not picky i just wanna eat at some nice restaurant for my B-Day
20090220085810AAUAnYz	Travel;United States;Other - United States	What does a VIP room cost at a Providence RI Night Club ?	Any clue ??
20090220090016AA4XCcO	Travel;Travel (General);Packing & Preparation	What to pack if your going to Florida in August?	I'm going to florida in august 2009, i have no idea about the weather :S so i dont no what type of clothes/accessories to pack! plus, i need to know what the latest fashions will be :) hope you can help.
20090220100019AAgfUFg	Travel;United States;Other - United States	Has anybody ever stayed in The Four Point Sheraton Hotel?	Me and My family are going abroad to Florida, we are stayin in The Four Point Sheraton Hotel on international drive. If anyone has any infomation on entertainment/quality etc. please let us know :)
