20090128210749AAF2URO	Cars & Transportation;Car Audio	What kind of door speakers ?	what kind of 6.5'' door speakers would go good with 2 kicker cvrs?   for around $100
20090128212904AASuZzd	Cars & Transportation;Maintenance & Repairs	I still have little heat in my truck!?	I flushed the cooling system. With proper porption of coolant. I have some heat, and the fan is blowing strong...there is absolutly no leaks on my floor board or anywhere on or buy the motor or radiator! and my windows dont fog up. I smell coolant from my vents but there is no leaks. My truck stays right at 190F. If it was my heater core I would have fogged windows and leaks on floor right? Or is my thermostat stuck half way open and maybe the housing is bad? Please help?
20090128212027AAwa4kS	Cars & Transportation;Car Makes;Dodge	I want to put a 3rd row seat in this 2005 Dodge Durango.  Is this possible?? Costs?	N/A
20090128211936AAG7pWB	Cars & Transportation;Car Makes;Dodge	I am considering buying a 2005 Dodge Durango...any comments on the durability?	N/A
20090128211959AAe80jC	Cars & Transportation;Maintenance & Repairs	Anyone know about how much it will cost to replace shock bushings?	A friend of mine is selling his 01 Jeep Grand Cherokee that is in pretty prime condition with the exception of the bushings.  2 out of the 4 shock bushings squeak when you go over bumps.  I'm considering buying it, but I was hoping someone could give me an idea of how much it should run me to replace.        Thanks in advance
20090128212833AAHMroS	Cars & Transportation;Car Makes;Ford	Battery question on s197 (05-09 mustang gt)?	how much voltage comes directly from the battery? is it a conventional 12v? enough for a remote turn on lead for an aftermarket amplifier? im running a + switched line from the battery to the amp with the blue wire. and everyone keeps giving me the same answer, "why not run it to an accessory wire inside the car?" which i refuse to do. there are so many wires and i have no clue which one is an accessory wire, thus all i need to know is will it turn the amp on from the battery? not the red + wire, not the black - wire, the blue one that turns the amp on. its a stock system. this is starting to anger me severely. couldve had this done a week ago if someone gave a direct answer to my question.
20090128212939AA1AbJg	Cars & Transportation;Car Makes;Mazda	Cant find parts for rx-7 (fc). help?	I cant find any performance parts for my fc Rx-7. ive searched all through ebay and didnt find anything thats actually good. i wanna start out with a nice full exhaust but the cheapest one i found is like $500. its a non turbo fc btw. any advice?
20090128214342AAUaMTE	Cars & Transportation;Boats & Boating	What weather stops you from departing marina?	N/A
20090128214259AAHUuqM	Cars & Transportation;Aircraft	How do i become a Flight attendant, where do i start?	How can i be a flight Attendant? where do i start? where should i apply?
20090128213850AAM3WBs	Cars & Transportation;Buying & Selling	Is my friend right or wrong?	Since I'm on social security disability and can't have money over 2000 bucks otherwise the government would stop supporting me.      I told my friend that I pay my mom 400 bucks a month to a point where she can get a car for me so I can learn how to drive and drive.      Well my friend said that I can just pick out a car and start making payments on it until I reach the total amount.      Ok cars aren't layaways so is my friend right?  If so how?   I'm 24
20090128214139AAPFtpG	Cars & Transportation;Insurance & Registration	HOW TO EXCHANGE A US DRIVER'S LICENSE TO A CANADIAN DRIVER'S LICENSE IN VANCOUVER?	I might move to Vancouver soon so i just wanted to know the procedures.      Thanks,   John
20090128213417AAoEgsZ	Cars & Transportation;Other - Cars & Transportation	A mechanic told me I need an axle because it's ripped, how much is it?	Price for a new one and price to replace it please.  It's 1991 Lexus Es250
20090128214049AAbHEvW	Cars & Transportation;Car Makes;BMW	Can anyone tell me were the battier is on my bmw 320d estate  on a 04 plate?	N/A
20090128214407AAHUPjS	Cars & Transportation;Commuting	Why do street lights go out every time i go under them?	Honestly every night when i am driving 2 or 3 lights go out when i drive under them. weather it is street lights or building lights.. they always do!!! WHYd does this happen!
20090128213723AAonWCq	Cars & Transportation;Car Audio	I just put in some leds for my brake lights. why do they flicker when the vehicle is completely off?	N/A
20090128213109AAtcCfQ	Cars & Transportation;Maintenance & Repairs	1986 escort tire wobble??	when i drive it down the road, it has a slight wheel wobble. i changed the fron control arms and tie rods, and now it doesnt jerk like it used to, but the wheel is still wobbly when u lift up the car and move it. i was told it might be a axle bearing? but i want a second opinion before i start pulling that thing apart in my cold garage.
20090128213206AAA56gB	Cars & Transportation;Car Audio	Colorful car cd deck?	I was looking for a car deck that is really colorful ad quite rare. One that you dont see in everyone elses car. Anyone know any brands/links?
20090128213340AAe3i85	Cars & Transportation;Aircraft	What is FAA & NTSB Accountability & Liability in Honest & Factual Report of Airbus 1549 Ditching in New York?!?	On January 15, 2009, at 3800 feet Airbus flight 1549 has lost both engines. Witnesses have reported to media huge blast & explosion. Pilot has reported birds hit just one minute before both engine failure. This video shows that Pilot arbitrary made false report assuming bird hit. Then pilot made several errors such as:   Pilot neglected to Land at the same airport;    Pilot did not order Life Rafts be opened;    Pilot made false bird hits report;   Pilot did NOT disclose the fact that On January 13, 2009, both Engines were STALL [Two days before Ditiching!);   Pilot puts lives of crew & passengers in danger by Ditching   FAA & NTSB must charge Pilot and his ATPL MUST be Suspended; if there is Law in USA or we have to trust to the following Video that USA is Lawless Land!      American Bullsits & Farts!    http://ca.youtube.com/watch?v=4EAd5h0KG6...       Major Keyvan Nourhaghighi   Senior Fighter Pilot   Flight Safety Officer   Canadian Hero in War against Governmental Corruption & Conspiracy!
20090128214110AAhcbHj	Cars & Transportation;Car Makes;Chevrolet	Will a supercharger ruin my transmission?	I have a 2007 chevy silverado 1500 that im going to put performance exhaust, performance tuner,cold air intake, and a procharger in it. Should I have too many worries about my transmission or anything else on the truck and how could I avoid these problems?
20090128214357AA4DqJ2	Cars & Transportation;Insurance & Registration	What's the average cost of car insurance for a 20 year old male?	I'm shopping around for car insurance and I'm trying to get an idea of what's average. I'm a 20 year old male living in Florida with no points on my license.
20090128215029AA1nb7n	Cars & Transportation;Maintenance & Repairs	1996 Dodge Neon "computer" part serial number PLEASE HELP!?	im trying to help fix a dodge neon, and the mechanic says he's missing a "computer" serial number and can't replace it with some random one. this computer apparently drives the electrical aspects of the car, and i need to find a replacement for it...the car had been in a crash, and the part of the computer box where the  numbers sticker was on broke OFF. this certain number has 4 digits i think, since box has 2 # sequences, and has the first one on top of the box, its the side one that he's missing   someone please help?!
20090128215305AAyy81i	Cars & Transportation;Car Makes;Ford	7.3L Diesel in a 1990 Bronco?	I have a full size 1990 bronco in great shape. I also have a low milage International 7.3L diesel engine and transmission in my shop. I was wondering if anyone has done a gas to diesel conversion in a Bronco lately. I am no stranger to conversions as I have done a few V6s to V8s in the last 20 years. I know what I'am up against, but is it worth the effort to make a Bronco diesel powered??
20090128215704AAXC8GH	Cars & Transportation;Other - Cars & Transportation	To where would you want a bridge or tunnel connection?	N/A
20090128220839AAPmhNs	Cars & Transportation;Maintenance & Repairs	It this true if you drive you car hard it will last longer?  Some people say it will clean your fuel injection?	It this true if you drive you car hard it will last longer?  Some people say it will clean your fuel injection and also the engine oil can move to all part of the engine is this true?
20090128222627AA82nQ7	Cars & Transportation;Car Makes;Honda	Honda Civic 2001 EX remote battery...?	I think my remote's batter ran out..how can i replace it? can i just buy the battery myself and put it in? what type of battery is it and where can you get it? thanks
20090128215505AAlDLXz	Cars & Transportation;Insurance & Registration	WHEN YOU CHANGE YOUR CANADIAN DRIVER'S LICENSE TO A JAPANESE LICENSE WHAT ARE THE PROCEDURES?	I was interested in going to Japan and my friend might even move there. We are from USA and i heard that if you have a Canadian license its easier to get through the procedures of changing license than if you had one from USA.   I want to know the process of this.    Thanks,  John
20090128222124AAe6rHx	Cars & Transportation;Car Makes;Ford	Where do I find the engine code for a 1979 Ford Ranchero?	My Ranchero has a 351 in it and I am trying to find out if it is a Windsor or Modified, 351w or 351m. I have been to the Motorcraft/Ford website and it does not support pre 81 vehicles. The sticker on the drivers door jam was painted over by the previous owner. I can read a few of the numbers on it, but not all or what they stand for.
20090128215242AA9PIjd	Cars & Transportation;Maintenance & Repairs	Getting a used car, what are important maintenance to do right when I get it?	Getting a 1999 Toyota Solara with 68,000 miles. Which ones do I need to do? Transmission filter/flush, Run Seafoam, change: spark plugs, fuel filter, water pump/ timing belts. Radiator flush, oil change. These are some ideas. I know if I run Seafoam I will need to do oil change and replace spark plugs. what would you do?
20090128220500AA85YEw	Cars & Transportation;Other - Cars & Transportation	What car you drive?????????????????	What auto giant purchased Land Rover, the last major auto manufacturer still run by Britons?
20090128220239AAEQpaD	Cars & Transportation;Other - Cars & Transportation	The car you drive$$$$$$$$$$$$$?	What former cabinet member pouted that he came off as "a slimeball" in Oliver Stone's film Nixon?
20090128215056AA9JKUB	Cars & Transportation;Car Makes;Jeep	Willys jeep top speed ?	I have a 48 cj-2a. What would be the top speed of my jeep without blowing gaskets? Preferably for highway and rural use. Thanks
20090128220031AAIVS9e	Cars & Transportation;Aircraft	Where can I find a scrap aircraft fuselage?	I'm currently doing a design project for the final year of my BA Architecture degree. The project is all about converting a disused barn into a home.       I'm really into an architectural design group called LOT-EK from New York, who take objects and turn them into something new. Some of their projects have included taking a set of four shipping containers and turning them into a house, turning an old tube tv into a standing light and creating a media room out of a cement mixer.      Inspired by this I am creating a loft style space within the timber framed barn, designing a set of bathrooms in an oil tanker trailer stood on its end in one part of the room. I wanted to do something similar for a bedroom space but For me the oil tanker is a little small for this...anyway...      Basically what I want to do instead is use an old section of aircraft fuselage to span the 5 metre width of the barn, and I wanted to know what is the best aircraft to use and where in the UK (purely as research) can you find scrap aircraft.      I'm looking for something with between 5 feet 10 and 6 feet clearance for a person to stand in. I've been told something called an SF340 matches that, but anymore suggestions are welcome.      Thankyou!
20090128220911AADubnl	Cars & Transportation;Other - Cars & Transportation	Do I need to tip car shipping guys?	I have a car that will arrive to my house tomorrow by a shipping company, do I need to tip the shipping guys like tipping a pizza delivery guy or a waiter?
20090128221501AAzROoE	Cars & Transportation;Maintenance & Repairs	How much would it cost to primer my car?	Ok I have a crappy paint job on my car and I put a new back bumper on the back...So now the back is white and the rest of the car is an ugly orangeish/red and what I want to do is just primer it for now. I want to know how much it would cost me to have it primered. And I also want to know how much it would cost if I were to do it myself.   Thanks in advance.
20090128215053AAaJkdZ	Cars & Transportation;Car Audio	Two Premier TS-W1207D2 or one 12 kicker l7?	my amp is mtx amp jh600 pushes 670 @2ohms any advice
20090128220524AAx8aJQ	Cars & Transportation;Maintenance & Repairs	What is the average height on raising suspension on a truck?	On each of these      1. The new Chevy Silverado 09 1500   2. The new Chevy Colorado 09   3. 1996 Chevy Z71 Silverado M8
20090128220325AAIEh8a	Cars & Transportation;Other - Cars & Transportation	What is a good Chevy i could use for mudding?	Im thinking:   1. The new Chevy Silverado 09 1500   2. The new Chevy Colorado 09   3. 1996 Chevy Z71 Silverado M8      or if you have a better truck please put it down. It has to be Chevy! Im going to raise the suspension also like 7 inches or more.
20090128220202AAvaLwh	Cars & Transportation;Car Makes;Chevrolet	What is a good Chevy that i could use for mudding?	Im thinking:  1. The new Chevy Silverado 09 1500  2. The new Chevy Colorado 09  3. 1996 Chevy Z71 Silverado M8    or if you have a better truck please put it down. It has to be Chevy! Im going to raise the suspension also like 7 inches or more.
20090128222315AAclSA6	Cars & Transportation;Maintenance & Repairs	Where is the schrader valve on a 1997 F150 V6?	I am trying to test the fuel pressure.  I don't think my fuel pump is turning on... thus it will crank but not turn over.  I checked the relay and fuse... they seem to be fine.
20090128221338AAsIYCO	Cars & Transportation;Maintenance & Repairs	Why is'nt the air conditioning from my car working well?	Iam not sure if my air conditioner is working well. Is it normal that on hot days it wont get cool enough? Sometimes i feel more comfortable taking it off on hot days cause instead of feeling cold air i feel hot air, but the weird thing is that at nights the air comes out very cold! Is this normal?? Im sure air conditioning needs to work on hot days, and it has to cool enough for us to feel good, but this isnt happening with my car, only at nights i can really say it gets very cold. Its a 2003 Jetta. What could be happening?
20090128220612AAVqIEz	Cars & Transportation;Maintenance & Repairs	Why isn't my car starting on the morning?	Hi, i have a jetta 2003, im having a small problem with the ignition, almost every morning when i put in the key and turn it on, the lights on the dashboard wont go on and neither will the engine start. I replaced the battery for a new one and the problem is still there. Im thinking maybe there is a false contact, i dont think its the alternator cause when the car starts it starts with no problem, but i have to like wait a while till the dashboard lights respond. What could be happening?? This only happens at morning time, and its kinda cold since i live on mountain area. please help!
20090128214755AA71CxY	Cars & Transportation;Car Makes;Chevrolet	Stock 2007 Chevy Silverado Transmission?	What is the type of stock transmission used in the 2007 silverado 1500 trucks? What brand is it?
20090128214739AA2XHDu	Cars & Transportation;Maintenance & Repairs	My car was stolen with the keys inside. Its been almost a week and no call. What could be happening to it?	I know people say chop shop but its a 2008. I do not think there is a demand for 2008 parts especially on a compeletly redone body style. Since the keys were inside I am hoping its not professionals. Has anyone ever had their car turn up several days or weeks later? Should I pay for a car I don't have to save my credit? I hope its in a lot where nobody is noticing its unclaimed. Pray for me I am thinking positive!
20090128214753AAu6UBK	Cars & Transportation;Insurance & Registration	How much does your insurance go up if a wreck isn't your fault?	If you get into a wreck that isn't your fault and the car is totaled, how much does your insurance go up?
20090128214905AAbYEFd	Cars & Transportation;Other - Cars & Transportation	How far will the average 6 cylinder car go on a full tank of gas?	Sometime last year the gas hand in my 99 Malibu stopped working. We realized this when I ran out of gas with the needle almost on full. So to make sure it doesn't happen again we simply set the meter for trip, and when it gets to around 200 fill it back up.      I know it's impossible to judge the exact distance because every make and model has different gas milage, but maybe someone has an estimated guess as to how many miles I would go before running out of gas.
20090128215320AAPdVvs	Cars & Transportation;Motorcycles	What are the requirement for registering motorcycle in California from that i bought in different states?	Someone please help?
20090128215620AAssWEu	Cars & Transportation;Car Makes;GMC	Have a 1994 Oldsmobile Cutlass Supreme Convertible. Have moved to LA, CA & hope someone knows a good mechanic.?	N/A
20090128215657AAunEA7	Cars & Transportation;Maintenance & Repairs	Honda civic question?	hi thanks to the people responding on my other post.   i have another question my back right rim does not site straight. the rim is push in at the front about 1inch its not the rim i already checked, i also check my arms and they dont look bent the only thing that i found problem was my hub is lose can this cause this problem.    Here is pic to help  http://i214.photobucket.com/albums/cc189... 
20090128215815AAyYzxp	Cars & Transportation;Maintenance & Repairs	Does a "service engine soon" light have anything to do with cold weather?	My check engine light came on for the first time ever today. Temps were below freezing and I had not started the car in two days. Could cold weather cause the light to come on? I also am overdue for an oil change. (Not THAT overdue though.)
20090128220834AAfFkL3	Cars & Transportation;Car Audio	How would i work in a power ranger show?	i am a fan of power ranger shows.specially of power ranger ninja strum n power ranger spd. but i am in india.is there any possibility to start this shows in india?
20090128223132AAGP5TA	Cars & Transportation;Car Audio	Which ones are better car speakers?	 http://cgi.ebay.com/NEW-PIONEER-TS-A1372...          or          http://cgi.ebay.com/ALPINE-SPS-13C2-5-25...          Also, for around the same price, would you recommend other speakers that are better?
20060620170433AAeXB4V	Cars & Transportation;Other - Cars & Transportation	IF you get a CDL in one state is it good in another state?	I am getting a CDL in texas, but i have a job offer in okla, it requires a CDL, but if i have one from Tx, will I need to get another in Okla?
20060925165133AAv2ljt	Cars & Transportation;Maintenance & Repairs	Volvo vacuum in the engine?	I have inherited a Volvo that when the engine is running, and you pull the oil fill cap , or dip stick there is a suction. Is this normal??
20060628112340AA6jlyd	Cars & Transportation;Car Makes;Honda	Who like their Honda Fit?	I just got one.  And it's pretty cool.
20090128230625AAAdDEh	Cars & Transportation;Car Audio	What car amplifier should I buy to power my DVC subwoofers?	I need to power two 8 inch polk audio subs. RMS power rating is 180 each. They are DVC 4 ohm subs. I was looking into a two channel amp to power them. If I bridge the 2 channel amp, should the rms power be 360 watts or less at 4 ohm?. I was planning on wiring the subs in a series off of the one amp. Am I correct with the power rating if the amplifier?
20060705124051AAt4GUP	Cars & Transportation;Other - Cars & Transportation	Do I need to remove prior window tint before retinting?	Do I have to remove the very light tint I already have on my windows if I want to make them darker or can I just put the new film over the old?  I'm gonna take it to a shop so how much might the removal cost?  I know that a tint (7 window) is gonna cost around $150....
20090128224914AAL3Vvt	Cars & Transportation;Car Makes;Tata	Any latest news about tata nano ?	N/A
20090225155244AA6IES9	Cars & Transportation;Car Makes;Ford	Can somebody pleaser show me where I can pick up FORD FIESTA Mark 1 (1979-85)?	Apart from Ebay, I just wanted to know where I can pick up this one beauty of a rare but a classy lady from :-) Ideally, I wanted the Supersport, but would accept the X series or a standard 1.2 - but it must be mint (or refurbished) especially the engine - thanks - Numark
20090225154011AAnPHnA	Cars & Transportation;Maintenance & Repairs	Engine repair 2003 chevy malibu?	just bought a car and took it to the mechanic for an over view and found out that the intake manifold gaskets are leaking coolant. what i wanna know is how much is it and does the pcv valve have anything to do with the car over heating? any info can help.      thanks
20090128225033AAdgQqV	Cars & Transportation;Other - Cars & Transportation	I have a car repo question?	my brother had his car repo'ed the other night and he had been making payments on the car, he was behind on the payments, but some $$ was still being sent. and he only owed 700$ on a 10,000$ loan. when he called the bank who he received the car loan from they said that he should've been getting letters but they had the wrong address......how did the repo guy find our house then?!?!?!!!      anyways, the lady from the bank told him the tow fee was 400$ on the phone, when we got to the bank to pay off the loan the tow fee was 667$, my brother wasnt too happy about it so she walked back to a room to "call" the tow place and quickly returned saying he would knock off 150$ from the tow fee.....   so my question is,  whats the deal with this tow fee?   400$ to 667$ to 517$. ?!   my brother wants his car back, but should it be the banks responsibility to pay it since they couldnt get the mail here, but they sure could get a repo guy here??!?!?!!      i have no idea about this stuff, other than you dont pay, it gets repoed, but its seeming kinda shysty to me.
20090128230358AAcXywZ	Cars & Transportation;Maintenance & Repairs	Gas Price is down, please answer me?	Well known that gas price is reduced from midnight.  Now, I am a customer of HP Gas.  Is it right they are insisting me to pay Rs.350/- today on 29th Jan.  What shall I do?
20090225155612AAje5my	Cars & Transportation;Car Makes;Chevrolet	How much for a good paint job?	I have an '84 Chevy C10 and I want to get it painted black. Something like a brilliant black. Can anyone tell me how much this typically costs, I don't want to get taken advantage of at the painters. Also, what would be the best paint to use, lacquer/enamel/metallic what are the pros and cons of them. I want it to show refections. The truck was recently painted before I purchased it, but its total crap. It has cracks in the clear, water doesn't bead on it. Thanks in advance.
20060812234630AAYSC25	Cars & Transportation;Other - Cars & Transportation	Car issue ?	i got this peice ******* car it looks very nice and all and sounded nice when i first got it ... well little to say i bought this car out of country and drove it back to my the country where i reside at ...and had nothing but heaps of trouble with it its a 99 car but i had older and better if u know what i mean the price was just under 4 grand so not to bad of a price but had it 2 mths and already gas gage went to crap on it ,power mirror stopped working,replaced brakes and rotors still havve a squeaky noise with other brakes that werent replaced , shimy in mfront end kinda .. now i am making payments and wonder what to do should i sell and pay off lein and can i do that ... since old owner wont give money back what should i do ... and would anyone else pay another payment before all these problems get fixed or what ? i wanna do the right think here but im so upset as i even sold my old car for downpayment on this car which was older but better in my opinion and payed for god im so dum
20090128231121AAtlhNZ	Cars & Transportation;Other - Cars & Transportation	How soon do they send you a traffic ticket?	when you get a traffic ticket how soon do they send it to you in the mail?   thanks
20090128231221AANrrSD	Cars & Transportation;Other - Cars & Transportation	How soon do they send you a traffic ticket?	when you get a traffic ticket how soon do they send it to you in the mail?  thanks
20090128231540AAFCdmT	Cars & Transportation;Commuting	Good and inexpensive limo services in escondido area?	Where do look to get the best deal on a limo for a night?   something nice but not too expensive.      or just a list of good inexpensive ones in SD escondido area.
20090128230626AAjYeua	Cars & Transportation;Car Makes;Jeep	99 Jeep wranlger 6cyl with 33" tires. What gear mods should i make to limit strain on my trans? ?	My 99 TJ has a small lift and 33" inch tires. I have read that this can lead to transmission strain and cause slipping. I need to know what to do with the gears to avoid any damage/lack of performance over time. Oh and it is an automatic with the 6cl 4.0L engine.
20090128222840AA6FxdL	Cars & Transportation;Motorcycles	Motorcycle helemet - best deal ?	Looking for a full-face sport bike helmet, what would you reccommend thats fairly cheap but nice quality ?    Would this be ok ?  http://www.rockheadbikes.com/Shoei_TZ_R_...       please post a link to the helmet if possible
20090128222828AAu7NJm	Cars & Transportation;Buying & Selling	How much could I ask for a 1997 Dodge Ram, short bed with cap, V8,5.2 Engine, Automatic?	My aunt and cousin are the only owners and whose names appear on the title. The truck has 104,500 miles. Part of the primer is falling off (again its 12 years old)in a small area of the hood.I know that the KBB can give me an idea, but what would be a fair price?
20090128222945AAXX67o	Cars & Transportation;Other - Cars & Transportation	Why bicycle not going backward even the pedal rotating in reverse direction?	N/A
20090128223815AAxB7lC	Cars & Transportation;Car Audio	Will a sub box from an ex. cab fit my crew cab silverado?	i want to buy a sub box to fit under the seat of my 2001 silverado crew cab   im buying it from a guy that had it under his 1999 silverado extended cab   they are the same body styles   but will the box fit?   please help thank you!!
20090128223914AAD53Av	Cars & Transportation;Car Makes;Acura	What is the 0-60 mph for a 2003 Acura rsx type-s and a 2007 Acura tl type-s?	Please go by reliable sites.
20090128224044AAc4F05	Cars & Transportation;Other - Cars & Transportation	I have pakistan internation licence?	i,ve int,l licence from pakistan and m on work visa also file is open for licence can i drive a car on int,l licence till that i did,t get the uae licence
20090225153355AAmCsti	Cars & Transportation;Buying & Selling	Need help buying car. thanks?	i want to buy a MG car, but my friend told me MG is Rover, and the company is bankcrupted, can any one tell me more about this? is it real?
20090225153403AAd2vwJ	Cars & Transportation;Insurance & Registration	Iam 26 and just got my learners permit to drive long story behide it but do i need insurance to drive my aunts?	my aunt goes thur allstate do i have to be on her policy to drive her car and can she add me with just my permit in arizona
20090225154006AAcHjfK	Cars & Transportation;Car Makes;Toyota	How much would a 2002 corolla hatchback cost with 200000km?	how much would u buy this car for?
20090225155404AAJ2yi4	Cars & Transportation;Motorcycles	My kawasaaki,gt 550 ,only fifering on 2 cylinders?	all plugs got good spark ,but i don't think no petrol getting 2 cylinders 1 and 3 ,the bike starts ok ,i cleaned carbs best i can ,all carbs fill with petrol ok ,so can it be something Else than the carb ,thank you fred
20090225160328AAv82jB	Cars & Transportation;Maintenance & Repairs	What causes torque steer?	N/A
20060707142037AAbjeIO	Cars & Transportation;Other - Cars & Transportation	Are there any classic car shows in Washington state?	N/A
20060825100118AA0DoHN	Cars & Transportation;Buying & Selling	What is currantly the best selling vehicle make in the US?	N/A
20060826103343AA9TT3o	Cars & Transportation;Maintenance & Repairs	2000 dodge neon...need advice?	I have a 2000 dodge neon without abs brakes. I am replacing the axle, and can only find an axle that fits a neon with abs brakes. Can this be used? Any advice would be appreciated!!
20060920164228AAFN5TP	Cars & Transportation;Maintenance & Repairs	How do I install an optimax-vsd strobe light unit?	N/A
20061007132538AAb0NPO	Cars & Transportation;Buying & Selling	Can some one help. I want to buy a Honda civic hatchback for less then $2000?	but i want to buy it from a private owner not a dealer or does any one knows a frind or some one that is selling one please help me i really wanna buy one
20061008122202AA4CRcY	Cars & Transportation;Buying & Selling	Blue Book Values for 2007Toyota Camry and Solara?	Does anyone know where I can find Kelly Blue Book or other official price guides for 2007 Toyota Camry XLEand Toyota Solara SE. KBB doesn't list ANY 2007 vehicle values. I need to sell my 2 Toyotas because we're moving andI'll be earning less $$$$ (and ALOT less stress). Thanks.
20061011224746AAdyW2M	Cars & Transportation;Maintenance & Repairs	Does a 2001 Toyota Corolla have the timing belt or timeing CHAIR?	Does a 2001 Toyota Corolla have the timing belt or timeing CHAIR?
20061019170149AAF1ou7	Cars & Transportation;Motorcycles	How's the performance of this 2006Honda CBR600cc,anyone got a view???	N/A
20090128224356AAutIyC	Cars & Transportation;Other - Cars & Transportation	What are the American Car Companies?	N/A
20090128224435AA6oFwf	Cars & Transportation;Insurance & Registration	Unisured driver at fault, who keeps the salvaged car?	hey guys, i've tried looking everywhere for the answer for this one, but it seems to have eluded me. I've recently had a car accident, and we forgot to buy insurance, my fault completely, and we were the driver at fault.      To settle it, we've agreed to pay the write-off or the lowest price to fix it. It seems to be heading along the way of a write off as the car is worth 4000-5000 and the repairs will cost me 4200 (at least), i just want to know when an insurance provider writes off your car they pay you their price that they think is fair, because we don't have those resources it will be decided by negotiation. If we pay the write off does that mean we can keep the other persons car for salvage? Thats what insurance providers do. Or is it negotiated?      If anyone has had similiar experiences please tell me what to do!       Thanks
20090128224742AAUvKLF	Cars & Transportation;Car Makes;Mercedes-Benz	What is 300 more than 500?	N/A
20090128224826AAGScaJ	Cars & Transportation;Maintenance & Repairs	Where can I get use car part cheaper.I needed a left side head light for a 2000 Chysher Town & country minivan?	Thanks if you could help out.
20090128225556AAx3kR9	Cars & Transportation;Other - Cars & Transportation	Do you have a 12v coffee mug ? Can u test if it can boil water for me ?	it uses 12V car outlet ...      THANKS
20090128225753AAakRub	Cars & Transportation;Car Audio	Suggestion wanted about car music system.?	Hai I am from India. I am planning 2 fix a music system for my santro xing. My budget is Rs.20000. Can u suggest me the best ones. One more thing how about the JBL 2 way amplifier.
20090128225801AAUBdyj	Cars & Transportation;Maintenance & Repairs	Car Airconditioning to be turned off when turning off a car?	I have heard a rumour that if i leave my a/c on when turning the car off that it will leave the valves of the compressor open and eventually ruin the air conditioning system.   Is this true?   Will i need to turn off my air con before turning the car off?      Thanks in advance,   Matt
20090128230228AAKmTAc	Cars & Transportation;Car Audio	What speakers should i choose?	i just installed some pioneer ts-a6980r 6x9 4 way speakers in the back of my galant. im wondering what kind of speakers i should put for the front? they are 6.5". should i go for 2 way, 3 way, or 4 way speakers? should i stick to the pioneer brand or look at other brands? thank you for your suggestions
