20090219223741AADRKKP	Yahoo! Products;Yahoo! Messenger;Preferences & Settings	When i change my avatar picture the display is still the same and it doesn't change?what will i do?	i cannot see the new display image on my avatar when i change it
20070802071306AAy6Rhq	Yahoo! Products;Yahoo! Answers	What did you dream?	I spend to much time on this, because my dream was I was on here, and I posted like one million questions. So what did you dream?
20070818071419AAG0r0d	Yahoo! Products;Other - Yahoo! Products	How do i get the history that was erased?	N/A
20070110105306AA1FteM	Yahoo! Products;Yahoo! Messenger;Problems with Service	Yahoo messengeer wont let me sign in.......?	Whats up with new yahoo messenger, i cant run 8.1, but i can run older versions. anybody??   im not sure what the deal is, but i was up all last nite tryna load the new yahoo messenger 8.1, and got no where, and ive tried to get the version i did have back n when i go to www.oldapps.com i get the 7.5 n still i cant sign in. so whats the difference in the new version that it wont run properly? or is it Yahoo it self?? does anyone know where i can get the old version back n have it work like it should???
20070110110025AAlJzYA	Yahoo! Products;Other - Yahoo! Products	How do I reach Customer Care?	N/A
20070110110244AAjVke0	Yahoo! Products;Other - Yahoo! Products	Has yahoo deleted chat rooms????	i was wanting to go in to chat rooms again and see if i could because last time i tried it was blocked to anyone not 18 so i decided i'd check & see but now there's no where to get in to a chat room so did yahoo delete chat rooms or is there a way to get in that i don't know about???? help please
20070110190027AAg1BfD	Yahoo! Products;Yahoo! Answers	I can't find my marriage license.  I was married in Philly.  Can I order one online?	N/A
20070126135623AAgFok7	Yahoo! Products;Other - Yahoo! Products	What should 'Yahoo' do with pointless, insulting members?	Don't know about you guys, but isn't this a bit like the 'channel 4 saga' with BB as the 'voice' for the conscientiously ignorant? When we report abuse do these guys get a 'three strikes and your out'??       What should we or Yahoo do with them? Or is 'Yahoo' really loving the controversy?
20070201171219AAK9r0J	Yahoo! Products;Other - Yahoo! Products	How can i find out my old yahoo password if i forgot my information i put?	like i cant remeber  my password for another account or my information
20070320130546AA9lZ5x	Yahoo! Products;Yahoo! Answers	How can I make sure people read my questions?	I'm kinda new. I've already posted a few questions, but I don't have any answers. How do I get my questions viewed?
20070406192057AAwYoMy	Yahoo! Products;Other - Yahoo! Products	A avatar named julia?	a avatar named julia that is blond with blue eyes
20070424104111AASZ988	Yahoo! Products;Yahoo! Answers	?que hacer con el ni?o que me gusta?	el ni?o que me gusta esta todo el tiempo enviandome indirectas, pero tiene novia y cuando ago algo en clase no me presta atencion, y los toques los responde despues de un largo rato, pero con su risa y la forma en que me mira me demuestra que le gusto ?que ago, le pido o paso? por que ? y si de verdad quiere a su novia?
20070429175907AA1Yvsc	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	How to you link differnt aim screen names togather?	so when you sign one if or something you can have like 3 other ones sign in too my friend does it and i dont know how he did it
20070513114742AAYWe8b	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	How do I stop error message telling me my ID and password do not match.?	it pops up every time I open yahoo email
20070513120243AABGUok	Yahoo! Products;Other - Yahoo! Products	How to save the yahoo as home page and save toolbar?	N/A
20070526200128AApaC7K	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	How do i get my web cam to work on my yahoo messanger, it keeps saying i am behind a fire wall?	N/A
20070618212636AA6HUtE	Yahoo! Products;Other - Yahoo! Products	Yahoo keeps asking me to resign in every 5 minutes. How can I stop this?	N/A
20070618220352AAbx9Gb	Yahoo! Products;Yahoo! Mail;Spam & Bulk Mail	Is there any way to know someone's yahoo Id password.?	is there any way to know someone's yahoo Id password.
20070724094429AAXgv6H	Yahoo! Products;Other - Yahoo! Products	Link para leer los resumenes de Madre Luna?	Alguien que me pase el link para leer los resúmenes completos de Madre Luna, no los videos, los resúmenes, para cuando no la pueda ver. Gracias, bye.
20070730105012AAvIS1U	Yahoo! Products;My Yahoo!	Como cancelo mi cuenta en yahoo?????	N/A
20070730115333AA1i5eO	Yahoo! Products;My Yahoo!	?Como puedo cambiar mi nombe y apellido en esta cuenta?	N/A
20070805100350AAQ1QnV	Yahoo! Products;Yahoo! Music	Expertos de musica en todos los generos 10 puntos al que reponda?	alguien sabe como desde ares puede descargar estas pistas o desde donde.      1o- letra es asi....   los cien a?os de macongo suenan suenan en el aire y los a?os de gabriel trompetas trompetas lo anuncian.   encadenado a macongo sue?a con jose arcandio y ante el la vida va pasando remolinos de recuerdos....      2o- maria antonia es la ventera mas linda que he conosido tiene una tienda de besos al ortro lado de el rio, por donde boy todo los dias a comprarle a maria sus besos al por mayor.      3o- se olle en la noche un cantar en el remanso de el rio, de un boga que sin llorar abandono el platanar su mujer y su boigo.      es musica colombiana,.         si saben de todos modos quien la tiene les dejo mi correo me urge.      abba-_-yudan@hotmail.com      abba_yudan@yahoo.com.mx      atente:   el gran yudan
20070808150605AAZVjSy	Yahoo! Products;Other - Yahoo! Products	Como cancelo mi cuenta en yahoo.es?	N/A
20070808152052AAHgpN3	Yahoo! Products;My Yahoo!	Creo quee me esta gustando un amigo qu hago?	N/A
20070809051952AAQhq5p	Yahoo! Products;Other - Yahoo! Products	Cual es la cancion del verano?	N/A
20070906123924AAMM7TN	Yahoo! Products;Yahoo! Answers	Porque cada vez que formulo una pregunta en YR me quitan 5 puntos?	N/A
20071016143329AAcN3Q8	Yahoo! Products;Other - Yahoo! Products	Celebrar Halloween Significa Alavar y celebrarle al Diablo, o no  URGENTE!!!!?	tengo esa duda       10 Puntitos
20070920185856AA6mnoJ	Yahoo! Products;Other - Yahoo! Products	?PORQUE MI PROFESOR HACE ESTO? que asco, como lo encuentras tu?	mi profesor de matematicas se tira eruptos a huevos podridos       ?que opinas, a mi me da asco?
20071014220528AAOkp46	Yahoo! Products;Yahoo! Message Boards;Other - Yahoo! Message Boards	?Cambió la letra de Yahoo?	Veo todo chiquito.
20070908233710AA4NP9S	Yahoo! Products;Yahoo! Answers	?El  número uno en yahoo puedes ser tú si lo usas éticamente?	N/A
20071005175515AADdZ1p	Yahoo! Products;Yahoo! Answers	?hay algo peor en este foro que recibir una sola respuesta a tus preguntas?	Note que varias personas se alejaron argumentando esto... las preguntas mas bobas son las que mas respuestas tinen?
20070921212309AAaABQd	Yahoo! Products;Yahoo! Answers	Por que pemitenen YR??	Porque permiten, que otros usuarios se pongan el mismo nombre de uno, sol, y recien entro soL'*, esta mal, porque muchos por ahi no se dan cuenta que yo no soy, y de repente dice algo ofensivo, o no, y piensan que soy yo.Si se me permitio ponerme sol, es que no habia otro, sino hubiera elegido otro nick.Esta mal, muy mal.Que dicen??
20071016083321AACb0UO	Yahoo! Products;Yahoo! Answers	Por qué las preguntas de los famosos reciben tantas estrellas...?	Si hay usuarios desconocidos que hacen preguntas tanto o más interesantes!!!!
20080119123723AAvyBT5	Yahoo! Products;Yahoo! Answers	Cual es el usuario de yahoo respuestas que es tu inspiracion?	aquel que te hace salir mas respuestas de la cabeza y que   siempre congenias con las preguntas
20070922085212AAinZDs	Yahoo! Products;Yahoo! Answers	En YAHOO  respuestas hay muchas secciones cual te gusta mas y en cuales trabajas mas y por que?	a mi me gusta HUMOR por que me eleva mi coeficiente estrellas  me gusta salud natural por que es lo mio  y me gusta trivia por que son (pendejadas) esa es mi personalidad
20090103160406AAfdaTf	Yahoo! Products;Yahoo! Answers	Defina a palavra amor com uma só palavra?	Um beijo a todos vocês !
20070921081631AAQRjaw	Yahoo! Products;Yahoo! Answers	Si a alguien en Yahoo! Respuestas no le gusta tu avatar, lo puede eliminar???	Mi avatar No es ofensivo.
20071008122847AAAzmZ1	Yahoo! Products;Other - Yahoo! Products	Que es lo que buscas en YR en este momento.?	N/A
20071009150829AAAHiLq	Yahoo! Products;Yahoo! Answers	Porque la mayoria de los "colaboradores destacados" contestan brutamente?	Si checan la mayoria de las respuestas de los "colaboradores destacados" son "no se", "ni idea", "xxxxxx"
20070919114119AAeGiFr	Yahoo! Products;Yahoo! Answers	Como puedo ver mis estrellas?	O las preguntas estrellas.      Espero todas sus respuestas
20070925152556AALzV4D	Yahoo! Products;Yahoo! Answers	?Por que yahoo borra las cosas que no comparte ideologicamente?	Como buen material anti-patria o sobre ateísmo?
20071105134245AAO21LD	Yahoo! Products;Yahoo! Answers	Por que perdi cuatro puntos ?	no pregunte nada, no lo se si pierdes puntos por que te dieron puntacion baja o un abuso.
20080708123602AAhbafv	Yahoo! Products;Yahoo! Answers	How do you???	go to this page:  http://answers.yahoo.com/question/index?...       look at the ninth persons answer down. see his name?? how do u make that diamond? and i have seen people make hearts like that, and music notes...how do u do those types of things?? any help is greatly appreciated!! thx!!
20090219141756AAKgCqZ	Yahoo! Products;Other - Yahoo! Products	How can i answear a questian in yahoo answear?	N/A
20070919071147AAZDLWX	Yahoo! Products;Yahoo! Answers	Me apareció un cartel que dice:...?	"lo sentimos, acá no hay más preguntitas, porque no arrojas una tú. "   o algo así,  fue cuando apreté el botónresponder de YR...quées..?   les pasó ya..?
20070929084758AAdgJFe	Yahoo! Products;Yahoo! Answers	Pq as perguntas além de poder receber estrelas n?o podem receber "burrinhos"tbem?!!?	Sim! As perguntas poderiam vir com estrelinhas e burrinhos a ser adicionados!!! Assim nós dariamos varios "burrinhos"as perguntas mais imbecis já vista no YR! , que alias tem sido muitas....Seria muito engra?ado , poderiamos procurar as perguntas por numero de burrinhos...dariamos boas risadas, e quem sabe come?ariam a pensar duas vezes antes de perguntar qualuqer coisa ....
20071110075739AAEFeyQ	Yahoo! Products;Yahoo! Answers	Como le quito la estrellita?	Algunas preguntas que marque como interesante hace mucho y que ya no me parecen tan interesantes, ??como podría quitarles la estrellita???   ayuda es que no quiero tener tantas en mis favoritas ?como hago?   Saludos, byee!!
20071003051623AAk2GDv	Yahoo! Products;Yahoo! Answers	Como te parece la nueva forma de ver las preguntas aqui en YR?	N/A
20070923081543AAW6QIE	Yahoo! Products;Yahoo! Answers	Borrar preguntas?	existen maneras de borrar pregutnas?
20070926095302AAwQGhe	Yahoo! Products;Yahoo! Answers	Alguien piensa como yo, que las respuestas muy muy largas causan fastidio .?	Me parece que no es necesario, la respuesta concisa y clara es la mejor, sino se puede indicar donde encontrar mas informacion.
20070919121800AA7FVqs	Yahoo! Products;Yahoo! Answers	Por qué los hombres lindos o son narcos, o son gays?	N/A
20070908212051AA2B2j7	Yahoo! Products;Yahoo! Answers	Expliquenme el xq no.....?	puedo pasar del segundo nivel?? tengo un puntaje total de 440, aparte cada vez q hago una pregunta me dice "Alerta XX y entre parentesis tengo (-5) o algo asi....xq me sale eso?
20071230175702AA2ZhDb	Yahoo! Products;Yahoo! Answers	Hay una pregunta que tenga mas de 1000 respuestas?	me podrian pasar el link porfavor.
20071002160816AAA2PEa	Yahoo! Products;Yahoo! Answers	Como hago para cambiar la imagen de mi usuario?	N/A
20080103142013AAxXHtz	Yahoo! Products;Yahoo! Answers	Cual es el usuario mas joven de YR?	Cual es el usuario mas joven que han visto en YR.      Que edad tenía?      Y El mas mayor?
20080109135759AA3aM8G	Yahoo! Products;Yahoo! Answers	Que injusto es esto.?	por quelos que tienen un nivel alto aqui he visto que respondieron muchas preguntas pero su respuesta es si o no en vez de dar un buen y amplio consejo como muchos lo hacemos y ellos solo por sumar puntos
20071013074623AACM1Fn	Yahoo! Products;Other - Yahoo! Products	Como puedo comunicarme con un usuario de yahoo respuestas que no permite e-mails ni messenger?	N/A
20080104171548AAegjWI	Yahoo! Products;Yahoo! Answers	Cantidad de usuarios registrados aqui?	Tambien me gustaria saber q opinan de yahoo resp.
20070910123643AAr4Bep	Yahoo! Products;Yahoo! Answers	Porque? entro y me quitan 4 puntos?	ahora entre y me dijeron alerta perdistes 4 puntos porque?
20071002144930AAzqtBz	Yahoo! Products;Other - Yahoo! Products	Ayuda con el avatar!!!!!!????	Necesito que alguien me diga por que no puedo personalisar mi avatar de yahoo respuestas. cuando realizo cambios solo se cambia en mi correo y en mi msn pero el de yahoo resp. sigue siendo el viejo.   Alguien me ayuda???   Se lo agradeseria bastante. son 10 puntos!!!!
20070926111257AA7gJaU	Yahoo! Products;Yahoo! Answers	Por que no aparece mi nuevo avatar?	Actualicé el look de mi avatar pero no aparece! Cuando voy a edutar perfil se ve el nuevo, pero me sigue apareciendo el viejo, como puede ser?      ustedes que ven?
20070921132732AA2pyG2	Yahoo! Products;Other - Yahoo! Products	Que de divertido tiene el YAHOO RESPUESTAS?	Al principio pense que no serbia, pero despues me di cuenta que hay bastante gente, respondiendo sobre todo.! pero hasta ahora no encuentro lo divertido. hay algo mas?
20070908201714AAdIJPi	Yahoo! Products;Other - Yahoo! Products	Acerca de yahoo?	hola cada que pregunto algo me sale -5 puntos me podrin ayudar
20081117082038AAlCvrC	Yahoo! Products;Yahoo! Shopping	If something was $50 in american money, Would it be ￡25 in the UK?	Is the english price always HALF of the american price? If it isn't, then how do i know how much something is in English money?   Also...Can i order off this website in the UK?    http://www.playboystore.com/index.php 
20070924174825AATPPtN	Yahoo! Products;Yahoo! Answers	Porque muchos usuarios de YR tratan de contradecir nuestras preguntas?	Por ejemplo la semana pasada pregunte algo acerca de mi celular y escribi la marca y el modelo y alguien me contesto "no sirve ese celular es muy chafa comprate uno q sirva" y no es la primera vez, pero pues yo siempre trato de respetar a los usuarios y nunca doy ese tipo de comentarios.   Gracias x sus respuestas
20070921131929AA9HDQX	Yahoo! Products;My Yahoo!	Ayuda con mi avatar..     ...diez puntos..?	Vamos a ver   yo tengo otra sesion en yahoo answers no?   Pues resulta que en esa otra tengo un avatar   Y lo queria cambiar y me lo hice y lo guarde      pero siempre me sale el anterior   alguien me podria ayudar?
20070909053002AANJxg7	Yahoo! Products;Yahoo! Answers	Sobre redes privadas ?	Por qué son privadas y hacen  o contestan pregunta si tu no puedes acceder a ellos?
20070909122039AAoJHlM	Yahoo! Products;Yahoo! Mobile;Other - Yahoo! Mobile	Tienes acceso a yahoo móvil?	N/A
20070910104701AAtj1Kj	Yahoo! Products;Other - Yahoo! Products	Hola no soy nuevo alguien me puede explicar...?	mi anterior apodo era EL LOCO y me suspendieron la cuenta alguien me puede explicar por que si no viole ninguna norma de seguridad   ahora tengo que empezar de nuevo   ya perdi los contactos y amigos que habia hecho, espero que me encuentren y yo los encuentre
20070910133640AAGVG7n	Yahoo! Products;Yahoo! Answers	Haces preguntas, porque buscas conocimientos. O porque quieres puntos?	Me dio curiosidad de leer.  Las preguntas y respuestas que se formulan aqui.Y veo  muchas preguntas sin fundamentos y muchas respuestas vanas. Las cuales las eligen como la mejor, habiendo respuestas dadas mas inteligentes.   Es una seccion muy interesante para aprender. Los unos de los otros   Entonces me gustaria saber sus opiniones sobre el porque ustedes realmente usan este site. Si es para entretenerse o realmente es para instruirse.      Espero sus respuestas. Honestidad por favor.
20070919141912AAthPys	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	Pueden ayudar x favor akontestar lo siguiente?	?Qué actor/actriz presentó Los Premios en 2003?         3. ?Por qué se canceló la ceremonia en 2005?         4. ?Quién NO actuará en Los Premios MTV 2007?             5. ?Qué artista gano el premio al mejor video del a?o en 2006?             6. ?Quién ganó el premio a la mejor canción del a?o en 2006?       7. ?En qué ciudad se celebraron las tres primeras ediciones?          8. ?Qué artista de México presentó el evento en 2004?         9. ?En qué mes se celebra este a?o Los Premios MTV 2007?         10. ?Quién ganó el mejor artista nuevo internacional en 2006?
20070920112018AAlwUHs	Yahoo! Products;Yahoo! Answers	Tengo un ipot pero no puedo gravar videos o musica en el desde windows media player (vista)?	abro windows media player luego boy a sync boy a open abro la carpeta que deseo agregar , aparese en la bentana pero no puedo porque la occion de start sync no esta actibada
20070921020909AAanTl5	Yahoo! Products;Yahoo! Answers	Que puedes hacer cuando preguntas y te insultan?	Quizás sea ignorante de la vida esa persona, porque tiene que estar respondiendo con insultos?. EH "EL VERGONZOSO" Habría que ver quien es el IDI.OTA.
20070921091942AAj33RT	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	?como puedo cambiar la direccion de el correo de yahoo?	N/A
20070921140834AAi9sWt	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	Como le cambio la contrase?a a mi correo electrónico?	N/A
20070921193937AAyIiAb	Yahoo! Products;Yahoo! Answers	Cómo hago para poner la sombra femenina en lugar de la que aparece?	N/A
20070922180312AADJUVw	Yahoo! Products;Yahoo! Answers	Paso mucho tiempo en Yahoo Respuestas ?Podrían poner un fondo de pantalla menos brillante que BLANCO?	La verdad es que paso mucho tiempo en Yahoo Respuestas.      Por lo que he notado que el fondo de pantalla BLANCO es muy brillante y da?oso para la vista sobre todo en las noches que uno esta navegando.      Considerando que en ocasiones la única página que navego es Yahoo Respuestas, podrian aceptar una sugerencia?      Pongan por favor un color de fondo mas agradable o menos brillante que el BLANCO      ?Que color propondrían para fondo de pantalla que no lastime tanto?      ?Alguien de Yahoo Respuestas podría recibir esta sugerencia?      GRACIAS
20070922155155AAkqjxs	Yahoo! Products;Other - Yahoo! Products	Tengo otro id y me gustaria borarlo, se puede hacer y como lo hago?	N/A
20070923164645AAQJdYe	Yahoo! Products;Yahoo! Answers	Como evitar que siguen mandando mensajes en mi correo electronico de promociones?	N/A
20070924084358AAdnJO5	Yahoo! Products;Yahoo! Answers	Hola, estoy deseando contestar a las personas que han respondido a mi pregunta y no sé cómo.?	N/A
20070924153601AADOVyI	Yahoo! Products;Yahoo! Answers	?Porque me sale reportalo cuando contesto preguntas?	N/A
20070924164806AAIF13Z	Yahoo! Products;Yahoo! Answers	Oigan todos como cambio mi avatar??	N/A
20071003074201AASQAtB	Yahoo! Products;Yahoo! Answers	No hay nadie respondiendo aqui. ?Quieres ser el primero en responder?	N/A
20071007053154AAFqoLM	Yahoo! Products;Yahoo! Answers	Cuantas mejores respuestas en una seccion necesito para ser colaborador destacado??	N/A
20071011165219AAJZN8Z	Yahoo! Products;My Yahoo!	Por que no me pueden responder mis preguntas?	expliquenme como le ago para que puedan responder mis preguntas
20071105104926AATH1Ml	Yahoo! Products;Yahoo! Answers	Como se consiguen niveles aqui?	quiero subir de nivelllllllll.
20071223164051AARBg31	Yahoo! Products;Yahoo! Answers	?cual ha sido tu peor cumplea?os?	N/A
20080104163249AAY7e0w	Yahoo! Products;Yahoo! Answers	Perdon....!!!!!!?	La negra de mi hermana denuncio abusos en algunas preguntas q estaban bien hechas perdonen pues yo le bloquie la maquina y ahora no puede usar YR jeje mil disculpás si quieren pueden descontarme puntos a mi
20080103140233AAkjBxX	Yahoo! Products;Yahoo! Music	?Te gustaria una radio en la que solo escuches hip hop, r&b y rap?.. y algo de reggaeton?	Soy de Ecuador, Guayaquil, y aqui no hay una emisora con ese tipo de musica, mi idea es.. 90% musica hip hop, r&b, rap, el 5% de musica dance, electronica y el otro 5% britpop alternative y pop.... quisiera empezar este proyecto que tengo  en mente,... que opinan ustedes? les agrada...?,  ah otra cosas algun programa para hacer jingles musicales??? que sea gratuito gracias....
20080104201521AAgUGA6	Yahoo! Products;Yahoo! Answers	SOS.como hago???????	porfi!!!!!!podrian decirme como dar de baja un correo yahoo.   gracias.
20080108175929AAZcNyK	Yahoo! Products;Yahoo! Answers	X k te kitan 5 puntos kaundo haces una pregunta???..no t deberian dar ni kitar...puntos?	doooooooooooop .....ya perdi 5 puntos
20080220050856AAmuDWC	Yahoo! Products;Yahoo! Answers	De que religion eres?	yo soy nordico es decir vikingo, y tu?
20080708180915AA1K3n5	Yahoo! Products;Yahoo! Messenger;Preferences & Settings	Change nick name?	How do you change your Aviators name?
20081004002632AA0hdsj	Yahoo! Products;Yahoo! Search	How can I wipe history in my address bar at top of page?	Could anyone please tell me how you wipe the sites that you've been on from the address bar. My man does it when he's been peeking at the porn sites. Unknown to him, I know how to see the history in the sidebar. However, I have no idea how he wipes that! Cheers.
20081006203742AASuaIg	Yahoo! Products;Yahoo! Answers	How do I log on to Yahoo Answers?	How does one log on to Yahoo Answers?
20081012192817AAb5kR7	Yahoo! Products;Yahoo! Answers	Why won't anyone answer my questions?	N/A
20081103165539AA9NUSO	Yahoo! Products;Yahoo! Answers	Are you sick of people posting insulting election questions just to get a rise out of people?	N/A
20081114053525AA9HjAf	Yahoo! Products;Yahoo! Mail;Attachments & Photos	Error message that keeps showing?	How do I get rid of error message which keeps appearing - Could not find find the file "Flash.ocx"
20090219054400AAtnJwZ	Yahoo! Products;Yahoo! Small Business;Yahoo! Web Hosting	HOW TO ACCESS YAHOO WEB HOSTING ACCOUNT THROUGH SSH CLIENT I HAVE TRIED MANY LIKE PuTTY BUT UNSUCCESSFUL HELP?	N/A
20090220025220AADzK4k	Yahoo! Products;Yahoo! Answers	How do you make your Answers Q&A private?	and how do you change your display name?
20090220012736AAJ2UQJ	Yahoo! Products;Yahoo! Answers	Can anyone tell me why my question was deleted?	I asked a question about a pain I was getting in my head.      "i keep getting a pain in my head when I look with my eye, and its worse at night, any ideas whats causing this or how to stop it ? "       I got 2 answers and then yesterday I logged and saw it says it was removed. They didn't email to say why. Do you think this will just be down to bogus reports ?
20090203122012AAAN2UR	Yahoo! Products;Yahoo! Answers	What have you recieved an award for?	I have to make up an award certificate (for a grade... it will be fake) but i don't know what to do it on. so have you ever won an award like for scholastic Excellence outstanding athletic ability or casual or sporty event. i need details plz and thank you. i was thinking of doing a girl scout one. like  "I SOLD THE MOST BROWNIES" LOL jk well maybe it will come to that! need great ideas!!!
20090203121323AAxNKDA	Yahoo! Products;Yahoo! Mail;Attachments & Photos	Rate this picture please...?	 http://i156.photobucket.com/albums/t27/t... 
20090220013527AAlIyS3	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	Invalid user name or password?	When i try to log in into yahoo it says invalid user name or password. I tried 3 different yahoo accounts one worked fine other two didn't. It happened yesterday and today also. After about 1 hour the accounts started working fine. What is wrong with yahoo. Are they feeling the pinch of recession by this way.
20090220012409AAGFRso	Yahoo! Products;Yahoo! 360	If I get suspended does my 360 get deleted as well?	I have two 360's because i thought everything on my Y!A would get suspended as well(flickr,360 etc etc)      Thank you   :)
20090220015430AAOaXAw	Yahoo! Products;Yahoo! Answers	I want to put more than one category on my question.how?	when will YA enable this type of option.no i don't want to ask them so keep your url address . there are times when i can use to do this , especialy on those govt. ones. parables !
20090219224640AAMb0S8	Yahoo! Products;Yahoo! Messenger;Voice Calls	High pitched voice???	i have a high pitched voice and sometimes my friends mimic me..is there anything i can do to make it like a normal teenage girls voice
20090220005900AAC95mD	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	How can i view both my yahoo emails without having to log out?	i have a separate email account that i send bills to but i have to log out of yahoo to view or even check oif i have any. can i just add a prompt to my yahoo page?
20090220015959AAiwcdE	Yahoo! Products;Yahoo! Mail;Spam & Bulk Mail	I am being inundated with offencive emails?	Please, how, apart from changing my address can I stop them. I do not open them
20090203115827AAr1St2	Yahoo! Products;Yahoo! Answers	Ive been looking for the best question award and i think ive thought of one?	If you can gain one feature or quality that an animal has what would it be?   Avoid the obvious - Cheetah -Fast, Bird - Fly       Be Creative!      Even though im looking for best question im looking for a 'best answer' to go with it :D
20090203115850AAikR92	Yahoo! Products;Yahoo! Answers	10 POINT QUESTION Everyone is welcome to answer?	What does to strain at a gnat means?
20090203121538AAVtLDE	Yahoo! Products;Yahoo! Mail;Personalization	Your picture on your avatar?	How do i put my picture as my avatar?
20090220005107AAherRS	Yahoo! Products;Yahoo! Answers	Why does almost no one use proper grammar here on Y!A?	Is it because they are lazy? Is it because they think it looks cool? Or is it just because they are ignorant and can't spell?      Follow up question: When you see a question like that (one that looks like a retarded ape typed it), do you find yourself not even reading it because you can't even understand what the heck they are trying to ask?      I just want to see if anyone else agrees with me that the younger generation seems to be de-evolving.
20090220015613AAySK2j	Yahoo! Products;Yahoo! Mail;Address Book & Calendar	How do I answer a question of a person that I've added to my contact list?	N/A
20090203120754AAjDnnE	Yahoo! Products;Yahoo! Answers	A violation in a question?	I'm getting a little annoyed.   I've posted 3 questions asking   "What do you think of my polyvore sets"   and the links for the sets.   What do they keep getting deleted because of a violation?
