20090220072842AAGP4V1	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	How can you tell if there faking it ???	you know what i mean.
20090220073324AAU84Iy	Society & Culture;Languages	Can Some One Translate this Message for me In Japanese?	"Hello.       I've just been told that you are not going to be able to come.   Is that right?   If it's not too much to ask can I know why?   I'm a little sad but I understand. "      I would like this translated so can someone please translate this in Japanese? I would be most grateful.
20090220073545AAr5Iyx	Society & Culture;Languages	How to say this in German?	***for native German speakers or persons with good command of German - no automatic translations, please***      How would you say in German:      "Please understand that in any case we will still have to pay our rent in Chicago until May inclusive (3 months)."      Thank you,   alpha
20090220073628AAePbUD	Society & Culture;Languages	Do lawyers need a standard accent such as the Oxford one?	Do accents really matter if a lawyer manages to express what is in his mind clearly in clear terms in their original accent?      I believe there have to be lawyers in every different part of the UK. The trouble is that Britons coming from different part of the UK should have different accents, among which some might be considered bad. Some might say Scottish accent is not a good one. Some other might say cockney accent sometimes is unintelligible even to native speakers. Do lawyers need a so-called standard accent? If they don't need any, will a standard accent such as the Oxford one do any good?
20090220073654AAKoXUN	Society & Culture;Other - Society & Culture	What is life in texas like?	My dad lost his job a year ago and this year he decided that we are gonna go live in texas? and i am just wondering what it is like over there, like is there a lot of job openings, is stuff really expensive, etc.
20090220074248AAtuNGy	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	A question for gay people?	This is something I've wondered for a long time.  If a man likes men, why would he go for the feminine type?  It seems to me that if a man likes men rather than women, the very thing that would compel him to choose the masculine gender would cause him to prefer a manly man rather than one that has feminine mannerisms and/or appearance.        And the same goes for lesbians.  I know there are many lesbians who are very feminine, but I'm referring to the butch types and the women who love them.  If you're attracted to a woman that is unusually masculine, why do you like women at all rather than men?
20090220074645AAnS82U	Society & Culture;Religion & Spirituality	What does 'Awana' mean?	I've seen it at Churches (not the Chicken Joint) and what not. What does it mean?
20090220074720AADvf6l	Society & Culture;Religion & Spirituality	Should Christians give 10% to the Levites?	N/A
20090220074105AAMkRqH	Society & Culture;Religion & Spirituality	Is it OK if we don't worship on the sabbath?	N/A
20090220074837AA3HiMI	Society & Culture;Holidays;Ramadan	Why did Hope clone the afghani kid and hurl racist abuse and every1 yesterday?	WHYYYYYYYYYYYYYYYY
20090220074102AA64fR4	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	How do you react to an insult ?	N/A
20090220074157AAaG9aL	Society & Culture;Other - Society & Culture	Is Canadian culture closer to that of the United States', United Kingdom's, some variation of the two, or…?	… is it independent from both the UK's and US's cultures? Is it closer to the US's, UK's, a variant of the two, or is it independent from both the UK's and US's cultures?      PS Are most Canadians, with an emphasis on 18-30 year olds, able to speak both Canadian English, and Canadian French?
20090220074004AALWfQa	Society & Culture;Languages	Which forum do you go ?	I would like to find an other forum where go because I want to improve my English . Can you help me ? Where do you go ?
20090220074057AAGQrTF	Society & Culture;Religion & Spirituality	I've been assigned to study the leading causes of FAIL.  What should I do?	N/A
20090220074657AAfP1SD	Society & Culture;Religion & Spirituality	Christians: Please don't spoil my day?	I am miles away and after all i am only sleeping.
20090220074248AAwoZiP	Society & Culture;Etiquette	How to you tell someone that you don't enjoy someone's company?	It's like this..when ever i visit my friend, this guy who i really really hate (very troublesome to me) is there. When i wanna talk about some stuff with my friend, or just chill out with him, i cant because of that guy i hate. But we never show our hate in front of our friend. When I go to his room, and see this guy there, i feel like leaving instantly (whats the point of wasting my time there?), but my friend is like "come one stay man...whats the problem?". Once he even asked "you're ok with him right?"      What should I do?   please don't tell me to reconcile with that guy...it's not possible.         PS:   he asks me this stuff when the other guy i hate is around...in front of him.   what should i do/say in front of him?
20090220074135AACKL2E	Society & Culture;Religion & Spirituality	Soldiers of Christ, why do Christ and God both seem to be A.W.O.L.?	Many people have had their spiritual reveille, yet neither seem to answer the summons, despite their best efforts to be penitent and humble before Them.      Why are they absent in times of great need for so many people?
20090220074519AADNHUx	Society & Culture;Etiquette	Why (i am not being racist)?	(i am not being racist)    why ist you call people from Britain Brits and people from australer auses (cant spell it) (other countries)  but it offences if you call someone from packisatn packies (this goes for other conutries like that)   i am not being raceist just making a point someone i know brought up.
20090220074106AABPL5Y	Society & Culture;Other - Society & Culture	Does anyone know Emma Roid?	She has been missing for a while!
20090220074329AA4FubY	Society & Culture;Languages	I hate public speaking, can anyone give me some advice, PLEASE!?!!  D:?	I hate public speaking or any form of open discussion in large groups.  I've been out of school for 3 years and am about to start uni - there's only one thing that's holding me back: my fear of public speaking.      Whether it's a class discussion or an oral presentation, it makes me feel really anxious.  I will literally tremble in fear just having to answer a simple question when asked to in front of a class.  My palms go sweaty, my legs turn to jelly, my heart feels like it's beating out of my chest at 100/mph, my throat goes dry, my voice sounds different to me, my brain turns to mush and I find it really hard to string words together to form a sentence...so basically, I turn retarded.  D:   I'm really sick of being asked a question, which I know the answers to, but am in such a distressed/disorientated state that I can't answer it, thus making me look like a complete idiot.      I've dropped out of classes before to avoid doing speeches or class discussions, however, I know if I want to finish my degree it is inevitable that I will have to encounter these things.  I want some advice from people who have been through what I'm going through so I can make an effort to lessen my fear of public speaking!  Can anyone help me, please??!
20090220074349AAVgozS	Society & Culture;Languages	Please help?????????	97.1 free fm question how do$ecord fhf frostey hedi and and fran    for the last time with video
20090220074644AAywaXy	Society & Culture;Languages	Can anyone write in Arabic?	Hello, I am very excited as I'm finally having my tattoo done!      I have chosen the following quotes (in Arabic), but I would really like them to be hand-written, as the fonts look a bit cold and boring.       Can anyone write these for me and email them back???? my email is veniceamore@yahoo.co.uk.   It would mean the world to me, as it'll be with me for life!      She flies on her own wings:    ???? ???? ??? ??????? ??????      'I struggle and emerge:    ??? ????? ?? ????      Thank you all!       peace love & light, venice xxx
20090220074812AAfrKWB	Society & Culture;Languages	Is it right in English this article?Thanksgiving Day?	The origin of the Thanksgiving holiday (Thanksgiving Day) dates back to the Pilgrim Fathers who, after a year of residence in the New World, celebrated this holiday, according to tradition, eating turkey together with Americans who had helped to survive and adapt. In fact, the first winter was for the group of people from Europe, particularly hard, hard and difficult. Only with the help of the Indians with what has come down to us through traditions, legends and historical records, appear to have shared with the new visitors' most of their stores and they have helped to shelter from the cold and to pass the winter. Only with the help and cooperation of the Indians, then, the Pilgrim Fathers, who fled from England to live in another state and full religious freedom, found that people of India who saved their lives.                    The exact date of when it was celebrated by the Pilgrim Fathers and the Indians to celebrate a year of residence, it is absolutely uncertain. Only in 1940 the then President Roosevelt fixed as the date for this national celebration on the last Thursday of November. Americans will not ever forget to celebrate this holiday, wherever they are. It is an opportunity to gather family and friends, to smooth controversy, to put aside grudges and enmities to spend a day together in joy. And the roast turkey is one of the inevitable in this celebration, along with other dishes from the kitchen.                    Thanksgiving for all meet and try to reconcile. E 'una festa predominantly families, but there also some meetings and lunches with groups of friends, who may not be seen for a long time. An invitation to eat turkey on Thanksgiving is also an excellent opportunity for someone to reciprocate is owed or to thank someone who has done us a favor ...      what is wrong? Can you correct me? thank you so much, 10 points sure !!! thank you again...:D
20090220080116AAi892E	Society & Culture;Other - Society & Culture	Farewell Riverdance ...........?	i have just heard that the Riverdance is going to finish , have any of you been lucky to go to one of the shows?.what impression did it make on you,i think its a fantastic show ,they travelled the world and were great ambassadors for Ireland ,do you agree?
20090220075556AA2DiN4	Society & Culture;Holidays;Ramadan	What is the importance of Ahl bayt and companion of prophet (saw),how it can effect our religion?	N/A
20090220075838AAxpG0w	Society & Culture;Holidays;Ramadan	Is it possible to tell which user this is by looking at their style of typing?	First email:      From: afghani       Subject: LOOOL       Message: Imaaao i am not the real afghani i cloned him      Second email:      From: Adil       Subject: Re: Poopy       Message: LOL I know you are mad hahahaha      LOL why do you make fun of others LOLhahaha Hope :P       Third email:      From: Adil       Subject: Re: Poopy       Message: LOL hahahahha      I gonna keep asking this:- Aslamalykum brothers and sisters do you guys like afghani food! lol       Fourth email:      From: Adil       Subject: Re: Poopy       Message: LOL hahahaha      Did you called him a Poopy head lol haha       Fifth email:      From: afghani       Subject: lolahhahaha       Message: lol hahahaha Keep cursing to salman it is even more funyy lol hhahaha       Sixth email:       From: afghani       Subject: Re: lolahhahaha       Message: lol hahahha I yah good Job i am salman lol hahaa       --------------------------------------...      By looking at the style of typing, I'm guessings its either Salman or NOUB.      So who do you think it is? Salman or NOUB?      Cast your votes now!
20090220080209AABbXzQ	Society & Culture;Other - Society & Culture	What do you think about polygamy?	I mean this isn't right in no way but we can't just judge there religion can we? We talk about rights-human rights to be correct and if this is their religion let them pratice it.      If anyone is being treated unfairly they do have the right to leave and never come back. I just question why and how we can say Canada and the USA is a free country and every religion is welcomed but when it comes down to polygamy it's cut off.   Explain this to me?
20090220080454AAYMJ41	Society & Culture;Community Service	Ideas for fund raisers for a single mom with cancer?	Recently I came across a 21 year old woman who was diagnosed with cancer and is undergoing treatment but she's a single mother of a two year old and even though she has family helping her she is struggling. I've been thinking about it for a couple days and I'd like to help. What are some good fund raising ideas? What would make you stop and help out?
20090220075104AAeMjD8	Society & Culture;Religion & Spirituality	Creationists, if we all microevolved from two white people (assuming adam and eve were white)...?	why are there are there still white people?
20090220080202AA8X3QR	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Do you ever have dreams...?	...where you have dreams? Ugh. It sucks. I thought something good happened, then I woke up and realized it was a dream, and then I woke up AGAIN and realized it was all a dream.
20090220080012AA7Yyua	Society & Culture;Religion & Spirituality	Is choosing to stay away from God the reason why I feel so empty and unhappy now?	BEFORE: (years ago)   I was close to God.   My life sucked.    Very few friends.   Little Social life.   Many bitches try to ruin my life.   Lots of restricitions.   But deep inside, I'M AT PEACE AND HAPPY.      NOW:   Dont go to mass anymore, dont pray at all.   Many friends.   Party like 3 times a week. Bigtime social life.   Becoming a ***** and Im loving it.   A lot more free. Less retrictions.   But at the end of the day,   I FEEL SO EMPTY AND SAD :(
20090220080557AAplhbM	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Off topic but how do you get your real picture as your avatar on here ?	i have a real pic of me i want next to my name but i can't figure out how to do it. D: Someone help ?
20090220075654AA93khQ	Society & Culture;Holidays;Ramadan	Did you take your medication this morning: WHY/WHY NOT?	hello      :)
20090220075100AAt1WDv	Society & Culture;Other - Society & Culture	Tell me something if you know about..?	Jehovah witnesses.       I know a boy who is a Jehovah witness, you wouldn't even think of that if you saw him.    Anyway, to the point, in relationships, what can and cant they do?    Or what can and cant they do in general?      any help?
20090220080217AAmXWOt	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	What is the race break down of depression? (Who gets it most?)?	N/A
20090203124908AA5TEAa	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Is violence the answer?	N/A
20090220080038AA4Gieb	Society & Culture;Religion & Spirituality	Is it just coincidence that Christ died around Easter and  was born on Christmas?	and isn't it even a larger coincidence that there are pagan holidays around that time?
20090220075539AAM5Cvr	Society & Culture;Mythology & Folklore	Question about ancient Egypt - who can answer it?	Hi,   Movies such as scorpion king, mummy, mummy returns, etc - are these "true" stories of past or just imagination of today?
20090220074923AATRuI1	Society & Culture;Religion & Spirituality	Are your arms too short to box with God?	I saw that on a bumpersticker and wondered why anyone in his right mind would engage in fisticuffs with an all powerful being. Is that crazy or what?
20090220074857AAlBx5p	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Females: are you the type to approach a man, or let him approach you when interested?	N/A
20090220075529AAoHwNp	Society & Culture;Other - Society & Culture	Can someone tell me something I really need to know?	Anyone have a message for me? ;)
20090220075654AAqli9b	Society & Culture;Other - Society & Culture	Do you consider compassion a weakness or a strength?	I'm a child/family social worker and am a genuinely compassionate person by nature. However, I can see how this could be considered both a strength and a weakness. What are your thoughts?
20090203124902AAaGCy9	Society & Culture;Languages	Attack - Siegfried Sassoon analysis?	Could someone give me some ideas (analysis) about this poem please..      At dawn the ridge emerges massed and dun   In the wild purple of the glowering sun,   Smouldering through spouts of drifting smoke that shroud   The menacing scarred slope; and, one by one,   Tanks creep and topple forward to the wire.   The barrage roars and lifts. Then, clumsily bowed   With bombs and guns and shovels and battle-gear,   Men jostle and climb to meet the bristling fire.   Lines of grey, muttering faces, masked with fear,   They leave their trenches, going over the top,   While time ticks blank and busy on their wrists,   And hope, with furtive eyes and grappling fists,   Flounders in mud. O Jesu, make it stop!      Thanks a lot - any ideas appreciated
20090220080837AAqdLoU	Society & Culture;Mythology & Folklore	What's your favorite show on Sci-Fi?	I'd have to say, " Dead Like Me."
20090220075847AAMlmI1	Society & Culture;Religion & Spirituality	How can I raise money for my Church and keep it legal?	I run a very small Church of Atheism in Eau Claire WI. I am afraid to take any contributions because I do not know what I can put the revenue towards. Obviously I could spend it on directly related supplies, but what about travel costs to officiate weddings, or salary?       Could I sell shirts, books, and hats related to Atheism and still be legal on my nonprofit status?      I guess I don't know what it means. Take Catholicism. A non-profit franchise more or less with giant salaries and the ability to construct multimillion dollar facilities and pay operating costs for those facilities to boot. I run my Church from my home. What separates traditional nonprofits from a regular corporation?
20090220080433AANpVSo	Society & Culture;Holidays;Ramadan	How do you know if all the materials your wearing and those that bind them are not attracting Al Jinn?	could some of that leather be haram pork or donkey hide?   could some of that stitching be put into silk for a reason?   could some of that material you wear in makeup be made from haram sources?   If you have the label on there with material which is used, how can you even trust a label that could also be made in haram?
20090220075734AA4kd9W	Society & Culture;Languages	How do you say 'they were super' in french and how do you say 'they will be good for me' in french?	i sort of know but because i am talking about 'they' do i need to add an 's' to the super and stuff. ???   also how would you say they will be good for me - as in they will be healthy...again i dont know if i need to add anything to the 'bon' like es or something.   thanks:)
20090220075638AATANGg	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Why is Tyler Koger gay?	N/A
20090220075916AAf2VCt	Society & Culture;Holidays;Ramadan	Ramadan sect; Would this music be haram ..... ?	........ this music?       http://www.youtube.com/watch?v=HSzsqVT6O... 
20090220080017AAIf7Yl	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	How can i find a boyfriend??? (i am gay and 17 years old)?	i live in germany and i want nick jonas to be my boyfriend
20090220074908AAx5mR9	Society & Culture;Other - Society & Culture	What are matt tucks life accomplishments?	N/A
20090220075451AAqoKAu	Society & Culture;Etiquette	What do people in greece do for fun/education?	what do kids and adults do for fun in greece? What is the education like?both answers are needed and greatly appreacatied(?).
20090220080512AAThXIx	Society & Culture;Religion & Spirituality	Has any one read the book Divinity and Diversity: A religious affirmation of religious pluralism by m.Suchocki?	N/A
20090203124823AApDEc7	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	What can i say about ethnic minorities and their jobs in the USA?	N/A
20090203130232AAx7pRS	Society & Culture;Other - Society & Culture	Are all forms of compensation cheap?	Because they do not replace the original loss, are they effectively lesser in value?  If the loss was incurred on account of the system, the compensation package may be the result of a presumed benefits package offered to someone else.      Can money ever really replace the loss of a person's health or the loss of a limb, for example?
20090203130203AAqKIve	Society & Culture;Religion & Spirituality	Whats the significance of the early Catholic Church calling Cicero a "Righteous Pagan"?	i can understand the irony being that the christians don't like pagans, but i dont understand it fully,       someone care to explain please?
20090220081608AAedJiP	Society & Culture;Holidays;Ramadan	Can u write few hadith explaining Muawiya's(RA).?	how long was his rule ?
20090203125219AAFAolD	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	LGBT: What is your astrological sign.?	First one to match mine or the one that is closest gets best answer
20090203125813AAt7oxd	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	LGBT: In Taylor Swift's "Love Story" music video, do you think that the guy or the girl has better hair :)?	Here's the video:    http://www.youtube.com/watch?v=82iiS_4ni...       It was really really difficult for me to choose, but I'm going to have to go with the guy!         Wooowwww :))))         Your pic? )
20090203130016AAjh1fB	Society & Culture;Religion & Spirituality	Would no religion create chaos, or peace?	Please elaborate your answer.
20090203125336AAXgpai	Society & Culture;Religion & Spirituality	If God the Father forsaked Jesus on the Cross?	How could the world and everything that was created not fall apart since Christ is the second person of the trinity ?
20090203130102AA9YGwA	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Am I the only black person offended by black history month?	After everything we have been through, why are we still putting so much emphasis on color? Didn't Martin Luther King Jr have a dream that color would no longer be an issue? It seems to me that we are keeping his dream from coming true by focusing on skin color in every situation. Is it really necessary to mention each time someone is the first black person to fill a certain position or perform a certain task? How does them being black have anything to do with it? Unless it's the first black couple to have a completely white baby, I really don't see why their skin color should matter?      I have a dream that one day we can have a history month without the word black in there or anything else to indicate color of skin. I have a dream that we as humans will all be united and join hands as equals. I have a dream that one day a man will accomplish a great task and be known for his accomplishment alone and not his skin color having anything to do with it.
20090203125137AAmzgRa	Society & Culture;Languages	Why do some Americans call the english language, American?	Is it some sort of patriotic thing? or are some people to lazy or ignorant to call it english?
20090203130626AA0CL6v	Society & Culture;Mythology & Folklore	Fairytales/Folklore with number ex: Three Blind Mice?	Please Help! This is for a project!
20090220081931AATYG9e	Society & Culture;Languages	Please!  what does this spanish mean in english!?	hola como estace ?   dedonde eres?   ?Que te gusta comer?      my friend emailed me this after i told her i don't know spanish...argh
20090203125613AAvcJzB	Society & Culture;Holidays;Valentine's Day	CLUBLAND OR NRG PEOPLE??? (for all UK raverz)?	Iv got clubland 14 nd Clubland X-treme Hardcore 5...also got the New NRG nd the 1z b4. I LOVE NRG but alot of songz clubland did better ;), watz every1z opinionz? nd on wat songz?
20090203130118AAWW0gb	Society & Culture;Religion & Spirituality	Atheists/Nonbelievers When it comes to God do you influence your childrens beliefs?	A.  If you do then you are doing the exact same thing you Accuse Christians for.  So what would be the difference?   B.  If you claim you don't then how do you react or answer when your child ask if there is a God?        On here many if not all when answering that question say God does not exist, he is a fairytale, myth, Christians are murderers, delusional, etc etc etc   So, do you tell your kids that when they ask?  And if not then why do you tell other kids that?        Second part:   I asked a question a few days ago, " Does atheists like anyone other then themselves"  Most all replied they love their spouse and kids.        Adults/spouses okay-we can accept each others differences.     But the kids-  Surely all kids who believe in God would have asked their father/mother why they are not going to church or don't believe as they know the consequences, right.    So naturally, this child would be in fear of what the outcome is for their father/mother.   So my question is this-I understand why you don't love God but don't you love your kids enough to do it for them?          I know many of you think I am trying to insult atheists all the time.  That is Not my intention.   I am just asking question from the answers that you all give.
20090203125343AAgxZaE	Society & Culture;Religion & Spirituality	Question about Animal Guides?	I have a couple of questions about Animal Guides.   -How do you meditate?   -When you meditate can dark energies or whatever hurt you or attach to you?   -What do you visualize when you meditate?   -How do you know which animal is your Animal Guide?   I know that there is a lot of questions here, but I'm still new to this.   :]
20090203125515AAS4mBe	Society & Culture;Holidays;Ramadan	What makes you smile?	:)
20090203125401AALWyQq	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Sell-out for Interracial Dating?	I need help understanding this, if I happen to fall for a white or hispanic man I am a sellout? Despite the face that I fell in love with him not his ethnicity. I do not understand.....Why are people saying that when they see IR couples they know that there are doing it out of self hate? Do you speak to every IR couple and they plainly tell you "i hate my race that why I date outside my race". I have never been called a sellout because I was dating someone who wasn't black. Where does this sell out nonsense come from? Don't get me wrong some people do date outside their race because they believe horrible stereotypes or they had a bad experience with ONE person and decided to denounce the entire race thinking another would be "better" but that is a small percentage compared to the whole. Its 2009 and if i date someone who is not black why should you care?      Peace
20090203130258AAUwh6a	Society & Culture;Holidays;Ramadan	Ramadan: Did AbuBaker and Umer have right to be successors of Prophet Muhammad (saww)?	Who appointed them.    Allah appointed Muhammad (saww) as His Messenger.   Allah says in Quran that only He appoints successors to His Messengers.   Moses (as) did not have the power to appoint his Successor. He asked Allah to appoint his successor.   In other ayats too Allah says that He appoints successors Khalifas).
20090203125457AAzvwc1	Society & Culture;Religion & Spirituality	Are you sure you're going to heaven?	Are you going to heaven? For Sure?   Do you Believe in Jesus Christ?
20090203130758AAWvcoU	Society & Culture;Languages	How is my Spanish Pronunciation?	 http://www.youtube.com/watch?v=254Yy9Wm7... 
20090220081122AAl8pWu	Society & Culture;Other - Society & Culture	Does America have the largest population of White people in the world?	Not % just in number than any other country?   I know maybe it's the most multi ethnic in number. And maybe why we have so many racial problems that other countries may not have as many issues with.
20090203125557AAVfpWm	Society & Culture;Other - Society & Culture	What are good topics that are moral dilemmas for example abortion?	N/A
20090203130544AAxCK6F	Society & Culture;Religion & Spirituality	I would like to make something clear?	Christians keep on citing the Bible for why Christianity is right.      If I found a fact in a book and used it in a report, and my professor wasn't sure if my source was valid and wanted something to back it up, I could not use the part of the same book that I had originally that said "everything in this book is correct." Could I?
20090203130351AAndKkA	Society & Culture;Religion & Spirituality	Is it weird to not have a religion, but still be interested in other religions?	For example - I live in Japan (on my own now) but I go with my host family to the Shinto shrines and to the Buddhist temples. I'm also interested in Hebrew, the Bible, Wicca, and Islam as well. I'm planning to take a religion studies class once my leukemia goes into remission.
20090203124935AAmPoXI	Society & Culture;Religion & Spirituality	Do you think people die at certain times because...?	Because they served their purpose on earth, even if it was the simplest thing. That their death wasn't an accident, it really was their time to go?   If so, why?   If not, why?      .. just wondering.
20090203130201AA2TEOH	Society & Culture;Religion & Spirituality	How can you be anti-condom and anti-abortion?	If condoms were ubiquitous and stigma-free fewer abortions would be necessary. What are you thinking?
20090203125918AA1vha1	Society & Culture;Cultures & Groups;Other - Cultures & Groups	I really do seem like a racist...?	I apologize for my stupid comments that I sometimes make. I am not a racist person in real life...I guess I am just easily offended, so I respond by saying the first hateful thing that I can think of; and because I am on the internet, I feel that I can go too far with it. I tell myself that it's okay because I am just generalizing...but that's basically racism. I apologize. I really do have to work on this. I gotta stop wearing my feelings on my sleeve. Any advice?
20090203130747AAHTyfN	Society & Culture;Holidays;Ramadan	Is double dating halal?	Shaitain is present whenever a couple is alone (according to hadiths). Now, would he go away if they did double dates?      Serious answers only.
20090203125912AAZy5qn	Society & Culture;Holidays;Ramadan	What did Imam Ali (as) say to Muawiya in Siffin? Why did Muawiya insist on fighting Imam Ali (as)?	N/A
20090203125551AATxbHI	Society & Culture;Holidays;Ramadan	Was Imam Ali's (as) right taken away from him? Did he not deserve to be the first successor? Why? Why not?	All opinions welcome.....
20090203125043AAjSvbW	Society & Culture;Mythology & Folklore	Card meaning in this context????????	I asked the cards what I need to know about my relationship with a male friend. I love him, but our relationship is poor at the moment and our friendship is almost gone, cause I don't know if he wants me to leave him alone or what?. I got the five of pentacles. HOw could you interpret this card in this context?
20090203124934AADR82i	Society & Culture;Other - Society & Culture	Card meaning???????????	I asked the cards what I need to know about my relationship with a male friend. I love him, but our relationship is poor at the moment and our friendship is almost gone, cause I don't know if he wants me to leave him alone or what?. I got the five of pentacles. HOw could you interpret  this card in this context?
20090203130401AAMY1Ob	Society & Culture;Religion & Spirituality	If atheists and ags get our own section will R&S still come visit?	even if not, we should get visitation rights to this section on weekends
20090203125451AAVsL7B	Society & Culture;Religion & Spirituality	Is the Vatican scared to admit the Holocaust happened because it was complicit in what happened?	Why would the Christian nation of Germany think it could single out that religious group and get away with it?   Why didn't the Vatican speak out against it strongly when it was happening?   Uhmm, gee, do you think it's 'cause Christians have been demonizing Jews as "Jesus killers" for 1800 years beforehand?    http://news.yahoo.com/s/ap/20090203/ap_o... 
20090203125506AANUGjI	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Around 14,400 years ago, the tribe of my girlfriend's ancestors almost exterminated the tribe of my ancestors?	(continued)      and the few survivors of the tribe of my ancestors were driven all the way from southern France to the cold and bitter Siberia. Should I forget this horrible past or should I break up with my girlfriend over this in honor of my ancestors?
20090203130345AA4GQ6z	Society & Culture;Holidays;Halloween	Superwoman costume?!?!?	i want to be superwoman or a cheerleader for haloween but i dont want to look stutty bc im not 90 pounds lol please help
20090203130324AAkhvdW	Society & Culture;Languages	How do you say in english  " la vita ha il gusto che le dai"? ?	i think it's something like "life has the taste that you give it " but  i think it's not correct..   help me please!!
20090203130017AAVCsJj	Society & Culture;Languages	Help... intro to Spanish College :(?	Okay now u get 3 tries on this homework (on line) and I tried twice of how I thought I knew how to do it, but both times I got a zero lol. So final try I thought I would see if someone could gimmie a hand. Here are the instructions.       - Singular y plural   Give the plural form of each singular article and noun and the singular form of each plural article and noun.       1. : unas fotografías    2.   un día    3.   un cuaderno    4.   unos pasajeros    5.   unas computadoras    6.   unas escuelas    7.   unos videos   8.   un programa    9.   unos autobuses    10. unas palabras      Thanks!
20090203124929AAnAQ6V	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Afraid she's playing mind games w. me?	So theres this girl who said that she likes me, and kissed me, and I really like her, but I'm worried that she isn't really into me. She's only been with guys before and I'm a lesbian and she knows that, and I feel like she's only saying shes into me so she can get some no attachments sex from a girl cause she's never done it before. I really like her, and I can't just do that cause I don't want to get hurt in the end. Also, I found out this guy who she keeps hanging out with likes her, and it kills me to pretend to be happy for him. What should I do?
20090220081919AAoaDAL	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Is Joan Armatrading a lesbian?	Just curious. I think she's a great singer and song writer.
20090203124957AALJ0h7	Society & Culture;Mythology & Folklore	How can I be certain that I'm not a ghost?	I mean, when I look at mirrors I can see myself, but don't some ghosts have the power to appear in mirrors?
20090203125009AAopnQ9	Society & Culture;Religion & Spirituality	Why should I fast to invoke God's mercy?	If God is merciful, holy, kind, loving etc..why do Christians have to fast in order to invoke God's grace?      1Corinthians 7:5  Defraud ye not one the other, except it be with consent for a time, that ye may give yourselves to fasting and prayer; and come together again, that Satan tempt you not for your incontinency.      Mark 9:29  And he said unto them, This kind can come forth by nothing, but by prayer and fasting.       Matthew 17:21  Howbeit this kind goeth not out but by prayer and fasting.
20090203130335AAOunEg	Society & Culture;Mythology & Folklore	I want to become a REAL vampire...Help...?	Where can I get someone to turn me into one?   No saying they aren't real. I've done some study and this is what i want.. i think.
