20061117132827AAXamPs	Dining Out;Germany;Other - Germany	Wann ist eine gute Zeit zum Weggehen?	Unterschied unter der Woche Wochenende und gr??e der Stadt?
20090205131854AAqYZwM	Dining Out;United States;Las Vegas	Can anyone tell me where a cheap seafood buffett is in Las Vegas Nevada after 11pm and/or cheap steak...?	and lobster after 11pm?
20090205133301AAZWD8c	Dining Out;Other - Dining Out	How much does a restaurant hostess make?	at, say, a restaurant in a Hilton hotel?
20090205141559AAoEdK5	Dining Out;United States;Seattle	Seattle restaurant similar to Aladdin's Eatery?	I've recently come to Seattle from the Midwest and I loved Aladdin's Eatery (Middle Eastern food). I was very disappointed to find that Aladdin's doesn't come very far west and I'll be missing out on it here in Seattle. Could anyone recommend a really good place for pita, hummus, falafel, and desserts? Even better if you're familiar with Aladdin's too.
20090205141628AAmSxeY	Dining Out;Fast Food	Secret menus at fast food restraunts?	I heard there are items that you can order at fast food restraunts that are not on the menu. What are some of those items?
20060818142148AAyMVMe	Dining Out;Argentina;Iguazu	Yahoo respuetas es adictivo?	a que eres adicto?
20090205144512AAJVA6Y	Dining Out;United States;Chicago	Best Cupcakes in Aurora/Naperville IL?	I am trying to find some awesome gourmet cupcakes for my hubby on valentine's day (it's our 7 year anniversary). I live in Aurora area so anywhere  near Aurora, Naperville, Batavia, Geneva, St. Charles, North Aurora. I want awesome cupcakes... not grocery store, and not home made and don't even tell me to get stupid hostess cupcakes. Something like Red Velvet, or chocolate peanutbutter, or filled ones... HELP!
20090205145724AAhgNo1	Dining Out;United States;Los Angeles	Any good Valentines Ideas?	I've been married for almost 12 years now...       Any good ideas on some Valentines gifts or entertainment?
20090205145801AAWGtLI	Dining Out;United States;San Francisco	Who makes the best burgers in the San Francisco/Oakland/San Jose Bay area?	Fast food places don't count. I'm talking fresh meat, quality ingredients, big on flavor! Yeah baby! What's your personal favorite when it comes to  local burger joints?
20090205151151AAYTwaX	Dining Out;Fast Food	Whats best? BK or Mickey D?	Who here likes burger king better than mcdonalds? i know i do.  what do you think is better?(BURGER KING DUH) also who here is a whopper virgin?  i think that people who like mcdonalds better are probably whopper virgins ;-P  (WHOPPERS ARE WAY BETTER THAN BIG MACS)
20090205143111AAEZLlD	Dining Out;Fast Food	What do you like the best Whoppers(Burger King), Famous Star(carl's jr.) or Big Mac (McDonalds)?	N/A
20090205101215AAJjQuV	Dining Out;India;Delhi and NCR	Is there any pubs disco in delhi?	where couple entry is needed and i found the couple at there only
20090205152250AA8LKhC	Dining Out;Other - Dining Out	Are you a server/waiter/waitress?	I recently got hired to work at a Ruby Tuesday and am going through orientation. I was a server at an Applebee's before, and was a busser at other restaurants for a few seasons.      Do you have any advice or tricks for gaining more tips in a typical week? What did you do to make your customer's experience memorable and valuable?
20090205143759AAmkwdq	Dining Out;Fast Food	Burger King Complaint in Illinois?	Anyone know where to call to make a complaint about a Burger King manager in Illinois, metro east area of St. Louis?  Looked everywhere online and can't find anything.
20090205144216AAd95kw	Dining Out;Other - Dining Out	Is the building work finished on the restuarant yet or do you still have to use the rosetta ?r=1233873479?	we're going in feb so would like to know for definite
20090205144631AApSuNG	Dining Out;Fast Food	What is your favorite fast food?	N/A
20090205144706AAOrWiT	Dining Out;Fast Food	Are you allowed to walk in a Sonic Drive-in?	I know it says drive-in, but i don't have a car (underage).
20090205145157AAft0vu	Dining Out;United States;New York City	I need a good Limo Company. With good rates. Can you help?	I need a good Limo Company with reasonable rates. In the NY/NJ area.  I plan on taking a Woman to Manhattan for a Dinner and a night on town..... Any Good ideas or Limo Companies..
20090205145447AA1vIYC	Dining Out;Fast Food	McCdonald's Fries?!?!?	Where do they get there fries? they r so good! I know they're frozen so    Where do they get them? If u don't know, then How could I get similar ones or make them?
20090205150503AAUy7Zx	Dining Out;Other - Dining Out	Would I look weird doing homework on my laptop while eating in a sit-down chinese restaurant?	I am thinking of going to a sit-down chinese restaurant (not some place like panda express; I'm talking about an authentic one where they seat you and it takes a while to make your food) tomorrow. If I go, I will have my backpack with me and I plan to be typing up some assignment on my laptop while I'm waiting for the food and possibly while I'm eating and maybe staying for a while after I'm done to type up some more stuff.      Would I look really weird doing this? Or do people sometimes come with their laptops in these kinds of restaurants?      Also, would they mind me staying after I'm done with my food to be on my laptop some more?      Thanks.
20090205151341AAqFP6n	Dining Out;Fast Food	Why havent my w-2 form came from my previous job taco bell?	N/A
20090205152308AAmCY4w	Dining Out;United States;Boston	Asian resturants in boston that serve breakfast?	Afew years ago, a friend brought me to an Asian resturant in Boston (or close to Boston) that served breakfast and lunch (maybe dinner too).   They served you there by haivng foods on trollys, and the waitresses pushed the trollys around, and you would choose what you wanted from it.      I can't remeber the name of it, so if anyone knows then that would be great!  Because I want to go there so  bad
20090205153130AAv9YJD	Dining Out;Other - Dining Out	Can you use a few candles to cook a small item or provide small area of warmth.?	I roasted a hotdog over a candle and forgot about the wax fume and it tasted terrible!  I just need a candle and some reflective device over it that can heat small items.  I also know this provides a small pocket of warmth.   my second part of this question involves using a small amount of powered Tide Detergent or equivilant with water which creates a chemical reaction that produes heat, however I am uncertain of the best container to use to contain the heat source safely.  Any ideas would be useful. Thanks.
