20090205084025AATMI2P	Food & Drink;Vegetarian & Vegan	Whats a good website to find vegetarian partner?	must be totally 'WOW'
20080505005617AA2ZvqP	Food & Drink;Cooking & Recipes	Qui aurais une idée pour recette?	voila les beau parent de mon frere mon fait parvenir du bout _ canee ( de porc et poulet )et j'aimerais avoir des recettes pour les cuire
20090205095010AABuUVB	Food & Drink;Non-Alcoholic Drinks	What are good ways to judge good and bad coffee?	N/A
20061206131347AA10aKA	Food & Drink;Other - Food & Drink	How many licks does it take..?	to get to the center of a tootsie pop..im being dead serious
20070111221020AAGIcfK	Food & Drink;Other - Food & Drink	What is usp?	LIKE WHAT IS THE USP OF THE SHOPPING MALL
20070306194930AAiapGv	Food & Drink;Beer, Wine & Spirits	Es malo tomarme una cerveza 3 veses a la semana??	Lo que pasa esque ami me gusta mucho la cervez y  en los fines de semana cuando hace mucho calor me tomo unas 3 o 4 de las de lata ya sere una alcoholica?
20070503072109AAf4FOZ	Food & Drink;Beer, Wine & Spirits	What is Ninty-Nine Apples liquor? ex: Rum, Vodka etc.?..?	N/A
20070524162333AAQkBl2	Food & Drink;Cooking & Recipes	What kind of cheese sauce does james coney island use?	cheese sauce for coney island hot dogs
20070601110035AA2d2Sb	Food & Drink;Cooking & Recipes	Quiero dejar de comer tanta comida chatarra  como hago?	me gusta la comida chatarra y no puedo dejar  de comerla demen al guna dieta
20070629094907AAWdjpQ	Food & Drink;Cooking & Recipes	????? 175 ?.?. ??????? 55 ?.?.??????????????????????????	N/A
20070712202638AAXslt3	Food & Drink;Cooking & Recipes	How long does it take to grill a fillet of salmon wrapped in foil?	I will be using a gas grill, and leaving the fillet in one large piece.  How high should the heat be and how long will it take to cook?
20081116204843AAjStYG	Food & Drink;Cooking & Recipes	Whats your favorite Dinner dish?	Hello,   I need 5 different dinner Ideas. I'm looking for more then just mac and cheese or spaghetti. I have a 1 year old. So its for a family of 3. I wanna get a dinner menu going where its planed out every week and I've shopped for it. bc i'm tired of going to the store everyday asking "what you want for dinner". pls help. We love Noodles and Rice. Thanks! 
20090205104207AAvRa2T	Food & Drink;Cooking & Recipes	Do you know a good recipe for TIRAMISU?	N/A
20090205111933AAxPPVl	Food & Drink;Other - Food & Drink	What is the fastest way to turn avocado ripe?	N/A
20090205110850AA4HkCL	Food & Drink;Cooking & Recipes	Are you clever.Can you cook bacon,sausage,fried egg,fried bread and beans all at the same time so that you eat?	it hot
20090205102248AAjMGxS	Food & Drink;Beer, Wine & Spirits	Home made alcohol need help?	i know the basics for very cheap brewing   i have 1 large 2Lpop bottle   sugar   yeast   water   i know it is cheap but my question is how much sugar in a 2L bottle thank you for replies on this
20090205104416AAAfpij	Food & Drink;Other - Food & Drink	Is there a way to make chili and have it not give people gas?	I've heard that if you add some vinegar to your chili that it wil neutralize the gasses from the beans that give people gas? I'm making some vegetarian chili in my slow cooker right now and I'm wondering if I add some vinegar will it help reduce gas in those who eat it? Will it effect the taste? And how much do I add? Do I add it when it starts cooking or at the end?
20090205101157AA1Xwhd	Food & Drink;Cooking & Recipes	What do you do for a bake sale? ten points for best answer!?	what season?   what foods?   where do you have it?   how much per snack?   can you give me a good website?   is a bake sale easy?   have you ever done one?
20090205113107AAKJwuK	Food & Drink;Other - Food & Drink	Is plain couscous nice?	I want to try some for lunch tomorrow!
20090205104636AAgP5K0	Food & Drink;Cooking & Recipes	Pizza dough any ideas for a sweet tooth?	I was wondering is it possible to create a sweet pizza, instead of the savoury toppings?
20090205112209AADL2Xu	Food & Drink;Vegetarian & Vegan	Vegans and vegetarians -  Do you juice or blend?	or both , or neither.  Thanks!
20090205101943AATpa0O	Food & Drink;Other - Food & Drink	Spring Roll? Shrimp Roll? Egg Roll? Or Pizza Roll? Which do you like better?	N/A
20090205102535AACdMUF	Food & Drink;Other - Food & Drink	Frosted Flakes?  Honey Smacks? Or  Super Sugar Crisp? Which sweet Cereal do you like better?	N/A
20090205095256AAbZROp	Food & Drink;Other - Food & Drink	Granny smith or golden Delicious?	N/A
20090205112822AAXbxid	Food & Drink;Cooking & Recipes	What is a good website that has inexpensive, low fat recipes for two?	N/A
20090205101640AAa2iby	Food & Drink;Cooking & Recipes	What's a good side dish for..?	Grilled Marinated Steak Wrap with Spinach, Diced Red Onions, Roasted Red Peppers, Roasted Yellow Peppers, Goat Cheese and Balsamic Vinaigrette??       I ate this at a restaurant and want to make it myself for dinner. At the restaurant it came w/chips but that was lunch time...      Any suggestions??
20090205112022AAWh7Z0	Food & Drink;Other - Food & Drink	What is your favourite sauce to eat with meat balls,?	chips and peas
20090205110945AAdaEAb	Food & Drink;Cooking & Recipes	Is butter still edible if it was out of the fridge for 12 hrs?	N/A
20090205113314AAO7n2A	Food & Drink;Cooking & Recipes	I'm looking for recipes for an entire Vegetarian Valentine's Day Dinner!?	I'm looking for recipes for an entire Vegetarian Valentine's Day Dinner!?   Can anyone give me any great individual or multiple recipes, or link me to a great site?      Thanks!
20090205102910AABpaUG	Food & Drink;Other - Food & Drink	There is mold on a spinach leaf in the bag should I throw the whole bag out?	I bought a bag of spinach a few days ago, and one of the leaves on the bottom has some fuzzy white mold on it.  Should I throw the bag away or are the top leaves safe to eat?
20090205094553AAWzP4I	Food & Drink;Other - Food & Drink	IM STARVING!!!!!!!!!!!!!!!!??????…	what did you or what are you haveing for lunch?         (i havent eaten anything today)   =/
20090205113128AAQ75xi	Food & Drink;Other - Food & Drink	What are examples of Northern Fruits?	Please list some of these for me!   Thanks! ;)
20090205103753AA9uqgR	Food & Drink;Cooking & Recipes	Dessert after cheese fondue?	Good evening   Tomorrow I will do a swiss cheese fondue for some guests and I am lacking inspiration for a dessert.   Something light and fresh and maybe not to creamy, but fruit is not good..to much acid turns the melted cheese into a lump in the stomach.   Thanks for your help
20090205110751AAxRnYg	Food & Drink;Cooking & Recipes	Ideas for stuffed pretzels I could cook?	I made taco stuffed pretzels two ways the other day.  One was with a corn dough and the other was with normal dough.  Both were good.  Today I made a fresh batch of dough and just finished some stuffed pepperoni pizza pretzels.  I'm thinking about using the leftover dough and making a breakfast style stuffed pretzel filled with scrambled eggs, cheddar cheese, and ham.  Any other ideas for a stuffed pretzel?
20090205113552AA3uBpG	Food & Drink;Beer, Wine & Spirits	Help On Not Drinking ?	heyy      i dont drink and im not allowed to but tbh its not like i really want to, im going out with some friends that are planning to get totally pissed on friday and i really want to try avoiding getting drunk without looking left out cause im quite shy, any tips ?      Lol Is there an amount of red bull to drink to get you drunk lol ? i know its a stupid question ?       Thanks Anyways :S
20090205100759AAVWPIl	Food & Drink;Vegetarian & Vegan	Would this person be considered a vegan?	she can't eat any dairy, salt, sugar, meat, or anything "fake".
20090205095611AAh9XHh	Food & Drink;Other - Food & Drink	Should the crumbs on a crumb cake be as huge as an Alaskan glacier? So huge that if it fell on you, you would?	be trapped in your kitchen and would have to live off that giant crumb? Crumbs on a crumb cake should be the size of boulders. Agree?
20090205101522AAivaLy	Food & Drink;Entertaining	Im having a 14th birthday party and need a theme?	im having about 50 people to my house for my 14th birthday so need some good ideas on what i can have as a theme but not black and white or neon caz i have done them before   thanks
20090205105427AAyQ7kR	Food & Drink;Ethnic Cuisine	Good transitional japanese food..?	I'm a 26 year old american who's tired of american culture. I've developed a strong interest in japanese culture. The only problem is, i know my tastes are tuned with american foods and spices. So what would be some good japanese foods that would help me adjust to japanese cuisine??
20090205102522AAqm1uA	Food & Drink;Vegetarian & Vegan	Is it too late for her?	I know they say most of a child's personality is developed by age 5. I would assume this goes for eating habits, tastes/preferences/etc as well, right?   Well, my daughter and I have been living with my mother since she was born, and while I always feed her healthy & vegetarian while I am there, while I am at school there is no gaurantee other people in the house are following the same guidelines(I've come home on several occasions to find her with chicken nuggets and root beer).   We should be fully moved out by the end of this year, she will be 4 in November...   So by that time, will it already be too late to fully influence her away from liking meat, dairy, & junk food? Or could I still raise her on healthy vegetarian fare and not have it be an issue?
20090205103557AAzyQfX	Food & Drink;Cooking & Recipes	I'm making chicken fingers for dinner, what sauce should I serve?	I'm making them from scratch and am not sure what sauce to serve with them.  Homemade ranch?  Peanut sauce?  Sweet chili and Ketchup?  Honey Mustard?  Something different?  Ideas?  Recipes?  My kids love sauces!
20090205103209AAcbFD9	Food & Drink;Other - Food & Drink	Was it OK to eat these sausages?	I've just had sausages for dinner and they were out in November, but I froze them before they expired.    Do you think it was bad to eat them?
20090205111519AAFRN2S	Food & Drink;Cooking & Recipes	Simple and easy chocolate cake recipe?	I wanted to make a chocolate cake. I have never made one before so i want a recipe that is easy to make. Could you please also include all of the ingredients and equipment needed. Thank you.
20090205110444AAMWyug	Food & Drink;Beer, Wine & Spirits	How do I order a martini?	I just recently started to like martinis, but I like them extra dirty.  When I order them do  I ask for "a dirty vodka martini" (i prefer vodka to gin), or do I say "vodka martini, extra olive juice"?
20090205113628AAYY0wb	Food & Drink;Other - Food & Drink	Difference between pink lemonade vs yellow lemonade?	Besides the color obviously.    Is there a difference?    And if there isn, then why bother with 2 colors?
20090205104958AATuXiu	Food & Drink;Cooking & Recipes	What can i have with duck breast?	Having duck breast on saturday night. Any ideas what to have with it. Dont want a massive amount to eat as were having scallops with lime and chilli butter for starters. My husband suggested puy lentils but ive never cooked them before, would they not be too bland, how could i spice them up if i did decide to do them?? Help!!!!   PS he wont eat sweet or fruity sauces
20090205105655AAbnUvb	Food & Drink;Cooking & Recipes	A steak sauce my grandma used to make.. do you know it?	my grandma used to make this gravy type of sauce that she would put on her steaks..she used wine in it and it was brown if that helps. im trying to figure out what the heck it was because i want to re-create it and can't find the recipe anywhere! please help if you have any idea of what im talking about.. thank you.
20090205113407AAYVPPJ	Food & Drink;Cooking & Recipes	Heart shaped food for Valentines Day?	what are some good ideas for heart shaped foods for a Valentines Day picnic.. i have heart shaped sandwiches and cookies. but what else could i turn into hearts? some fruit.. snack.. drink ideas etc. i welcome any creative ideas. thank you.
20090205112946AA82vCc	Food & Drink;Other - Food & Drink	Which side of a HOVIS biscuit does the cheese go on?	The HOVIS side or the FLAT side?
20090205101418AAPvbEh	Food & Drink;Other - Food & Drink	Whats so good about honey?	Albert Einstein said it was meant for man kind to survive,but what exactly about it makes it so special? what does it do for our bodies?
20090205111624AAg7o0e	Food & Drink;Vegetarian & Vegan	Which fruit is the best?	Not necessarily taste, but nutritional value.  Which fruit packs the most punch as far as vitamins, minerals, and anti-oxidants?
20090205112634AAjrGxy	Food & Drink;Other - Food & Drink	Starbuckssssssssssssssssssssss…	what are those black little dot things in the vanilla bean frappuccino. i drink one everyday and i just noticed them, what are they
20090205104706AAs0Dtu	Food & Drink;Beer, Wine & Spirits	How bad is red bull for your system?	I drink 2 of the big cans everyday, and if i don't i get a headache
20090205102857AAcqnjd	Food & Drink;Other - Food & Drink	Have u ever eaten the new pasta dish from dominos?	How is it? They give you 3lbs...right? Is it cheesy? Would you recommend it?
20090205111547AAq4wuN	Food & Drink;Cooking & Recipes	I need a recipe for a thick frosting that can be used on cookies?	I'm entering a contest for the best "Colossal Cookie".  I'm going to make this cookie,  http://ecx.images-amazon.com/images/I/51...  but I need a recipe for the frosting I should use.  Any ideas?  Also, what colors do you think i could use in order to get that brown color??        Thank's in advance for the help, oh and I plan on using gingerbread for the cookie itself.
20090205112419AAArihN	Food & Drink;Cooking & Recipes	How do I steam rice without a steamer?	what kind or rice do I buy?  How do I steam it?        I'm new to this whole cooking thing, but i'm usually good.  I fried chicken with my own batter and i didnt use a recipe and it was good but i have no idea how to steam rice!
20090205094647AAlGjdY	Food & Drink;Non-Alcoholic Drinks	What do you think of the Black & Decker DCM2500 coffee maker?	And if not what kind of coffee makers do you like that might be under 50$
20090205095407AARtLIE	Food & Drink;Beer, Wine & Spirits	What are some beers that go well with lime, besides Corona?	N/A
20090205095412AAVjR8b	Food & Drink;Cooking & Recipes	Vegetable Soup Recipe?	I am looking for a vegetable soup recipe that has an apple cider vinegar base.  I'm not sure of all of the ingredients but I know that it also has sugar and hot sauce in it.  Can anyone help?  I've search the web every way I know how to find it and haven't had any luck.  Thanks in advance!
20090205095702AA86xyf	Food & Drink;Entertaining	I need some help for ma birthday?	am having a birthday party but i need some ideas on what to do it is gonna be ma 15th so i want something that will be good for me and my mates but ma little sister is coming as well and she is 7 so i need something that will be suitable for her and i am inviting her friend as well so it need to be a suitable party    any1 have any ideas x x x
20090205100323AAFAAoJ	Food & Drink;Other - Food & Drink	Good drink to sooth a cold ? (sour throat like hot Toddie?)?	N/A
20090205100525AAoWFCv	Food & Drink;Beer, Wine & Spirits	Anyone know if there is any device to check for methanol?	N/A
20090205100714AAu4XzQ	Food & Drink;Cooking & Recipes	What are good fun pancake toppings  ?	please we want pancakes but what are good toppings
20090205101355AAEhC40	Food & Drink;Cooking & Recipes	Does any body have a good stoffers macaroni and cheese recipe?	please i really need a good stoffers mac and cheese to make that taste just like stoffers please i really need one
20090205102033AAWU9qX	Food & Drink;Cooking & Recipes	Chest freezer should we let it freeze before we put food in or should we put food in it whiles its freezing?	It a GE chest freezer      Thanks
20090205102422AA6RSes	Food & Drink;Ethnic Cuisine	Starting an authentic Italian restaurant, do I need a cook who is Italian?	Is it good enough that my head cook is able to make amazing Italian dishes?
20090205102648AAwKSaJ	Food & Drink;Cooking & Recipes	Help, i don't really like Chilli Con Carny, anything i can add to it to make it taste better?	My mum and dad love this meal, they cook it often and i'm not really fond it. I berry the food in a cheese powder like substance to help it, but is there anything i can add to it or eat it with to make it really nice?      Many thanks! :D
20090205103308AAHgvqW	Food & Drink;Other - Food & Drink	Where do sesame seeds come from?	N/A
20090205103846AAu45lN	Food & Drink;Cooking & Recipes	I need a good recipe for tuna steak - either baked, grilled or broiled?	My roommate works in a fish house and brings home fresh seafood weekly and I don't know how to fix tuna steak without frying it - any suggestions?
20090205103647AAXuWHD	Food & Drink;Beer, Wine & Spirits	Why does beer come in dark containers?	N/A
20090205103813AAGkUue	Food & Drink;Non-Alcoholic Drinks	Can i make cocoa with water instead of milk?	N/A
20090205103921AA4Wxsa	Food & Drink;Cooking & Recipes	When making a cake from scratch, what do you change when adding pudding?	N/A
20090205103925AAkl8eX	Food & Drink;Ethnic Cuisine	Trini style Dhal recipe?	I am going to try my hand at this dhal recipe.. http://www.simplytrinicooking.com/2008/0...  But I forgot to soak the split peas, anything I can do now? Never made this before.
20090205104859AAGibnU	Food & Drink;Vegetarian & Vegan	Hi,Does anybody have new ideas in food industry?	N/A
20090205105258AAc3zxQ	Food & Drink;Other - Food & Drink	What is a sino steak?	N/A
20090205105814AAx7IEv	Food & Drink;Cooking & Recipes	Is there a "special" kind of flour that you use in cakes?	if so what is called and where can i buy it
20090205105855AAF9uzV	Food & Drink;Beer, Wine & Spirits	Why is Opus One so expensive?	I collect a small amount of wine. Currently I have about 60 bottles. I started collecting Opus One and a lesser-known Bordeaux by Rothschild with the 1998 vintages. Yesterday, I bought three bottles of a 2005 Concha y Toro  Don Melchor Cabernet for about $55 each, and three bottles the 2005 Opus One for about $140 each. The Don Melchor was rated by Wine Enthusiast at 96 while the Opus One has a 95 depending on which magazine rated it.      The ratings have been similar for these wines. Here's what I've been able to find for both:      2004 both were rated at 94   2002 DM was 93 OO was 94   2001 DM was 94 OO was 89   2000 DM was 95 OO was 89      I know the 89s for the Opus is not a good representation of it's true quality. Both tend to come in around the mid 90s.      Also, Don Melchor came in as the fourth best wine in 2006 according to Wine Spectator .      So, why does the Opus One get so much attention when you can get what appears to be just as good a wine for much less money? I know the name is a part of it, but why wouldn't Don Melchor end up with as good a name after years of great wine?      I guess my question is, I'm I missing something? Is there something other than name and points that make Opus worth more?
20090205110143AA2VvrY	Food & Drink;Beer, Wine & Spirits	Who owns dublin square irish pub in sd?	N/A
20090205111503AAT85lx	Food & Drink;Cooking & Recipes	New York Style Pizza Sauce Recipe?	I recently went to New York for a business training and fell in love with their pizza sauce they use on their "blurry" pies!  Could a New Yorker (or anyone that knows) kindly share this recipe (or similar) with me (since I'm from Nevada and can't make it to New York monthly to satisfy my craving... Thanks
20090205111758AA8mlgs	Food & Drink;Vegetarian & Vegan	Are any major toothpaste brands vegan? like colgate or crest or aquafresh?	N/A
20090205112511AACe9XY	Food & Drink;Cooking & Recipes	Needed: Grill Accessories?	i am looking for a grill accessorie that puts a brand on you grilled food.  I saw them on t.v.  where you attach them to your grill.  all I can find so far are actual branding irons.  Can someone tell me where to find these other brands?  Thank You
20090205112420AAQUK5W	Food & Drink;Beer, Wine & Spirits	How many people hold a loyalty card with Denbies? (Denbies is an english wine manufacturer)?	im doing coursework for my college course BTEC business studies. i just need to know how many people hold a loyalty card with Denbies, they are a wine estate based in Surrey and the largest vineyard in England with about 265 acres under vine.  Thnx x
20090203035906AAgqjCe	Food & Drink;Cooking & Recipes	Your most favorite family meal?	What do you make? what do other people in your family make?
20090205113753AAWD7oZ	Food & Drink;Non-Alcoholic Drinks	Beverage that tastes like Redbull?	does anyone know of another drink that tastes like redbull but doesnt cost 2.00 a bottle?! lol i dont even care if it has caffeine or taurine or anything in it... i just like the taste... lol
20090205114814AA2nEsp	Food & Drink;Ethnic Cuisine	Do You like Peas   or?	Do You like Peas   or  fresh Peas and carrots .???   :P   I like itttt, with carrots and lemon.   thanks.   .
20090205114006AADPdWQ	Food & Drink;Beer, Wine & Spirits	Anyone heard of a mix drink called "Alaska"?	i think its gin and another liquar mixed together. it looks like water.
20090202194921AAhgL2U	Food & Drink;Cooking & Recipes	Recipe please:- How do l make pancakes?	N/A
20090202193754AApmxBd	Food & Drink;Other - Food & Drink	What kind of starch do you eat most often?	What kind of starch do you eat most often?  Pasta, bread, potato, rice...?
20090203041009AAK1f8p	Food & Drink;Other - Food & Drink	Do you drink tap water?	I do not want any more mony on bottled water.....
20090203025453AAbVCcc	Food & Drink;Beer, Wine & Spirits	Do you like the way beer tastes?	I don't. The more is tastes like "water" the better. You can guzzle it down quicker!
20090203024434AAdLEj7	Food & Drink;Beer, Wine & Spirits	What do you enjoy most about the effects of alcohol?	N/A
20090203042324AANZGyc	Food & Drink;Vegetarian & Vegan	What do people who are morally against killing animals feed there pet dogs and cats?	N/A
20090203025657AApTB4V	Food & Drink;Other - Food & Drink	When is pancake day?!?	i know its coming up but im not sure when it is exactly!   can't miss out on pancake fun!!!
20061023102513AAbc8IY	Food & Drink;Other - Food & Drink	En muchos lugares se acerca la hora de almorzar, a que le van a entrar hoy?	N/A
20090203034238AAqXztK	Food & Drink;Beer, Wine & Spirits	Want to purchase Red Wolf Beer, where can I find it?	Live in Ohio and can't find it here. Are there any parts of the country that has Red Wolf Beer available for purchase. Store names would be useful. 10 points & 5 stars will be awarded to the most valid answer.
20070518063008AATvGXv	Food & Drink;Non-Alcoholic Drinks	Te gusta el yogurt??? Cual es el yogurt que mas te gusta???	N/A
20090205115046AAjAdlS	Food & Drink;Other - Food & Drink	Looking for these foods any help?	Organic Matcha Green Tea Powder   Organic Wild Blueberry Powder
20090205114108AAEte0l	Food & Drink;Other - Food & Drink	Does this jelly or jam exist?	Organic   Nonheated   glucose/fructose free   sweetened with xyitol or stevia?
20070106193747AARYPGn	Food & Drink;Other - Food & Drink	Invent a dessert...?	using any of the items I have in my residence:      Chocolate ice cream,   banana-strawberry ice cream,   Peanut Butter,   Strawberries,   apples,   grapes,   Oreos,   Chocolate chip cookies,   marshmellows,   chocolate,   flour,   sugar,   Chips,   Salsa, Hot sauce,   Special K Cereal,   Milk, water,   Margarine (only a few tbsp left),   mini halloween treats, (kitkat, coffee krisp, Aero),   Mocha powder mix
20070912132308AAbojZV	Food & Drink;Vegetarian & Vegan	Te volverìas vegetariano si vieras matar un animal en vivo y en directo?	yo por esa causa me volvi vegetariana, a mucho orgullo.      Ahorita mi entrada es restringida porque le entro un troyano a mi PC pero estoy pendiente de sus respuestas.
20090205114058AArMoUV	Food & Drink;Cooking & Recipes	May I have some tips on how to make the 'bacon explosion'?	I don't need a lecture on how unhealthy it is, and I don't care to hear from PETA. I just want tips from someone who has actually cooked this dish. I thank you, and my Guy thanks you.
20090203040212AAYWyb2	Food & Drink;Other - Food & Drink	I was wondering if cearal lucky charms by general mills is part of reacall for peanut butter.?	N/A
20090203041821AAvYUBN	Food & Drink;Cooking & Recipes	What is YOUR favourite sandwich?	i know someone just asked what was the best sandwich - but whats your favourite?   thanks x
20090205115355AABqXQ8	Food & Drink;Other - Food & Drink	Im going to be 14 in 3 weeks and i want to have a meal at Casa Mia Millennium?	will they let us in with out any adults?   were all round about 13- 15   so i dont know will they let us in    im so exited :)
20090205114052AAd2Tvp	Food & Drink;Ethnic Cuisine	Online Filipino food store in Europe?	Does anyone knew any online Filipino food store in Europe?
