20090220133731AAJWDO5	Pets;Dogs	How Cute is my puppy?	Here's my puppy... her name's Lexie. :D       http://s724.photobucket.com/albums/ww244... 
20090220134605AAs6IzB	Pets;Dogs	Theres something wrong with my dogs eye but we dont have money to take it to the vet?	i think he has an infection   what can i use?
20090220134907AAJzcNo	Pets;Cats	Funny things cats do when sleeping?	today my cat was fast asleep on my chair when he jumped up hissing and spitting. he looked at me and my flatmate (we were no where near him at the time) then settled back down to sleep. bless him he must of been having a bad dream.   so what tell me about the funny things your little darlings do in their sleep :)
20090220135016AAQKIvg	Pets;Other - Pets	What can i call my lamb?	I am getting a Texel lamb and i am stuck for names. Can anyone help me???
20090220135105AAFAvMj	Pets;Dogs	True dog/animal lovers and religion?	just from observation, is it possible that people that truly care about animals (or dogs as such) are usually blasphemous atheists or perhaps at their best...budhists?   Any input welcome, curious :) That's all :)   P.S. My girl is sleeping after a long tiring walk in the woods. Well fed, well named and enough of cuteness :)))
20090220134753AAUhvX2	Pets;Fish	More! different answers?	Ok i want to know if molly fish eat there babies iv gotten alot of different answers please only experienced people answer thanks
20090220134618AAvaLyB	Pets;Reptiles	Crested Gecko forums?	What are the best crested gecko forums? Which 1 would you advise?   Here is a decent 1, its made by a very good breeder, he also sells his baby geckos.    http://spreptiles.com/ 
20090220135329AAwmXS8	Pets;Cats	Super name for a super cat?	Can anyone give me some suggestions for a name for my cat? He's black with white feet and a white chin. Thanks
20090220135027AA4IxaK	Pets;Horses	Help please ? what should I do about this?	I'm 14 years old with plenty of experience with horses, i have researched the subject and have done lessons. I want to get a horse and my mom LOVES the idea but on the other hand Dad hates the idea.      I offered to pay for everything for the horse and he would not have to pay a penny.But still he tries make excuses.      He say that i would not be able to afford collage and get a car if i do that.  But im getting a good job that would pay me well so i can cover the costs of the horse.      Note: my mom is paying for my car and collage for me.Answer in polite way.
20090220140327AANXzvg	Pets;Fish	How big of a tank do i need for.......?	2 goldfish,2 golden dojo loaches,2 plectrums im going to get them all as babys.
20090220140227AAn0SOu	Pets;Dogs	How often should i feed my new puppy? he's a black lab mix.?	right now i feed him at 5:30 am when i get up and again at two. he cleans his bowl almost before i can set it down. he's about 2 months. should i be feeding him three times or more?
20090220140831AAGxur1	Pets;Fish	Can you name me a BIG FAST SWIMMING tetra?	that will not get eaten from a 10" full grown african brown knife fish and a 14" bala shark? and grows over 3-4"?????
20090220140045AA8Z2Cx	Pets;Dogs	Is it ok to leave a dog inside a car for hours?	Last year I was on this Electronics course during the Summer Holidays to get another qualification to enter University. Anyway while I was there 5 days a week for 4 weeks, I had a lecturer who worked there from about 6/7am till 8pm. And he always said that taking your dog for a walk helps you to think of new ideas. And he only took his dog for a walk at lunch break every day. I don't know much about dogs (even though my mum had a poodle), but other people on my course did ask him every now and then why he kept a dog in there all day. But all he said was as long as he kept the windows open a little, the dog would be fine.      As I said, I don't no taht much about dogs - but I think that's quite cruel to leave him in there all day. And by the way, he works there almost every day of the year - not just when we were there.      So what do you think?
20090220140620AAa01yb	Pets;Birds	What Should I Get A Parakeet Or Cockatiel?	I want something cheap and cute and  plays a lot and original. I want something thats popular. I live in Carrollton, TX so if you know any cheap bird place please contact me.       -Thanks
20090220140925AAV40f6	Pets;Dogs	Help me please? A good name for?	A chocolate cocker spaniel puppy? Help?
20090220140121AA1vcFh	Pets;Dogs	Why are some of you guys so harsh with answers?	come on guys if you think someone is doing wrong give some positives instead of loads of abuse. i see loads of people ask questions and some answers must put them of using yahoo Q & A .
20090220135452AAWPAzl	Pets;Dogs	How can i get my dog to stop begging?	I know it's my fault for feeding him table food, so i've stopped doing that, but are their any other ways that can help?
20090220135715AAZNpEv	Pets;Horses	What do you do in rising trot?	in rising or posting trot, do you move up from your knees upwards, so grip with your knees or do you's stand up cause when I am up, my legs always move. Its kinda ha.rd to explain!!   A video from youtube would be really helpful!   Thank you   x
20090220135843AArKyg8	Pets;Dogs	What in the world is wrong?	My dog, a labrador (wich are supposed to love water) freaks out when he gets wet. What can I do to help him?
20090220135710AA1NQYD	Pets;Birds	Help!! my male cockatieals both eye's are swelling? help me!!!?	hellow   just bought 1 pair of cockatieal's both eye is swelling with kind of water form his eye.   please help me.i am not having any VET HERE as i am very far away from the city..please help me    thanks
20090220140836AAQpbl9	Pets;Birds	My male cockatiels eyes are swelling ?what to do help ?	N/A
20090220140207AABa6fg	Pets;Other - Pets	My pet kangeroo keeps kicking me. what should i do!?  HELP!!?	My pet Kangaroo keeps kicking me and my mom and we want it to stop but we dont want to be abusive.      HELP PLEAS!!
20090220140240AASOrYh	Pets;Reptiles	Does my frog need a calcium dust with vitamin D3?	I am going to get an Asian Painted Bullfrog. Does he need a cricket dust with vitamin D3 in it? Or just pure calcium?
20090220140248AAbMoF0	Pets;Dogs	Im gunna buy a puppy and i need supplies im i missing anything?	this is what im gunna buy for my puppy im i missing anything      food   bed   food and water dispenser   travel Carrier   doggie pickup bags   clean up supplies   leash   collar   tag   flea and tick spray   shampoo   conditonar   body spray   brush   comb   ear cleaner   eye cleaner   nail clipper   mints   tooth brush   tooth paste
20090220140822AA8vwdz	Pets;Other - Pets	How much does a vent charges for a visit ?	my hamster had babies 2 weeks ago and one of the babies had a accident and i think she broke her foot. i want to take her 2 a vent but i dont know how much i will be charged.
20090220141552AA31iDA	Pets;Dogs	Any opinions on this dog site?	 http://www.vanitypups.com/    Before you start ranting to me, I AM NOT PURCHASING ANY DOG FROM THIS SITE, NOR ANY OTHER SITE, NOR ANY BYB BREEDER! I already have a dog (which I obtained from a local shelter), and I'm not planning to get another. If I do eventually, then it will be from a shelter as well. I'm just curious on peoples' opinions on this breeder after I've seen people talk about getting one from them on Y/A. Thanks.
20090220141917AAOoSvc	Pets;Fish	How do you tell the difference between a boy and girl goldfish?	i have 2 but im not looking to breed them
20090220141634AAEMLIx	Pets;Reptiles	How much will it cost to own a leopard gecko?	I am planning on buying a Leopard Gecko and I want to know how much a leopard gecko will cost; meaning how much is the tank and what should be inside the tank, the type of food ex. Thanks
20090220142928AATd9iR	Pets;Dogs	Puppy collar size and name?	Sorry I already asked this question, I just want name ideas too!       I have a collar that we are going to put on a german shepherd lab mix (they think at least!) pup in a few days that is an 8" to 12" collar (they are 2 weeks old and I need to mark the pup). Its a soft adjustable nylon buckle puppy collar. Do you think that size should fit up until the pup is 8 weeks old or should I get another to give to the people with the pups? Will the puppy grow out of it in that time do you think?      The pups are black. A few have white tips on their toes and some have a bit of brown on their feet too. But mainly fully black. I'm most likely getting a girl. These are the names I was thinking of:      Remy   Hannah   Axel (yes for a girl)    Rio      Which one do you like best? Any other suggestions?
20090220142242AAotLUF	Pets;Dogs	What dog should i get out of.....?	i want to get a dog .....im 16 and this will be my first dog   but i dont no what to choose out of....[ Lab or german shepard or a rottweiler] ???? whitch one out of those 3 should i get?   just need an idea.
20090220142302AAA7LiB	Pets;Dogs	What to do with the dogs while we are in Chicago?   Babysitter won't watch them anymore?	Okay we have 4 trips planned this year.      2 of them the dogs can't come with us on.   We are going to Chicago for 4 days early this fall.   Early this summer we are going to Florida for 6 days.      For Easter we are taking the dogs with us to the big family gathering (we are going to NC/SC)   and we are going back mid summer with them for a few days....both times we are going to gatlinburg too with the dogs.         My grandparents used to watch our dogs...but now that they have a dog they said it would be too much trouble to have 3 dogs in their home but they offered to watch my poodle.      I don't want to seperate my dogs.    Boarding well they never got over it.      Boarding was a nightmare and they were supposed to keep them together well we got back to find out they were kept in seperate areas the whole time...and didn't see each other at all....that was 10 days      I do have someone who would take dogs....but they would be split.    As in one person would watch our poodle and the other would watch our mix.         What would you suggest.....is there something better than boarding at the vet?     Should we keep asking family and friends?         Should we just not go?
20090220142646AA0CtMm	Pets;Horses	Why does my horse always spook?	My horse is afraid of everything! How can I make him relax and focus on what he's supposed to do? I'll be cantering along and then he'll see a tree or something and completely stop, perk his ears up and start snorting. It seems like everywhere I go, there's a big scary monster.       Even in the place where I ride him all the time, he spooks. It gets so annoying! Or if he sees a stick that he's never seen before, he freaks out. WHY? how do I make him just relax and focus? I'm always relaxed when I'm riding so I don't know what could be causing him to do this.       He's a 6 year old morgan gelding.      Thanks!
20090220141230AAtM3Rs	Pets;Rodents	Can you cure a mites from a gerbil with any natural ways?	I think my gerbil has mites and I don't want to bring it to the vet because it is expensive. I live in Canada.     Any natural ways to get rid of mites from my 2 gerbils?
20090220143306AAZnGxd	Pets;Fish	Can you estimate how long my tank will take to cycle?	Please before you read, I cant afford a nitrate/ammonia test at the moment, I'm just asking for a ROUGH ESTIMATION, lol, so from the following info, how much longer will my tank take to cycle? Roughly?      1. I have a 24ish Gallon tank.   2. I filled it with water treated/conditioned with aquasafe.   3. I then treated water with 'cycle'   4. I left it with filter and heater for one night   5. Next day I added 2 mollies and live plants   6. 2 days later 1 molly gave birth 2 NINETEEN babies, now in a breeding net   7. I put half a capful of 'cycle' in   8. I feed big mollies once a day and babies 2-3 times a day   9. I have not yet done a water change      So can you estimate from these details how long it might take for the tank to cycle? I'm not that impatient but i have a fish on reserve at my local pet shop and now that the babies have come I don't know how long the cycle will take. The fish have now been in the tank for 8 days. If i did a 50% water change and put some cycle in would it be ready to get the fish perhaps on monday? Please no rude answers, I'm new to this and am not going to do anything without seeking advice first      Thanks
20090220141636AA4CC8l	Pets;Rodents	How much does a short haired syrian hamster aka honey bear hamster cost ?!?	pllssss  help me i need to buy one and i don't know how much it is             pls and thank you
20090220141145AASO6ny	Pets;Horses	Products for mares in season?	when my mare is in season she can become difficult, i'm looking on advice for supplements or products i can give to her to try and settle her down.   i got a bucket of ''moody mare'', a supplement that goes into her food and was wondering if this works or if any one knew about this product.   in ireland it has become harder to buy alot of these products as st. john's wort is now only available in products subscribed by a vet and so was wondering if this is the same in most countries?   basically i'm looking for a supplement for when my mare is in season that doesn't have to be subscribed by a vet and has no st. john's wort in it.      also, is stroppy mare good?
20090220143643AAHEvd1	Pets;Fish	How to change water in a 2 gallon tank?	I am getting ready to buy a male betta fish. i have his home all ready, it is a 2 gallon tank, with a simple under gravel filtration system and it also has a HEATER. i have no experience with fish, or fish tanks, and i am very nervous about changing the water.      i know you cannot "cycle" such a small tank, so i am wondering if this mean that i will have to do FULL water changes?       if so, i am scared that the large temperature difference between the cold NEW clean water from the tap and the warm water from the dirty aquarium will harm or be stressful on my betta.      is it safe to try to get warmer water from the tap, that is close to the water in the heated tank (judging with my finger), and quickly preform the FULL water change? i would plug back in the heater as quick as i could. and of course, i would condition the warm tap water.
20090220143155AAvZZyh	Pets;Dogs	My question is not showing up?	I don't think my question has been shown up, so here it is:         http://answers.yahoo.com/question/index;...       Sorry I had to post it here.
20090220141416AANJ0vb	Pets;Reptiles	What reptile should I get?	I have a 30 gallon tank, and i need something that can live in that. And something on the cheap side. I also have alot of the stuff, i have a eco earth comprassed coconut bedding, live plants, fake trees, and medium hide. I dont mind if its a snake or lizard. I also have a 10 gallon tank for crikets or mice if need be(for food). I dont have the heat lamp yet cause i need to know what Im getting before i know what watt i should go with. Any suggestions?
20090220142946AADgb2k	Pets;Dogs	Do you like the name Rosco for a Dog?	I love that Name:]......I miss him.......Some one bough him and I miss Rosco!
20090220143049AAIkRqW	Pets;Dogs	What is the best puppy food?	N/A
20090220141300AA4WCGw	Pets;Cats	Serious responses only please!  10 year old cat, why doesn't she like to use the litter box?	I don't understand why my female, spayed, 10 year old cat refuses the litter box.  I took her to the vet to make sure she didn't have a urinary tract or kidney infection, I tried different litter, new litter box, and a different place.  She poops all around the litter box and pees mostly in the box but if there is anything on the basement floor (ie: clothing materil) she will go there.  I change the litter box once a week.  Anyone with advice?
20090220141518AA5ygL2	Pets;Fish	Were or who can i sell my fish tank to?	besides craigslist ebay recylcer
20090220141604AAAMHzd	Pets;Fish	My betta always seems under the weather. :(?	Ok, so I had a 1-gallon tank, and trust me its a good tank! It's and oval shape tank, probably 5 inches tall and about 5 inches wide, which is a really good tank. Anyway, I feed him pellet food from the store, I had him since April 2008, and yet still alive, he's like this since around June 2008. He's always sitting down on the surface (like the bottom of his body is laying down, not his side.) His water is the right temperature around 72-74 F. I try putting it in 76 F water and still he's not happy. :( I was wondering, will my fish die soon? What should I do? I'm very attached to my betta, so please help . :)
20090220141125AAIUAf2	Pets;Horses	What are some good online stores for horse tack?	N/A
20090220141136AAxpqug	Pets;Dogs	Siberian Husky breeders, British Columbia? Vancouver Island?	I live in beautiful British Columbia, on Vancouver Island, and am looking to purchase a Siberian husky.   does anyone know of any breeders in British Columbia? hopefully Vancouver Island? Thanks..
20090220141216AAImRei	Pets;Cats	How do I now the sex of a cat I just rescued from the woods?	I rescued this feral kitty from the woods a couple of days ago, he looks about 5-6 months. I have another cat and he is been with us for a year and is a male.    2- I don't want them to make new kitties so now the new kitty has one of my bedrooms. Plus my older one has the whole house.   3-Plus I would like to give him- her a name       4-I tried to check under  to see if I saw a male thing but it won't let me   Can any one help?      5- My appointment with the vet is in 10 days. So I need help now!
20090220141218AAc0gRZ	Pets;Dogs	Dog in my backyard can you help.?	There was a little dog that bit me on the thumb, my thumb is now geting a little numb and it's a little sore, I dont know who dog this is but how can you tell if you got rabies, he bit a little deep on my thumb.
20090220141505AAxbY0d	Pets;Dogs	My Dog  skips  meals is that normal?	He's almost  one  year old  and  he still  has  a  lot of  energry and is very  playful when he doesn't eat.   But he'll skip a  meal and sometimes two in one  day or he'll just eat a little.   But has normal  bowel movements. Is he okay?
20090220141710AAObXzf	Pets;Dogs	What do I do to  Threat maltese behavior problems? Barking, and separation anxiety!!! PLEASE HELP?	SEPARATION ANXIETY
20090220142141AACwcpV	Pets;Other - Pets	My horse has a small case of heaves how can i help make him more comfortable?	He is a 12 year old thouroghbred, quater horse, pony cross gelding. Right now is winter so we dont soak his feed becouse the water freezes
20090220142712AAd7G1O	Pets;Dogs	Help me Dog help!!!!!!!!!!!!!!!!!?	okay my dog ate a little bit of mild taco bell sauce tht fell out of a taco will he be ok
20090220142529AA3hesW	Pets;Horses	People snuck into my barn....?	ok so someone snuck into our barn and cut off big chunks of 3 of our horses tails! were really mad about it. these 3 horses are like the 3 wildest ones in the barn. one is gray, and is somewhat calm, one is black and absolutly crazy and one is chestnut and will attack you. why do they want theyre tail hair? any ideas?
20090220142613AAHgSMK	Pets;Fish	What kind of fish should I get?	I want pet fish because they are easy to take care of. I just don't know what kind I should get. I want a couple differnt types of fish that are not expensive and that are easy to take care of. A few links to websites whould be great so I can do some research on them. Thanks!
20090220142640AAutZpR	Pets;Dogs	Our neighbors are furious beyond belief at our barking dogs. I can't afford to move. Shock collars?	Serisouly, I have always disagreed with the use of shock collars, I have been shocked (as have most people) and it's not pleasant. I would not willingly subject myself to it, but, like my friend just said - I wouldn't do the same thing that schoked me in the first place, again. Opinions, please?
20090220143549AAsZ1xO	Pets;Reptiles	Where is the best place to buy a leo?	I want to get a leo but I don't know where to get one!!                           Thx
20090220145644AAyudG1	Pets;Birds	What can I do to help this bird?	I have noticed that there is a wild bird that can't fly that comes to one of my feeders at certain times during the day.  I'm not sure if its wing is broken or what, but I did notice that on its right wing, there is a fairly big spot where there are no feathers, but that was all I could see wrong with it. I feel bad watching it wobble around, as there are a lot of snakes (rattlesnakes and copperheads) where I live, and want to help it until it is healthy again, but I'm not sure what to do.  There was no bleeding or anything like that, but I was wondering if maybe it will heal on its own eventually if I could provide care for it? Any advice would be appreciated!
20090220151745AAaZDgN	Pets;Dogs	Chihuahua odd eating habits?	My mother passed away last October and I adopted her little Chihuahua dog. She is about 8 years old and is a very sweet little dog and after a short period of depression (about 5 weeks) she has adapted very well to her new home since my mother's death. But there is something odd about her eating habits which I have never seen another dog do.      She has a healthy appetite and I feed her twice a day plus a couple snack treats mid day and evening. But she will not take a snack from my hand, not even when she is on my lap. I have to drop it on the floor and then she will cautiously sneak up on it and nip at it and quickly back away from it a few times before she will finally snatch it up and eat it. Likewise, when I feed her morning and evening, she will cautiously sneak up on her food bowl like she is afraid of it and nip at the food and quickly back away until she finally snatches a piece of food and then quickly back away from the bowl to eat it. She will do that over and over again until her food bowl is empty. And what is even more strange is that her food bowl is exactly like her water bowl and right beside her water bowl but she does not sneak up on her water bowl. She just bravely walks up to her water bowl and drinks her fill.      I am wondering if there are any other Chihuahua owners here who has noticed the same odd behavior?
20090220151031AAD7s19	Pets;Cats	My cat has blood in his feces.?	Our cat who is an indoor cat and is eight months old has blood in his feces. Not alot but like a clot or so.   He has been treated for worms recently and there is no longer any sign of them.  he was tested for feline leukemia which was negative and is up to date on all his shots. he is also neutered      What could be the possible problems?  Thank-you for your future answers!
20090220151605AAJ1jO2	Pets;Dogs	How to keep my dog from scratching on the door to be let in?	I have no idea how she knows how to do this. She's a puppy, 5 months old. We do have another dog, but he has never done this so she didn't learn this from him. How to get her to stop? She's ruining the door!
20090220145712AAWQ9cE	Pets;Fish	Can i make my gold fish pregnant?	ifi can how and  can i?
20090220153146AAvMWxM	Pets;Fish	Will black skirt tetras work out?	my 55 gallon tank has an angelfish, a brown ghost knife fish, and a bala shark,do u think they wont get eaten by the shark? or harrass the angel, im getting 6-8 of them!      the bala shark can reach 14"   BROWN GHOST KNIFE FISH 8-10"      and no, i DO NOT HAVE THE BLACK GHOST ONE!!!!!!!, i know those grow over 20"!!!, but the brown one doesnt!!, 10" is the most biggest size for this type of ghost knife fish.   And please please please, dont remind that the bala shark grows too big and i will need to return it, because i already have a plan for when he grows big, which is selling him because it is VERY rare to buy a full grown bala shark as they grow super slow and take a long time to do so, as well as "they need a school", because i took an hour checking trough all of the bala shark's care profiles websites, and 100% of them told me i COULD keep him alone, but i almost never ignore that rule. so please focus on my question and not on ur comments or opinions plox
20090220152413AAEg9WX	Pets;Fish	Whats wrong wit my blood parrot?	his mouth it seems like he can never close it but he stilll eats bloodworms, flakes, etc. and he has like a black spot on the top of his head, i saw that wit the other blood parrots in his petsmart tank as well, any ideas of wat is that black spot on his head?, do u think it got dyed and now the dye is going away??
20090220152435AAwOZER	Pets;Reptiles	What size tank will i need for a childrens python?	what sized tank will i need for a childrens python, or a spotted python?   and can i use a fish tank for a snake if i put a lock on it ?
20090220145109AAFQ56T	Pets;Cats	Anyone have any unused paws point codes?	Does anyone have any paws points from fresh step litter that they aren't using? I am so close to getting something that I want.      Thanks
20090220145109AAlEraI	Pets;Dogs	What kind of dogs are...?	what kinds of dogs aren't that hyper and are really cuddly?
20090220151536AAnzBN2	Pets;Dogs	We're getting a new dog in addition to the one we already have - any advice?	We have a Golden Retriever that is 12 years old (almost 13), and we will be getting a 2 year old Jack Russel / Pug mix next week, it's my brother's but he already has 3 other dogs and couldn't handle 4. I'm worried about how our Golden Retriever will react to this, would he be upset by it, and is it possible that he could get angry? Any advice is appreciated.
20090220145602AAHV8tE	Pets;Cats	How old are you? I'm serious!?	I just wanna get an idea of what age groups tends to use yahoo answers :)
20090220150718AAnkiaG	Pets;Cats	Kitten is almost 9 months old, eats kitten formula crunchy food. When should she switch to regular food?	I am just wondering if she is getting what she needs, or if I should switch her to a different kind. When does a kitten officially turn to a cat?? what age?
20090220144910AA8MYFB	Pets;Reptiles	Tortoise question.............?	if i make my tortoise lil flippers for its feet...will it be able to swim?
20090220151337AAQ4LXB	Pets;Dogs	My mom gives my dogs chocolate?	My dog who is 16[in people years] has ate chocolate pretty much her whole life. And she is mixed with St. Bernard and a hound dog[we think the hound dog but we know she is part st. bernard]. I thought chocolate is bad for dogs, my dog stll runs around and she is that old. And my mom gives my St. bernard[ who is 5] chocolate too. O and we give them human food, that you and I would eat reguraly. Is that bad
20090220145503AA0BCsz	Pets;Dogs	Can I get the furminator for a lab/pit mix?	I've heard so many amazing things about this "furminator" product... We have an 8 week old lab/pit mix puppy and I know I don't have to worry about shedding yet but I'm sure I will... They say not to use it on short haired dogs (like the pit I would assume) but this dog is mixed with lab (they shed TERRIBLY)
20090220152605AAbGwfM	Pets;Fish	What sort of the fish can I get for a coldwater aquarium that will clean the tank/ eat algae?	Hey there!      I just got myeslf a new aquarium, and I was just wondering if someone could tell me what species of fish I can buy from my local petstore that will clean the tank for me.       I think there a species of fish called the cleaner wrasse, but I want moer details please.      Btw, I;ve got myself 4 goldfish of varying species.      Thanks.
20090220150325AATywLo	Pets;Rodents	What should i name them?	my Genia pigs were both girls three days ago, or so i thought. they had three babies 2 days ago. woodstalk is actually a boy. So the mom is snoopy and dad- Woodstalk. I already named one Timber. The other 2, one boy (brown white) one girl (calico) i need to name. i want o name the boy charlie brown, and i think i'm going to name the girl Emily. she was a minor character in the peanuts show. sound good? any other suggestions?
20090220151437AAMZmAL	Pets;Other - Pets	Is it true they skin animals alive in tanneries?	Is it true? Are they dead or alive?      I heard they are skinned alive but it seems pretty pointless with LOTS of dissadvantages   thanks
20090220151509AApRC5z	Pets;Fish	If you know what an Orange Bloch (OB) Please read!?	How will 4 Orange bloch (OB) cichlids do in a 220 gallon tank with...      6 irredesent sharks (10 - 12 inches)   2 silver dollars (5 - 6 inches)   2 pictis cats (11 inches)      How will the (OB) or Orange bloch fish do in the 220 gallon tank.      THX      ~ShawnP
20090220150933AAivtpW	Pets;Cats	Whats a good way to make a new cat comfortable?	I just adopted a new cat from the shelter and right now she is hiding under the couch with my other male cat rolling around to try and get her to come out and play. Besides leaving her alone to come out when she wants and keeping it quiet what else could i do to make her more comfortable in her new home
20090220145347AAMHDcm	Pets;Dogs	Why won't my dog open his eye?	My family noticed this afternoon that the dog won't open his left eye. That was a few hours ago. I just got home and we flushed it with distilled water. We had to hold it open to do so. It looks very red. We can't call the vet till Monday. What could be wrong with it?
20090220145402AA2yhK5	Pets;Rodents	How do u litter train ur pet rat?	N/A
