20090307160756AAGF99E	Travel;Canada;Other - Canada	Do some communities in Canada still use the glass milk bottle system?	Where they pick up the glass bottles? Or at least are sold in glass bottles? Thanks.
20090225064821AAFpnkB	Travel;Mexico;Puerto Vallarta	Where is the best all you can eat buffet in PV?	the Sheraton had a very good one on sunday.      eating out in a buffet its my new diet! (picking what I can eat, of course)
20090227083919AAoT7pW	Travel;Air Travel	If i have already booked flights can I change the date of the flight i connect with on the way home?	I have booked flights with KLM from India to Amsterdam and then 2 hours later from Amsterdam to Newcastle.  What I am wanting to do is arrive in Amsterdam then change the Newcastle flight to 4 days later.  Do you think they will do this?  How much do you think it will cost?  It's not until September.      Thanks      xxx
20090225054501AAaUefY	Travel;Asia Pacific;Japan	What does がぎよう  mean?	N/A
20090225014134AAw9L0L	Travel;Canada;Other - Canada	Question about Australia, Canada and New Zealand?	Can you please tell me the difference and similarities between each of the nations (two please at a time, eg. Canada to Australia, Australia to New Zealand and New Zealand to Canada?) Also what the pros and cons they both have? (once again two at a time, eg. Canada to Australia, Australia to New Zealand and New Zealand to Canada). Thanks if your all able to answer this for me, just wondering for interest purposes. Thanks and happy A! ying. xo.
20090225075246AA8VOL1	Travel;Australia;Other - Australia	Do you know where they sell slim n lift in australia?	i don't really have time to wait for it to ship and i was wondering if they sell it in kmart or big W? i saw it once in a chinese shop but now its gone?   and if you have bought it what do you think of it?
20090225075754AAomUCm	Travel;Asia Pacific;Philippines	Coffee bean and tea leaf philippines?	do you know how the hiring process goes in this company and how much is the salary of a barista during training?
20090227084659AAPdpWV	Travel;United Kingdom;Other - United Kingdom	What time is now at England?	N/A
20090225074436AANYkR9	Travel;Europe (Continental);Belgium	Belgium; Availability of capital equipment?	-The freedom of entrepreneurs   -Who owns the factors of production in Belgium?   -Does Belgium have it's economy mostly free market characteristics or command-type characteristics?   -What is the size of the federal budget?   -do they have a national debt problem?   -How is the impacting interest rates?
20090225061709AAs3VRD	Travel;Asia Pacific;Japan	What is average price of house in tokyo?	N/A
20090225064254AAL3Du7	Travel;United Kingdom;Manchester	What does Manchester U refer to?	What does Manchester U refer to? its either       1. A vowel sound found only in the local dialect of Manchester   2. The world's first Underground commuter train   3. A top league football club   4. Britain's first University      Thanks :D
20090227084314AAtYEEu	Travel;United States;Honolulu	Is Honolulu safe for a female vactioning alone?	I'm going to Honolulu in December im staying in a hotel in Waikiki for my 20th brithday is it a safe place for me being alone? Also how much spending money should i bring? I already have the hotel and flight booked.
20090225073857AA5XT7Y	Travel;Asia Pacific;Korea	When a Korean guy love a girl(not Korean) how does he show his love to girl?	Korean family accept this girl?
20090225075033AAs4iiu	Travel;Mexico;Other - Mexico	Is it dangerous to go to Mexico right now?	We usually go to Mexico every summer, usually Cancun but I've been hearing about how dangerous it is right now because of the drug cartels.   Is it as dangerous in resort towns? We were thinking of going to Puerta Vallarta this summer but now I'm not so sure.
20090227084426AA5XYEL	Travel;Europe (Continental);Russia	Is it possible to extend the visa of study in Belarus?!?	so if someone have 30 days in his study visa and find other course too spend 6 months can he extend his study visa?,,       please no comment just i need answers! or info!
20090225012835AAmXDvI	Travel;France;Other - France	How are the ethnic tensions doing in France with the new immigrant Muslims?	N/A
20090225075126AA0ze9l	Travel;Australia;Other - Australia	Should I move to New Zealand or Ireland?	N/A
20090225050126AAEhNHy	Travel;Europe (Continental);Poland	Best place in Poland to get a tattoo?	I just moved to Szczecin, and I am wanting a new tattoo really bad!!!   Anybody know any good places?!   Thanks   xXx
20090225061536AAdr1Cr	Travel;Africa & Middle East;United Arab Emirates	Questions relating to Wife on dependent resident visa in dubai?	Hi,      I recently got my residence visa stamped on my passport in Dubai and my labour contract will be available within a week's time.      I want to bring my wife on dependent residence visa.      Please advice on entry permit (residence) requirements/procedure and also the requirements/procedure for residence visa stamping on her passport. My salary is more than the basic requirement.      Below are my specific concerns:      1. My passport doesn't contain her name as spouse but her passport does contain my name as spouse. Will there be any problem?   2. Marriage certificate - Does it need to be attested by Indian consulate in Dubai. I have already got it notarized/attested in India by the home department and UAE embassy in India and finally by the Ministry of external affairs here in Dubai.   If the marriage certificate is to be attested by the indian consulate in dubai, i think they ask for her name to be on my passport (Please refer point 1).   3. Do I need to get a sworn affidavit from Indian consulate here in Dubai? What documents are required?   4. Is Tenancy contract required for entry permit (residence) or residence visa stamping in my wife's passport. I am staying in sharing and they don't give me a tenancy agreement.   5. My wife's age is below 25 years. Will that be a problem. We are married for 3 years now.   6. In how many days does the residence visa needs to be stamped on her passport after arrival to Dubai.   7. How much time does it take to get the entry permit (residence) visa for her.      I want to bring her as soon as possible.      Please advice ASAP.      Regards,   Pratik   M 050-9466580   pratikvdoshi@hotmail.com
20090225071342AA3BgLK	Travel;Europe (Continental);Turkey	What are the must-to-see things in Ulaan-Baator? Thanks?	N/A
20090225050707AA2TrM3	Travel;France;Other - France	What are the best cities to study French language in France?	Hi, i'd like to live in France for six months or a year to freshen up my French language. I'll apply for a language course, of course.      I've been to Nice, Aix En Provence and Paris before. I really love Nice and Aix En Provence. Paris is great but i want to know more about other cities.      So, what are the best cities to study and live in (especially other than Paris) ?       City with friendly people, safe neighborhood, great culture, good nightlife, great transportation.      Merci beaucoup!
20090227083842AAq0iOZ	Travel;Mexico;Other - Mexico	Has anybody traveled to Oaxaca,Mexico?	I need to know what to expect when I go over there?Is violence bad over there?
20090227084640AALUAsX	Travel;Europe (Continental);Other - Europe	Where is your favourite Holiday Destination?	I personally love Turkey, Greece and Spain but i need information on Tunisia because we are thinking of going
20090224234717AAaDUBo	Travel;India;Bangalore	What is the approximate cost of living in Bangalore for a university Student?	I get Rs 10000 per month.. of which Rs 6000 goes on accomodation..how much should my average days expenses be on FOOD, ENTRETAINMENT,LAUNDRY...E.T.C
20090225040926AArdKEa	Travel;Asia Pacific;Taiwan	Where to find good currency exchange in Taipei?	I am now in a hotel located in Jinshan South - Taipei. Need to change to change singapore dollars for some taiwan currency. Where is a good place to go to for a better rate?       Any good eats to recommend?      Where can I find good outdoor stalls to eat? Like those I watched from TV?
20090225044605AAVa1ir	Travel;Europe (Continental);Greece	FIRE IN ATTICA FEBRURY 25 O9?	fire in Attica  New York    area yesterday February 24, 2009
20090225055328AAZJGBc	Travel;India;Chennai	When'll rahman returning chennai??????	N/A
20090225055818AAUfg5l	Travel;Travel (General);Other - Destinations	All inclusive vacation for $1000 bucks each?	Three friends and I are looking for a vacation to a tropical location from north east Pennsylvania. Our budget is about $1000 each.  We would like all inclusive package and I just wanted to know where to get the best deal.
20090225055903AAtPZbc	Travel;United States;Seattle	How is it living in University Place or Tacoma WA? I'm trying to move at the end of this year.?	I'm trying to live near a military post...military veteran likes to live near each other.
20090225060147AAlhmSv	Travel;Europe (Continental);Netherlands	Has anyone lived in Tilburg, The Netherlands? What can i expect?	in august im moving to tilburg in the netherlands for about 5-6 to study at tilburg university. was just wondering if anyones lived there or even studied there what can i expect?   thanks
20090225070409AA1wsZ0	Travel;Europe (Continental);Belgium	How many killometres are from Haague, Holland to Brussels, Belgium?	N/A
20090225073412AAFQsYE	Travel;Ireland;Other - Ireland	Anyone Know About Ireland?	What is Ireland's demographic breakdown, economic/government base, leader? What is Ireland known for in the international community?
20090225075216AAHlK52	Travel;United Kingdom;London	London - is it all they make it out to be?	`favourite place - london` `dream town - london` `i miss london id love to live there` blah blah blah some of the quotes we hear from tourists about london.. but is it really all its made out to be ? Town centre is full of shops where the cheapest thing youll get is like a belt for 20 quid, basics such as drinks and neccesities are double or triple the price of anywhere else in the country. Nobody speaks english, you are twice as likely to get pickpocketed in central london than anywhere else in the uk, plus stray out of the centre and you come across some of the worst suburbs in the country (hackney romford eastham ) etc, so all in all.. is  london really worthy of the hype? oh and not to mention people are soo unfriendly, they stare at you on buses/tubes like you are something the cat dragged in, and they never apologise for bumping into you
20090225075713AAKmWzr	Travel;Travel (General);Other - Destinations	Im looking for a place to go on my honeymoon.?	we were thinking of going to hawaii and we thought we had our mind set but then we were thinking other places. we are looking at jamaca but then i googled it and alot of poeple said bad things and now im a little scared. i really think its pretty and would be alot of fun i need help
20090225075822AAaliAa	Travel;Asia Pacific;Thailand	Learning to drive in Thailand?	I would like to know the legal age for learning to drive in Thailand with a driving school.  I live in Pattaya and would like to know if anyone can recommend a driving school here.  I'm 17 at the moment.      thanks,
20090227083724AAYmCL6	Travel;Other - Destinations	How far is R.T.Nagar from Whitefield, if I ride by a bus or have company pick up?	Also,what shall be the monthly rent for a 2BHK flat in R.T.Nagar for middle class family. Please answer only if you know and not otherwise.
20090227083754AALoyhr	Travel;Europe (Continental);Other - Europe	Is Sweden a boring country?	One of my twitter friends needs to prove to his boss that Sweden isn't boring.
20090227084414AAuezP6	Travel;United States;Seattle	Does anyone know the story / history behind the 4 pillars that stand on the corner of Pike & Boren in Seattle?	N/A
20090307112657AACxmYE	Travel;Air Travel	Do you like your passport photo? i got mine redone today after years of looking like a phantom lol?	if you find this question interesting,show me^^
20090227084942AAp3wdK	Travel;United States;Austin	What is there to do in Austin, TX?	My husband and I are planning a weekend trip to Austin. We really need some help as far as places to see, things to do, and places to eat. I know about 6th Street but I also heard about this Bat Cave that sounds interested. I also wanted to know if there were any haunted places to go to.       Anyone who helps me out the most gets the Best Answer!      thanks!
20090227085747AAK3THj	Travel;Africa & Middle East;South Africa	Town ships in South Africa, why are they called 'Townships'?	Thanks.
20090307104952AARYW9u	Travel;United Kingdom;Leeds	Hairdressers for muslim women in Leeds uk?	Hi, i wanna know if there's a hairdresser in Leeds uk (west yorkshire specifically) that a muslim girl can go to? where is it and what are the range of prices there?         Thanks a lot in advance :)
20090307110721AApVBfV	Travel;New Zealand;Other - New Zealand	What do New Zealanders think of...?	Infant male circumsicion?      Is it commonly practised? Are there cultural preferences for it?
20090227084833AAyuMIk	Travel;Travel (General);Packing & Preparation	Where can I find a fanny pack?	I want one that I can put stuff in when I'm hiking and have a place for a water bottle.  It needs to be about the right size to throw a sandwich in if I need to.     Thanks!
20090227084754AA4nAB4	Travel;Africa & Middle East;Lebanon	Answer these questions (easy)?	1. Red Bull v. coffee?      2. Mcdonald's v. Home cooked food?      3. beach v. ski slopes?      4. chatting v. talking on the phone?      5. red v. black?      6. cars v. jewelry?      7. FINALLY==>what do you do in life?
20090227085704AAAOrRS	Travel;Other - Destinations	What is your favorite country?	We love to travel around the world. Each country has it's own beauty but what is your favorite country to travel to?      DSCGOURMET.COM best gourmet gift baskets in LA
20090227085651AAvvJ2n	Travel;United States;Other - United States	Moving to Rock Springs, Wyoming...HELP?	I am taking a job in Rock Springs. Where can I hang out and avoid all the creepers. I'm into music, coffee, and anything artsy. Any other advise would help! Thank you!
20090307100314AA2Gd7n	Travel;United States;Austin	Where are all the cool places, as a teen, for me to hang out w/ my friends in Austin, TX?	As a teen that lives in austin, Ive done everything that a normal teen does. Ive been to the movies, to the mall and im sick and tired of the normal teen weekend. I want to do something new, fresh exiting! By the way my friends and I are 13.5 to 14 years old. Thanks!
20090227090257AA0xOqg	Travel;Africa & Middle East;Saudi Arabia	Are you the first born, middle, or last born child? &?	N/A
20090227091044AATvgnQ	Travel;Africa & Middle East;Egypt	Egypt moves to curb population explosion?	i saw this video on youtube about how the government is trying to introduce family planning programmes and contraceptives to control population.here is the link:       http://www.youtube.com/watch?v=yKihmV9q_...       "Egypt's population growth rate is two and a half times that of China, and about the same as India.      The government is aiming to bring down the average family size from 3 children to 2 by 2017"      the reporter says that they wil make contraceptives more available.do you think egyptians might reject this idea or what?like for example, they might say its haram and as such, discard the idea all together.      what do you think about this? do you think it will even work?
20090227090330AAReLHZ	Travel;Latin America;Other - Latin America	Is it safe for an American to travel to Bogotá, Colombia this summer?	My Spanish is limited, although close to conversant. I'm a white male aged 18, and would probably travel alone until I met up with a friend. Is it safe to travel there? I only ask ebcause everyone up here is telling me it's not, that there's lots of kidnapping.
20090227090108AAZ0xO6	Travel;New Zealand;Other - New Zealand	Canada/New Zealand differences?	What are some social,political,cultural etc. differences between Canada and New Zealand?
20090227090648AA62jvU	Travel;United Kingdom;Other - United Kingdom	For people in South Wales or anywhere in Wales?	Does the name Dave sound like a Cardiff name? To me, it does.
20090227090036AAtIFuq	Travel;Asia Pacific;Malaysia	Malaysia: How are you today?	N/A
20090227090747AAqpnXL	Travel;United States;Other - United States	Does anyone live in the Naples FL area?	My husband and I are thinking of moving to Naples FL.....if this job opportunity pans out. If you live here, or in the area, could you tell me what you like/dislike about it? What is the economy like there? It can't be worse than Michigan....what are the people like? Anything we should beware of........thanks to all who respond.
20090307154910AA44xBc	Travel;United States;New York City	Advice for a fun girls day out in NYC?	My friend's 18th birthday is coming up and I am planning to take her to the city for the day. I would like to have lunch at a fun place like Planet Hollywood but besides that, I have no clue of what to do. Can you suggest me something fun? And maybe a place where we can have a very special birthday cake...Thanx!!
20090307160433AARN3yM	Travel;Air Travel	Laptop on midwest airlines flight?	im going on a flight soon and im flying with midwest airlines. Im flying alone so i was wondering if i can bring my laptop. if i cant use internet can i just play games or mess around? will there be a plug on the plane so it wont die haha
20090307160203AAZhdOW	Travel;Air Travel	Domestic flights late saturday  nights?	i need a flight (with a reasonable price) that leaves boston (BOS) to greensboro (GSO) on march 28th that departs AFTER 9 pm. i can't find any. can u find one?      HELP!!!
20090227090348AAIE7pV	Travel;United States;Las Vegas	Anyone know of any good hotels on the Las Vegas strip that arent too expensive but good?	N/A
20090227091213AAvub1g	Travel;United States;Other - United States	Soo michigan is anyone there?	soo michiganis a small townis in1989 anyways eveyone knows everyone. (leon jackson) haves a cuple of brothere jerry, dwain,
20090227090004AAx7019	Travel;United States;Miami	Where is the best place to watch the sunrise in Miami, FL?	I want to take my girlfriend on sunday. Preferably someplace near North Miami but i don't mind taking a drive long as its worth it.
20090227090058AASQsoj	Travel;United States;Other - United States	What cities are within 2 hours of Inez, Kentucky?	If there is a website where I could find this information please let me know
20090227090114AAskhLm	Travel;France;Paris	Best neighbourhood to live in paris?	which is it? the fanciest neighbourhood?   and which is the best for a normal 22yo guy?
20090227090504AAb4lN8	Travel;United Kingdom;London	Can i Take Speaker Through Customs?	Im flying from England to Munich tomorrow, can i take speakers through customs in my main luggage?
20090227091215AAyNL4w	Travel;United States;Boston	Where is a good place for a vacation rental in Cape Cod for 8 mid 20 year olds?	Hello,      This August myself and 7 friends are planning on heading to Cape Cod for a week. We want to rent out a house on the beach. There are so many places in Cape Cod though and I am quickly getting overwhelmed. Any suggestions based on the following criteria would be much appreciated:      - There are 8 of us and we are all between the ages of 22-27.   - We are looking for a place with other people our age. Place does not need to be suitable for families or young children.   - We are looking for a place that has a good nightlife, preferable with bars/clubs/pubs within walking distance.   - While we want the above, we would like as much of the beach, water sport, golf and shopping as possible. That is, we would like a balance of the night activities and the day ones.      Thank you very much.
20090227091431AAO9IkA	Travel;United States;Las Vegas	What are some romantic things to do in Las Vegas?	My DH and I are heading off to Vegas for a little get-away in a couple of weeks.  No kids for 4 days!  Yay!        But I was wondering what the most romantic parts of Vegas are.  What's your favorite place to hang out with your significant other in Sin City?
20090227091806AA8Rm2i	Travel;Travel (General);Other - Destinations	On wich site i have to go to find out the centre from the hall ticket no .?	N/A
20090227091854AAJWAc1	Travel;United States;New York City	What time is it in new york if we were in the year 2020?	wat time is it
20090227091906AAgL1ng	Travel;United States;Other - United States	Good central hotel in Gatlinburg? Greystone Lodge at Ripleys Aquarium? that is the one I've been looking at...?	Is the aquarium pretty central to all the attractions and restuarants/bars!? Thank You in advance!!
20090307161714AAkA6rB	Travel;Travel (General);Other - Destinations	If you could start your own country what would you name it?	N/A
20090307163510AAC4Z0i	Travel;Travel (General);Other - Destinations	Which cities are the coolest ones to visit?	For my B-day i can go anywhere i want to! soooo i want to go somewhere really cool! so please answer the following questions: (for a teenager!)      a) which one is funner: San Fransisco or New York City       b) what other places around the world are really really cool?
20090307161657AAzv7nj	Travel;Australia;Sydney	As a tourist, what is there to do in Sydney?	you know... for fun??
20090307164139AAVS8M1	Travel;Other - Destinations	Where can I go for sun and water without my son and daughter?	Looking to go on a spring vacation without the kids. Any advice?
20090307161817AAapVhr	Travel;Latin America;Other - Latin America	Which is safer: Argentina or Chile?	I am considering studying abroad in either Chile or Argentina in an attempt to study Spanish and see the world outside of the United States of America. Both seem like lovely countries, but I do not know which country is safer when it comes to living there etc. etc. Your thoughts?
20090307165458AAcokEe	Travel;Canada;Other - Canada	Can u compare the us government to Ontario canada?	well i cant find any good websites um but um can u compare the united states to ontario canada like what they both have and what they dont have that is alike thanks
20090307160506AApZwS6	Travel;Travel (General);Packing & Preparation	Can I travel in the country with an expired passport?	I am going to florida for spring break from jersey and my passport just expired. I only have a student id as another photo id other than my passport. will they let me on the plane with this identification. (I am flying jet blue)
20090307161738AAVub4W	Travel;Cruise Travel	Cruises...Opinion on best cruise lines.?	Wanting to take a cruise up to Alaska. I was wanting to get opinions on the better Cruise Lines. Which rooms are best etc...
20090307162049AAZIzls	Travel;Other - Destinations	I need unique family vacatoin ideas. please.?	My kids are 12 and 10. I need something under 2000 including the whole family.
20090307162121AA4LHjP	Travel;Travel (General);Health & Safety	Chenobyl water, is it safe?	is the water in chernobyl safe, or let alone the water that passes throught it?
20090307163000AA41iDc	Travel;Canada;Other - Canada	Traveling as a student to canada?	I am going to study to canada and I want to know where i need to send all my papers .. applications.. and if i need to go to the consulate in buffalo or just go to the consulate in georgia (for example)
20090307163829AANoUV8	Travel;United States;New York City	Whats the most popular NYC radio station?	that teens and young adults listen to, with pop music etc
20090307164543AAlAbbF	Travel;Travel (General);Packing & Preparation	What do i bring on a 2 hour flight?	i need to know what to bring on my flight for 2 hours! what food can i bring? what size bag? what do i do for entertainment? can i text on the plane? please help im leaving in one day!
20090307165508AAJHceK	Travel;Travel (General);Other - Destinations	Suggestions for Cross-Country Road Trip =)?	I want to plan a cross-country road trip after graduation... going from Florida to California and back...   I need suggestions on some attractions to visit on the way and tips for a successful road trip from anyone who's done this before...      I was thinking like a week or two to get there and back... Thanks :)
20090307165530AAWxvOY	Travel;Travel (General);Other - Destinations	Has anyone had problems with Expedia?	Booked a flight, a car and a hotel for a Shuttle launch in Florida.The launch was moved up and I had to move up my reservation by 1 day. I understood that it would have been necessary to pay the $150 change fee ( chance I took when I booked the flight). I was OK with that until they DOUBLE CHARGED me for the change fee. I went to the airline and saved myself $150. THEN I wanted to move up my motel reservation by 1 night- a $25 CHANGE FEE. THEN I figured things out with the hotel bill. THEY WERE CHARGING ME AN EXTRA 30% A NIGHT FOR TAXES AND OTHER EXPENSES. Taxes are 11%. First and last time with Expedia. Also they are refunding $150 or so - we'll see if that happens.
20090307170304AADBlmf	Travel;United States;New York City	I need help with this topic?	I have a michigan driver licence and i am planning to go to New york soon so can they change my licence to a ny driver licence and if yes what will i have to do?? or what type of documents do they need?
20090307170700AApkS9L	Travel;Other - Destinations	Has anyone ever lived in the US, and Europe?	and do they have racquetball in europe?
20090307171742AAaGAcJ	Travel;United States;New York City	Looking for toll prices going from Ohio to NY can anyone help?	we are taking a trip for the first time from Ohio to Long Island.  We need a estimate on how much the tools would be here in our route  http://maps.yahoo.com/;_ylc=X3oDMTExNmIy...    please help I need to find out asap
20090307162939AAFupWh	Travel;United States;Orlando	Do you like Living In Orlando, Florida?	and why -- pros and cons
20090307164117AArrWeP	Travel;Australia;Other - Australia	Australian slang question?	While reading through some of the Q&A's on here, I've seen a few people say, "I'm fair dinkum."   What does that mean?      I saw another guy use the word "poof."  Is that slang for a gay man?  I assume it's offensive?
20090307164037AAqY0Bu	Travel;Australia;Other - Australia	What are the differences you notice between U.S. and Australia?	If you've been to both countries.      Any aussies that have been to the states?
20090307161838AAC84Wv	Travel;United States;Las Vegas	Is there a shopping mall with a victoria secret in summerlin area in las vegas?	N/A
20090307164458AAnzzNt	Travel;Europe (Continental);Other - Europe	Does Europe have an air force?	i was just wondering and if they do can you link me a website with some information thnx =)
20090307160815AA11wPm	Travel;United States;Other - United States	How many state parks are in massachusetts?	i cant seem to find the answer anywhere. please help! :D
20090307160936AAdc756	Travel;Australia;Other - Australia	What is the mileage between Mildura and Echuca in Australia? Thank you?	N/A
20090307160415AA5nT9K	Travel;Spain;Other - Spain	What part of spain is best to live in?	N/A
20090307160451AAYixd6	Travel;Spain;Other - Spain	Is spain a good country to live in?	N/A
20090307163328AAV0dO3	Travel;Asia Pacific;China	Ppl who teach in the mainland?	Do you have any spare time? I know that there are a lot of factors that go into play here, such as where you work and how many teaching hours per week you are assigned..      However, generally, do teachers in language schools in China usually have any spare time to speak of? I'm a junior now and take my classes online. I want to come to the mainland as a senior and finish my degree from China. Do you think that there will be any time for this, generally?
20090307164453AA6zP95	Travel;Africa & Middle East;Other - Africa & Middle East	I'm going to africa, to help out for a month....advice?	i'm going to kenya, Mombasa to help out at the educational centers  and orphanages and i thought about raising money before i went.   But what would be a good idea to use the money for, like buy clothes, and things for them and give to them there...or what? give it to the chairty...but in cash? would look a bit wierd   ahaha.      i'm 18 and can raise some money at school before i go on my own.
20090307172712AAT76Vx	Travel;Travel (General);Other - Destinations	The city life or the counrty life?	apart from the clear reason why, how do u find city living different to country...does it change u as a person.    I like both but i cant work out which on would be bet and which id like most, so what do u do? I like space, peace, fresh air, camping, beach, but then i also like how you can meet much more people in the city, there a fun places to go out, live music and more oppurtunity to pursure your interests???? Im torn'
20090307163416AA0R42V	Travel;Africa & Middle East;Israel	Do you REALLY think the Palestinians are using the $5.2 billion to "rebuild" Gaza?	I sure as hell don't.
