20071223135331AAUA8HJ	Entertainment & Music;Polls & Surveys	?Que haces en este mismo momento aparte de estar en YR??	yo voy a irme a comer
20080120221407AAEiYjT	Entertainment & Music;Polls & Surveys	Quien ha sido la persona mas tonta que has conocido y porque razon?	Que tonteria ha hecho...
20080111142443AA1pFcm	Entertainment & Music;Polls & Surveys	Cual a sido el acontecimiento mas importante que a ocurrido en tu país?	politico deportivo social catastrofico etc reciente o pasado      si me pudieran decir el pais y el suceso me gusta estar informada
20080119073335AA580ia	Entertainment & Music;Other - Entertainment	Me ayudan a aumentar mi poblacion?	es como un juego   http:monica-deco.myminicity.es/   gracias
20080106091627AALF8qL	Entertainment & Music;Music;Rock and Pop	30 Seconds To Mars VS Green Day?	da una parte abbiamo Jared Leto dall'altra...Billie!!!!!!!!!!!!!!!!!      diciamo che x ora ho le idee confuse...pero' nooooo non posso tradire Billieeeeeeeeeeeeeeeee noooo!!sono un suo fan accanitooo!!!Billie e' unicooooo!!!voi cosa ne pensate???un po' di consigli....ciao a tutti e grazie delle risposte!!!un abbraccio a tutti i miei contatti!!!!!ciauuu!!!!!!!!!!
20080108084628AA9zqsO	Entertainment & Music;Music;Rock and Pop	Green day...????	Ciao!!!Io sono una grandissima fan dei mitici GREEN DAY!!!!mi piacciono tantissimo....vabbè lasciamo perdere quello ke penso io.La mia domanda era se anche voi siete fan e xke,quali sono le vostre canzoni preferite,da quanto li seguite,ecc.(aggiungete voi xke nn so più ke chiedervi)XD.      P.S:rispondete in tanti vi pregooooo!!!!!   Saluti a tutti!!!!W Green Day
20080116210521AAyaRED	Entertainment & Music;Polls & Surveys	?Para que sirven las estrellas?	esas que tanto piden algunos, te da mas puntos o que?               VIVA PERON
20080119042630AAWJw2e	Entertainment & Music;Music;Rock and Pop	I migliori del 2007?	tra Finley,Avril Lavigne,Green Day,Zero Assoluto,TH io direi i Teletabbies. Dovremmo premiarli come migliori del 2007!      P.S w il rock anni 70!
20080216015616AAyLXJY	Entertainment & Music;Polls & Surveys	What is one thing you hope to accomplish in your life?	N/A
20080216110019AAK4C3B	Entertainment & Music;Music;Rock and Pop	Bullet in a Bible, la canzone Shout è dei Green Day?	La canzone è dei Green Day o è una cover di qualc'un altro? Se si sapete chi?
20080306181956AA9BqLq	Entertainment & Music;Polls & Surveys	Qué es Más Molesto en Medio de la Noche, Una Llamada Telefónica Equivocada o un Mosquito Rondando tu Oído?	=S
20080301001948AAmefmH	Entertainment & Music;Polls & Surveys	Chicas, cuando usan tacones altos ?Algunas vez haz hecho shoeplay en un lugar público?	Es algo muy común ver a chicas que aprovechan para quitarse los zapatos (ya sea sólo el talón o todo el zapato) en un lugar público de forma muy discreta, muchas veces porque es su costumbre, o por manía, otras veces porque les gusta hacerlo, la mayoría de veces porque los tacos las estan matando, otras porque se sienten muy sensuales al mostrar sus pies. Sobre todo si es que tienen zapatos de solo meter el pie.      ?Tú lo haces? ?Porqué motivo?      Esto es conocido como shoeplay, aqui pueden encontrar algo de información       http://shoeplayers.blogspot.com 
20080203060939AA8mr5o	Entertainment & Music;Music;Other - Music	A.A.A....rispondete please!?	avrei bisogno un aiutino!   C'è una canzone che fa così...   Acqua azzurra o alba chiara..........la suonavano ieri in discoteca...chi sa dirmi il titolo?
20080131171453AABiXJ6	Entertainment & Music;Jokes & Riddles	Por favor no aplaudas que un ni?o se muere...?	Es muy conocido el espíritu altruista de Bono, vocalista del grupo U2, quien ha participado activamente en campa?as en pro de una mejor repartición de la riqueza entre las naciones y la condonación de las deudas externas de los países en vía de desarrollo.    En un concierto que dio en México hubo una parte muy emotiva en que pidió silencio. Entonces, dió un aplauso. A los pocos segundos, dió otro aplauso. Repitió esto varias veces ante un silencio imponente del público. Entonces, con voz angustiante dijo : 'Every time I clap my hands, a child in Africa dies.' ('Cada vez que aplaudo, un ni?o muere en Africa')      Entonces se oyó claramente una voz del público (con acento chilango) que le dijo: 'Pues deja de aplaudir
20080211073126AAX2MXO	Entertainment & Music;Other - Entertainment	Green day??10 PUNTI!!?	ki sa ke fine hanno fatto i green day?? cioè dopo WORKING CLASS HERO nn li ho piu sentiti.. ho sentito ke stanno facendo un nuovo cd.. e vero?? q d esce??? GRAZIE 10 PUNTI!!!
20080124095514AAB9mwT	Entertainment & Music;Music;Other - Music	Canzone dei green day?	ho visto un video dei green day che cantavano su di un palco davanti a tanti ragazzi ,tipo qundo si fanno le recite cmq mi fate il piacere di scrivermi il titolo della canzone grazie   la canzone dovrebbe essere recente
20080214235341AAA9RKa	Entertainment & Music;Polls & Surveys	Which of these are you most like?	Accordian   Yo yo   Bubblegum      Please explain why.
20080223212331AA2aLGG	Entertainment & Music;Polls & Surveys	? Con cual canción te identificas en este momento ó cual es la que traes en la mente....?	...la mayor parte de tu tiempo libre?
20080216013906AAh58yx	Entertainment & Music;Polls & Surveys	What is your favourite supermarket Ready Meal?	N/A
20080217002945AAOtGlm	Entertainment & Music;Music;Rock and Pop	Cosa dobbiamo celebrare oggi, 17 febbraio?	Pensateci bene....
20080124122920AANis0R	Entertainment & Music;Music;Rock and Pop	Domanda per i fan dei Green Day!!!?	Ciao a tutti !!!!!!! Come va? Qual è il vostro testo preferito dei Green Day e perchè ?       Ah ! Visto ke ci sono !Pettegolezzo su Billie Joe XD...!  Avete notato anke voi ke ha un altro tatuaggio?? Sotto al nome di suo figlio ora ci sono delle rose... O almeno sembrano !!!! Ecco la foto! L'ho notato per caso in Rolling Stone! "http://i30.tinypic.com/5lq8ms.jpg"    Ciaoooooo a tutti e buona serata!   Mary J
20080307141753AASNHhj	Entertainment & Music;Other - Entertainment	Qual è la canzone della pubblicità di trl?	Quella in cui saltano !   Grazie... Buona serata!   Mary J
20080130074121AAfglLu	Entertainment & Music;Music;Rock and Pop	Ma quanto è bella questa canzone di Mia Martini???	avete mai sentito "almeno tu nell'universo"???è STUPENDA....se avessi un ragazzo gli dedicherei quella!cosa ne pensate? !è bellissima, per chi non la conosce ve la consiglio proprio!!!
20080212060927AAbA016	Entertainment & Music;Music;Rock and Pop	Green day...?	a ki piacciono i green day???    io sn 1 loro grande fan... la mia preferita è basket case ma anke good riddance è bella... ttt mi dicono k i green day sn dei fallitti... voi k ne pensate??? e quale è la vostra canzone preferita???    grazie
20080218105648AA1CGeo	Entertainment & Music;Music;Rock and Pop	Blink 182 o green day?	chi preferite?   e quale canzone?
20080205112436AAHj6F7	Entertainment & Music;Music;Rock and Pop	Fan dei green day!!!!!! avete notizie???? l'album doveva uscire nel 2008 ma qnd?????? nn ne posso +!!!!!?	sono in crisi di astinenzaaaaaaaaaa!!!!!!
20080217072030AArjGMn	Entertainment & Music;Celebrities	Auguri a billie joe armstrong!!!!!! oggi compie ben 36 anni ma se ne porta 20!!!!!?	N/A
20080124152323AALnTjZ	Entertainment & Music;Polls & Surveys	?Chile o Perú?	Cuales son las razones para tomar partido por alguno de estos paises, ej: cultura, educacion, raza, turismo, desarrollo, etc...
20080126131201AAPrOZ2	Entertainment & Music;Polls & Surveys	Te gustan los temerarios?	el grupo musical      10 pts a la ultima respuesta
20080207204506AAtzjOJ	Entertainment & Music;Polls & Surveys	Que puedo hacer para dormir bien por que ma?ana debo levantarme temprano y no puedo dormir?	que me recomiendan
20080207121611AAB5Ak2	Entertainment & Music;Jokes & Riddles	Un Chistesito??? Para alegrar la tarde?	El director general de una compa?ia muy importante, manda a llamar a uno de los empleados a su oficina y con gran ceremonia le informa;    - Fernando, he decidido nombrarlo gerente de la planta.   -? Caramba!, ? Gracias, jefe!, - exclama el empleado   -? Que tengo que hacer?-,    - Pues solo encargase de regalarla todos los dias- constesta el director al tiempo que le entrega una maceta.         Si les gusto me podrian dar una estrellita, gracias y saludos para todos.
20080228122107AAL2y21	Entertainment & Music;Polls & Surveys	Por q no cerramos los ojos cuando besamos a alguien?	Diganme lo q piensan en realidad,,!
20080203212650AA3JqK3	Entertainment & Music;Music;Rock and Pop	Para los fans de franco de vita ; acaso no les parecio como una mentada d mad%& q a?os d seguirlo para que..??	no se les hace como una mentada de mad%& que despues de tanto tiempo de seguir a franco de vita para que terminara haciendo regueton disfrasado de cancion de paz ??????      la verdad no me parecio bueno pues el tiene mucho tiempo en su muscia como para q terminara tan bajo.      ya no lo veo con los mismo ojos      y ustedes???????
20080301002759AAwkGdn	Entertainment & Music;Polls & Surveys	Porque me cuesta tanto hacer lo que me gusta?	Antes tenía la buena costumbre de escaparme cada vez que lo necesitaba, me cogia mis bártulos y me iva a pasarme la horas en un lugar en el que hubiese muchas plantas, agua y animales a ser posible. Desde hace un tiempo me he quedado estancada. Mi trabajo me quita casi todas las horas del día y apenas me entero del tiempo de un dia para otro. Me gusta hacer fotografías y antes me cogia y me iva al campo, sacaba fotos a montones de plantas e insectos que me encontrase .Ahora me da miedo ir sola y es algo que nunca me pasó. Sé que eso es una tontería pero el caso es que lo que me suponía una maravillosa aventura se ha convertido en una ilusión que no llego nunca hacer. El caso es que siempre me lo propongo pero al final me retracto.
20080225190646AAag4Hu	Entertainment & Music;Other - Entertainment	De que me sirve ser un COLAVORADOR DESTACADO?	N/A
20080123120645AADtxIN	Entertainment & Music;Polls & Surveys	?alquien me podria decir cual es la diferencia en esto?	 http://www.youtube.com/watch?v=GX6j3DH9h... 
20080202123412AAVlxPa	Entertainment & Music;Music;Rock and Pop	A chi piacciono i green day?	qual è la loro canzone k vi piace di piu?
20080220131435AA8No6b	Entertainment & Music;Music;Other - Music	Canzoni...adoratissime CANZONI?	Ditemi una canzone che vi da particolarmente carica e sicurezza..non accetto house..la migliore..bè..10 PUNTI XD
20080208114323AAlI8uf	Entertainment & Music;Music;Rock and Pop	Green day......?	ditemi cosa ne pensate......
20080228170751AAExD9b	Entertainment & Music;Television;Drama	Does Anyone Remember The old GRACE BROS. Commercial Jingle?	We were asked this question and NO ONE can remember. We all remember the MYER jingle but GRACE BROS. one is hard to remember for some reason. PLZZ if u know how it goes or if you know somewhere i can hear it..please let me know !! Thanks heaps lol
20080129200417AAsbtfZ	Entertainment & Music;Music;Other - Music	Anybody the name of this song ?	anybody know this song ?      it goes      "this is a song for all the lovers, taking a chance for one another"
20080217054255AAYI377	Entertainment & Music;Music;Rock and Pop	Fan dei GREEN DAY???!!?	vi siete già dimenticati ke giorno è oggi???   AUGURI BILLIE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!...   fate anke voi gli auguri a Billie Joe...
20080126122217AAhZDA2	Entertainment & Music;Music;Lyrics	Testi canzoni?	chi sa dirmi la traduzione della canzone - Guardian angel - THE RED JUMPSUIT APPARATUS ?
20080201111043AAy5vVy	Entertainment & Music;Music;Rock and Pop	Piacere i green day?	a chi gli piace i green day compreso me billy joe è proprio un mito io ho tutti i suoi dischi
20080206182506AAakALy	Entertainment & Music;Music;Other - Music	Mejores canciones de los 70's 80's 90's?	cuales son las mejores canciones de esos a?os ?? ( de todo tipo) gracias por sus respuestas siemrpe seran bien benidas adios !!
20080204175245AAXpbAn	Entertainment & Music;Music;Other - Music	Una pagina de donde buscar canciones nuevas de todo tipo?	donde esten las musica nueva de mayor popularidad entre otras cosas
20080208013159AAyzVoo	Entertainment & Music;Polls & Surveys	OK so your gonna have?	a heavy sesh with 1or 2 of your favourite P&S'rs!!!       WHO ARE THEY GONNA BE?
20080219010736AA0pKbY	Entertainment & Music;Polls & Surveys	Why We Love Children (part 1)?	1. A nursery school pupil told his teacher he'd found a cat, but it   was dead.   'How do you know that the cat was dead?' she asked her pupil.   'Because I pissed in its ear and it didn't move,' answered the child   innocently.   'You did WHAT?' the teacher exclaimed in surprise.   'You know,' explained the boy, 'I leaned over and went 'Pssst' and it   didn't move'      2. A small boy is sent to bed by his father.       Five minutes later.....'Da-ad....'   'What?'   'I'm thirsty. Can you bring a drink of water?'   'No, You had your chance. Lights out.'   Five minutes later: 'Da-aaaad.....'   'WHAT?'   'I'm THIRSTY. Can I have a drink of water??'   ' I told you NO! If you ask again, I'll have to smack you!!'   Five minutes later......'Daaaa-aaaad.....'   'WHAT!'   'When you come in to smack me, can you bring a drink of water?'
20080210093645AAV4qO1	Entertainment & Music;Celebrities	Tengo miedo a perderlo que hago?	bueno io stuve con un chico todo perfecto hasta k un dia peleamos x un mensaje k le llego a su correo ,entre ese tiempo habia un chico k queria estar conmigo y le dije que si pero solo x el inter nunca lo vi ni nada ni se xk lo hice,le he rogado para k me perdone pero nada, me trata mal me dice k no le insista xk es peor peroyo digo k hago con loz brazos cruzados , hace poco me llamo y creo k pensaba perdonarme  pero como mi numero de celular lo tiene mi ex , x molestar me puso un correo "stas sola " el penso mal y denuevo comenzo con ese caracter fuerte , me larga , me insulta y yo k lo conozco el nunca ha sido asi, a el lo conocen como un chico alegre y yo saque ese caracter x mi estupidez, yo le dije en k tengo la culpa acaso yo le mando para k me manden y el me dice si pero xk m... le das tu numero a tus ex.sabiendo como son , pero yo se k el tambien me quiere un monton claro no como antes no? pero se que me quiere y ya nose k hacer.. lo extra?o muxo
20080214032413AAC71fv	Entertainment & Music;Music;Rap and Hip-Hop	Sapete qnd i Green Day faranno il loro prossimo album???	rispondete...
20080214070238AAb9Mdj	Entertainment & Music;Other - Entertainment	Testo canzone??	qualcuno mi può dare la traduzione della canzone "forever young" degli youth group???please.... grazie mille 10 punti !!
20080215090411AAXVtpF	Entertainment & Music;Music;Rock and Pop	I green day secondo voi...?	i green day secondo voi rimarranno nella storia???   rispondete in tanti green day forever
20080218001345AA0wdkX	Entertainment & Music;Polls & Surveys	Are drill instructors still allowed to use racial slurs against recruits in the marine boot camp?	N/A
20080329082001AAkE9BT	Entertainment & Music;Polls & Surveys	Poll: did you pass your learner's permit test the first time?	i didnt.
20080320121213AAWTomX	Entertainment & Music;Polls & Surveys	Alguna vez te paso..............??????????	.....de que estando tan bien con tu pareja, llegue otra persona a tu vida, para arruinarte todo, o confundirte??????????
20080329060150AAOqhyu	Entertainment & Music;Music;Rock and Pop	Ma perchè???	nel rock se la canzone é cantata in italiano non fa lo stesso effetto come se fosse cantata in inglese??é l'abitudine???
20080401083709AAWrtny	Entertainment & Music;Jokes & Riddles	Vi va di leggere una barzelletta???	Veloce corso di inglese, tutto da ripetere ad alta voce.      Ci sono Tre Moduli:      1) Modulo principianti:   Tre Streghe guardano tre orologi Swatch. Quale strega guarda quale Orologio Swatch?   In inglese: Three witches watch three Swatch watches. Which Witch watch which Swatch Watch?      2) Modulo avanzato:   Tre streghe "trans" guardano I cinturini di tre orologi Swatch. Quale strega trans guarda i cinturini di quale orologio Swatch?   In inglese: Three switched Witches watch three Swatch watch switches. Which switched Witch watch Which Swatch watch switch?      3) Modulo per masters:   Tre Streghe svedesi transessuali guardano I cinturini di tre orologi Swatch svizzeri. Quale strega svedese transessuale guarda quale Cinturino di quale orologio Swatch svizzero?   In inglese: Three Swedish switched witches watch three Swiss Swatch watch switches. Which Swedish switched witch watch which Swiss Swatch watch switch?
20080516090946AAdRlpk	Entertainment & Music;Music;Other - Music	Help canzone...ne ho bisogno!!?	Inizia così      Sono sul ciglio della strada amore scusami...io ti sorrido ma non puoi più guardarmi...confesso che non ho piu sogni ed armi qui per te!Per te che mi aiutavi.....         sapete aiutarmi?    Please!
20080413094008AAPU4Oi	Entertainment & Music;Jokes & Riddles	Barzellettina!?	Un avvocato e una bionda mozzafiato sono seduti vicini sul treno. L'avvocato si sporge verso la ragazza e le chiede se vuole fare un giochino con lui. Lei in realtà preferirebbe fare un sonnellino, ma lui insiste dicendo che il gioco é facile e molto divertente. Il gioco consisterebbe in questo:   - Io le faccio una domanda e se lei non sa rispondere, mi da 5 euro, e viceversa...   La ragazza cortesemente risponde che vorrebbe riposare un po', ma l'avvocato insiste:   - Okay, facciamo così, se lei non sa la risposta, mi da 5 euro, ma se sono io a non saper rispondere, gliene do 500!   Pensando di avere a che fare con una biondona é convinto di poter vincere facilmente il gioco.
20080415092147AAVdRBH	Entertainment & Music;Comics & Animation	10 PUNti SCHOOL RUMBLE!!!!?	qualcuno sa dirmi oggi a che puntata di school rumble siamo arrivati????grazie 10 punti
20080315194012AAGjmgv	Entertainment & Music;Polls & Surveys	Avatares Game: a jugar y usar la imaginación ehhh?	So?aste con el avatar de arriba, pero al despertar estás abrazado al que está abajo, se despiertan los dos.   Qué le dices????   Solo pido lo de siempre, respeto
20080320075804AAe1sVb	Entertainment & Music;Polls & Surveys	Donde y con quien estarias ahora mismo??	N/A
20080526074728AAR6k8W	Entertainment & Music;Music;Rock and Pop	Secondo voi i Green Day con American Idiot si sono venduti?	N/A
20080327001038AA7kSrm	Entertainment & Music;Polls & Surveys	Quiero llegar al nivel 2 me ayudan ??????	porfavor ayudenme gracias y yo los ayudare
20080317115413AASaJDn	Entertainment & Music;Other - Entertainment	Billie Joe Armstrong?	questa è la copertina di "guitar world magazine"  http://a487.ac-images.myspacecdn.com/ima...  avete visto ki c'è in basso a sinistra? il mitico billie joe!!!!quando l'ho visto sono stato molto contento xkè pensavo ke ero solo io a considerarlo un grande chitarrista....grande billie
20080315205842AADC2pe	Entertainment & Music;Polls & Surveys	Cual es tu prenda intima más sexy que te has puesto?	N/A
20080314231503AAiHeHH	Entertainment & Music;Polls & Surveys	Encuesta: Con Quien Saldrias?	1. Una persona con buena pocision economica, pero 'fea'..      2. Una persona sin dinero, pero atractivo/a...
20080526083957AAMPae8	Entertainment & Music;Jokes & Riddles	Indovinello?	Maria, Giulia e Lory   coglievano dei fiori   chi si chi no li colse   chi ha colto i fiori...   Maria, Giulia o Lory         (andrebbe fatto a voce..però..)   10 punti al primo
20080526094050AAnaa0D	Entertainment & Music;Music;Rock and Pop	Mi dite titolo è cantante di questa canzone?	La canzone è quella che ce in questo video.     http://it.youtube.com/watch?v=nwH7KSNUee... 
20080526070350AAlyIEb	Entertainment & Music;Music;Rock and Pop	Per i fan dei linkin?	ma l'avete visto cosa c'è scritto su di loro in nonciclopedia???    http://nonciclopedia.wikia.com/wiki/Link...    sono la loro fan più accanita però, un po' di autoironia!!!   quando lo stavo leggendo sono caduta dalla sedia dal ridere!!!!
20080526071442AAVRyOz	Entertainment & Music;Jokes & Riddles	Qual'è la peggior figuraccia che avete mai fatto qui su answers?	io una volta volevo formare una band e invece che scrivere ROCK/METAL avevo scritto POP/METAL e mi avevano trucidata!!!!   quando mi sono accorta dell'errore era troppo tardi...   (mi sembrava strano che mi avessero detto eresia solo per aver accostato il rock al metal...) XD      raccontate raccontate!!!
20080518050420AA3MFhb	Entertainment & Music;Polls & Surveys	...At gigs/concerts...?	Do you prefer to be at the very front or near the back?
20080325205530AAgAXJu	Entertainment & Music;Polls & Surveys	De los avatares que son fotos cual te parece mas linda o lindo???	N/A
20080320051412AAEyO8V	Entertainment & Music;Polls & Surveys	?De qué color son tus sue?os...y cómo huelen...?	N/A
20080525083240AAJcXwr	Entertainment & Music;Music;Rock and Pop	Errori di percorso??.. un giochino.. anche se non proprio!!?	Ebbene si sarà anche successo che grandi nomi della musica rock e non solo abbiano fatto nella loro immensa e splendida carriera musicale errori musicali di percorso, che abbiano pregiudicato la loro carriera o no..    Io essendo di un epoca ben più recente non ho potuto purtroppo vivere ai tempi della "vera" musica.. Sapete dirmi quali band ne hanno commessi in passato: per errori s'intende: concerti riusciti male, storie di cronaca, flop di album, canzoni mal riuscite, e roba varia..    10 punti alla risp + completa.. rix in tanti.. e sono ammessi qualsiasi cantante , qualsiasi genere, anche attuale..=) Ciao!!      Ricordate la stellina per fare girare la domande..
