20090227102847AAILVOP	Education & Reference;Special Education	Ntse!!!!when is the ntse result for class 8 first level of this year coming out for the state of orissa?	when is the ntse result for class 8 first level of this year coming out for the state of orissa?
20090309182723AAR9SEx	Education & Reference;Homework Help	Job interview questions for school project. Help!!!!!!!!!!!!!!!!!!!!!!!!!!…	I need to do a school project on a job interview. And write an essay on the job, so I was hoping to ask who ever answers this question about the job you do. The job has to be interesting because I have to write about the job.      Please answer the questions as thoroughly as possible. And leave your name or make a believable name up if you don't want me to have your real name. Feel free to add any other details about your job.      Thanks in advanced.      first please state you job.      1. What are your daily job duties and responsibilities?   What is your favorite part of the job? Least favorite?   Anything you would change?      2. Did you choose this job? If so, what influenced this decision?   Does anyone else in your family do this work?      3. Did you at any point consider a different career path? If so why?   Do you see yourself doing this work until you retire?      4. What were hardships, difficulties you had to face getting the job you have now? Such as school, money,etc. (If there are any)      5. Did your family support your decision to do this work?      6. Is the job what you expected it to be? Is it better than you imagined, or not what you hoped for? Tell me why?      7. Would you recommend others to this line of work?   Is the pay good?   Do you have benefits? Pension? 401K? Health/Dental Insurance?      8. Did you do anything else before you did the job your doing now? (Name your previous jobs)   Would you ever consider doing any of these jobs again?      Anyway that's it. Thanks for helping, and please leave anything about your job that is interesting, and tips on how you think I should write my essay about you. The more info the better!   I might have to contact you. For more info, if I don't have enough for my paper...sorry if that would be annoying. (Just say so if you don't want me contacting you through yahoo anymore)
20090309184918AAtYyes	Education & Reference;Homework Help	How can I do my homework without getting distracted?	I always try to do my homework, but I always turn on my computer of TV and then when its too late, I have to do my homework really late and then I'm really tired the next day, or I have to do my homework the day that its due! Please help me with this problem, I really need help!
20090309182425AAVBxaL	Education & Reference;Homework Help	How did Charlemagne improve learning and the quality of the church in medieval Europe?	N/A
20090309182758AARGHAb	Education & Reference;Homework Help	Describe the new social order that evolved in medieval towns.?	N/A
20090309183436AAwjrol	Education & Reference;Higher Education (University +)	College Dorming Help ?	I live about 20/30 minutes away from my college (driving ; 45 minutes bus)..About to be a Junior next year and I'm thinking about dorming there but i don't know if it will be worth the money for me to spend like 7000-8000 for a whole year when i live a few minutes away..I just want to get away from my home for a while and be free but i don't know if it makes sense to do that based on the situations....   i know its a dumb question to ask but any feedback would be nice ??   ..i think i will probably have to take out a load for the dorming aswell
20090309183735AAd1TPs	Education & Reference;Homework Help	Quick question about my Spanish homework?	"De quie'n eres un(a) amigo(a)?" (the apostrophe is supposed to be an accent mark...)   What is that in English?   Thankssss! (:
20090309182456AAFuLEv	Education & Reference;Homework Help	Molecular masses are measured with g/mol. How would you say that? The g stands for grams, but what about mol?	N/A
20090309184823AAnh8ul	Education & Reference;Homework Help	FIgurative language help !!! 10 points?	can someone tell me what the figurative language for this sentence is?      "The mother lashed at her child for throwing a tantrum in Toys R Us"
20090309184948AAuMEwd	Education & Reference;Homework Help	Can anyone answer this, I am kinda confused?	Ok so for Biology I have to write about Urochordata, just the main things, like how it moves what it eats and a few examples of it. Please answer only if your sure of what your saying    Thanks
20090309184359AA2uanR	Education & Reference;Words & Wordplay	Is ??????????????????????????????…	obama our president or seth rogen                                                                                                               lol
20090309182401AA0iP7n	Education & Reference;Homework Help	How to write a good thesis sentence?	I have to write a thesis sentence about "The Ungrateful Tiger: a tale from Korea" but I can never write a good thesis sentence. Can anyone help me?
20090309182543AA6XE0J	Education & Reference;Homework Help	Julius Caesar ESSAY pleeeaasee help.?	Hey every one I am doing an essay about Julius Caesar and I have chose to spare his life. Can you guys give me some help or facts to support my topic please thanks that would mean so much because I am on my last 2 paragraphs and I am stuck.
20090309182938AAOXzib	Education & Reference;Homework Help	Need help please with this equation with decimals?	0.5(x+3)=3(0.1+0.16x)
20090309182946AA9Z2TN	Education & Reference;Homework Help	Chem Help: How many grams of carbon are in 25g of CO2?	Let me tell you what I do know. I know how to find the molar mass (g/mole). I also know how to find the percentage of any given elemet in a formula; example: What is the percentage of Carbon (C) in CO2? I would find the overall mass of the formula, and place the mass of element in the question, C, / mass of whole compound x 100. The other thing I know is that when going from grams to moles, I use the molar mass formula, but when I'm going from moles to any given particle (i.e.: molecules, f.u., etc.), I used avorgado's 6.02 x 10^23.       My problem lies in finding how many grams are given in an element in any appointed formula. Can I get some help please? I'm taking Honors Chem, and I have a quiz tomorrow.       Your help will be greatly appreciated. Also, I would like if you could provide a reliable internet source that could benefit me in this area of chemistry that I'm referring to in this question. But if you're a chem braniac, no need for sources--just spread your knowledge to me.
20090309183009AA2fXhS	Education & Reference;Words & Wordplay	Okay so i have to right a poam about the ocean so i need words that ryme with wave and something that discribe?	N/A
20090309183015AAPWHia	Education & Reference;Words & Wordplay	What name do you like better?	I'm writing a book and I can't decide which name I'm gonna name my main character.Pick one.   These are the names:   Julia   Violette   Lucy   Carla   Julianne      p.s.:Or if you like, you could suggest a name you like and not the name I thought of.   If this book gets published and succesful and the name you chose is the one I pick, I'll thank you from the bottom of my heart
20090309183026AAakDpo	Education & Reference;Homework Help	Why is the term book used for records?	The accounting records are commonly referred to as the "books". Why would this name be used?      It's to study for a test, so thankyou.
20090309183130AA4IxOa	Education & Reference;Words & Wordplay	Whats a good tittle for a robbery story?	Im writing a story in my class and i cant think of a good title
20090309183138AAJFxc2	Education & Reference;Words & Wordplay	What's the difference between Me & My in a sentence?	These two sentence:      Have you heard my breaking my toe?     Correct   Have you heard me breaking my toe?     Incorrect      Why is it "MY" and not "Me"?         Thank you.
20090309183330AAx8VeF	Education & Reference;Quotations	Inspirational Quotes?	I need any inspirational quotes to base a dance on, please give the source of the quote.
20090309183819AAA7HSR	Education & Reference;Words & Wordplay	What is being compared in the simile, music like a curve of gold?	Taken from the poem, Barter, by Sara Teasdale.
20090309183724AAN9Xif	Education & Reference;Homework Help	What is technology and information systems?	how does its recent advances benefit hte retail industry?
20090309183742AA323Eu	Education & Reference;Homework Help	What is the domain, range, x-intercept, y-intercept, and the equation of the asymptote of g(x)=log x ?	N/A
20090309184457AAOWX08	Education & Reference;Homework Help	Two earthquakes have magnitudes of 5.2and6 on the Richter scale.Compare the intensities of the two earthquakes?	N/A
20090309184150AAWjMJm	Education & Reference;Homework Help	What is the name of the unique building overlooking the water in Sydney?	N/A
20090309184308AAT8opQ	Education & Reference;Words & Wordplay	What does the term.."If you will.." mean?	I like to say it, but frankly..I have no idea what it means.
20090309184438AAHGgSH	Education & Reference;Homework Help	Wtf i'm so confused please help i beg u?	the number of square feet in the area of a square is 5 more than the number of feet in the perimeter of the square. find the length of the side i'm sooooooo confused please please help
20090309184526AAwOqWk	Education & Reference;Homework Help	I need help on romeo and juliet?	so i am reading the book romeo and juliet for my 9th grade english class and i have to do an essay on why Romeo would be a bad boyfriend. i need examples. for example so far i have, Juliet's parents don't like him, he takes things too quickly, and he is too emotional (the rosaleen thing.)
20090309184621AAnix5q	Education & Reference;Words & Wordplay	WHAT DOES THIS MEAN???????????????	I have deep respect for people's individual faith, but when faith gets connected to the machinery of state, or the machinery of hate, I find it very confronting.
20090309184811AAVQuoW	Education & Reference;Standards & Testing	Where in arizona can i take a clep test for tagalog?	N/A
20090309184948AAf3oRA	Education & Reference;Homework Help	Can someone help me with this please?	here is the work:   Which list shows these fractions in order from least to greatest?   7 tenths, 3 fourths, 6 out of 25, and 13 out of 20
20090309191906AAY1rco	Education & Reference;Homework Help	Do you know how long an explanation needs to be?	Like an essay with fie paragraphs or something? Or a list? We're doing it on rainbows. I've done researching and everything and I;ve asked my teacher. She said just to read and it doesnt say how long its suppose to be. So yeah, how long? (& no, NOT a LETTER of explanation just an explanation) Please help! It's due Wednesday and I don't want to be a procrastinater! (I can't do it tomorrow because my brother has a basketball game far away)      Here's the directions:      -Do some research to find out about rainbows. Talk to someone if you need help to understand.   -Write a plan that includes the important things you need to mention.   -Draft your explanation following the same stages in the previous activity (dont know how). Keep it simple-dont include every single detail.   -Read through your explanation as you go to make sure it is clear and makes sense.    -Give it to someone else to read when you finish your draft. Make changes if they did not understand something or if you left out important information.   -Proofread for spelling, punctuation, and grammar.   -Write your explanation out properly and draw a picture to go with it.      BUT I JUST WANNA KNOW HOW LONG IT SHOULD BE    ex. 4 paragraphs/a list/ 1 paragraph
20090309192025AAqL1Xt	Education & Reference;Homework Help	What are sentences for the words: inundate, prostrate, melancholy, and dirge?	You dont have to answer all of them just the ones you know!!! :) Thank you
20090309192850AAwiLnk	Education & Reference;Homework Help	Replacement for this cliche?...10 points best answer!?	the cliche is glimmer of hope or beacon of hope. i neeed to replace it. thankss
20090309193314AA2IFlJ	Education & Reference;Homework Help	In to Kill a Mockingbird, what three characters influence Scout's growth, and in what ways?	N/A
20090309192423AANWHC9	Education & Reference;Homework Help	8th Grade Physics/Science Help..?	Why  is the water pressure on the bottom of an object greater than on the top of the object?
20090309192516AAMKhvb	Education & Reference;Homework Help	How to write a literature review?	Can someone explain the basics about writing a literature review and what is required to write a good essay and what it should consist of?
20090309192127AAPpvN4	Education & Reference;Homework Help	Can somebody help me come up with a good essay topic for history class?	I have to come up with a topic that deals with an area of the world, global issue, culture or current event, should be focussed around a question , issue, idea or comparrison on which a person can take a standpoint. I would like to do something in modern times, about the middle east, but I need something more specific and I would appreciate some suggestions please.
20090309190636AABbMh9	Education & Reference;Words & Wordplay	Can you please help me with this asap!! 10 pts.?	What is the literal meaning of this poem?      Into my heart an air that kills   From yon far country blows:   What are those blue remembered hills,   What spires, what farms are those?       That is the land of lost content,   I see it shining plain,   The happy highways where I went   And cannot come again.
20090309190300AA94Cf6	Education & Reference;Quotations	What is your favorite quote?	N/A
20090309192911AAosbYE	Education & Reference;Homework Help	Homeworkk Helpp !!! REALLY SIMPLE QUESTION.?	i need some help :)   we have to write an essay about our opinion on tobacco use   and for the second paragraph   it says   give 3 strong arguments for your opinion   and give at least 1 statistic, 1 example or 1 fact to accompany your argument.   what does it mean by argumenttt?   could you give me an examplee?   thanks :)
20090309192835AAE6XI8	Education & Reference;Homework Help	I am a business major but i need a credit for science and select from either biology or Geology?	Biology or geology?..Which one is the easiest?      Note that i am a business major so i need it only for the sake of requirement and nothing more.
20090309190634AACipkj	Education & Reference;Words & Wordplay	What does this mean? What would you say?	What is the value of pride?      It is for my English class. What Should I say?    I don't understand the question.
20090309191226AAhlUQp	Education & Reference;Homework Help	Where does the comma go in the following sentence?	I'm sure Brad that we can solve the problem.   A) I'm sure Brad, that we can solve the problem.   B) I'm sure, Brad that we can solve the problem.   C) I'm sure, Brad, that we can solve the problem.   D) I'm, sure Brad that we can solve the problem.   It's a question on my sons homework, and I am embarrassed I don't know?
20090309191649AA2x6rz	Education & Reference;Standards & Testing	PLEASE HELP ITS AN EMERGENCY!?	Im an above average student and I work really hard in school....Ive taken a ton of practice ACTs and all of them I score below average!!! PLEASE HELP I dont know why and IM NOT STUPID!!!! I have a 3.8, have taken advanced classes forever, and most of it came really easy! Ive been working so hard and my scores are terrible!       It makes me really really sad and I need help! ACTs are tomorrow!       Am I better off taking my time and in the last five minutes filling out answers or trying to get through it all?? PLEASE PLEASE HELP!!!
20090309192905AAbohN7	Education & Reference;Homework Help	Finding the mean, variance, and standard deviation?	1. Use the following information to answer 1-4. In a local factory, a study found that 45% of the workers drink at least two or more cups of coffee per day. Forty workers are randomly selected.       Find the probability that exactly 15 of the 40 workers selected drink two or more cups of coffee.       2. Find the mean for the number of workers selected that drink two or more cups of coffee per day.          3. Find the variance of for the number of workers selected that drink two or more cups of coffee per day.       4. Find the standard deviation of for the number of workers selected that drink two or more cups of coffee per day.
20090309192818AAUqbEC	Education & Reference;Homework Help	I have to do a hero speech???	I have to do a hero speech at school but the person isnt allowed to be from Canada and it can't be personal, such as friends or family. I dont want my person to be boring and like everyone elses. Any ideas on who I should do?      People in my class did Tyra Banks, Angelina Jolie, Bill Gates, etc.
20090309190005AABebFR	Education & Reference;Homework Help	Roosevelt, Taft, reforms, progressivism?	ok so we are having a big s.s test tomorow and i dont know what reforms or progressivism mean?      there are things like social reforms, economic reforms, expanding democracy..do you guys know hwat these things are..i have read my book many times but i dont understand what they are . i know i should of asked my teacher but i didnt so now i need help. do you guys know anything about what these things mean? thanks for the help!!
20090309192137AA2Dy43	Education & Reference;Homework Help	Inequality help please!?	I know the answer is c<-40 but in order to understand what's going on, i need someone to show me the work through an inequality.      The temperature F in degrees Fahrenheit is related to the temperature C in degree Celsius by the formula F=1.8C+32. For what celsius temperatures are the corresponding fahrenheit temperatures smaller in value?      I just need to see the equation you set up, no need for you to do the work! Thanks!
20090309190715AAkBaLd	Education & Reference;Standards & Testing	What are some really good bookes to read?	im 14 and ive read twilight,gossip girl, the cluiqe series, and i like those kinds of books.
20090309194039AAoRCcI	Education & Reference;Words & Wordplay	A synecdoche question?	What is the purpose of synecdoche in poetry/why is it useful?      Any help would be greatly appreciated, thanks! :)
20090309192338AAmyOGF	Education & Reference;Higher Education (University +)	GED, will colleges still accept that?	I'm still in high school but I'm considering getting my GED instead. My question is will colleges accept me if I have my GED? I know they'll take people with it but do colleges prefer a high school diploma? Thanks.
20090309191817AAKKyzp	Education & Reference;Primary & Secondary Education	Are same-sex classes better than mixed classes?	Why or why not?
20090309190007AAZYGtK	Education & Reference;Homework Help	The perimeter of a rectangle is 234 inches. The length exceeds the width by 59 inches?	Find the length and the width.      The length is ___ inches.      THe width  is ____inches.
20090309193217AA94kSL	Education & Reference;Homework Help	Whose superrrr good at writing a poem explication paper using the Jane Schaffer method..HELP!?	i need it done by tonight..hah, yes i know this method is lameeee..   just help. 10 POINTS for help(:   I'm on yahoo messenger also.
20090309192443AA7y6rn	Education & Reference;Homework Help	How to make your self do your homework when your home.?	Need help. Can't seem to get my work done. I just don't do it.
20090309191542AAhc5lf	Education & Reference;Words & Wordplay	Does anyone want to try a brain teaser?	Each question below contains the initials of words that will make it complete. Find the missing words. An example has been done for you.                         4=Q in a G    Q=quarts    G=gallon      1. 9=P in the SS   2. 6=P for a T   3. 24=H in a D   4. 7=D in a W   5. 90=D in a RA   6.52=C in a D   7. 26=L in the A   8. 4=S in the Y   9. 5=S on a P   10. 366=D in a LY   11. 100=P in a D   12. 28=D in F   13. 88=K on a P   14. 7=C on the E         Don't need to answer them, do as best as you can. The one with the most right answers get 10 points!    :)
20090309192523AAHE8Jz	Education & Reference;Homework Help	Can you find the slope of theis problem?	2x-3y=9   x= -3       * Please also tell me how you got there:] thanksss!
20090309185206AAqTvM7	Education & Reference;Higher Education (University +)	2000 word report due? HELP!?	Okay so I'm first year Uni student taking a course in Peace Studies. I have a 2000 word report due in 3 days. My topic is the the West Bank/Gaza. My TA said I should concentrate on one or two things such as refugees and whatnot, but I find it hard to do that for 2000 words! My Thesis statement is 6 lines long, is that too long? Should I solely concentrate on West Bank & Gaza, or also Israel? (There's another student working on an Israel report).
20090309192421AArGXNq	Education & Reference;Homework Help	Question? 10 POINTS!!!?	I want to know if this quote is a type of personification, Metaphor, Simile, Hyperbole, or symbolism.
20090309192129AAwM73e	Education & Reference;Words & Wordplay	Ok is this guy insulting me or compimenting me as if he were joking?	this is really making me wonder, [i honestly dont care either way]   but my answer is the one he chose as the best answer   i feel dumb not understanding his reply...   this is the question    http://answers.yahoo.com/question/index;... 
20090309192945AAr3hQs	Education & Reference;Homework Help	Please help me with these last three problems I have left.?	Michael drove 380  miles using 18  gallons of gas. At this rate, how many gallons of gas would he need to drive 247  miles?          There are two machines that produce 5400 aluminum cans. The newer machine can produce  cans in 180  minutes. It takes the older machine 270  minutes to produce that many cans. If the two machines work together, how long will it take them to produce 5400  cans?         v/7=8/13 solve for v
20090309191453AAyvcIy	Education & Reference;Words & Wordplay	What is it called where ur fingers bend in the middle?	the wrinkly part in the middle of ur finger where ur fingers bend whats the name of it???
20090309192422AAxghLx	Education & Reference;Homework Help	What effects does mount mazama have on people?	10 POINTS I need effects or a website besides wikiapidea PLS PLS
20090309191123AADc4nb	Education & Reference;Homework Help	Questions i've been stuck on for hours. can u plz help me?	4. Scientist have discovered unusual life forms on Earth such as animals that live in the ocean at very high pressure in the dark and others that get their energy from chemicals. Using this information, what do scientists infer about the conditions necessary for life on other planets?      5. Spacecraft sent to mars have found regions on the surface on mars that look like stream beds. Why do these regions lead scientists to hypothesize that there may have once been life on that planet?      6. Why do scientist think that Europa might have the conditions for life to develop?      i forgot my book and i'm getting frustrated and stressed about this so if u could please help it would be greatly thanked. thanks in advance :) eye heart u
20090309190614AA3SvqY	Education & Reference;Words & Wordplay	I still need help on this cross word puzzle?	10. a country or region governed internally by a foreign power.(the first letter is a "P" third one is a "A" and the 8th letter is a "O" and it has 12 letters in it.   26. boer movement to the north. the first letter is a "G" and the 4th letter is  a "A" and the 7th letter is a "R" and there are 9 letters in the word.
20090309185446AAAopT9	Education & Reference;Homework Help	I don't get this quiz tmr one question n explain how u did it step by step?	the number of square feet in the area of a square is 5 more than the number of feet in the perimeter of the square. find the length of the side i'm sooooooo confused please please help
20090309185249AAeMGHd	Education & Reference;Homework Help	What do you personally think of Romeo and Juliet?	* What is good about the play      * What is bad about the play      *If Shakespeare was alive, what could be improved in this play?
20090309185426AATArlR	Education & Reference;Homework Help	Who are some famous poets who write about love?	I am in 8th grade and I am doing a poem analysis project for reading class. I am doing a project on finding a poem and finding information on that poet who wrote the poem. I need to find poets who write about love, and who are still alive today. I have to be able to find information on that poem, so they should be pretty well known. Help me out?
20090309185600AA6rGSP	Education & Reference;Words & Wordplay	How do you make this word plural?	penis   how do you do it?
20090309190040AAYmYUw	Education & Reference;Words & Wordplay	Do I diserve this? Please Answer!?	I have 2 Bs all As on my report card. Do I diserve NBA 2k9 for ps2? If so should I get Nba 2k9 or Live 09.
20090309190651AAqlC5o	Education & Reference;Words & Wordplay	Which of the following sets of call numbers is in the correct order?	Which of the following sets of call numbers is in the correct order?   A)CA203 .P39 1992  CL207 .K256 1976     CR209 .D97 1991   C201 .G37 1910   B) C201 .G37 1910   CR209 .D97 1991   CL207 .K256 1976   CA203 .P39 1992   C)CR 209 .D97 1991   CA203 .P39 1992   CL207 .K256 1976   C201 .G37 1910   D)C201 .G37 1910    CA203 .P39 1992   CL207 .K256 1976  CR209 .D97 1991
20090309191641AAIlvYU	Education & Reference;Words & Wordplay	Which of the following will probably contains the most objective data?	which of the following will probably contains the most objective data?   A) A report with charts documenting hourly wage rates by occupational group   B) A memoir about working in a coal mine      C)An editorial in The Washington Post   D)A letter rebutting an article in a medical journal
20090309190649AAcJlWf	Education & Reference;Words & Wordplay	Could you help me use the grapple in a sentence?	Any sentence will work...as long as it makes sense.   thx.
20090309190706AAVR3oS	Education & Reference;Words & Wordplay	The word NOT is used as an _______ when it is with a verb phrase?	I need help I have a 9 Weeks. test tomorrow an this was on my study guide. I NEED THIS ANswer please.
20090309191938AAkOMpC	Education & Reference;Words & Wordplay	A word formed from a verb and used an adjective?	Note: this is not my homework i've missed at least 7 days at school and many of these questions on my 9 weeks study guide are not in my book
20090309192815AAsqgSd	Education & Reference;Words & Wordplay	A word for which a pronoun stands?	N/A
20090309190738AArcVPB	Education & Reference;Homework Help	Need homework help! 1st right answer = best answer?!?	0rder each set of data from least to greatest.   16. 6.4 kg, 640 g, 600,000 mg   17.3.4 km, 33cm, 340 mm      Answer the fallowing questions:   18. ANIMALS An ostrich, the world's largest flightless bird, has a mass of 136 kilograms. A bee hummingbird, the world's smallest bird, has a mass of 2 grams. How much more mass does the ostrich have than the humming bird?      19. TRAIL Hal is hiking a trail to a waterfall viewing platform. It is 8,000 meters to the river, then 10000 meters from the river to the baseof the waterfall, and 600 meters further to the viewing platform. How many kilometers will hal hike to reach the viewing platform?
20090309191239AAJ1VB6	Education & Reference;Homework Help	How do you solve (sin t + cos t)^2?	I know you have to folit like x^2 +xy+y^2 but i dont know how to get it into simplest form. Can someone help me please?
20090309191616AAUg77i	Education & Reference;Words & Wordplay	Is mind over matter a metaphor?	N/A
20090309191700AA4IsnE	Education & Reference;Homework Help	I need science homework help.. asap! please?	i neen to compare and contrast the animal cell to the plant cell- that is, describe how they are alike, and how they are different.
20090309191927AApnUQq	Education & Reference;Homework Help	Multiply fractions? HELP 10 POINTS?	4/5 x 2/8? one more 3/4 x 1/2 thanks for the helpp!
20090309192014AAntenF	Education & Reference;Homework Help	Please help me to arrange these 7 shapes to make a new one.?	I have 2 large triangles, 1 medium triangle, 2 small triangles, a square, and a parallelogram. I need to make a Triangle, Pentagon, Hexagon, and a Heptagon. Please help me if you even know one.
20090309192025AAAO4RC	Education & Reference;Homework Help	I need to do a research paper on a topic, what should I do it on?	it has to be on anything interesting and 1 page long.
20090309192134AAVEe7a	Education & Reference;Homework Help	25.00 mL sample of sulfuric acid required 35.65 mL mL of 0.1083 M NaOH for neutralization. What is the mass?	N/A
20090309192246AA50mPr	Education & Reference;Words & Wordplay	What Day Is Today?????	What Day Is Today? Cause i have like no clue could you like tell me?
20090309192318AAxwZng	Education & Reference;Words & Wordplay	I HAVE A QUESTION!whats the song called that goes. "it aint trickin if you got it"??? helpp!?	N/A
