20090202214145AAWGQAL	Politics & Government;Politics	Is it time to get serious about peace: direct talks with Iran, Syria, and Hamas?	The time for stalling and BS has to come to an end.
20090202215347AA2Cvr2	Politics & Government;Law Enforcement & Police	Can a DUI elimiate your chances of a career in criminal Justice?	I am currently 23 and going to school for a B.A in criminal justice (general) and had the intentions of getting my degree. Once upon completion of my degree I am going to join the military which has always been a life long dream for me but I had family and peers who ruled to get my education first. Which I am currently doing. Once I finished military I want to pursue my career in criminal justice and now that I am going to have a DUI in my record will it totally effect my life and the career I chose or will the time that I spend in the military give me some leeway? I am feeling horrible right now, never has this happened to me, I have no convictions, nothing is on my record except now for this DUI which I regret and know its going to effect my life but hopefully just not in my career.
20090202215830AApA5G1	Politics & Government;Military	How much time mandi wiii be there?	N/A
20090202220602AA22gq2	Politics & Government;Elections	Is Obama seeking to intentionally ?	Is Obama seeking to  intentionally destroy & bankrupt  the American  Capitalist Economy by imposing the most massive & most expensive 1.3 Trillion Dollar Government Spending Programs in U.S. History so Obama can  then replace Capitalism with Socialism  ?
20090202220519AAPW0eK	Politics & Government;Law Enforcement & Police	Do people regret of what they have done after being convicted?	Do people who are in jail feel bad, for the victims,   For the murders they commited, rapes, and other criminal acts.
20090202221443AAuWHyL	Politics & Government;Law & Ethics	Y i keep getting pink envelope for court order? what is thet?	I got 3 i mail my cuzin not here to explain instruction my mail.  I dont understand how do i get to federal prison in Arkansan?
20090202221041AAALjl6	Politics & Government;Politics	Do you think our nation is strong enough to survive the B.O. depression of 2009 - 2012?	Now that B.O. has been elected, it looks like we might be heading towards a depression. Stores are closing down, people are loosing their jobs, all because of the recession that has been created by the dems on congress.       Well it looks like the libs are getting EXACTLY what they want ..... the beginning of the destruction of America.
20090202221421AA31T82	Politics & Government;Other - Politics & Government	Riots and strikes in Britain, could it happen in the USA?	Did you hear the British are pissed about foreign workers coming in and working cheaper and taking jobs, then I heard that the banks in the USA are laying off Americans after the bailouts and bringing in foreigners to work cheaper, were does this stop people? my friend worked at a computer company and his final few months he had to work nights training people in India to take his job, how far will this go? Will people blow up eventually? I see this being a big problem.
20090202221658AAaoxPa	Politics & Government;Elections	Are we still sending billion$ to Iraq?	Where is all that money going for?................  Gasoline?  Should it be cheap by now?  Boy the military is here to serve and protect not funnel all the economy into oblivion.  Just my thoughts,  so are we still sending billions to Iraq?
20090202221115AAGQO5m	Politics & Government;Military	Whats his last name? American Revolutionary War.?	He was the only individual who served as a general on both sides of the American Revolutionary War. What was his last name?
20090202220645AAKmEfO	Politics & Government;Law & Ethics	Casey Anthony...guilty or not?	What does everyone else think about the deranged baby killer?Guilty,or Not Guilty?
20090202222222AAaEBri	Politics & Government;Immigration	IF a U.S. citizen travels to another country & marries a citizen of that country, is that marriage recognized ?	A citizen of that country, is that marriage recognized in the States or will they also have to have a ceremony in the U.S.?
20090202221146AAWnSeZ	Politics & Government;Military	What would be a reason why someone would turn down being an NCO?	I have a friend who's been in the Marine Corp for almost 10 years now. Today he told me he was offered the opportunity to become an NCO, but turned it down. I just wanted to know what would be a reason why he turned it down? He also does recruiting and said that they would move him and he didn't want to move from where he was. I don't know if that is a reason..but doesnt he get paid a little bit more ..I mean I'm sure he could benefit from that. Are there negatives to being an NCO or did he turn it down for personal reasons( such as he has been sweet on some chick for a few months now that lives near by)? I'm hoping that isnt the reason though.
20090202221706AAsOVTP	Politics & Government;Government	What chance of confirmation would Cabinet tax cheats have if they were repubs appointed by McCain?	Assume the present Dem majority in the senate.
20090202220158AA3z8a0	Politics & Government;Military	Will my petitioning for a restraining order keep me from being able to join the military?	I'm right now in the process of joining the Air Force and everything is going well in that aspect.   I have been harassed for 8 months now by an ex boyfriend and he recently started harassing my brother as well. Since my brother is a lawyer, he helped me to get a temporary restraining order on my ex to stop all contact with me and my family members until the court date on Feb 13th.  My brother says there's almost no chance of us NOT getting the RTO because we have kept logs of harassing emails, texts, and phone calls as well as a text message where he hinted at a desire to rape me.      What I'm wondering is will me petitioning for this RTO disqualify me for military service?  I shouldn't think it would because I am not the one who is committing a crime, I'm only protecting myself.  I'd just like other people with more knowledge to weigh in on the subject.      Thanks in advance!
20090202220246AAyuqIU	Politics & Government;Law & Ethics	Justify or Crucify: Censorship?	Please answer the prompt in 50 words or less. Is censorship a good thing or a bad thing?
20090202220754AATEboV	Politics & Government;Other - Politics & Government	First they pass tax cuts promising surpluses and booming economies, then they lie saying ?	oh....didn't we tell you?  you should have cut expenses too and that war we advocated should not have happened either.....otherwise we would have been right.         lol         THATS WHY I CALL THEM                              DECEPTICONS
20090202220803AATpKDd	Politics & Government;Law Enforcement & Police	If your cellphone is tapped by police is it only audio or do they intercept text messages also?	also what do they need to  to warrant a tap word of mouth? ,also can they tap family members? what are the laws if they dont hear anything how long can they keep  your phone tapped, im doing research 4   my sisters college course in crimanology so i need correct answers pleese also it is florida were talking about  thanks 4 your time in advance
20090202221905AAKyArs	Politics & Government;Politics	Why  minister's and ex ministers and political leaders are not questioned for there unaccounted property?	all political leaders are liable to give information to the public about there income and the property they held in theirs names and their rel.'s names
20090202220649AAaiuno	Politics & Government;Military	Corpsmen in the National Guard?	Something new I learn from a National Guardsman. Is it true the National Guard also call their medical personal corpsman.      I always thought any services originate from the Army calls them medic while any service in the Navy Department calls them corpsman.
20090202220905AAlfi3V	Politics & Government;Government	Is obama the youngest president ever?	is he?
20090202220941AALl9qc	Politics & Government;Law & Ethics	How to prove the due bill was false?	On Mar. 2002. I met my boyfriend, at that time,he was unemployed, In June we moved together. In Oct. he got a idea to run a business, so I transferred my money to his account. However,the business didn't make it. the money just stayed with him for that moment. and then we decided to buy a house. when we went to the bank to make a loan. the banker said:" it didn't make sense that his account added up so much money suddenly." So she helped us writing a due bill. and I copied it. The contents was:   I,***(my name) borrowed 20,000 dollars from ***(his name) in 1999. I will return in 2002.   and we signed the name. The banker drew a large cross over the due bill. and she said it's all set. (it's been a long time that I can't remember the detail)      Now we broke up, I asked him to give back me money, but he refused it. How can I prove that due bill was false?
20090202221443AAML0Fc	Politics & Government;Law & Ethics	Out of curiosity...is this legal?	So, my neighbor was pounding on my other neighbor's door because their music was too loud. (Apartments. and to be honest the pounding was much louder.) but anyways...someone called the police and i watched from my bedroom window. the cop asked the person's name and b-day and all that and then said, "I'm going to let you off with a warning. Next time, we'll take your music player." i know they can't actually take it, but is it legal to say that?
20090202221450AAMuIVN	Politics & Government;Military	Why US military vehicles are painted in Grey color?	especially Navy
20090202221523AAfqLjk	Politics & Government;Law & Ethics	Can my income tax return check be held from me if i have a warrant for my arrest?	N/A
20090202221752AAw8pmS	Politics & Government;Immigration	Would my Citizenship application get denied?	i had a felony and misdemeanor charges against me they were dropped  or dismissed 2 years ago and i did everything the court ask me to do probation and stuff, and next year my lawyer will sponge everything from my record its like nothing happened.   My question is would my application for citizenship still get denied? im really worried and i don't wanna waist time and money with plz help!!      thank you in advance
20090202221846AASFAsX	Politics & Government;Law & Ethics	Can any one tell me the contact address of Sankar Roychowdhary MP of Rajyasabha from kolkata , ex General.  ?	N/A
20090202221927AA18uKh	Politics & Government;Other - Politics & Government	Free video download of Obama's inaugural speech?	N/A
20090202222115AAmiOKW	Politics & Government;Law & Ethics	You can't coach a witness at all?  dont lawyers do this all the time?	N/A
20090202222115AApWgMp	Politics & Government;Politics	Do Republicans have any future?	I mean in 40 years minorities will become majorities and there's gonna be a few white guys. So what about Republicans do they have any future? Will Democrats beat them? What do you think? Thanx
20090202222215AA3HgMN	Politics & Government;Government	Does anyone know of an official site for Gov-Grants?	Not the ones that take advantage of you and take your money.  I want the website to the real deal.  Please can anyone help me ?     God bless you !
20090202222935AATwJXD	Politics & Government;Other - Politics & Government	Is It a Welcome Change President Barack Obama Said He will Responsible for the Economy Outcome Next Year? Bush?	I do do not know why it happened on my watch?
20090202225836AASwclD	Politics & Government;Military	If I don't have insurance, and I take the physical at meps?	If I don't have insurance, and I don't have any medical diagnosis of Eczema..but do have some small patches on hands and ankles will I get sent home? Or is can it be considered "dry skin"?
20090202230002AAF781D	Politics & Government;Military	Do you tell your recruiter you smoke?	Do you tell your recruiter you smoke cigarettes, even if you just started recently and can easily quit?
20090202223716AA1RmnE	Politics & Government;Politics	Should more people be listening to what Ron Paul has to say?	 http://www.youtube.com/watch?v=FG2PUZouk...       Comments?
20090202224747AAnGe9a	Politics & Government;Law & Ethics	Which States have Capital Punishment Laws?	N/A
20090202225405AAQ54l9	Politics & Government;Other - Politics & Government	Had USA reached a point to DECIDE "USA or ISRAEL"?	"There is a great danger for the United States of America. That great danger is the Jew. Gentlemen , in whichever land the Jews have settled, they have depressed the moral level and lowered the degree of commercial honesty. They have created a State within a State, and when they are opposed, they attempted to strangle the nation financially as in the case of Portugal and Spain."        "If they are not excluded from the United States by the Constitution, within less than a hundred years they will stream into our country in such numbers that they will rule and destroy us, and change our form of government for which Americans have shed their blood and sacrificed life, property and personal freedom. If the Jews are not excluded, within 200 years our children will be working in the fields to feed the Jews, while they remain in the Counting House gleefully rubbing their hands."         George Washington & Benjamin Franklin on the Jews        http://www.vanguardnewsnetwork.com/wolze... 
20090202230109AArRCKH	Politics & Government;Politics	So which weasel will try to defend Tom Daschle next?	Robert Gibbs: Check!      Who's next in line to try to downplay the severity in this discovery?
20090202223722AAVN5GE	Politics & Government;Other - Politics & Government	South Africa: Truth and Reconciliation Commission?	Does anyone know the circumstances in which this commission was formed, including the people involved in its' creation?      Also, I realize there was much migration into South Africa and am wondering if this concept is historically based on a particular culture's belief system?      Thank you for any thoughts on the matter, even if just your opinion on the concept of this level of forgiveness.
20090202222903AAMdCDe	Politics & Government;Military	Military wife's...Plz?	My husband is currently deployed for his first tour. He left in August just a week after we got married(was not planed that way, things changed and deployment moved up). He should be home in july(well that's what they say for now). Alot of people have warned me that he will be different, and i was just wondering what to expect. Did your husband change? A little, a lot, for the bad, for the good. Just want to hear someones experiences. Thank you and God Bless
20090202224201AABsJzw	Politics & Government;Law & Ethics	Is this sexual assault? ?	We were at a family friends house and his son dragged me in the bathroom and turned the lights off. Then he grabbed me without warning and started touching me. I didnt say to stop because for some reason I just couldnt say anything.. I was just silent. Then when I struggled to get him to let me go he held me tighter till he realized I wasnt going to give up struggling and he let me go. Then after I ran away as fast as I could he appologized...I felt so horrible for about a month. Do you think he understood that I didnt want him? Was it sexual assault? My lack of verbal objection really confuses me... Can someone analyze this?
20090202224005AAZYRbM	Politics & Government;Politics	Why all these things about Obama?	Why are so many people critical of Barrack Obama already? I mean he's only been in office for a few weeks, and people are criticizing him like he's been there for 8 years already, giv him a break. We gave tat D icksmack of a president Bush, 2 tries, why wont you people just give him sometime
20090202224100AAvNO4F	Politics & Government;Politics	Which countries supported south africa during its apartheid era?	N/A
20090202225212AARZFgN	Politics & Government;Politics	HOW ARE LIBERALISM AND NATIONALISM RELATED?	N/A
20090202230450AA2SCca	Politics & Government;Politics	HOW ARE LIBERALISM AND NATIONALISM RELATED?	N/A
20090202230754AADE9pL	Politics & Government;Politics	Did Obama turn down the heat in the white house?	Did Obama turn down the thermostat in the white house during his super bowl party, as a symbol of solidarity with those in Kentucky that have no heat, or electricity, etc. or does he just not care what is happening to Americans.  Here we have a statewide disaster and day after day I have watched the news to see if Obama cared or was going to do anything about it.  When Obama became President he was quick to slam Bush on the white house website, about how Bush handled Katrina.  Now I do not think the two disasters are an equal comparison, but Obama has not even acknowledged that it happened.  Does this mean that Americans are on their own, that Obama is only looking out for himself?
20090202230859AAvtnFw	Politics & Government;Immigration	Damage Passport pls help?	My Passport is very little damage on the last page and the details are visible very easily. Would i be facing problem in getting the visa and flying to Singapore. I am travelling in next week.
20090202223822AAvOoTz	Politics & Government;Immigration	Are there actually ''illegal'' Irish immigrants in the United States?	When I first heard this, I thought it was a mid-nineteenth century novel. Turns out, it's actually something that may or may not exist in 2009.I remember reading something about this during the presidential election. It was like a question for McCain. Someone told me there were some living in Upper Darby in Pennsylvania. Honestly, I just don't get it. When I just hear that, it sounds kind of funny. We're talking about people from a Western European country from the EU. A relatively affluent country with decent education and all that. They're really no different than us, if you think about it. Of course, there's Americans living abroad, as well as Irish, British and who ever else living abroad, but to intentionally not have your papers right in a country that seems to have a similar standard of living seems weird. Especially considering the people who they'd be living around are labeled unintellectual simpletons in their continent. Sadly, there's some truth to that, but to see there's illegal Irish immigrants in America is like saying there are illegal American immigrants in Canada. Which there probably are, although not many.      So, there's really two answers I'm looking for. Either this is not true or so insignificant, that it's meaningless. Or two, there are ''illegal'' Irish immigrants in the United States. If that's your answer, please state why you believe such. More importantly though, the question I'd ask is why.      If you're going to be illegally residing in any country, why go to one that is so far away? Why leave such a prominent region of the world to another to not live well?
20090202230554AAyf73o	Politics & Government;Law & Ethics	Why are cigarettes and alcohol legal when they kill people when marijuana doesn't kill anyone and is illegal?	N/A
20090202230640AABPAJl	Politics & Government;Politics	I find it hard to believe that Jews make up only 2-3% of the US population. What about you?	N/A
20090202230832AAxb5lU	Politics & Government;Politics	Why did customer care....?	Delete my question about black accomplishments? Were they afraid that people would see all the dumb answers?
20090202225253AAgcz0h	Politics & Government;Government	Why is impeachment held in the House and the trial in the Senate?	This is a question on my history homework and nobody in my class can figure out why the impeachment is held in the House.
20090202230509AAqd6zU	Politics & Government;Law Enforcement & Police	Los Angeles Sheriff Dept & GI Bill?	My husband starts the LASD Academy next month.. the academy is being help at a community college out by us. His college counselor told him that they just recently passed a law that because it is being held at a college, and can be used as elective credits, he can receive his GI Bill while attending. The other day he said that he "heard" because it is a pass or fail academy, and you can be dropped at any time, you don't collect the GI Bill while attending school.. if you pass the academy they give you all the 'back pay'. That doesn't make ANY sense to me.. has anyone heard of this? Does anyone have any information about this matter for me? Thanks!
20090202230118AAwcZWr	Politics & Government;Law & Ethics	Views on the bail out?	PRO OR CON?
20090202222703AAdrX3c	Politics & Government;Law Enforcement & Police	Please analyze my answers for my psychological test.?	Today I took my psychological test for a law enforcement job. I took the MMPI-2 (567 questions), an additional similar test with about 160 questions (i forgot the name of it), and then a packet in which I had to fill in answers rather than fill in bubbles.    One section was a sentence completion test, are these good answers, why or why not from a psychological, law enforcement, perspective.    My father_______. ( I put: is a successful person.)    My biggest fear is _________. i put snakes    My mother_____________. is a kind person    I have no tolerance____________. for terrorism.    My biggest regret is ________. using marijuana..(obviously they already know my drug use at this point in the background process)    Blacks are ________. people    Women should__________. utilize their equal rights    Most people this Asians__________. are people.    Whites ____________. are people.    I hate ________ terrorism.    I feel angry___________ at terrorism.    Jews______. are people.      Also, in another part of the test, I was asked scenario questions.    1. You and your partner are performing a traffic stop on an African American and a Hispanic in a car with no registration tag. The African American driver exits his car and is yelling at you, claiming you stopped him only because he is black. How do you respond?    I put... I would use the appropriate amount of verbal/ physical force to control the person so that I could continue with my investigation.    2. Your partner tells back at the African American man, saying "Why dont you people ever shut the hell up", and tells the man to "shut the F__k up and get your black a_s on the curb". What do you do?    I put... I would take control of the situation to avoid any further confict. I would later notify our supervisor of my partner's behavior.    Please let me know how my answers are. Thanks.
20090202230759AAnEu4k	Politics & Government;Other - Politics & Government	After world war I, president woodrow wilson went to europe to help write the peace treaty that ended the war.?	12. was president wilson acting within his constitutional powers when he helped negotiate the treaty?   why or why not?  article?      section?      13. was the treaty binding on the united states as soon as wilson signed it?...   why or why not?   article?   section?
20090202231023AAM12q4	Politics & Government;Government	The united states has just been attacked by a foreign country. only congress can declare war against that ?	country but congress has finished up its business for the yr. and adjourned.       what power, if any, does the president have to act in this emergency?      article?         section?
20090202230616AAy1ArM	Politics & Government;Other - Politics & Government	After world war I, president woodrow wilson went to europe to help write the peace treaty that ended the war.?	12. was president wilson acting within his constitutional powers when he helped negotiate the treaty?   why or why not?  article?      section?
20090202225204AA6KDEr	Politics & Government;Military	Army     rrrrrrrrrrrrrrrrrrrrrrrrrrrrr?	is a good for my future
20090202224407AA7YGdc	Politics & Government;Other - Politics & Government	What were all of president hardings siblings names?	theres 8 of them
20090202224216AAJoc5Z	Politics & Government;Other - Politics & Government	What do americans today think about terrorism ,torture, and heroism  in years past?	 http://www.telegraph.co.uk/news/uknews/1... 
20090202223030AAmCBqY	Politics & Government;Military	Possible to move boot camp date up?	Hello there,      I was wondering after you sign your contract  is it possible to move your boot camp date up?   I'm currently a junior in high school and am planning on DEPing in either august or september. I've been talking to my school guidance counselor to see if I could take all my senior classes in the first semester, seeing how I will have a very light load.   Now me graduating early is not a guarantee so I'd still like to make my deploy date sometime in the summer of 2010.      Also if I were to graduate early then go to boot camp would I still be able to walk at my high school graduation? I would probably be at AIT, do you think they would let me come home to walk?      Thanks everyone,   Kelsey
20090202230827AAIcvJ0	Politics & Government;Law & Ethics	Is this illegal or just immoral?	If you switch sale price tags in a clothing store, is it illegal?  Or just immoral?
20090202222320AASvc3j	Politics & Government;Military	Navy or Marines......?	I've been giving it A lot of thought and im just looking for more info to either join the Navy or the Marines.?i was wondering which on is better longer term as in life after the military what has better job training and things of that nature.? im thinking either after the military to go in to aviation A&p mechanic, firefighting, or homeland security so i was wondering what branch will prepare me for thiese careers..?
20090202223325AA3HfdZ	Politics & Government;Military	Is it possible to get an aerospace engineering degree online?	cause im gona be in the military
20090202223107AAWw9qH	Politics & Government;Military	Im in the National Guard, and my fiance is active duty.Is there a chance we can get stationed together.?	I know that its possible but what things do i have to do to get it done, and will it be hard to be stationed where she is?   Thank you
20090202223432AAw7KiA	Politics & Government;Law & Ethics	Will Octuplet mom still be eligible for welfare if she gets million $ bookdeal?	im assuming she's on welfare with the 14 kids and still living with her parents
20090202230816AAQMIx8	Politics & Government;Other - Politics & Government	Difference between motion and petition?	N/A
20090202230817AAlf5rU	Politics & Government;Elections	Is barak obama really a terrorist?	is this true? my dad said he was going to be some loser durka president and would never get caught because if some one tryed to shoot him he has body guards.
20090202223709AAKwJWj	Politics & Government;Other - Politics & Government	Is there hope for anarchy?	I'm a strong supporter of anarcho-capitalism. I believe that the State is an unnecessary evil that employs aggression and coercion as a means of oppressing its citizens, who by right ought to be free and sovereign individuals. I also believe that the only permissible socioeconomic system under which humanity may justly thrive is the free market.   This being said, I'm a realist, and I understand that the likelihood of achieving a truly anarcho-capitalist society is nearly nonexistant. I'm fine simply advocating my viewpoints on an ethical basis alone, but at the same time I wonder if there's anything else I could do to help show people that anarchy isn't synonymous with chaos. Liberty is the mother of order, not the daughter.      What do you think is the best way to help people understand and relate to this philosophy?
20090202224109AAIOPIU	Politics & Government;Law Enforcement & Police	Does Any One Know If You Can Become A Cop in A State U Don't Live in?	ok i know that probably sounds crazy but what i mean is i live in P.A right now and i am 19 years old and i want 2 become a cop when im 21 if i can start the training when im 20 that would be good also but anyway i want to become a cop Nevada Henderson to be exact i want to move there so i wanted to know how would i got about doing it do i train to become a cop in P.A and ask for a transfer or do I have to Train In Nevada or what? Any Answers will be much Appreciated!
20090202224217AAKS9pl	Politics & Government;Law Enforcement & Police	What Is the penalty for being caught entering private property?	A couple of nights ago my friend and I jumped the fence of our local pool and decided to go for a night time swim. Security came and we ran, jumped in my car and got the **** outta there! Just today I got a phone call from the police questioning me about the incident. ( I assume secuirty took my licence plate number )  We didn't break into the pool or steal anything, it was just a bit of harmless fun. However, what will the penalty be for this? Is it classified as breaking and entering? we didn't really 'break' in. I live in Queensland, Australia.
20090202224900AAcUF6q	Politics & Government;Elections	Who is the president of USA?	N/A
20090202224913AAZ6kye	Politics & Government;Law & Ethics	What can happen if you bought stolen property but you didnt know it was stolen.?	N/A
20090202225200AACAYH2	Politics & Government;Law Enforcement & Police	Can a cop do this.......?	If he is after someone you live with, can he charge in your home and start commanding the person who they are not after around and asking for their i.d. and what not. Are there restrictions to what they can do?
20090202230520AAJDcN0	Politics & Government;Government	Why companies ask for bail out and government still letting CEO's still get millions?	more blue collar workers on the street every day and don't go on   about the new president is going to do any good all bush'es people  are still there they just took obama's cabnet's places
20090202225657AAfbnTz	Politics & Government;Law Enforcement & Police	Am i worthless because i have a criminal record?	how can i get back on track.I'm a ex-convict of 15 year ago 2 children 1 which i take care off solely!I'm early 30's and I'm starting to get in that "I Give up Mode,where can i get a start? how can i get a start?Am i nothing now because i have a criminal record 15years ago! i need a job!
20090202225734AArK10t	Politics & Government;Law Enforcement & Police	What exactly is a parole?	N/A
20090202230206AA5G1Rr	Politics & Government;Military	If it is against your religion to take pictures can the military force you to do so?	N/A
20090202230244AAnzkBy	Politics & Government;Law & Ethics	Can i buy weed on line and is it legal?	N/A
20090202230328AAP5V15	Politics & Government;Military	Does meps still strip you down in 2009?	anybody been through meps this year??
20090202230331AAZNkEt	Politics & Government;Law & Ethics	Why is abortion seen as a crime in some countries while on others it is legal?	N/A
20090202230333AAUSvrW	Politics & Government;Law Enforcement & Police	What is the resolution to stop the killing of srilankan-tamilians by srilankan army?	N/A
20090202230952AA6zirb	Politics & Government;Other - Politics & Government	Is there anything we can do? School is closing...?	kay so basically my school (puget sound early college) is closing because of a budget cut. Its kind of hard to explain, but the budget isn't finalized until April but they still decided to cut our school out. We don't want it at all because our teachers will lose their jobs, and its just stupid. Is there anything we can do to fight it? Its not juts cutting our school out but the ESL program and a child services program. The students want to fight it, we plan on going to our state legislators and seeing what we can do. Its hard to explain, but heres the news article...hope that helps.       http://www.komonews.com/news/38729557.ht...       if there are any suggestions I would TRULY appreciate it. This school means more to me than anything right now, and it breaks my heart to know they plan on closing it. Thanks guys!
20090202231116AAesYEi	Politics & Government;Law & Ethics	Can you sleep in your vehicle if you are drunk? In the United States and California in particular.?	N/A
20070622234310AAnE5Hp	Politics & Government;Politics	Is the Showdown about to come, Dick can ignore the Pres's orders?	N/A
20090202234320AAHjfJk	Politics & Government;Politics	Why should the government pay interest to the Fed?	Since the money for the bail out isn't real money and the Fed is only printing it out of thin air, and our tax dollars are supposed to be used to pay back the loan? Our tax dollars are real money so why should our government have to pay interest on "air money" with real money. I say let's just pay the initial loan with no interest.
20090202232827AAqJlEf	Politics & Government;Politics	Will Michael Steele force racists out of the Republican party?	David Duke, the former Ku Klux Klan grand wizard and Republican congressman from Louisiana, called Steele -- or "Obama Junior" -- a "radical Black racist" who will spur the majority of Republicans to leave the party and start their own (presumable racist) political group.      Where can the bigots go?
20090202232357AAhpqK9	Politics & Government;Elections	So when you say that you want Obama to fail?	Do you feel like you want American to fail as well?      Personally, of course I want obama to fail with his socialist agenda SO America can succeed.
