20090304162506AALGSL3	Society & Culture;Religion & Spirituality	Can one be Gay and still be accepted by ones religion?	If not, why not?
20090304222000AALjAfM	Society & Culture;Religion & Spirituality	What do you think about these verses from the Quran that talk about specific Atheists?	46:11   And those who disbelieve say of those who believe, "If it had [truly] been good, they would not have preceded us to it." And when they are not guided by it, they will say, "This is an ancient falsehood."      2:13   And when it is said to them, "Believe as the people have believed," they say, "Should we believe as the foolish have believed?" Unquestionably, it is they who are the foolish, but they know [it] not.      6:111   And even if We had sent down to them the angels [with the message] and the dead spoke to them [of it] and We gathered together every [created] thing in front of them, they would not believe unless Allah should will.      I was astonished at how many questions these verses answered about Atheists, non-believers, etc.      What do you think about these verses? I find them unbelievably accurate from looking at the comments in this section saying religion is just ancient falsehood and how all believers are foolish and ignorant, and follow 'fairy tales'...
20090304223856AAKqoRC	Society & Culture;Religion & Spirituality	Why is American Christianity so screwed up? christians and non feel free to answer?	I do not live in the US thank goodness but the so called christians I have spoken to on line are very very rude and full of evil. They sure put on a good act at being a Christ follower. On top of that most of the faulse prophets live or come from the US. so why is this? a lot of them are on their way to hell but just do not know it. so anyway I need to know why most Christains in the US are so holy then you? sad and pathetic
20090304224518AAKkQRp	Society & Culture;Languages	Changing My Language Class?	Okay a little backrground information. When I applied for my high school, i signed up for French as my first choice and Spanish as my second choice. Yet SOMEHOW i end up in Chinese class. To make a long story short, Chinese class is a disaster and one of the worst experiences of my life. I am thinking of switching to French next year, but I want to stay at the same level as my classmates (which will be French 2 next year).       I need advice as to what I should ask my teachers and what I should do. Any real advice will be appreciated.
20090304224618AAFCsrT	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Have there been any times in history were homosexuality has been accepted?	Have there been any times in history were homosexuality has been accepted or even encoraged?
20090304223038AAyMokd	Society & Culture;Languages	Translate Japanese lyrics?	Could someone translate these lyrics for me? Thanks.       Wake up 生きとし生けるもの芽吹き出す   Power on 窓の外で僕を呼ぶ声   Log in 指先で打つ心のRhythm   Online 本当は誰かに気付いて欲しい      まだ見ぬ世界で君が待ってる   0と1の海を越え探しに行こう      本当の名前も   本当の顔さえ   本当の言葉も   本当の声さえ   どれが君かなんて   どうでも僕はいいんだ   ただただ逢いたくて   はなはだ恋してんだ   Movin' on ... 'Cause I love you   Movin' on ... 'Cause I love you   Face to face 君と僕の心を      開け放て Window      Browser 立ち上げ Brother 教えて Game の裏技   立て続けて新着マイミク即許可しなきゃ日記が読めません   すぐ Wiki Wiki to Chat   調べたうんちく今にも誰かに知らせちゃう   さぁニコニコ MySpace UpLoad 待ちです   独りじゃ心が保ちません作業用BGM      Virtual な世界くまなく隅々探てきた   もうそろそろ Future の伴侶見つかる頃でもいいじゃないの？   そうところで父ちゃん How to 母ちゃん口説いたん   あーだこーだあっちゃこっちゃいっちゃ   はちゃめちゃむっちゃしてやんちゃ      開け放て Window      まだ見ぬ世界で君が待ってる   0と1の海を越え探しに行こう      本当の名前も   本当の顔さえ   本当の言葉も   本当の声さえ   どれが君かなんて   どうでも僕はいいんだ   ただただ逢いたくて   はなはだ恋してんだ   Movin' on ... All 'cause of you   Movin' on ... 'Cause I love you   Face to face 君と僕の心を      開け放て Window      Power off 二人の手で窓を閉じたら   Let it go 君と僕の旅に出掛けよう       http://www.youtube.com/watch?v=zRaAI2f0y... 
20090304222201AA1BwsX	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	How do I find a gay lover?	N/A
20090304224151AA70hO3	Society & Culture;Etiquette	How to stop being so blunt?	I sometimes offend a lot of people when i speak, and ostracize myself from a group. I just don't like to front myself or be fake, cause i can't stand fake people. How can i stop being so blunt with people?
20090304223137AAIR7YB	Society & Culture;Languages	Spanish help, 10 points for best answer?	Instructions   ?Cuántos hay?   Use the inventory list to answer these questions about the amount of items in stock at the school bookstore. Use complete sentences and write out the Spanish words for numbers.       Model   The list says: libros 15   You see: ?Cuántos libros hay?   You write: Hay quince libros.       Inventario    Libros 320    cuadernos 276   plumas 125   mochilas 31   diccionaries 43   mapas 66      1.?Cuántos mapas hay?        2.?Cuántas mochilas hay?        3.?Cuántos diccionarios hay?        4.?Cuántos cuadernos hay?        5.?Cuántas plumas hay?        6.?Cuántos libros hay?
20090304222537AAtOJzS	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Why do people seem to always want to identify themselves by one thing?	I see people posting on yahoo answers all day. How many of you actually have names? Few, I must say. It seems like everyone picks a name and avatar that shows them off and labels them as one, big ol' thing. For instance, some of the most common: "Homo Dave" or "Bi and Proud" with a rainbow avatar. A name like "Awesome Atheist" or "There Is No God" with some anti-religious avatar. Or, the opposite: "God's Witness" or "PreacherMan" with a cross as the avatar.    (On a separate note entirely, I can understand why religious people would identify themselves, because they're supposed to convert people. But why atheists? Why throw it in people's faces when that's what you hate so much about Christians. :3)      Anyway, why do people want to identify themselves by one thing only? Are we really so shallow that we adopt one label and revolve out whole lives around it? What do you people who don't do this think?      BTW, I'm gay and agnostic. So no one whine that I'm being prejudiced.
20090304223956AABsYjf	Society & Culture;Religion & Spirituality	Christians, If the god is all knowing, did he know who will commit a sin, repent, ask for his forgiveness...?	... and be forgiven?       If the god knows who amongst us would kill, torture, rape... yet he also knows that person will enter heaven, because of his repentance,    Why allow him to kill in the first place ? Is this some kind of a game ?
20090304224212AAb1iuf	Society & Culture;Other - Society & Culture	(Under age 40? You won't understand.) or do you ?	Black and White    (Under age 40? You won't understand.)       You could hardly see for all the snow,    Spread the rabbit ears as far as they go.    Pull a chair up to the TV set,    'Good Night, David. Good Night, Chet.'       My Mom used to cut chicken, chop eggs and spread mayo on the same cutting board with the same knife and no bleach, but we didn't seem to get food poisoning.       My Mom used to defrost hamburger on the counter AND I used to eat it raw sometimes, too. Our school sandwiches were wrapped in wax paper  in a brown paper bag, not in ice-pack coolers, but I can't remember getting e.coli.       Almost all of us would have rather gone swimming in the lake inste
20090304222307AAfeJVZ	Society & Culture;Other - Society & Culture	The power of focus is critical to your?	life and what it means to you ? do you need this to have a good life ?
20090304221327AA1vLmj	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Satanism (20 Characters)?	So I was wondering. What do you guys KNOW about Satanism (or think you know) and considering your knowledge, what are you opinions on Satanism?
20090304224405AAoQRsJ	Society & Culture;Religion & Spirituality	If the universe really is millions of years old, then why do galaxies wind themselves up too fast?	The stars of our own galaxy, the Milky Way, rotate about the galactic center with different speeds, the inner ones rotating faster than the outer ones. The observed rotation speeds are so fast that if our galaxy were more than a few hundred million years old, it would be a featureless disc of stars instead of its present spiral shape.1 Yet our galaxy is supposed to be at least 10 billion years old. Evolutionists call this "the winding-up dilemma," which they have known about for fifty years. They have devised many theories to try to explain it, each one failing after a brief period of popularity. The same "winding-up" dilemma also applies to other galaxies. For the last few decades the favored attempt to resolve the puzzle has been a complex theory called "density waves."1 The theory has conceptual problems, has to be arbitrarily and very finely tuned, and has been called into serious question by the Hubble Space Telescope's discovery of very detailed spiral structure in the central hub of the "Whirlpool" galaxy, M51.2
20090304222526AAC9oK8	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	What SMELL comes to mind when you hear the words "SALTY, HOT & GREASY".....?	N/A
20090304213252AAgpJzt	Society & Culture;Royalty	How were crowns adjusted?	What if the king's head was larger or smaller than previous kings?
20090304222852AA34VB8	Society & Culture;Other - Society & Culture	How much longer will my co-worker keep getting his wages garnished?	Hi all! I have a friend that I work with who has a big problem. I'm actually his boss. We got paid yesterday via direct deposit and I noticed he seemed very angry. He told me that over 90% of his total pay was taken from him for child support and back taxes. He's got two kids from two different women and he now also owes IRS over $50,000 in back taxes and penalties. The back child support bill he has is already over $15,000 in just 9 months of not making child support payments to his two kids. I told him that those two pieces of pus*sy really cost him a lot of money. hahaha! His tax problem is a result of him not filing his tax return in over 5 years. He doesn't know how he's going to pay the rent now or just to survive. The mothers of his children are now with other men, which pis*ses him off a lot because he feels as though he's got to pay them now for kids he never wanted in the first place and also without them giving him any more pus*sy. hahaha!!! How much longer will my co-worker keep getting his wages garnished? I feel sorry for him because he got himself in this very terrible situation. Any answers would be appreciated. Thanks!
20090304224521AAUS3b0	Society & Culture;Mythology & Folklore	Question about spells (wiccans only or people who believe)?	do spells work by just believing in it and visualizing it happen? I've done them before and haven't seemed to have much success (and don't say it's because they don't work!!) what did I do wrong? please help! thanks
20090304224421AA0y2nG	Society & Culture;Mythology & Folklore	When was the Phoenix (mythical firebird) created/discovered etc.?	I can't find when the Phoenix was discovered/created at all!      Please help me,   Thanks.
20090304223341AANHBrN	Society & Culture;Other - Society & Culture	Which country would you rather live in?	Spain   Venezuela    Peru   Argentina   Mexico   or Chile?      Assume you'd be living in the capitols of these cities...
20090304222437AAiEb6l	Society & Culture;Languages	To those living abroad, what are the dis/advantages in raising your children in a foreign country?	N/A
20090304202631AAD8rVO	Society & Culture;Religion & Spirituality	If you went to a church that you had assumed was a non-denominational church...?	and you never read or heard otherwise that it was or wasn't   would you be mad if later you found out that it was a Baptist church?
20090304223343AAJWzRa	Society & Culture;Religion & Spirituality	Does this mean God is punishing me?	I just found out from my mother had an affair with a Native American massage therapist and the Native American man is my true father. I ask this because the man my mother is married to, a Religious exterminator just told me this is all my fault and this is Gods way of punishing me. I'm not too sure what to make of his ramblings, but it all sounds so real.
20090304224207AAt7aAr	Society & Culture;Mythology & Folklore	(Breaking Dawn) Amazonian coven?	In Stephenie Meyer's Breaking Dawn book, where do the characters Zafrina, Kachiri, and Senna live? I think it's somewhere in south america but I can't find any other details in my book.
20090304223016AA3wPMz	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	I am a little scared about sex, etc.?	Discretion advised:   Well, I am not exactly scared, but I am conservative, I guess. I don't fully enjoy myself when I please myself because I feel guilty after trying something new. When I please myself in the morning, I feel a little bad all day because of what I did. I WANT to fully enjoy myself and try new things when I can, but my thoughts are holding me back. I also watch some porn every once in a while. Is that a bad habit? Thanks so much for your time.
20090304224405AAyiWkV	Society & Culture;Languages	How would you say in JAPANESE "im not in the mood to read today"?	N/A
20090304224011AAHkRsd	Society & Culture;Languages	How would I say these sentences (japanese)?	1.) I believe in the moon princess.   2.) From now on, when I look at the moon i think about kaguyahime.      3.) It was a cute story.   4.) It was a pretty story.         How would I write these sentences in Japanese?   Thanks in advance for all answers. =)
20090304223951AA1nApa	Society & Culture;Religion & Spirituality	Does love feel the same in Heaven?	I mean on earth, we love our boyfriends/ girlfriends.  We also love our parents and siblings and friends, all in a different way.      On earth, we are bound by flesh, and genetics, and of course we have babies, so we have to have a different "love" for a spouse or family member...but in Heaven, we are no longer bound by flesh...      So once we're in Heaven, for example do we still "love" our spouse the same way?        Im sure we're happy to see them, but do we still love that person like he/ she is our "spouse"?       Not stronger or weaker love, but will it feel different?
20090304223211AAjeM0R	Society & Culture;Languages	How do you say this in Spanish?	i need a translation on-   his eggs hasn't dropped yet   and   your eggs hasn't dropped yet      thanks
20090304221955AAfYZFM	Society & Culture;Religion & Spirituality	Why do people think sex is bad...?	I mean, seriously. It is the most common, natural thing the human body can perform. I'm talking mainly about sex for pleasure not reproduction. It releases stress and makes you a healthier person physically and mentally. I mean, that's how you got into this strange thing called life. It's not like your parents didn't enjoy it. So why hate it?
20090304223434AAyxdqH	Society & Culture;Religion & Spirituality	If I have a doubt in God while still living, can I still be saved if I die and found out God really exist?	If I have a doubt on God while still living, can I still be saved if I die and found out God really exist?   While living the only mistake is doubting the existence of God, but I'm still a loving person,has respect to others.Can I still be saved if I die and found out God is real?
20090304224906AA96huI	Society & Culture;Religion & Spirituality	Religion is center of evil eh?	I believe almost all issues in the world good or bad are tied too religion (more bad than good). This isn't just in current times that Religion has been seemingly center of evil through out history essentially all the wars in the world have been due to Religious conflict of some sort. So my question is do you agree that Religion is the center of evil and poisons the world.
20090304224323AAXgS6i	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	White lesbians and bisexual women do you find mixed race women attractive?	Hi, I am really curious, as a mixed race women half white half black, I find white women to be very attractive. Do you find mixed race women attractive?Have you ever or would you date a mixed girl? I am slim, 5'6", tan skin, long dark brown hair, and brown eyes.
20090304223547AATPnWP	Society & Culture;Religion & Spirituality	I wanna know why ppl love the devil, or theirself, before they love God(anyone)?	N/A
20090304224140AA2HRKL	Society & Culture;Etiquette	Whats wrong with buttchins?	why does everyone hate my buttchin
