20081128133108AA52xi8	Travel;Mexico;Guadalajara	?donde puedo tomar clases de baile en guadalajara?	salsa, merengue, etc
20090220183327AAxf0Gw	Travel;India;Other - India	How a senior citizen can fly free of cost in India?	Some airlines give upto 50% discount of base fare for senior citizens but then the tax & service component is very high. Is there any way by which a completely free ticket could be obtained for seniour citizen. Also, is there any agency or method by which a patient who happens to be a senior citizen that can get free flight benefits.
20090220173359AAvKLp9	Travel;Canada;Other - Canada	Why does Canada have such stupid stereotypes...?	I know it's a dumb question      Stereotypes like: All Canadian people always say "eh" at the end of their sentences.      It's always snowing in Canada.      It's not like as soon as you cross the border, everything freezes.      Why does Canada have such stupid stereotypes? Pretty much all of them are NOT true. They give such a bad name to Canada.
20090220182417AA7XY8s	Travel;United States;Las Vegas	Are reservations needed at  some vegas clubs?	Are pools going to be open in las vegas during march
20090220173301AA5VDQ6	Travel;Caribbean;Cuba	Tanning in Cuba!?... help please :) <3?	Heey everyone i'm new to this website it's really cool so far i love it!   anyway so i have a question im going to cuba on march 21 to the 28 this year and i just wanted to know some stuff...      what is a good way to tan?   How tanned will i get during that week?   what sunscreen should i use?   thats it THANKS SOO MUCH i love you guys   P.S. i burn really easy.<3
20090220182017AAl0Bkl	Travel;Africa & Middle East;Other - Africa & Middle East	Is freetown, sierra leone one of the most violent cities in the world?	Im guessin it is because sierra leone has one of the worlds highest murder rates
20090220175230AAXqYiS	Travel;United States;New York City	What is the best School in NYC?	A private school    kind of like gossip girl's Constance
20090220182831AAi8ez0	Travel;United States;New York City	What's the difference between living in Singapore and New York?	Currently I'm a student living in Singapore with a Singapore passport. I'm thinking of studying in New York when I reach university age. I've heard lots of great things about New York, as well as bad. But the reasons why I can't wait to get there is because I'm eager to experience American (college) life, have international college friends, explore new places, don't really have to get 'stuck in the rut' like other Singaporeans, be overwhelmed by the availability/variety of good and services, heard that cost of living in New York is lower than Singapore (a survey ranked New York 23rd in terms of highest cost of living, while Singapore gets 13th), availability of jobs after graduation (though maybe not at this time), get to benefit from the PlaNYC 2030 citywide program of improving everything, from transport to environment ( www.nyc.gov/planyc ), know that New York has a huge Asian community for me to get comfortable with, and finally, heard that Singaporeans who lived/worked/studied there enjoyed their stay tremendously, so I hope I will too. I might even want to stay forever. But first I need to know why some people have a bad impression of New York life (is it because of dull work, problems any city would have, crime levels, or what?). What will I miss out if I choose to live in New York instead of Singapore? I also heard New York is voted the 'safest large city in USA', but what precautions should I still make? I come from a very safe country (not trying to brag but it's true according to statistics), so I might very easily let my guard down. But I'm still positive about going to New York, so I can't wait for my one-way ticket. One more thing, if I find it expensive to live in New York eventually, what should I do to keep costs down (e.g. where can I find the cheapest apartments, the reasonably priced shops/supermarkets, etc.)?
20090220173143AAHEFq2	Travel;Germany;Other - Germany	Where can I get a list of pawnshops in Germany ?	I need a list of pawnshops in Frankfurt
20090220173654AABsmCc	Travel;Germany;Other - Germany	What are nice dating sites in the internet to meet German men?	Will be for business some days in Frankfurt and wanna meet some nice guys
20090220173453AAd6BvO	Travel;United States;Orlando	Things to do in disney?	im going to disney and i have been there so many times what are some new interesting things to do there?   i want to discovery cove but there is no transportation   thanks!
20090220180104AAFza30	Travel;Europe (Continental);Greece	I AM AN RECOGNIZED REFUGEE IN GREECE. HOW CAN I OPEN A BUSINESS IN GREECE/?	HI ,I GOT MY REFUGEE STATUS IN GREECE  ON 2006. I AM LIVING IN GREECE FOR 8 YEARS AND STILL NOW I NEVER ASKED ANY HELP FROM ANY BODY. RECENTLY I START A BUSINESS AND OPEN A INTERNET CAFE. I HAVENOT ENOUGH MONEY TO BUY EVERY MATERIALS LIKE CHAIR, TABLEAND ANOTHER FURNITURES. CAN SOMEBODY TELL ME TO WHOM I CAN ASK FOR FINANCIAL HELP.MAY BE TO EU REFUGEE FUND?
20090220180544AAT9sEz	Travel;Air Travel	On average how much do airline captains for quantas work in a week can this be answered by an airline pilot?	may this pleas be answeres by someone with experience and if any one has a scedual of a pilots week it would be great thanks
20090220180728AAyOMpR	Travel;Asia Pacific;Philippines	How much to send out from the Philippines?	Does anyone here know how much to send a parcel via normal post and also registered post from Manila to Kuala Lumpur in Malaysia ?   Is canned food allowed to be sent out from the Philippines via normal post ( in parcel form ? )       Thanks
20090220181239AAzkOpW	Travel;Asia Pacific;Japan	What textbook do you recommend me for learning Japanese language?	I wanna learn Japanese language. I know nothing about it.I want to teach myself. So what textbook do you recommend?
20090220182205AA2FsbY	Travel;Asia Pacific;Philippines	How does the Red Box place at TriNoma, Quezon City work?	I'm coming home from the US and my friends (we're all mid-teens) asked me if I wanted to chill with them somewhere near my old school (their current school). we're still very close to each other even though our only means of communications are through Friendster and YM.          Anyway, one of them suggested Red Box. I asked a question about a good hang out here recently but I looked up Red Box and I found their site. So my questions are:         -How do they charge? by hour?   -are teens allowed in? Considering the fact that Red Box is a karaoke bar.   -I saw on their site that they offer a good deal on students with IDs. I think it will seem awkward of me to ask my friends to bring in their IDs, but can I use mine? it's Simsbury High School...do you think they'll accept it?   -How's the food? How much do they cost???         I'm on a tight budget but I don't wanna seem like a complete cheapskate.
20090220183209AA3xQ7o	Travel;United States;Honolulu	I want to visit family in Hawaii later this year.  When does school finish?  In May?	N/A
20090220184339AAjvbHz	Travel;Asia Pacific;Korea	How do you say "Where are you" in Korean?	N/A
20090220184421AAHjfRY	Travel;India;Bangalore	Scholarship help???????	i am a sslc student in bangalore, karnataka.I would like to obtain scholarships can anyone help me pleaseeeeee.....please tell me any organizations which i can consult and also how to obtain them .......... i tried but i could not get any........please help.......thank you in advance
20090220184901AAu8oWC	Travel;Europe (Continental);Other - Europe	What are the capitals of ex-Yogoslavia?	N/A
20090220190427AABdZGy	Travel;Canada;Toronto	Immediate answers needed: mississauga go bus services?	i have a final exam tomorrow  ( saturday , feb 21) at 8:30 am, when does the go bus service start? i need to go from Mississauga ( Square one station) to york university. plz help, i just have been told that it starts at 10 and no bus start at 8 or 7
20090220191845AAmBrqS	Travel;United Kingdom;London	Why do British people say tooth after stuff?	on this girl myspace she put mad tooth and then this other one had stoosh tooth....wat does tht mean???
20090220192012AAaKPAZ	Travel;United States;Other - United States	I have got written to confirm reservation in hotel before 6 month.when i check-in room was sold-out?	for the person who check-in after 3 hours?
20090220192120AAZoSA5	Travel;United States;Other - United States	North and South Dakota STATES??!!!?	THIS JUST IN!!!!!!  there is a state called missouri and oregon too
20090220193641AAdZPO5	Travel;United Kingdom;Other - United Kingdom	Moving to the United Kingdom?	I'm moving to England soon, and I was wondering about nice towns to live in. I'm in my mid twenties, I'll be needing a job as a vet or zoologist. But back to the main question, I'm looking for nice towns or cities to move to. I'd like a house that is detached and being in zoology and photography I'd like nice landscape/scenery and nature. Friendly people and just a nice environment :]. Scotland, England, and even Ireland are acceptable. When I went to England before, I really liked the Epping area and Fife in Scotland. Low crime would be nice too.      Also, I'm definitely not a fan of Obama, would I be criticized there?
20090220194404AA50zgt	Travel;Canada;Other - Canada	Possibly moving to Canada?	I just posted a question about moving to England, but I also might move to Canada. BIG DECISION and I was wondering about nice towns to live in. I'm in my mid twenties, I'll be needing a job as a vet or zoologist. But back to the main question, I'm looking for nice towns or cities to move to. I'd like a house that is detached and being in zoology and photography I'd like nice landscape/scenery and nature. Friendly people and just a nice environment :]. When I went to Canada I liked Hamilton a lot. Low crime would be nice too.
20090220193658AA1P5Fi	Travel;Mexico;Other - Mexico	Is it illegal to be with a minor in  mexico?	If you're 13, and a guy in his 20's wanna go out with you, is it illegal to be together in mexico??
20090220194049AAN5YA9	Travel;Air Travel	What is the best way to take a  guitar on an airplane?	N/A
20090220194309AAZRurV	Travel;United States;Los Angeles	How far is Santa Clarita from Encino?	??????????????????? time wise....??
20090220195302AAjrYFf	Travel;Air Travel	Help with Airline Prices and Airport?	I'm looking to fly from the Buffalo, New York area to Monte Azul Paulista in Sau Paul State, Brazil   How much will it cost and what's the nearest airport to Monte Azul Paulista City?
20090220200131AAK8wS6	Travel;Travel (General);Other - Destinations	Where is your dream destination?	If you could wake up in the morning anywhere in the world where would you pick?Why?      Id have to go for Hersonissos in Crete.went with a group of friends a few years back and had the best craic iv ever had.Sun,sand,women,clubs that didnt close until six and cheap drink.................lots of cheap drink!I can almost feel the sun on my face now!
20090220201242AAZz0o4	Travel;France;Other - France	How is Grenoble  france?	how is Grenoble  france?   how far is it from paris?   How people speak/understand english here?
20090220203420AAlxbK1	Travel;United States;Other - United States	21st birthday vacation?	I'm planning to go on a vacation for my 21st birthday with my family and my best friend. I want to go somewhere in the US (because I can already drink everywhere else lol). I don't want to go to New Orleans, because I live here. And I don't want to go to Vegas because...I don't know, it just doesn't interest me. So...ideas?
20090220195859AAAtXTA	Travel;Europe (Continental);Russia	Can an American citizen see the Victory Parade in Russia?	As a US citizen, if I got a tourist visa for Russia, would I be allowed to watch the Russian military parade with all the tanks, missiles, etc, or does one have to be a Russian citizen?
20090220201942AAmfAZ0	Travel;Europe (Continental);Other - Europe	Movement on cobblestone?	I'm interested in going to Europe and cultural places one day. I've realized that almost all streets are made up of cobblestone and pavement. Is walking on the streets going to be hard? Also, will driving be a bit bumpy?
20090220202538AAUuMJw	Travel;Caribbean;Other - Caribbean	How do you find the fifth daughter in pirates of the caribbean:aegir's fire?	i've gone to the shipwreck cove... but when it says find the fifth daughter, i don't know what to do because i've completed all the missions... HELP!!!
20090220202925AA3UABm	Travel;Air Travel	Where can I find cheap flights from US to India?	I want to know where I can find cheap flights form IAD to DEL.
20090220203344AA9paDw	Travel;Air Travel	Airline rule for makeup? ten points?!?	okay so i'm leaving for hawaii in the morning and i need to know if i can bring my make up on board with me. like mac make up powder and eyeliner and eyeshadow in brushes. no liquid at all but do i have to keep this in a plastic bag or can i keep it in my make up bag? ten points best answer! :) thanks!
20090220203940AAOJ4fe	Travel;Asia Pacific;Korea	EWR to NRT to ICN.  Traveling to Korea.  Newark Airport to layover at Narita Airport to Inchon Korea?	I'm leaving for Korea from Newark to Narita to Inchon.  When stopping at Narita, do i need to go through customs? or do i just enter Terminal 1 and find my next gate to proceed to Korea? Also, does Narita Airport shops accept US $?
20090220204025AA1Rr2S	Travel;United States;Las Vegas	How do i stay looking good while clubbing?	like i need specific ideas on how too keep my hair and makeup looking good because by the end of the nite its horrible
20090220204806AAy75Gi	Travel;United States;New York City	Can anyone suggest the highest point in Manhattan where I can go with a balcony to take photographs at night?	N/A
20090220162940AAcMkVL	Travel;United States;Chicago	True 3 teenagers were SHOT in SOUTH CHICAGO?	is it true..?
20090220211722AA5kieJ	Travel;United States;New York City	How prestigious is Stony Brook University?	I'm thinking of going there because I've been old it's a very good school by my cousin who lives in New York. I am from Los Angeles and Ireland and I don't like LA so I'm either going to college in Ireland or New York. I've been accepted at Stony Brook, St. John's University, and a few others. I didn't apply to good schools like Fordham due to lack of confidence in my grades though it turns out I probably would have been accepted there. So Stony Brook is like the only good university I applied to (unless you count St. John's, Adelphi, etc. as good). I know stony Brook isn't in NYC but it's close enough for me and might be better because then you don't have the city distractions. I could just ride a train in whenever I want because it's only about an hour away. And it's very cheap ($12,000) a year. You can't really beat that for an out of state student.       So anyway how good is Stony Brook? Some people make a big deal of it... It's ranked 97th in the country. does that mean much? How good is it? Be completely honest. Is it prestigious at all like UCLA or something? Or is it just like an easy state school to get in to?      Also please don't tell me I won't fit in.. I was raised in Ireland partially and a lot of my family lives on the East Coast and California is depressing as hell and I love East Coast people. Thanks.      Thanks for your help.
20090220163926AA9XnAd	Travel;United Kingdom;London	Wot is Great Britian 10.01 pounds in Australian dollars?	N/A
20090220163717AACeKLv	Travel;Asia Pacific;Thailand	What do Thai people do now with the horns of dead?	buffaloes and elephants ?      I know that they used to make and export ivory jewellery before but now ??
20060801102333AA9Stud	Travel;Travel (General);Other - Destinations	Come faccio ad arrivare in Francia a Saint Jean-Pied de Port non in treno da Ferrara senza spendere troppo?	N/A
20090220210236AA4YhSe	Travel;Asia Pacific;Korea	Where to go? Japan, Korea, Interior China?	I'm going to go to Hong Kong, and along the way, we want to go elsewhere. What are some good choices? Japan, Korea, Interior China, Thailand, Singapore etc?         BEST ANSWERS WILL BE REWARDED.
20090220163847AANZZTA	Travel;Africa & Middle East;Other - Africa & Middle East	What is Kilimanjaro's summit average temperature?	N/A
20090220210425AADCB3F	Travel;Cruise Travel	Transatlantic cruises, info requested on temp, enough to do, ect.?	We were thinking of doing a transatlantic cruise w/Royal Caribbean, is it warm enough to get a balcony?, enough to do while sailing. (we love sea days,find most ports to be trashy) the airfare seemed high for 1 way so we were thinking of booking 1 in the spring & 1 in the fall and purchase 1 round trip plane ticket each to barcelona.  Any advise?
20090220162550AAtLlFi	Travel;Mexico;Other - Mexico	I need to visit my sick mother in Mexico. I'm driving down there. Do I need a passport yet?	I have my birth certificate and my drivers license. Thank you guys.
20090220210033AAKF0qb	Travel;Asia Pacific;Japan	I need help with japanese? sentences?	I have to do a video project for my japanese 2 class.   And i've made a short script  focusing on the 'i think' pattern.   I want know if this is right?   The plot is that two girls are at the mall and a cute boy walks by, but the girls think he is gay and is dissapointed because he was so cute. ( This isnt supposed to be something that makes fun of lesbians or homosexuals, please do not be offended. this is just a quick little video with some humor in it)      Girl 1: Ano otokono hito wa kawaii to omoimasu.   I think that boy over there is cute.      Girl 2: kawaii desunee   So cute!      Girl 1: Demo, ano otokono hito wa otokono suki to omoimasu.   But I think that boy over there likes boys.   (I dont think this sentence is formed correctly? the suki to omoimasu part.)      Girl 2: Hontoo!?   Really!?         Right here i also want Girl 2 to say "bummer" in japanese. Or something that means that but i forgot what it was.   Can you tell me that too?      Any other suggestions?   Are my sentences correct?
20090220210107AA532QJ	Travel;Europe (Continental);Other - Europe	Which country would you like to visit?	N/A
20090220210109AA2AcIV	Travel;United States;Chicago	Does Chicago get a sea breeze?	N/A
20090220210534AAoKnAB	Travel;Travel (General);Packing & Preparation	What is the validity under tatkaal for indian passport?	N/A
20090220212046AA5ca0S	Travel;Australia;Melbourne	What hostels in central melbourne (city square) have free car parking?	or even a cheap hotel
20090220212251AAb20T9	Travel;United States;Other - United States	Whats the easiest way to get to the atlantic ocean from ohio?	ive been wanting to go on a week vacation and stay in a motel and walk along the atlantic ocean shore im from ohio and i just wanted to know the best possible way to get there by car.                           and does anybody know of any pubic areas for site seeing.
20090220212758AANpHuf	Travel;Europe (Continental);Netherlands	Daily lifestyle in Netherlands?	I'd like to know how people's lifestytle change along with the changing of the seasons in Netherlands,including drink,food and desert after dinner? Thanks a lot for anybody who can share me the answer.
20090220214822AAVJlUB	Travel;Air Travel	Which air carrier allows atleast  one free checked baggage on a  domestic route in USA?	It should be an airplane operator in the united states serving domestic routes. I want domestic routes specifically, not international routes!
20090220215637AAYKhN8	Travel;Travel (General);Packing & Preparation	United Parcel Service (UPS)?	Alright, say i buy something online, and im buying 16 pounds worth of stuff or more or less, and that the shipping costs $50.61, How much time will it take for UPS to come bring the product to me, in how many days or weeks?      Im buying from Airsoft GI, in case you were woundering
20090220221155AAuOjUj	Travel;United States;Washington, D.C.	Cecilius Calvert envisioned Maryland as a refuge for?	Cecilius Calvert envisioned Maryland as a refuge for:        a. indentured servants.         b. the Indians.         c. African-Americans.         d. Catholics.
20070831221519AAuZVSa	Travel;United States;Other - United States	What are fun things to do in a friday or a weekend night alone?	What are fun things to do in a friday or weekend night alone? What fun things do you do?   please don't mention no home stuff. I want to get ideas where to go, ect...    For a 18 year old
20090220132756AAmlOAn	Travel;Caribbean;Puerto Rico	PUERTO RICO?.WHATS IT LIKE?	HI IM GOING TO PUERTO RICO IM MAY,JUST WONDERING IF IT WILL BE HOT THEN AND WHATS THE BEST THINGS TO DO??????????????????????????????????
20090220161940AAvJCO4	Travel;Europe (Continental);Poland	What are some fun things a teen can do in Bialystok, Poland?	I'll be spending the summer in Bialystok with my grandmother and sure, shopping and going around the city is fun and all, but is there something more I can do? Walking around gets boring. Where can I meet people? Where can I have some fun?
20090220162441AAkOJkA	Travel;Asia Pacific;Vietnam;Other - Vietnam	Do you like Vietnam and do you like Vietnamese?	N/A
20090220163412AANq2hd	Travel;United States;Washington, D.C.	What is 1038 river long in Washington?	N/A
20090220163536AAYHebY	Travel;United States;Other - United States	What are some fun places to go?	so far i thought of   -museums   -restsraunt   -movies   -mall
20090220163725AAnif6Y	Travel;Africa & Middle East;Egypt	How did they build the GIZA pyramid?	Simple ( HOW ) did the people in that land build the pyramid?
20090220163742AAhcIjS	Travel;Asia Pacific;Philippines	Does anyone here know how to compute SSS reimbursement?	Let's say, the average total monthly credit is Php 1,450.00.       How would you compute the Compensation Due?      Please answer if you know.       Thanks!
20090220164125AABsrXk	Travel;United States;Other - United States	Where to have an awesome "nature" vacation in US?	I'm looking to plan a 4-5 day trip involving "nature" type activities, such as hiking, kayaking, observing awesome sites (such as geysers, mountains..and other beautiful nature landscapes).      Ideally, the location should not be touristy, but also "user-friendly" (such as Yosemite Park).      If you know of any places in the continuous U.S. states that fit this description, please do let me know!       I'm starting to look at Yellowstone National Park, and the Grand Canyon-- any advice on these areas or others would be greatly appreciated, thank you!
20090220164223AAipJiv	Travel;Cruise Travel	Is the Steiner cruise liner spa uniform 100% polyester?	Has anyone worked for Steiner cruise ships in their spa?  I'd like to know if their men's uniform is 100% polyester - I wouldn't work in heat if it is!
20090220190119AAqIzv5	Travel;Mexico;Cancun	Going to Cancun  from Newark NJ can you tell me is there ar lot of turbulence?	Im afraid of flying can you just tell me how it is?
20090220190507AAM4loU	Travel;Asia Pacific;Singapore	Can the Young/Youth DO the ACT of giving up SEAT for the Old & Needy in MRT/LRT & in Buses for Youth Games ?	I hope the 2 cents will help out to give more seat chances to the elders. Will the Young/Youth DO IT ?   At least leave the Priority Seat open for the ELDERS or invite them to seat......is a must DO DUTY for both. Can it be done?.
20090220173408AAVC9I1	Travel;Caribbean;Dominican Republic	I might be going to the Dominican Republic this summer, will I face discrimination because of my skin tone?	Well,I have heard stories about black Americans facing racism because they are darker than Dominicans. Is there a chance i could face racism/discrimation due to my color?      thankyou
20090220174451AAONieE	Travel;Africa & Middle East;Kenya	Has anyone ever lived in Kenya with a toddler?	My husband has the opportunity to study in Kenya for about 10 weeks this summer, and my baby and I are thinking of joining him.  We're American, and I have always wanted to go to Africa, but is it too much to bring our son?  He will be around 18 months by then.  My husband and I have only been abroad to European countries, and that was before we had a baby.   Is this too much to take on??
20090220182631AAv9p1h	Travel;Australia;Melbourne	Friends of mine are going from LA,usa to Melbourne,Aus.?	The wife is getting herself all upset about little things. Like what can  I do on a  plane to Aus. for 19 hours. I can't get it through to her she will be on a plane load of very nice people. In general is the plane ride enjoyable? I have been on plane for 12 hours a few time. it gets boring.. So is there a website  I can give her to put her mind at ease . She will be able to pick up some helpful hints.Ounce she is on the plane I think she will be fine. She's a nice little 50 year old and her Husband going to see their daughter in Melbourne. When  she meets the Aussies she will be right at home
20090220175859AAL5TP6	Travel;Air Travel	Questions for flight attendents?	I am 17 years old now and will be attending college next fall.      I actually really want to be, and have always wanted to be a flight attendent. Cultures, traveling, languages, people, and everything similar interests me SO much.      I think i will go to college and major in Lingustics which will allow me to become fluent in two, or three different languages. I am definatley going to study Italain, and maybe russian or german.       Now, i wanted to know will this give me an advantage in becoming a flight attendent? I am VERY nervous that i wont be hired to become one and then i dont know where i will go because thats all i want to be.   I do sort of mind where i live. i mean i am not too picky i just want to live somewhere on the west coast like seattle, L.A., Portland, but cities like chicago or boston would be fine too. I just COULDNT work anywhere in the south...      i would also want to fly to italy.      do you think i will have a good chance? and what other things could i do to perhaps give me a bigger advantage in getting the job i want?
20090220181705AAVdJkR	Travel;United States;Los Angeles	Where to park for concert at Long Beach Convention Center?	I'm coming from Orange County tomorrow (Saturday) night for the Chicago concert which is at 7:30.  Where is the best place to park?  I not at all familiar with the area, so any help is greatly appreciated!
20090220185755AAR9vYJ	Travel;Caribbean;Puerto Rico	What area is closest to the Cruise ship dock in Puerto Rico ?	We are staying 24 hours before the ship leaves and another 36 hours on the return .  However , I don't know what areas are near the dock or if is better to stay in a different area .   Thank you for your help .
20090220183129AAxfM2i	Travel;Caribbean;Bahamas	Questions about Atlantis, Bahamas?	What is there to do there? (list)      Is the Mayan temple waterslide scary?      Are the aquariums free?      Are there a lot of little kids? (6-11)      Are there a lot of teens? (14-18)      Are the pools crowded?      Are the lines long? (list longest to shortest)      How is Club Rush? (14-17)      Is the water clean?      Are the restaurants expensive?      How hot is it there around spring break time?      Is there a lot to do for a 14 year old? (I'm 14)      Is the current ride fun? (Is the line long?)      Is it easy to make friends there? (14-16 yrs)      Thank You for your answers to any of these! I'm just very curious since I am going there with my family this Spring Break.      If there is any other useful information you have please include ^^   oh yeah, I already looked at the Atlantis website so don't post an answer telling me to look there.
20090220185514AAcmEPA	Travel;United States;Honolulu	Anything fun in Maui?	oh yeah. 14 year old and 11 year old.    parents are 40. thanks!
20090220191247AAbzRN4	Travel;United States;Other - United States	Good (cheap?) hotel in myrtle beach? Or which hotel did you stay at?	First question - Cheap hotel @ myrtle beach?   and can you find me a website for it?      Second question - Which hotel did you stay @?   What did you like/dislike.            THANKS. WILL AWARD 10POINTS.
20090220170312AADPvHg	Travel;Europe (Continental);Netherlands	I have been to france recently and holland and have found?	that the women are mainly slim, compared to us brits, i never saw hardly any obese people what on earth has happened to us,  when i was young british women looked lovely on the whole
20090220190820AAnVvNW	Travel;Asia Pacific;Philippines	Translation Tagalog to English Karibal ko Ang Aking Ina?	I thought this would be a comedy movie about a guy who thought a water buffalo was his mother.  Where did I go wrong?  The name of the movie was "Karibal ko Ang Aking Ina" and except for some awful dialog (it has really cliche' english bits) really quite good.
20090220183826AAJVyrY	Travel;Travel (General);Packing & Preparation	What's a Biometric Passport?	N/A
20090220182302AAmrcFD	Travel;Australia;Other - Australia	How have parenting roles altered in australia in the last 10 to 20 years?	N/A
20090220184933AA0lR6r	Travel;United States;San Francisco	What types of rare items can you find at the san francisco china town?	Are there exported cds from japan?
20090220170843AAPIyBe	Travel;Air Travel	List of Airports in New York State?	Hi could you give me a list of airports in the state of New York?   they dont have to be popular , any airport would be nice.
20090220180408AAqaGuG	Travel;Air Travel	Anyone ever fly southwest airlines?  Did you like them?	N/A
20090220180036AAKWS7Y	Travel;United States;Other - United States	Looking for things to do / see between Ottawa, Illinois and La Crosse, Wisconsin along the interstates?	I will be passing through this area this summer and was looking for something to see or do that is near the interstate highways.  Anything in Illinois along I-39 between Ottawa, Illinois and the Wisconsin state line?  Anything in Wisconsin along I-90?  Any advice would be greatly appreciated.  Thanks.
20090220172557AAulXAv	Travel;Africa & Middle East;Israel	What is a good Israeli radio station?	Which is the best Israeli radio station for Israeli (Hebrew) music? A lot of them have mainly American music, thats not what I want. I'm looking for modern Israeli music.      ???? ???? ????? ???????? ??? ???? ??????? ( ????? ) ???????   ???? ???? ????? ?????? ????????, ??? ??? ?? ???? ?????? ????????.
20090220181537AAAOrTh	Travel;Travel (General);Other - Destinations	Help please with vacation outfits?	I'm going to Mediterranean Europe this summer for 16 days and I'm only allowed to bring 1 suitcase. What types of shoes should I bring and how many pairs? How many outfits should I bring and what type of outfits? Just to let you know, I heard that in some of the places I'm going to, I'm not allowed to wear shorts or camis or anythin. It's stupid but they have dress codes there. So I'll have to bring some dresses too. And my mom told me they dont have washing machines in the hotels there either...
20090220190126AAMFuaI	Travel;United States;Orlando	What are some fun things to do in Walt Disney World?	I'm 14 and an Only child and i was wondering what fun things to do in disney? (i don't like roller coaster unless they are the kiddie ones.)
20090220190402AA9dGie	Travel;United States;Orlando	Can some one explain the Walt Disney world "Dinning Package?	i tried to understand it but i can'. im going to phone my aunt and ask but she is away so can some one else answer?
20090220181726AAEvsdx	Travel;Asia Pacific;Japan	What's up with the Asian girls with the HUGE eyes?	Some do not look human     http://www.youtube.com/watch?v=nvadItFVO...     http://www.spokesmanreview.com/blogs/vox...                Do they have to make their faces so short and cute and have those INTENSE contacts that make them look inhumane.      Umm..what do you think about this "trend" of the asian girls and their obsessed pictures of looking anime.
20090220175723AAPuHGl	Travel;United States;Chicago	What would a road trip to chicago cost ?? ?	i want to make a road trip to chicago from newyork      lets say it was a straight drive, only stopping for food and restroom breaks,  how long would it take ? apprx cost ? a roundtrip flight to chicago and bak is  $120  , ..so is it even worth driving
20090220185023AAGe9nQ	Travel;Air Travel	Are there any hotel booking websites that you can pay online, then just check in when you get there?	Im in San diego if that helps.      But im going to get a hotel for tonight, I was wondering if i can just pay online.         It has happened twice where it seems like i paid online but when i get there they ask for the money.      HELP
20090220180147AA1ABsz	Travel;France;Paris	What to wear when I'm in Paris?	So I'm going to paris and I don't know what clothes to bring? I don't want to stick out like a stupid american.
20090220172903AALWxcd	Travel;Air Travel	Do I need a passport is I were to get on a plane and fly from Calgary to Vancouver?	Would a Citizenship card suffice?
20090220185824AA50Dtb	Travel;United States;Las Vegas	Getting married in las vegas?	ok were going to vegas in september and are gonna get married there was wondering if anyone knew any nice places to do it! and can we jst do it all when we get there or do i have to book in advance,we are staying at the stratosphere hotel and i know they do weddings!
20090220190059AAN70UA	Travel;Air Travel	What do you think of Continental Airlines?	N/A
20090220171420AAS65Df	Travel;United States;Detroit	Can i be a bagger or cart pusher at meijers?	im a 14 year old male and i live in dearborn michigan and i have a work permit and they said they were hiring near where i live
20090220190102AAw7sWy	Travel;United States;Phoenix	Does anybody go to Northern Arizona University or know anything about it?	I was accepted there as well as a couple other schools. At the moment, I'm thinking either go to NAU or go to a community college in my home state CA for 2 yrs and transfer to a nice school. Do you know anything about it? Are there halls where the people aren't really into drinking and partying but rather focused on studying?
