20070124155033AATIYG7	Sports;Football (American)	Where can I get a URL for a picture of mine?	(the picture is large..fits my computer screen)
20070421150226AAG7921	Sports;Wrestling	Vengance Spoilers !?	i just saw a poster for vengance (which il be at in houston) and it has Undertaker with the world title ( so batista lost and kennedy lost or didnt challenge) Cena with the WWE title ( which means he didnt lose at backlash...DAMN!) and Bobbby Lashley with his title which means he also didnt lose at backlash i think its a triple threat title match check it out          http://www.pwpix.net/superstars/u/undert... 
20070413125800AAcWTih	Sports;Wrestling	Who are your Champs?	wwe- taker   whw- rko   inter- jeff hardy   womens- trish stratus   cruise- eddie gurero   wwe tag- dx
20070413150431AADDOwW	Sports;Football (Soccer);Mexican Football (Soccer)	?No crees que el primer gol de tigres contra el pachuca fue ridiculo?	N/A
20070414231920AA5ZXzE	Sports;Baseball	How successful are submarine pitchers?	i was wondering how far submarine pitchers go in terms of D1 college and pro. i've been working on submarine pitching and i have better control than throwing overhand, i just need to work on velocity. what are the chances in succeeding at this pitching style. i know johnathon papelbon's bro is a sub and got drafted. here's a picture of how low i try to go.       http://sports.yahoo.com/mlb/photo?slug=g... 
20070415002443AA1cNdX	Sports;Other - Sports	MA perchè su sto sito non c'è la categoria sport Atletica?	Io propongo di aggiungerla... anche perchè è lo sport più diffuso al mondo e merita una pagina tutta sua!!!
20070414085955AAaG4Ba	Sports;Other - Sports	Chi ama il badminton? Per appasionati e non!!?	Chi non a mai provato a giocare con 2 racchette e un volano non sa che divertimento si perde!!Per chiunque ami questo sport e vuole farlo conoscere il più possibile scriva perchè gli piace!!!      A me piace ad esempio sentire il rumore del volano contro la racchetta!!!
20070430180824AABzsxT	Sports;Football (American)	Do you know who won the "Mr. Irrelevant Award" for 2007? Also, who was the best "MR. Irrelevant" of all time?	N/A
20070312154903AA0C8jT	Sports;Basketball	Need to Print NCAA tournament brackett 07 any websites please?	Doing this for my boyfriend at work.............I printed 06 and I forget the website. Thanks
20070315180533AA0OvGf	Sports;Wrestling	Why do you like john ceman?	Have you seen him wrestle? he's terrible in the ring and doesn't deserve to be wwe champion   and girls can't answer this unless you say a reason why you hate him or not and not because he's hot   I hate john cena's puppet slaves   I like to eat chicken   John Cena is a wannabe marine   John Cena's girlfriend is ugly have you seen her?
20070408183353AA5gnvv	Sports;Wrestling	Shane O'mac, one of the best hardcore wrestlers?	N/A
20070320051917AAsaolB	Sports;Other - Sports	I have a track meet tomorrow and im running in the open 400m and 1600m relay?	im kinda fast but im really nervous about getting burned  please give me tips on how to b faster
20070325191512AAYbVzV	Sports;Wrestling	Whats a website that everybody's wwe theme music?	N/A
20070327123309AA1prT6	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Now when india is out which team u supporting to win the cricket   world cup 2007?	N/A
20070327192113AAKSDXJ	Sports;Other - Sports	Best shoes for track at an affordable price?	im 12 size 6 1/2
20070328211500AA0r9uJ	Sports;Football (American)	How long ago should Matt Millan have been fired?	assuming that never hiring him was not an option I would have to say that he should have been gone long ago.
20070330145027AAPtbJp	Sports;Football (Soccer);Other - Soccer	Cuales son los nombres del equipo de ecuador?	lo que pasa es que conoci a un muchacho y dice que el juega para el equipo de ecuador, pero no conosco los nombre de ellos y creo que este tipo me esta mintiendo......ustedes saben cules son los nombres, el tipo que conosco se llama, Felipao
20070402113718AAJvwRg	Sports;Basketball	How tall was shaq when he was 13?	and if possible i want to know how tall his parents were to
20070403171814AA751cQ	Sports;Wrestling	Did you read where HBK was really p*ssed off at cena for not selling a move?	and that is why HBK didn't shake cena's hand. The script wanted HBK to shake cena's hand. And the producers backstage were mad at cena also.
20070404040442AAOlTvV	Sports;Hockey	If there's a tie between two NHL same-division teams at the end of the season who goes to contend for the cup?	I'm talking about the Northwest division right now where the flames and avalanche are fighting for 8th place..anyone with some insight?       GO AVS! :D
20070407184233AATlAFW	Sports;Hockey	Michigan State Wins!  Michigan State Wins?	3-1 Hell yes!  Wooooo!
20070408130701AAzsoGC	Sports;Martial Arts	O que vocês acham do kung fu?	qual é a opini?o de vocês em rela??o a essa arte marcial?
20070410182942AAJLWb7	Sports;Basketball	Am I the only one that knows...?	that one of the girls on the Rutgers basketball team (Epiphany Prince) scored 113 points in one of her high school games, beating out any record previously held in NYC or America for that matter-in any league.So tell me, is she STILL a nappy-headed ho?
20070413053615AA8p18L	Sports;Football (Soccer);Other - Soccer	Qual è la formazione della Longobarda?	Non è semplice mettere undici nomi in fila...magari qualcuno ci è riuscito...      Ovvio il 9 è di Aristoteles e l'1, mi pare di Sella, poi Speroni 11, etc... chi li sa tutti e undici?
20070421025511AA7m6HQ	Sports;Basketball	Who will win the fight kobe bryant or jason kidd?	N/A
20070421134041AAFmn4y	Sports;Wrestling	Is jerry lawler getting marred agin?	N/A
20070423193910AAmWkz3	Sports;Football (American)	I need a football position!!?	I am going to be a freshman next year and I want to know what I should practice in. It would be really helpful if you could leave some tips.          My stats:   - Mile Time: 5:40-5:45   - Height: 5'7   - Catches: 93/100 Catches with an original Nike Varsity football.
20070424044717AArIKvo	Sports;Other - Sports	How do i get out of skating in pe?	the question explains it all
20070424161854AAa1ZAV	Sports;Football (American)	Who do you think is the best ncaa foot ball player right now.?	I THINK IT'S RAYN MALLET
20070425182218AAE2XTw	Sports;Football (American)	Who aver likes the michigan wolverrins?	TELL me ther best player u think and wat ther record this year is going to be.
20070425031533AAfIk0k	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Could Anyone tell me what was the score of Manchester United vs AC Milan's score and who scored and the time?	N/A
20070425115614AAPvLBI	Sports;Baseball	I Just Bought A Omaha Pro Baseball MIT How Should i Break it In?	N/A
20070427045442AADAHvX	Sports;Baseball	Does anyone know why lefties tend to have more of an arc to their curve ball than righties?  Zito?	N/A
20070430093223AA8rKvF	Sports;Hockey	What is that half circle in the middle of the ice for??	N/A
20070430174012AAhmtgp	Sports;Hockey	Are there any new teams coming in the nhl???	N/A
20070430132956AAXFYO3	Sports;Football (Soccer);Other - Soccer	Vamos acabar de vez com essa polêmica, quem é o verdadeiro Gênio do Futebol Mundial?	(    ) Pelé   (    ) Maradona   (    ) Mané Garincha
20070501111812AAbH0pv	Sports;Basketball	Who is Better Spud Webb Or Nate Robinson ( GO SPUD)?	N/A
20070529124415AA3TJsg	Sports;Baseball	Slowpitch softball bat that adds significant distance....?	I am in a mens league in which the fields are LF= 290 ft, RF= 290ft, and CF is 300ft.....I am basically a line drive hitter who can hit the gaps but I'm not exactly Ricky Henderson on the base paths if you get my drift....I have been using a 34 inch  26oz Worth Prodigy bat that I love and I'm about a .500 hitter with it, recently w/ the Prodigy I put a pitch out that went apprx. 300-310ft, but it was about 10 ft to the left of the foul pole, I've cranked a couple hard shots in league, but no homeruns, I've heard that you can buy bats that will add about 20-25ft of distance just using that bat alone, I don't want to be swinging for the fences all the time, I don't mind being a line drive hitter, but before a high price bat I would like to get some info from guys who have used one of these bats, what brand of bat, how much it cost, and how much distance you estimate it actually added to your hit and whether or not it made that much of a difference in your power and was worth the price!!
20070728193817AAbslyJ	Sports;Wrestling	How could i meet hbk shawn michaels?	i live in detroit, michigan and i would do just about anything to meet him he is my idol so if anybody knows how i could meet him PLEASE help me
20070625211146AAL2GQA	Sports;Wrestling	Why have you people...?	ruled out Benoit's son?  You never know.
20070724104419AARmxV6	Sports;Wrestling	Is it just me...or do I see a pattern among my fellow WWE fans?	Ok...WWE puts together a pay-per-view.       Everyone brags about how awesome it's going to be....then it isn't.      Then the rants begin...."Why did so-so win?" "I'm watching TNA now!!" "Cena won...again?!"      I know I've done my fair share of post-PPV rants and raves, but I go into it trying not to get too excited.      What I'm trying to say is: Does it seem like there are many, many fair weather WWE fans when it comes to PPV events?
20070720093654AA0Ocb7	Sports;Football (Soccer);Argentinian Football (Soccer)	Disculpen compas argentinos ?Que es el Dia del amigo?	Perdon por la cuiriosidad, pero se me hace un dia interesante, un abrazo y feliz dia del amigo......   SALUDOS DESDE TOKIO....
20070520124003AAjM3zL	Sports;Wrestling	Why is Wrestling Queen a lesbian?	N/A
20070728141123AA98hSR	Sports;Wrestling	Paul London and Brian Kendrick?	They're coming to my town which is fantastic because I love them sooo much! The thing is it's at 2:00-4:00 and I'm in school then. It wouldn't matter if I missed school because it's like the first week and I wouldn't miss anything! I'm trying to figure out a way to ask my parents in a way where they would say yes. Any ideas? Please help!!
20070728141810AAXoiFg	Sports;Wrestling	Wot made jamie noble no.1 contender for the cruiserweight title?	last nite on friday night smackdown jamie noble woz number 1 contender 4 the cruiserweight title. why? he woz the one tht lost at the cruiserweight open at the great american absh
20070926135147AAAj3iD	Sports;Football (Soccer);Other - Soccer	? Existirá um LATERAL que jogue o que o Roberto Carlos jogou quando estava no auge?	Ele realmente já jogou MUITO pela sele??o. Teve fases em que foi um jogador indispensável pra nossa sele??o!      Será que tem algum lateral que jogue o que o Roberto Carlos jogou???         ? Beijos!!
20070929105920AABJgtY	Sports;Football (Soccer);Brazilian Football (Soccer)	E agora Botafoguenses e simpatizantes o que fazer ?! sem o CUCA ai?	N/A
20070505122818AAmtojU	Sports;Wrestling	Just so everyone is aware of the AWF situation?	As many of our AWF superstars may know, the chatroom is down. Me and Vip were scheduled to go live this Sunday for Fatal War, but we still have our hopes up then we may be able to do it. Me and Vip are working on this issue. Again, if you would like to join the AWF you can simple email me and ill tell you all the info, and don't forget to check out the site:    http://www.freewebs.com/awf07/       As for question:   1. Do you have any questions or concerns?   2. Are you ready for Fatal War?!!!!!!!
20070528142127AAxzrBW	Sports;Wrestling	To all AWF superstars.?	Are you all experiencing the problem of no guestbook? We are hoping to get that fixed soon. The chatroom works though, so we got that.   Be patient.     http://www.freewebs.com/awf07/ 
20070628174652AAd7iuf	Sports;Wrestling	Is this invasion of the math section speading like crazy or what?	How long you think it going to last, i'll give it 4 days.
20070519195357AAdhL7X	Sports;Fantasy Sports	Suggestions for my Fantasy Baseball team?	Batting      C Victor Martinez   1B Lyle Overbay   2B Brian Roberts   3B Mike Lowell   SS Ryan Theriot   OF Grady Sizemore   OF David Dejesus   OF Juan Pierre   Util Geoff Jenkins   Util Barry Bonds   BN Chris B Young   BN Hunter Pence   BN Carlos Pena   DL Ryan Howard      Pitching      SP Jorge Sosa   SP Johan Santana   SP Paul Byrd   RP Cla Meredith   RP Taylor Tankersley   RP Derrick Turnbow   P J.J. Putz   P Andrew Miller   BN Ben Sheets   BN Fausto Carmona   BN Oliver Perez      I switch pitchers in and out when they pitch. I need lots of suggestions because I am doing terrible. It is a 10 man league. We are scored by R, HR, RBI, SB, AVG, W, SV, K,ERA, WHIP. PLEASE,MANY SUGGESTIONS   thanks
20070603121729AA3Ql2C	Sports;Football (Soccer);Brazilian Football (Soccer)	Abel Braga é o novo comentarista da Globo?	O Abel Braga estava comentando o Jogo entre Flamengo vs Sport.      Gostaria de saber se ele é o novo comentarista da Globo?
20070719184301AAxp5oV	Sports;Football (Soccer);Argentinian Football (Soccer)	?a los Chilenos les carcome la soberbia y la envidia por eso sus jugadores patean a los nuestros?	que opinan de la selección chilena?   verdad jugaron como unos puercos en especial Vidal?      Argentina jugo excelente y los jugadores chilenos se enojaron y encima quisieron pegarle al arbitro que los favoreció?      Verdad que fue un bochorno lo de la selección chilena?
20070506171728AAeZU8H	Sports;Baseball	Yeah lincecum sure is great?	I wonder how Andy Behrens feels now after hyping this guy up for 10 straight articles. Allowed a homerun to Victorino. VICTORINO!!!
20070621143921AA9RzHp	Sports;Other - Sports	Q vc acha desses monstros da arte do roller?	Eu ando muito  bem... mas esses daí s?o muito, mas muito  melhores...          http://www.youtube.com/watch?v=N4ootwHs3...        http://www.youtube.com/watch?v=nqB5V5MQ-... 
20070713135803AAcVVFx	Sports;Football (Soccer);Argentinian Football (Soccer)	Vas a hinchar por Uruguay?	Cuando juegue por el 3o puesto!!! yo creo que se lo re merecen... te parece?   ARGENTINA 1o   URUGUAY 3o
20070731202423AAAqtlO	Sports;Fantasy Sports	Lowry or wang?	i recently dropped chien ming-wang for noah lowry, their stats are very similar, and if wang clears waivers should i pick him up again?
20070811084822AA2x7YX	Sports;Wrestling	Who does JOHNNY BRAVO think e is hes not even a wrestlin fan?	N/A
20070619162432AAQNRsA	Sports;Baseball	CArlos Beltran?	Do you know Carlos Beltran's Wlakup song, It is soooooooo addictive.
20070715210336AAyIC14	Sports;Football (Soccer);Argentinian Football (Soccer)	Komo ce ezkrive tres a zero en argentino??	Aguante Argentina jajajaja   Argentina??? Argentina???      Brasil en confederacion les gana   En copa america les gana   En mundial quedan fuera   En el pais hay una crisis economica (no es futbol pero tenia que decirlo)   Su violencia en el futbol   sus prostitutas   Su marrano maradona en drogas..(que gran idolo de verdad)      Pero aun asi estuvo bien ya que sus jugadores de Espa?a,italia,alemania,inglate...      todos esos jugadores pues jugaron bien contra las Seleccion de brasil con todas sus figuras... que decir de ronaldinho ...partidazo que hizo    Y no viste el pase de KaKa en el segundo gol de la final ... uff?? estuvo de maravilla hoy    y ronaldo no lo viste      Por lo visto los 2 equipos tenian a todos sus figuras lo humillante  hubiera sido  que Brasil trajera un equipo de suplentes y Argentina al equipo titular y aun asi perdiera...eso si estaria horrible..pero denle gracias a Dios que no fue asi.      o no creen???   Pues la medalla de oro en olimpiadas aunque no sea la SELECCION MAYOR.
20070507065345AAlTknO	Sports;Football (American)	Need tips and tricks about.....?	foot ball this is my frist year playing and i nedd some help
20070502142207AA3APb1	Sports;Martial Arts	Estou fazendo um teste para entrar numa escola de artes marciais, queria saber como aperfei?oar a esquiva?	N/A
20070502192551AAgcjKk	Sports;Basketball	Strongest/powerfull nba players anf nfl players?	name the top 5 strongest nba players in order .   then name the top 5 strongest in the nfl not just fat people like larry allen
20070503185717AAnhK0a	Sports;Basketball	Does any1 know which Iverson shoes has this quote on it? "play every game like it is your last"?	N/A
20070505211406AA61zuc	Sports;Basketball	Whoes white and Whoes black?	Is Jason Kidd black or white, what about Shane Batiar?
20070505223441AAsDUdm	Sports;Basketball	Why was toronto booing one of their players in this vid?	 http://www.youtube.com/watch?v=V3zcjuKwI...    around 3:49 theres this light skin guy (hoffa i think dunno) and when he go makes his intro everyone boos him.. why would they boo someone who plays for them?
20070507094032AAq0vvH	Sports;Other - Sports	Why does Floyd Mayweather fight like a scared chicken? One of the best all-time? PLEEASE!!!!?	N/A
20070509063510AACt3hn	Sports;Football (American)	Do any Cable providers offer Sunday NFL games?	Specifically, Insight Communications.
20070513230547AAD4Yci	Sports;Fantasy Sports	Rate my Fantasy Baseball team?	This is my first year playing Fantasy Baseball, I am in 3rd in a 12 team Roto league. I have the best pitching statwise, and I have mediocre batting.      C- Brian McCann   1B- Justin Morneau   2B- Dan Uggla   3B- Pedro Feliz   SS- Edgar Renteria   OF- Carlos Beltran   OF- Jack Cust   OF- Shawn Green   Util- Prince Fielder   BN- Chone Figgins      SP- Jake Peavy   SP- Jason Marquis   SP- Rich Hill   SP- James Shields   SP- Gil Meche   SP- Dan Haren   SP- Roger Clemens   SP- Matt Morris (May drop, but for what position?)   RP- Huston Street   RP- Jose Valverde   RP- Jeremy Accardo      I am kind of SP heavy, especially w/ a 1250 inning pitched limit. Let me know what you think, and I am open to any suggestions.
20070728121124AAsi0Uj	Sports;Wrestling	Why CWA Why?	Why do you keep on reporting us for various inappropriate perverted reasons? That proves that you're gay and that you have no life. You spend your lives reporting us for various perverted reasons. Probably because deep down you know we're much better than you. You know that the CWA could never compete with a company on running like the AWF. Is that why you won't come to our Chatroom, huh? You scared of us? Aww how pathetic of you!      You guys can go get a life. They're selling them cheap on Ebay for a Back-to-School sale.        http://search.ebay.com/life_W0QQfclZ3QQf...             For those of you answerers who don't have a clue about what we're talking about, you can either just ignore it or join the AWF. Just whatever you do do not join the CWA. If you want to know more, just e-mail me.
20070515110154AAJq0i8	Sports;Football (American)	Which NCAA Football teams will go to the BCS Championship?	GIMME A WINNER   A LOSER      AND A WILDCARD TEAM THAT COULD COME OUT OF NOWHERE TO WIN IT
20070515183414AAkCZxc	Sports;Other - Sports	How to ollie?	hey im a skater that for got how to ollie over the summer   lol any help?
20070515210042AA9qpWs	Sports;Basketball	Stern not showing?	interesting that stern cancelled his flight to watch the game in phoenix after the suspensions were announced today.
20070515210536AAghU3Z	Sports;Basketball	What's the update on Latrell Sprewell $200M Baby Mama drama?	N/A
20070515234953AASUGCw	Sports;Basketball	Do you think Phoenix will retaliate on game 5 to get Duncan suspended? Stern does favor San Antonio it seems.?	N/A
20070516015100AAsJoy9	Sports;Basketball	Good time for Marion to back up his words.......right?	I keep reading in the magazines how he says that he is underrated and unappreciated. All of the stats he puts up is without any plays being drawn up for him. With Amare and Diaw out, he has a good chance to prove his worth...better not shrink.      What's your predictions for his Game 5?
20070516100333AAwXsIs	Sports;Wrestling	Hbk.what are his catch phrases?	N/A
20070813083818AAfkpdR	Sports;Wrestling	Hey i wanna make a wwe video in youtube??wut song shall i keep ??	N/A
20070516113604AAuYZnY	Sports;Wrestling	Gang Warfare?	Ok so who thinks it would be great if they brought back the gang warfare to wrestling, Lets see the Return of the Nwo vs WWE vs DX hell you could even have ECW as one Rival gang, I remember watching wrestling in the late 90's and it was so great we had NWO/WCW we had DX/WWE and we even had the Nation of Domination and i know there was more as well and it was better story lines to follow, I would like to see the return of the Nwo maybe have hogan and bishoff running it hogan Cant wrestle but he can still lead and have a New stronger Dx with more members with HHH and Hbk heading them up. Who else would like to see the return of the most watched times in wrestling.
20070518111958AAQhguX	Sports;Football (American)	Real Steeler Fans.. i have aquestion for all of you?	I'm a big time die-hard steeler fan from L.A. I've loved them since i started watching football at age 5 in 1988. The jerseys are what caught my attention...but ironically after watching so may teams change up there jerseys, how many fans out there think they should alter them just a little bit???      if so what would be your color combination???
20070520130732AAI5L1H	Sports;Football (Soccer);Men's Premiere Leagues (Italy)	La juve è dinuovo in A finalmente alla faccia degli altri e non dite che siamo ladri!!è l'invidia che parla	JUVEstoria di un grande amore bianco che abbraccia il nero coro che si alza davvero solo per te..........   spero che almeno siate sportivi visto che ci  siamo nuovamente sudati e quindi meritati la AAAAAAAAAAAAAAAAAAAA.....juve juve juve forza juveeeeeeeeeeeeeeee 4 ever champions
20070520145111AA0E7C6	Sports;Baseball	Who thinks the Atlanta Braves will go all the way?	N/A
20070520172714AAv7wVD	Sports;Football (American)	How much is Sammy bough worth in 1963 foot ball?	N/A
20070520173637AAXxsDc	Sports;Football (American)	Hall of fame 1963 bronko nagurski card worth?	N/A
20070520174051AAXx4Ot	Sports;Football (American)	Hall of fame 1963 bronko nagurski full back card worth?	N/A
20070521185227AAeMUN1	Sports;Football (American)	Who singed the song reflction?	N/A
20070522195535AA0gNtL	Sports;Football (American)	Touchdown or not ......follow up?	This is not a specific game or situation..I am just asking if it did happend why would it be called a TD..It should be ruled down at the spot of the hold for the placekick based on the current rules
20070523000121AAChHz4	Sports;Football (American)	Did Reggie make the right move?	Kim is definitely hot, but is it too early for Bush to start riding the celeb bandwagon? Is he perhaps getting himself into some trouble for the future?
20070523043410AADRnYH	Sports;Basketball	Is Al Horford the most overrated potential top 6 NBA prospect?	Or is Joakim Noah?
20070524153559AAy2Qe6	Sports;Football (American)	Anyone go to Lanford?	I mean kc?
20070525062149AA9sLQk	Sports;Basketball	Cavs True or False?	Varejo is the biggest flopper in NBA history, you can look at him dirty and he'll start flailing.   LeBron commits an offensive foul 50% of the time he drives to the basket.      Support your argument!
20070527052719AAG5KJa	Sports;Football (American)	How can i throw the football harder?	I'm trying to become a better quarterback than I am right now, that includes throwing the football farther and harder. But how can I do that? Right now I'm throwing maybe around 25 yards, being accurate is not that big a problem, as like i don't have a problem with my throwing motion and the spiral of the ball. It is just throwing harder and farther. Are there any special exercises except for the actual throwing motion? I also have a 3 pounds practice football, but my arm hurts after working with it, how can i prevent that or is it usual and my arm will get used to it?   I would really appreciate some good productive answers!      cheers from germany
20070528184351AANO1fo	Sports;Basketball	Will LeBron win more than 2 NBA titles?	N/A
20070530030040AAo8SJX	Sports;Baseball	Who holds the record for consecutive games without an error by an outfielder?	N/A
20070603182726AAtaqvG	Sports;Football (Soccer);2006 FIFA World Cup(TM)	?Qué zona tiene el peor fútbol del planeta, Asia o Concacaf?	a Asia ya le ayudó que se incorporara Australia, pero esos dos niveles son de mala calidad.       Gracias Conmebol por permitir que México participe en sus competiciones.
20070604015528AATf1DG	Sports;Football (Soccer);2006 FIFA World Cup(TM)	?Se debe jugar a más de 2.500 metros de altura?	La FIFA tiró la idea hace una semana de no jugar más partidos de selecciones en la altura que supere los 2.500 metros sobre el nivel del Mar. La  CSF se reunirá ahora el 15 de junio para dar su punto de vista. Los bolivianos, por ejemplo, se sienten discriminados porque dicen que jugaron toda la vida ahi. Los del llano dicen que corren riesgo de vida y aún no encontraron el metodo para combatir los efectos al subir a la altura.
20070609212355AAAHbt1	Sports;Basketball	Who would you select to your team first?	Assume these are all young, fit players:      1. Michael Jordan   2. Bill Russell    3. Wilt Chamberlain    4. Oscar Robertson    5. Kareem Abdul-Jabbar   6. Magic Johnson   7. Larry Bird      And why?
20070612094134AAcXg46	Sports;Other - Sports	Cobavital para crescimento muscular.?	O cobavital ajuda no crescimento muscular ou é só pra aumentar o apetite?
20070613171135AAVNcgN	Sports;Other - Sports	What is a better lacrosse head? Evo 2.0 or Evo pro?	N/A
20070711104149AAXIO3Q	Sports;Wrestling	Who would win this royal rumble?	out of these people:      Undertaker,Kane,Big Show,The Rock,Lashley,Batisa,Jeff Hardy,JTG,Paul London,Boogyman,Triple H,Matt Hardy,Shad,Sandman,Umaga,Great khali,and MVP      I don't think anybody is gonna pick MVP that *****
