20081121064927AAIjtK4	Travel;Africa & Middle East;United Arab Emirates	DO you think that living in Dubai is great?	i mean include everything work and lifestyle ?
20090112060928AAs2jd8	Travel;Africa & Middle East;Israel	Les sionistes n'ont-ils que le mot "erreur" dans la bouche?	le fait de tirer sur des ambulances est aussi une erreur ou bien les sionistes pensent que le Hamas sont cachés au sein des ambulances qui transportent les blessés?      une question qui ne s'affiche pas:        http://fr.answers.yahoo.com/question/ind... 
20090111114440AANYQRp	Travel;Africa & Middle East;Israel	A quoi vous fais penser cette photo?	 http://lesogres.org/IMG/jpg/camp_ghetto-...       Courtoisie de rigueur svp merci
20090309180130AAvcpqs	Travel;United States;Los Angeles	Can anyone recommend a cheap place to stay near UC Irvine?	Preferably cheap and close to the campus.  I'm just looking for a place to sleep, not a fancy hotel.
20090309174541AAq1njO	Travel;United Kingdom;Other - United Kingdom	A question on hotel rooms?	I will be requiring a hotel room for a night or possibly only for a few hours depending on awaiting instructions from my area-manager whom i am conducting business for in the locality ...       Is it possible to book a hotel room for a few hours in the daytime/afternoon period?      Or would i be required to book the hotel room for a night and just check out at the main desk if i get the call from my manager?
20090309175331AAzTqM2	Travel;Other - Destinations	If You Could Go Somewhere This Very Second...?	Where would you go? Paris? Egypt? Hong Kong? Venus?! Tell me your thoughts! I was daydreaming after I reread the Watchmen comic and thought about Dr. Manhattan's powers. He can teleport people and himself anywhere he wants. What place would you escape to?
20090309172600AArVu5Z	Travel;United States;Los Angeles	Italian activities to do in southern california :)?	my class has to do something other than food that revolves around italy and ideas let me know :)
20090309175726AAe4U95	Travel;United States;Other - United States	Is Fort Collins a nice place to live?	It has always been my dream to move to Colorado.I want to get away from the crime around the Memphis area.It must be peaceful and beautiful there. Are the people nice??
20090309172548AAr6nBs	Travel;Africa & Middle East;Other - Africa & Middle East	Victoria Falls.....plz help?	I can't find information for victoria falls that include how the land looked millions of years ago?100 years? 50Years? I need background info. any other useful information will be greatly appreciated.    Whoever is willing to answer this thanks so much!!!!
20090309183051AApYydZ	Travel;Travel (General);Packing & Preparation	Do you need a passport to come back into the U.S?	Im traveling to Acapulco Mex and coming back through Tijuana & U.S. border. I have my resident card and my California ID. I want to know if i need a passport to get back in or of its going to b an issue if I dont have one. ALSO and if I need one WHERE and HOW MUCH is it to get one and how long will it take for me to get it. THANK YOU so much!!!
20090309183733AAUSnYU	Travel;Travel (General);Other - Destinations	How old you have to be to travel alone? I am 17?	I am 17 i want to go to my country to visit alone. How old I have to be to travel alone?
20090309183737AAitaWU	Travel;Asia Pacific;Japan	Average flight ticket cost from Canada, (QC) to JAPAN?	I would love to go there!   Wouldn't you? =D
20090309183636AAmgcGj	Travel;Europe (Continental);Other - Europe	I have a question about the European internet...?	Okay so I'm going to Spain, Italy, and Greece for spring break and I was just wondering what their internet was like. I was wondering if I'll be able to send emails from Europe to the U.S. By the way, I have hotmail for my email.
20090309182136AAxroUC	Travel;United States;New York City	Anyone need a roomate in NY?	Hey im a 22 yo non feminine gay male looking to move to NYC to continue college and work while attending to pay bills. Im looking to move to NYC in July and i want to get a early start on searching for possible places to live. If your interested post back to this question.
20090309183238AATUsZH	Travel;Travel (General);Packing & Preparation	How long does it take to get a passport?	Need a passport soon!!
20090309183653AADseog	Travel;Mexico;Mexico City	Lomas de las Palmas, anyone heard of this neighborhood?	Hi!   I'm moving to Mexico City and have just found an apartment in colonia "Lomas de las Palmas" that sounds pretty good and affordable.  Can anybody provide me with more information on the area?  Is it nice/safe?  It looks far from the city center, but how easy is it to get to places from here....say, to La Condesa?  Pros/Cons?        Thanks!!!
20090309184926AAeqhRr	Travel;Air Travel	Does Vergin America airline have wireless internet on their pane or only the Ethernet port?	N/A
20090309191915AAoK0Ct	Travel;Travel (General);Other - Destinations	Good graduation trip location?	Where should a group of around 10 high school seniors travel for 2010? It may seem like awhile away, but we want to plan it early.  We wanted to go on a cruise to Europe or Mexico but then we learned you'd need an adult with us. Should we go to Mexico? Where's the best place in Mexico with nice beaches and good weather?
20090309193830AAFUMM2	Travel;Air Travel	Which is known as a reliable safe airline?	I need some opinions, Im going to be  making a trip in the future to japan, and various parts of asia.      What is known as the safest flight , and which one is most comfortable, is delta good?   And how long of a ride am I looking at just from Alabama birmingham to japan?Just a rough estimate.      Thanks :)
20090309192814AAK0hAc	Travel;Caribbean;Other - Caribbean	Is Galveston Beach open right now, during spring break 09?	cuz on the website it says ;   Hurricane Ike Update: OPEN    what does that mean   i dont know if its under construction after hurricane ike   so help ?
20090309190951AAAPJFF	Travel;Travel (General);Other - Destinations	How old do you have to be to check into a hotel and rent a car?	N/A
20090309185507AALrIke	Travel;Travel (General);Other - Destinations	Should I blow all my savings on an overseas trip that I really want to do?	When I come back I will have no money and no job.      But I will have fulfilled a livelong ambition. This year is my last chance...      Should I do it?
20090309194208AAbkiL4	Travel;Other - Destinations	I'm going to Scotland & need help...?	I'm thinking about travelling to Scotland with my Mother (She is Scottish, has been in Australia for 36 years.) Do I need a Visa? I've never travelled abroad before so I'm not sure what I would require. I'm Australian. Sorry if it sounds like a stupid question LOL.   Oh, we also want to visit England & Ireland   THX
20090309192803AATuNiE	Travel;Asia Pacific;Singapore	What are the people in Singapore like?	are the people nice and outgoing or are they kind of quiet and self contained? I might go for a year and I want to know if I will make friends/a boyfriend... and how do they feel about Americans?
20090309184537AAzkseH	Travel;Mexico;Guadalajara	How could i make my dad buy me a ticket to go to guadalajara this spring brake?	im only 13 years old
20090309184749AADuc5h	Travel;Mexico;Other - Mexico	0k s000 me and my friends have been planning a triiP t0 mexico and we are driving d0wn there? is it safe?	we will be d0wn in the peninsula.. im 18 my best friend is 16 her boyfriend is 20 and our friend is 20... we might cross through tecate!
20090309185846AACaLIB	Travel;Air Travel	Cheap airplane tickets from cleveland to Fort myers FL?	its two adults leaving April 2 to April 10 any hrs.
20090309190151AAbygZ4	Travel;Air Travel	I Need Help Finding a Cheap Flight From Kansas City, MO to Tulsa, OK..?	HELP!!! I've been taking this same flight for over a year now and when I went to book my flight tonight I found out that Southwest has cancelled all service from Kansas City to Tulsa.. I have been searching for a cheap flight and the best I can find it $260 but it has a stop in Dallas.. Can someone help me find a cheaper flight?? I will be leaving on April 14th and returning on the 19th..
20090309202354AATKnvw	Travel;Other - Destinations	Thw Vatican is close to...?	what country?
20090309201857AAP85jA	Travel;Travel (General);Other - Destinations	Vayama e-ticket check-in process?	I recently paid for a trip im making to Europe this summer, and I used Vayama.  I quickly received the booking and ticket confirmations and it says that I have electonic tickets.  Could somebody please explain to me the process of going through the airports then? Because my first flight is will be through United Airlines and then I will get on Sas Scandinavian airlines, and then Skyways.  I know to bring an id and passport, but am I supposed to just say "Oh I have an e-ticket ready" or something? Im a person who gets nervous about the unknown, especially if I get to an airport and dont have everything I need :P If anybody can explain this process to me thoroughly, I would greatly appreciate it :)
20060809150104AADvnLr	Travel;Africa & Middle East;Other - Africa & Middle East	Will you come Qatar for the 15th Asian Game Doha 2006? all of you welcome! www.doha-2006.com?	N/A
20061015090839AAw73ER	Travel;Africa & Middle East;Saudi Arabia	Quelqu'un connait-il des trucs sympas a visiter en Arabie Saoudite ?	Je vis actuellement a Riyadh, capitale de l'Arabie et je voudrais savoir s'il y a des endroits a voir (il n'y a pas de guide touristique, ou alors j'ai pas trouve...) ? Si vous connaissez des bons plans.... merci !
20070523231609AAwABO8	Travel;Africa & Middle East;Lebanon	Qui aime le Liban?	Pourquoi?
20070408120938AA7crq5	Travel;Caribbean;Cuba	Les gusta mi pais Cuba?Porque?	Se que el sistema de Cuba no es bueno y que a lo mejor casi nadie tendria interes en conocer esa tan hermosa isla que solo la historia sabe cuanto  ha sufrido.Pero muy aparte del rejimen de Castro hay una isla bella que aun tiene cosas y lugares hermosos,virgenes  que no han sido descubiertos.
20070304092334AAp4bFv	Travel;Other - Destinations	Por qué me recomendarías conocer TU ciudad?	N/A
20070409154725AAoRAUK	Travel;United States;Other - United States	What cities are best for families and kids?	We're looking for a kid-friendly place with good zoos, schools, parks, and lots of churches and pro-family laws.  Have any ideas?
20070422213305AA9Hgar	Travel;Africa & Middle East;Israel	Selon la religion juive quel age à l'univers et en quelle année sommes nous svp?	Je me suis toujours posée la question depuis la chute d'Adam et Eve  combien d'années attribue-t-on à la création dans la religion juive. Merci.
20070517114235AA62Oe9	Travel;Other - Destinations	?donde irían de vacaciones este verano?	?cuales son los mejores destinos para pasar una bella semana de vacaciones?
20070516120054AAXAge6	Travel;Travel (General);Other - Destinations	Comment un voyage vous a-t-il changé votre vie?	j'ai fais un voyage qui a complètement boulversé ma vie qui est devenue différente et incomparable avec celle d'avant et vous avez -vous fait un voyage qui vous a affecté et comment?.
20070526050532AAssbJ7	Travel;Travel (General);Other - Destinations	Quelle est la plus belle du belle ville du monde ?	En dehors de Paris ?
20070521134401AAEOgGg	Travel;United States;Other - United States	Where should I go for Memorial Day weekend?	I can drive or fly, but I live near the east coast, not far from Washington D.C.  I don't want to travel to the west coast.  I need a quick and easy trip.  Any ideas?  Just me and hubby going.
20070521020155AAhZ3jV	Travel;Africa & Middle East;Egypt	Où peut on nager avec les dauphins en egypte, hurghada ?	merci,
20070508062859AALK6OT	Travel;Other - Destinations	Vous avez le choix de choisir 5 invités du monde, quelle serait leur nationalité?	Précisez premièrement quelle est la votre. Et choisissez un invité pour chaque partie géographique suivante:   -Europe   -Amérique   -Asie   -Moyen Orient   -Afrique   Et parmi les 22 pays arabes, choisissez un pour qu'un de ces citoyens soit votre invité!
20070610140159AA2A0wy	Travel;Air Travel	Is there any cheap airlilne tickets ?????PLease?????I need help!!!!!!!!?	from chicago, to any where in flordia?????like under $150 or anything like that or similar to that!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!...
20070521220653AAeMKas	Travel;Mexico;Mexico City	?Cómo impresionar a un gringo que viene de visita al DF?	Hola,   Viene uno de mis mejores amigos de EEUU al DF por primera vez a visitarme y quiero impresionarlo con la belleza de la ciudad a pesar de las cosas negativas que también tiene, desgraciadamente.  Yo tengo unos cuantos meses de vivir aquí, así que no conozco demasiado por eso les pido me ayuden a planear unos buenos días para él, y para que yo también conozca la ciudad.  No se a donde llevarlo además de Garibaldi, Chapultepec y el zócalo, no se ni a donde puedo llevarlo a comer.     Les reitero mi agradecimiento.
20070508135649AA1rJ19	Travel;Travel (General);Other - Destinations	Anyone stayed at the hotel cabana in benidorm spain?	has any stayed at the hotel cabana in benidorm in spain? i am going next week and wondering on any views...
20070527124615AAMd17b	Travel;Argentina;Buenos Aires	Con cuantos Dolares en mano puedo yo sobrevivir un mes entero en Argentina, viajando y viviendo con comodidad?	Quiero ir a argentina, y e visto que hay cosas muy costosas asi como hay otras un tanto economicas.      me gustaria saber con cuanto dinero podria yo vivir tranquilamente por un mes y mantener a otra persona(mi novia) asi como podernos ir de viaje por la bella región Argenta.      hagan un presupuesto con base  al  minimo, y que sea en dolares.
20070601144744AAdnw4I	Travel;Mexico;Puerto Vallarta	?Qué tal el Hotel Marriot Casa Magna en Vallarta?	Quisiera opiniones sobre quienes se hayan hospedado ahi, servicio, alberca, playa, comida, shows, qué tan centrico es el hotel,  etc. Gracias !!!!!!
20070317172652AAwQcAU	Travel;United States;Other - United States	?Cuales son los requisitos que pide la embajada de E.U. para obtener la visa de turista?	N/A
20070401201539AA7QA2y	Travel;Travel (General);Other - Destinations	?que tan riesgoso es aceptar la invitacion de alguien que vive al otro lado del mundo?	conocí a alguien hace un tiempo por internet, desde que nos conocimos me invito a su pais (Espa?a) no se que tan riesgoso sea si me envia una carta de invitacion donde especifica su nombre su direccion etc,,,ahhh vivo en Colombia   ojala alguien pueda ayudarme y despejar la duda
20070415210655AA1raol	Travel;United States;Other - United States	What's best for Christmas ski vacation with kids 16-25 yrs old--Utah or Colorado?	Will be going for approx 4-5 days from Phoenix.   All kids snowboard   Parents don't ski at all, so need other activities
20070501063737AAeThHB	Travel;Africa & Middle East;Lebanon	Job au Liban, cheghel fi lebnen momken?	bonjour,      Je suis à la recherche d'un job au Liban.      Je viens de terminer des etudes d'histoire.      L'ideal serais de trouver un emploi dans mon domaine, tourisme culturel, musée par exemple... .      Mais je suis ouverte pour toutes autres offres commerce, restauration quelque chose de sympa.      Je sais que la situation est difficil mais bon on ne sais jamais, je tente ma chance.      N'hesitez pas!      mail : histoire_laz@yahoo.fr   tel : 0624357684 (blagueurs, blagueuses s'abstenir).      merci
20070509092913AAskNmW	Travel;Air Travel	Como cambio mi vida un viaje?	N/A
20070515164837AAc3Z01	Travel;United States;Other - United States	Does anyone live in san francisco and can tell me about it?	Im 23,love sun,beach,nightlife
20070521010801AAQsuO9	Travel;Other - Destinations	A donde llegaria a Monterrey que hoteles me recomiendan?	Es que voy a llevar a unas personas de aca de Oaxaca a visitar a unos familares de ellos y pues no se donde quedarme yo?
20070524151953AAapd4y	Travel;Travel (General);Other - Destinations	Solo trip to Atlantic City?	Hey everybody,      I am taking a trip to Atlantic City for the first time solo (can't find anyone to go with). What are some hot spots to hit up? Keep in mind, I want to play the easy slots--dont know much about gambling.
20070524165519AAYjpBf	Travel;Argentina;Buenos Aires	Alguien con info de apartamentos en alquiler por 6 meses?	Alguien en capital con info de algun apartamento en alquiler por 6 meses, ya sea en palermo, san telmo, recoleta, belgrano...   en precios normales, se los agradezco me urge para los ultimos de junio
20070524160948AAPDpNQ	Travel;Travel (General);Other - Destinations	What are some things on the downside about moving to Canada?	N/A
20070529131602AAPMWsO	Travel;Africa & Middle East;Lebanon	Le Liban n'est il pas une partie de la prétendue terre promise juive?	la Palestine, l'Egypte, l'Arabie, la Jordanie, le Liban, la Syrie, l'Irak ce n'est en fin de compte que "le grand israel" qui s'étend entre le nil et l'euphrate et dire qu'ils veulent la paix ces sionistes.
20070530150622AAZ2zcL	Travel;Italy;Cagliari	Quest'anno vorrei trascorrere le mie vacanze in Sardegna, mi date qualche consiglio per dove andare?	N/A
20070723040908AAc9wnF	Travel;Italy;Bologna	Riviera romagnola cosa visitare?	ciao belli di answers.... volevo chiedere oltre ai parchi divertimenti,tappe sicure come rimini e riccione, quali città d'arte potrei visitare insieme ai miei amici? e sapete dirmi anche quali attrazioni ci sono?    grazie per le vostre informazioni.......   presto, ke le vacanze si avvicinanooooooo! ;D      kisses to everybody!   ;***   BaBy!
20070706102449AALhLV8	Travel;Italy;Catanzaro	Lo sapete ke domani parto???vado a 1 villaggio in calabria vicino soverato si kiama hotel estella!!?	qualcuno ci è già andato o ci deve andare????   e poi anke 1 altra cosa...siete contenti ke parto???
20070719113214AAo1xrW	Travel;Other - Destinations	Se eu levar um vidrinho de Hellman's na minha bagagem numa viagem longa pro exterior, ela quebra?	N?o se preocupe com o conteúdo, n?o pretendo levar maionese! Vou colocar umas coisinhas dentro...  Quero se pode levar e se n?o vai quebrar.
20070806024524AAp9Cyu	Travel;Travel (General);Other - Destinations	Where....a novembre???	dove potrei andare una settimana a novembre?chiaramente all'estero ed escludo...l'egitto,capoverde e le canarie..già stata..datemi una mano a decidere la destinazione...andrò via cn un amica o da sola...gracias
20070718051155AA4jS6a	Travel;Other - Destinations	A qunti anni avete fatto la prima vacanza senza genitori?	N/A
20070619161236AApV4IX	Travel;Travel (General);Other - Destinations	Que pais prefieren para vivir, dinamarca, o canada , y por que ?	que pais preferirias para vivir y por que ? que es lo que mas te llama la atencion de canada o dinamarca, y en que ciudad de estos paises te gustaria vivir
20071125062116AAew4NG	Travel;Other - Destinations	Je vais voyager a la reunion c comment ???	vous avez des coin a me conseiller
20080116063102AAXzzvX	Travel;Canada;Other - Canada	Qu'elle est le coin le plus chaud du canada ,???	N/A
20070627141411AAhJZqg	Travel;Mexico;Other - Mexico	?Playas nudistas en México?	Quiero saber si hay playas nudistas en México, dónde y si hay un costo. Saludos
20071023133634AACjrOU	Travel;Germany;Baden-Wuerttemburg	Qualcuno conosce un paesino chiamato UMMENDORF?	ciao   devo andare 2 gg ad Ummendorf, Germania e non riesco a trovare niente di interessante da fare in zona, nemmeno su internet.Qualcuno sa dirmi qualcosa su questo paesino in termini di cose da fare ?
20070615144850AAtWi2J	Travel;Europe (Continental);Other - Europe	Viajo a Istambul,Turquia alguien puede decirme algo?	N/A
20070619083717AAHGKzI	Travel;United States;Other - United States	What was the 18 state in the USA?	N/A
20070620044833AAKMYcU	Travel;Spain;Other - Spain	Combien de cartouches de cigarettes a t'on le droit de ramener d'espagne?	N/A
20070620171021AAaEKMS	Travel;United Kingdom;London	Les billets de train en direction de Londres sont-ils nominatifs...?	N/A
20070628050559AANihnj	Travel;Air Travel	Es malo ir en avión.?	esque nunca he entado en un avión.
20070705020816AAXjnyK	Travel;Latin America;Venezuela	?Que nombre reciben las mujeres de Mérida en Venezuela?	N/A
20070726042022AAwdTYy	Travel;Australia;Sydney	Devo partire fra poco per un viaggio di un mese in australia. Mi consigliate dei bei posti da visitare?	Anche lontani, non importa. Voglio proprio girare dei posti sperduti. Mi date anche dei consigli sul viaggio e le cose da portare (es. io sono un fumatore accanito posso portare quante sigarette voglio?). Grazie rispondete =)
20070727053154AAaZ7Z7	Travel;Other - Destinations	Preferite le spiagge libere o gli stabilimenti balneari?	N/A
20070731025138AAkB9uo	Travel;Other - Destinations	Scusate l' ignoranza ma per le crocere fuori europa serve il passaporto??	Vorrei regalare hai miei una bella crocera fuori europa per il loro 25esimo anniversario. Siccome tutto cio deve essere una sorpresa che scopriranno attraverso un pacco regalo, non posso chiedere a loro di fare il passaporto!
20070731211822AA7NVn1	Travel;United States;Other - United States	Cruise from Florida help?	I am traveling on a cruise from Port of Miami. I have about 10 hours of free time between my cruise and flight. Anyone have suggestions on where to go. Also, what is the best way to get around? Where to store my luggage? I am flying from FLL.
20070816050152AA0USRZ	Travel;France;Paris	Pourquoi il fait toujours aussi froid dans le TGV??	ils ont tendance a fouttre la ckim a fond? y a t il une raison?
20070820060508AA6zw8L	Travel;Other - Destinations	Ostello a Parigi?	Ciao, qualcuno di voi conosce un buon ostello o una pensione a Parigi dove non si spende tanto.      Vorrei andare a Novembre, così non dovrebbero esserci i prezzi alti della stagione estiva.      grazie a tutti
20080326153628AAFdHTn	Travel;Travel (General);Other - Destinations	What youre fave vacation place?	Any Where In The World You Just Tell Me
20080924164912AASg6GQ	Travel;United States;Other - United States	What city is    zip code   37034 ?	N/A
20080418135704AAVfyl7	Travel;France;lle-de-France	Combien de temps pour aller de la gare montparnasse à la gare de l'est en métro?	N/A
20080925003401AACCpaD	Travel;Europe (Continental);Greece	I would very much like to have a connection with someone in Greece. For e-mail and friendship. Interested?	N/A
20080327125921AADojLe	Travel;Other - Destinations	Ho bisogno di un aiuto..è possibile prenotare un hotel o un b&b se nn si è maggiorenne?	N/A
20080420091349AAu0s0b	Travel;Asia Pacific;Japan	Eu suplico, como fa?o para morar no Jap?o n?o sendo descendente?	Qual é o custo?   Devo me casar com uma descendente?   Por favor me ajudem!!!
20080608191016AAg3zEh	Travel;United States;Washington, D.C.	Im moving to dc?	and want to know do people still wear roca wear and akedemiks there because thats what most of my clothes are
